act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
LR,cap2,0,0.001,6,11,0.9029333333,1,1,0,0,-0.451233983,0.5184471607,-1.624419928,0.2529999614,79.27195054,0,0,-0.07904434204,0.275711298,-0.9014894366,0.4247499704,67.10798203,1.168846965,1.247918367,28.33523369,0,1.131784014,1.149959615,1.172995296,1.20117409,1.999999883,0.00703079148,-0.03195614554,0.01,0,0.84,2506126,940.4759655,1.067805662,1.143899832,1.214739849,1.255235362,1.999999862,0.04644689646,-0.05976502411,0,0,0.62,1798530,132.8325839
LR,cap2,0,0.001,6,12,0.8977291667,0.9758333564,0.9758333564,0,0,-0.619555831,0.5857912898,-2.215982199,0.2080000043,80.93338119,0,0,-0.1967630982,0.3253236711,-1.227773547,0.3159999847,65.49946772,1.169587135,1.260837078,29.37104797,0,1.130555817,1.149959511,1.17302399,1.201426037,1.999999941,0.007772904862,-0.02898911759,0.01,0,0.76,2431391,1079.584659,1.06785236,1.142913164,1.212226252,1.261554993,1.998461542,0.05053351936,-0.1011681706,0,0,0.4,1457993,147.6186671
LR,cap2,0,0.001,6,13,0.9086645833,0.5983333588,0.5983333588,0,0,-0.9990622997,0.5630101562,-2.98065114,0.1285000145,57.39825234,0,0,-0.6147258282,0.3029053211,-3.45443368,0.1105000153,31.35842492,1.182238579,1.271267533,30.81907845,0,1.131784078,1.1499595,1.17325841,1.201426071,1.999999985,0.009345306901,-0.04030089825,0.01,0,0.99,2493667,908.4695548,1.056536594,1.137713745,1.208824441,1.26155488,1.996829962,0.05026416292,-0.1064831726,0,0,0.34,1749925,131.9902053
LR,cap2,0,0.001,6,14,0.9212416667,0.8066666722,0.8066666722,0,0,-0.6778538823,0.5283234119,-2.133155823,0.1884999871,69.93646313,0,0,-0.343855232,0.2411795706,-2.458644629,0.1869999766,50.82687482,1.17789197,1.257756829,31.98506355,0,1.131784198,1.14995959,1.173258656,1.201426076,1.999999986,0.008244454929,-0.03443187661,0.01,0,0.95,2449558,716.384827,1.047953638,1.136872543,1.204026709,1.247044854,1.983984081,0.05170494378,-0.06991072372,0,0,0.13,1991427,109.5301774
LR,cap2,0,0.001,6,15,0.8997020833,1,1,0,0,-0.4958232045,0.5399854183,-1.289850831,0.2649999857,80.21484512,0,0,-0.0702277869,0.2975848317,-0.9134707451,0.4487499893,67.11173928,1.173649549,1.297194481,33.01328278,0,1.131784162,1.149959674,1.173258686,1.201425827,1.999999899,0.007731192242,-3.381632268e-06,0.01,0,0.98,2424730,1056.128687,1.067855355,1.144523325,1.212226223,1.261554913,1.999999939,0.05477978617,-0.08865967393,0,0,0.89,1396956,140.0589437
LR,cap2,0,0.001,6,16,0.8960708333,1,1,0,0,-0.4485880136,0.5466106534,-1.498469472,0.2844999731,82.27453903,0,0,-0.08308266103,0.3027792573,-0.6027097106,0.4562500119,66.68234988,1.167181253,1.31646049,33.8654747,0,1.131782107,1.149959648,1.173258464,1.201426038,1.999999949,0.005877571847,-0.04575425945,0.01,0,0.99,2492369,1081.558187,1.067855179,1.144082304,1.214739825,1.261554833,1.999999968,0.06564045132,-0.1326060221,0,0,0.94,1594111,137.3664116
LR,cap2,0,0.001,6,17,0.8938166667,0.9258333445,0.9258333445,0,0,-0.6383054852,0.5110400915,-1.882658124,0.1862499863,75.8683041,0,0,-0.4248049557,0.2578622699,-2.241168976,0.1509999931,49.63206666,1.169752002,1.365385056,34.93845749,0,1.130192366,1.149840469,1.173258443,1.201425884,1.999999886,0.00695188089,-0.09572248161,0.01,0,0.8,2436124,1026.181202,1.067676085,1.143563019,1.212331565,1.260849421,1.999129628,0.07659987235,-0.164553158,0,0,0.43,1834498,135.1688225
LR,cap2,0,0.001,6,18,0.8943916667,0.8924999833,0.8924999833,0,0,-0.6563980579,0.502117753,-1.516819,0.1832499653,74.41574791,0,0,-0.4630940855,0.2496475577,-2.21082902,0.1285000145,46.40420168,1.170760274,1.315064073,35.7891655,0,1.131778255,1.149959659,1.173258526,1.201425836,1.999999888,0.007856720332,-0.04709087871,0.01,0,0.89,2383590,950.9458009,1.066736263,1.143916444,1.212321302,1.261262095,1.998452884,0.06593899612,-0.1934069321,0,0,0.37,1775287,138.2775849
LR,cap2,0,0.001,6,19,0.9038041667,1,1,0,0,-0.5641509295,0.522233963,-1.450399399,0.2214999944,75.49181675,0,0,-0.3930535316,0.2730025053,-1.838981509,0.1697499752,52.49789062,1.174966812,1.365959048,36.74007797,0,1.131784058,1.14992845,1.173147192,1.20142583,1.999999936,0.007423372776,-0.05835620314,0.01,0,0.97,2412617,876.501866,1.067855357,1.144496961,1.214648977,1.261554835,1.99999996,0.07552872922,-0.1967669278,0,0,0.9,1855463,122.4782954
LR,cap2,0,0.001,6,20,0.9072958333,1,1,0,0,-0.4231796563,0.530672729,-2.427009821,0.2844999731,78.10102555,0,0,-0.07590659708,0.2746521831,-0.7520372272,0.4554999769,60.81679374,1.170968533,1.332881212,38.02541351,0,1.13178425,1.149959605,1.173257932,1.201426082,1.999999893,0.006047317569,-0.06450044364,0.01,0,0.97,2498153,893.7579618,1.064045865,1.144623473,1.214739892,1.261554849,1.999999967,0.07177389435,-0.1760120243,0,0,0.95,1773889,138.4403428
