arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
C,raw,1,1,0.0001,8,0,1,0.8576121795,1,1,1,0,0,-0.2806476653,2.208310366,-2.437619925,0.4460000098,23.00988546,0.0700000003,0.0700000003,-1.885478854,1.79477942,-4.966486454,0.02400000021,7.472636609,0.9791317582,0.667098701,1.872285604
C,raw,1,1,0.0001,9,1,5,0.4443108974,0.6588000059,0.6000000238,0.6588000059,0,0,-0.03816749156,2.154882669,-1.723572016,0.4939999878,34.53188877,0.02999999933,0.02999999933,-1.359289646,1.529944539,-3.43044591,0.1463999897,13.97310409,1.021367669,0.667951107,2.103009224
C,raw,1,1,0.0001,10,0,1,0.8106169872,1,1,1,0,0,-0.1748615056,2.296476364,-15.48185444,0.4180000126,16.35451038,0.2099999934,0.2099999934,-2.461039782,1.833413124,-9.438694,0.01800000109,3.794618302,1.04312408,0.67616117,2.243053436
C,raw,1,1,0.0001,11,1,5,0.4219951923,0.6579999924,0.6340000033,0.6579999924,0,0,0.06413029879,2.934996367,-1.701579213,0.502399981,34.32937762,0.02999999933,0.02999999933,-1.804941416,1.826203942,-4.84505558,0.06119999662,11.70797255,1.112557888,0.6834108829,2.420866728
C,raw,1,1,0.0001,12,0,1,0.8156650641,1,1,1,0,0,-1.250868917,1.466411829,-7.116802692,0.1760000139,20.76946783,0.2899999917,0.2899999917,-1.833388805,1.193620086,-4.830870628,0.01000000071,5.33144192,1.043578625,0.6911494136,2.568443775
C,raw,1,1,0.0001,13,1,5,0.4771634615,0.7371999621,0.7000000477,0.7371999621,0,0,-0.1283518076,3.402811766,-1.432339668,0.4684000015,28.6133813,0.1199999973,0.1199999973,-2.635971308,2.185712576,-7.707070351,0.02679999918,9.422576296,1.088689089,0.6957017183,2.759165525
C,raw,1,1,0.0001,14,0,1,0.7834134615,1,1,1,0,0,-0.04457058758,1.900907755,-0.8945227265,0.4980000257,22.48954634,0.3100000024,0.3100000024,-2.445773125,2.097596645,-6.293533802,0.00400000019,4.591527195,1.115605116,0.7026359439,2.883362532
C,raw,1,1,0.0001,15,1,5,0.4480769231,0.6807999611,0.6360000372,0.6807999611,0,0,0.04590099677,2.988318205,-1.713721037,0.4903999865,32.88454268,0.2099999934,0.2099999934,-2.934619427,2.039278984,-5.270812988,0.006000000052,9.160473346,1.163614392,0.7133482695,2.96469593
C,raw,1,1,0.0001,16,0,1,0.7296474359,1,1,1,0,0,-0.2247311622,1.792003274,-5.832940578,0.40200001,26.49175655,0.4099999964,0.4099999964,-2.385448933,1.751829624,-5.284405708,0.006000000052,5.384385874,1.038273335,0.7205569148,3.105657816
C,raw,1,1,0.0001,17,1,5,0.2987179487,0.5507999659,0.5240000486,0.5507999659,0,0,0.05207711086,2.10008812,-1.4128052,0.5011999607,30.71574092,0.2800000012,0.2800000012,-2.641126394,2.019106865,-5.47328949,0.009200000204,8.291686158,1.074668527,0.7220748067,3.034714222
