arm,step,group,rank,seed,unit,ok,eps,rel_err_wu,rel_err_W_other,rel_err_b,rel_err_v,rel_err_c,lambda_x,dyhat1
LR_a0p1_q0,5000000,neg,2,5,99,True,0.01,2.2332944358786007e-14,2.67488486273912e-13,2.1595870401932985e-11,0.0005724433339167208,1.013704200906647e-12,0.00012939083362083236,0.001064698538711908
LR_a0p1_q0,5000000,neg,2,6,14,True,0.01,3.7982782879860766e-14,2.8160356153142847e-13,7.956835774900067e-12,0.0005831143569976949,3.3854967947693967e-12,0.0014539654196846193,0.003592393851515834
LR_a0p1_q0,5000000,neg,2,7,57,True,0.01,1.7180282806337613e-14,3.0297623877096264e-13,3.2985363924693535e-12,0.0004354935255548686,8.331859270260034e-13,0.00287084623728574,0.005155480118883414
LR_a0p1_q0,5000000,neg,2,8,96,True,0.01,5.357670061059955e-14,2.995834451260919e-13,5.124603517070087e-12,0.0006523602688334445,6.871432818148433e-13,0.0029832931068372735,-0.005184190629884631
LR_a0p1_q0,5000000,neg,2,9,41,True,0.01,3.33774429454641e-14,2.8231895154468735e-13,5.465309434673099e-12,0.0006213981538910332,1.8548147054563024e-12,0.0017501615679850716,0.003938662844319895
LR_a0p1_q0,5000000,neg,3,0,3,True,0.01,3.961520676866109e-14,2.8113576958729604e-13,1.069049548826454e-11,0.0005756266454850483,3.0537308124737695e-12,0.0005279132408774846,-0.0021494454219904836
LR_a0p1_q0,5000000,neg,3,1,3,True,0.01,2.5430251723038393e-14,2.982267113343758e-13,1.0602468585376928e-11,0.0005304931664155906,2.7773487335812944e-13,0.0022811348144072714,-0.004496609886729536
LR_a0p1_q0,5000000,neg,3,2,43,True,0.01,3.596967360226674e-14,2.5763347070277993e-13,1.0749265336963195e-11,0.00055180102314374,1.813037550700585e-13,0.001308839825815868,-0.0034235680530064106
LR_a0p1_q0,5000000,neg,3,3,80,True,0.01,3.1161732203410865e-14,2.751963936308815e-13,1.1929061012342722e-11,0.0006099545120610565,9.297667635351278e-13,0.0013947628651242458,-0.003473524057809772
LR_a0p1_q0,5000000,neg,3,4,57,True,0.01,2.1099495080661225e-14,3.0990157138376985e-13,9.122086102392052e-12,0.0006022135829001851,1.723691971932956e-12,0.0008395564719897825,0.0026958544939013223
LR_a0p1_q0,5000000,neg,3,5,71,True,0.01,2.0522873601805e-14,2.7165275505470557e-13,1.0764747960826104e-11,0.000574010273325982,3.5805533376696507e-13,0.00047288039619432253,-0.002035403690681843
LR_a0p1_q0,5000000,neg,3,6,0,True,0.01,4.3603690614659916e-14,2.7305522606299193e-13,9.342292093769293e-12,0.000583323398120023,2.9030093593545474e-12,0.000656693847105712,-0.0024142841276678794
LR_a0p1_q0,5000000,neg,3,7,66,True,0.01,8.327642988330055e-14,3.0476710865101145e-13,5.355237643720309e-12,0.00043584754125499563,3.2453660122487225e-12,0.000811377198735664,-0.002740788666712999
