arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,50,none,0.9639916667,1,1,0,0,-21.57654762,82.09334564,-48.14679337,0.4502500892,79.3251723,0,0,-253.0189667,175.6857605,-426.8779907,0.1352499723,80.02201759,28.26223183,4.235806942,1.391760468,3200,3600,1200,853
LR,std,1,1,0.001,1,none,0.9817333333,1,1,0,0,-1.93086791,15.96608543,-7.461750031,0.5065000653,73.08196738,0,0,-6.360985279,11.92180729,-20.22499275,0.3595000803,75.45490492,3.580106497,0.9872994423,1.243994594,1500,1600,1200,815
LR,std,1,1,0.001,2,none,0.9810770833,1,1,0,0,-3.699411631,24.03171539,-12.05465889,0.491500169,74.43248415,0,0,-21.58727264,20.525383,-40.0097847,0.2139999717,74.92492111,5.297008991,1.238255978,1.317753673,1700,1800,1200,620
LR,std,1,1,0.001,3,none,0.9797104167,1,1,0,0,-4.898530483,28.28361702,-15.46656609,0.4810001254,75.30614196,0,0,-30.96945953,25.03173065,-47.78715515,0.1884999573,76.60686523,6.598442554,1.419040561,1.260769129,1800,2100,1200,602
LR,std,1,1,0.001,4,none,0.9800854167,1,1,0,0,-5.7021451,31.88062286,-17.21504593,0.4847500622,76.28256004,0,0,-37.45582199,30.13389778,-56.50915527,0.1772499532,75.72993553,7.639900208,1.599482417,1.1965909,1600,1700,1200,631
LR,std,1,1,0.001,5,none,0.9783791667,1,1,0,0,-6.776544094,35.62007904,-19.75443649,0.4840001166,76.60287891,0,0,-43.12511063,34.76745605,-68.58620453,0.1824999601,81.18857202,8.719905853,1.716109753,1.171698451,1600,1800,1135,795
LR,std,1,1,0.001,6,none,0.9786604167,1,1,0,0,-6.646324158,37.46478271,-23.78219414,0.4780001044,77.66658543,0,0,-49.12288666,39.52729034,-78.53872681,0.1712499559,81.90187266,9.525827408,1.876709223,1.109480023,1700,1900,1200,966
LR,std,1,1,0.001,7,none,0.9770645833,1,1,0,0,-8.002977371,40.58609772,-21.3558445,0.4742500782,77.0497851,0,0,-56.11677933,44.51818466,-85.1993866,0.1727499664,83.12351496,10.35026646,1.972299576,1.092916727,2000,2400,1200,661
LR,std,1,1,0.001,8,none,0.9784666667,1,1,0,0,-8.393486023,42.75091934,-25.8060627,0.4765000939,77.3667024,0,0,-57.93221664,48.9297142,-95.71665955,0.1749999523,84.74534667,11.08716488,2.109335423,1.080357432,1900,2100,1200,839
LR,std,1,1,0.001,9,none,0.974575,1,1,0,0,-9.513581276,45.96857071,-26.18774033,0.4735001326,76.9674504,0,0,-70.18768311,54.78376007,-106.2443237,0.1659999639,83.68283114,11.80584812,2.222900629,1.043683052,2100,2300,1198,905
LR,std,1,1,0.001,10,none,0.97553125,1,1,0,0,-10.13702869,46.81916046,-32.18884659,0.4675001204,76.93133274,0,0,-77.4165802,58.22372818,-101.8384628,0.1592499614,82.27737876,12.4927063,2.307101965,1.033899665,2000,2500,1200,951
LR,std,1,1,0.001,11,none,0.9762916667,1,1,0,0,-11.47141457,49.82904434,-30.52731133,0.4690001011,76.83111914,0,0,-84.12146759,64.16031647,-125.9052658,0.1637499481,84.28108873,13.24546337,2.407084465,1.024386287,2100,2400,1200,735
LR,std,1,1,0.001,12,none,0.9759270833,1,1,0,0,-10.25782585,51.60110855,-33.33023071,0.4705000818,77.19511705,0,0,-89.42902374,66.34292603,-123.1012039,0.1599999517,83.88855783,13.90855885,2.527233362,1.03083849,2100,2500,1200,966
LR,std,1,1,0.001,13,none,0.9757875,1,1,0,0,-10.80324554,54.81002045,-31.34505272,0.4712501168,76.76319488,0,0,-101.5559692,73.86296082,-165.4829712,0.1494999677,82.02797808,14.48992634,2.626677275,1.039430976,2200,2600,1199,995
LR,std,1,1,0.001,14,none,0.9735041667,1,1,0,0,-11.9833889,55.35777664,-31.76327515,0.4682501256,76.47518396,0,0,-107.4499054,75.26476288,-149.3618317,0.1539999396,82.25958575,15.08154106,2.712283611,1.053864956,2400,2700,1200,1008
LR,std,1,1,0.001,15,none,0.9733666667,1,1,0,0,-13.27707767,57.29517746,-36.70662308,0.4660000801,77.17434429,0,0,-106.2488708,79.73514557,-152.9624329,0.1547499597,83.694705,15.62829876,2.804998875,1.018134713,2300,2800,1200,776
LR,std,1,1,0.001,16,none,0.9735729167,1,1,0,0,-14.94593811,59.31545639,-31.18187904,0.45325014,76.82904636,0,0,-114.8547516,83.55392456,-156.0995941,0.1524999589,83.05006974,16.16207695,2.866312027,1.004128814,2400,3000,1200,804
LR,std,1,1,0.001,17,none,0.9740708333,1,1,0,0,-14.76869869,60.72964859,-34.38986206,0.4532500803,76.88860712,0,0,-115.0473175,86.33499146,-165.1119843,0.1464999616,82.33375854,16.64185333,2.919426441,1.00573647,2200,2700,1200,807
LR,std,1,1,0.001,18,none,0.9730604167,1,1,0,0,-15.00405598,61.78065491,-34.23888397,0.4510000646,77.25990167,0,0,-115.8809128,89.19765472,-174.5882721,0.1614999473,84.1327656,17.14071846,2.961565256,0.9841406345,2300,2700,1200,757
LR,std,1,1,0.001,19,none,0.9716875,1,1,0,0,-16.0256424,61.8218689,-33.00964737,0.4562501013,77.03693267,0,0,-116.596344,90.1796875,-175.0864563,0.1667499542,84.79980904,17.63189697,3.007270336,0.9717715383,2600,2700,1200,855
LR,std,1,1,0.001,20,none,0.9710083333,1,1,0,0,-18.08681679,63.42625046,-34.4680748,0.4465001523,77.30920792,0,0,-122.1146927,96.31295776,-176.5169067,0.1614999473,84.83455189,18.16367722,3.080248833,1.003226399,2700,3200,1200,793
LR,std,1,1,0.001,21,none,0.9716875,1,1,0,0,-16.74669456,62.95792389,-39.72906494,0.4495000839,77.69085002,0,0,-126.566803,95.99773407,-167.2091675,0.155499965,83.86396128,18.53729439,3.140905619,0.9639964104,2600,3300,1200,950
LR,std,1,1,0.001,22,none,0.9701395833,1,1,0,0,-17.20818901,62.79471588,-37.34418869,0.4525001049,77.45475323,0,0,-129.2284851,98.36737823,-188.6968079,0.1584999561,84.75820346,18.89050865,3.195714712,0.9860724807,3000,3200,1200,715
LR,std,1,1,0.001,23,none,0.9709729167,1,1,0,0,-18.42492485,65.22342682,-36.94023895,0.4435001612,77.48148018,0,0,-137.2634735,102.4152603,-204.1443176,0.1569999456,83.81150357,19.29095459,3.245463371,0.9444488287,2800,3300,1200,763
LR,std,1,1,0.001,24,none,0.97268125,1,1,0,0,-18.7443428,69.07366943,-37.17601013,0.4435001314,77.47100023,0,0,-142.5825806,108.0504456,-189.1984863,0.1532499492,84.26116281,19.65846825,3.29379034,0.9521141648,2700,3000,1200,972
LR,std,1,1,0.001,25,none,0.96875,1,1,0,0,-20.48473358,69.00801086,-46.5885849,0.4442501068,77.24158749,0,0,-143.9550018,110.4603424,-226.5979767,0.1524999589,83.58275348,20.05767441,3.331969976,1.029420614,2600,3100,1200,824
LR,std,1,1,0.001,26,none,0.9672916667,1,1,0,0,-20.8128624,69.79878235,-50.15737152,0.4435001612,77.09725515,0,0,-145.1884155,110.8749008,-250.0347137,0.1509999633,83.79189568,20.45031548,3.361104488,1.083134651,3000,3200,1200,802
LR,std,1,1,0.001,27,none,0.9656916667,1,1,0,0,-20.38005066,73.17991638,-42.701828,0.4472501278,76.99987579,0,0,-158.763916,111.6771927,-267.5860596,0.1487499475,82.03479174,20.80717659,3.387099743,1.059129477,3200,3800,1200,725
LR,std,1,1,0.001,28,none,0.9663395833,1,1,0,0,-22.23708534,69.97130585,-50.74816513,0.4375001192,77.44265235,0,0,-157.5329132,115.192215,-277.2006836,0.1479999572,82.42035859,21.13979149,3.417471886,1.090606213,3000,3500,996,882
LR,std,1,1,0.001,29,none,0.9627958333,1,1,0,0,-22.29240608,73.37890625,-45.9237175,0.4420001209,77.2589991,0,0,-163.7704773,120.4584274,-259.086792,0.1442499608,82.0684572,21.44074631,3.446386814,1.03559649,3700,4100,1200,851
LR,std,1,1,0.001,30,none,0.96635625,1,1,0,0,-23.71699524,75.46161652,-43.11386871,0.4337501228,76.99530351,0,0,-170.2048187,121.7755737,-252.6132355,0.1389999539,81.34057353,21.86771393,3.513685465,1.066936135,3800,3900,1200,737
LR,std,1,1,0.001,31,none,0.9646875,1,1,0,0,-22.67881966,73.10816956,-41.5589447,0.4360000789,77.67162247,0,0,-162.2467804,121.3496323,-255.1091156,0.1464999616,82.87720017,22.07982254,3.482747793,1.095899343,3300,3700,974,764
LR,std,1,1,0.001,32,none,0.95715,1,1,0,0,-22.24002457,74.14628601,-43.15686798,0.4352501035,78.36630662,0,0,-167.8852234,119.346611,-293.1739502,0.1442499608,82.18771411,22.50423431,3.522624493,1.082441568,4500,4600,1200,881
LR,std,1,1,0.001,33,none,0.9645958333,1,1,0,0,-23.14381981,72.57862091,-42.20491028,0.4352500439,78.34121067,0,0,-174.917038,126.2220383,-295.539032,0.1404999644,80.9559418,22.80452919,3.609492064,1.104789495,3100,4300,1200,906
LR,std,1,1,0.001,34,none,0.9672583333,1,1,0,0,-23.16770554,72.85814667,-42.25229263,0.4330000877,77.95792055,0,0,-182.9824524,128.4497833,-349.5846863,0.1397499591,79.7502721,23.22064972,3.627806425,1.130025864,3000,3200,1200,764
LR,std,1,1,0.001,35,none,0.9688,1,1,0,0,-23.72404099,76.93876648,-40.56955338,0.4397501349,78.56214433,0,0,-189.5455627,133.2973328,-324.5887756,0.1412499547,81.15960976,23.56770897,3.694146395,1.12851572,3100,3400,1200,715
