seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2
0,SC_fix_r,1,4500,0.006515238162864975,0.9550583333333333,0.005814469212293625,-1.0728101316215974,-56.97513369051404,-58.047943822135636
0,SC_fix_r,1,5250,0.006962370875148707,0.9536666666666667,0.006235401491820812,-0.9499499648184768,-56.97513369051404,-57.92508365533252
0,SC_fix_r,1,6000,0.007492314675118238,0.95185,0.006686590161422888,-0.8396437403706524,-56.97513369051404,-57.814777430884696
0,SC_fix_r,2,0,0.007492314675118238,0.95185,0.006686590161422888,-0.8396437403706524,-56.97513369051404,-57.814777430884696
0,SC_fix_r,2,750,0.006121946050944967,0.9574416666666666,0.005366638018687566,-1.2025572963302955,-56.97513369051404,-58.17769098684434
0,SC_fix_r,2,1500,0.006950056043618015,0.9531,0.006134872764845689,-0.7833653192844591,-56.97513369051404,-57.7584990097985
0,SC_fix_r,2,2250,0.007845013196004192,0.94935,0.006947531966865063,-0.42835781453333327,-56.97513369051404,-57.40349150504738
0,SC_fix_r,2,3000,0.008651809411536957,0.945375,0.00770709368934234,-0.09734965771250427,-56.97513369051404,-57.07248334822655
0,SC_fix_r,2,3750,0.009436213663869599,0.9420416666666667,0.008461375986039639,0.18589895961528333,-56.97513369051404,-56.789234730898755
0,SC_fix_r,2,4500,0.010070109743177258,0.93845,0.009060424206157526,0.7607326559590525,-56.97513369051404,-56.21440103455499
0,SC_fix_r,2,5250,0.010260451204931282,0.9355416666666667,0.009280936680237451,1.0810239856505766,-56.97513369051404,-55.89410970486347
0,SC_fix_r,2,6000,0.010822123267274643,0.9326333333333333,0.009733119028309981,1.3547758598926554,-56.97513369051404,-55.62035783062139
0,SC_dyn_r,1,0,0.004295208132812207,0.9644333333333334,0.003407557841638724,-2.491853145367202,-56.97513369051404,-59.466986835881244
0,SC_dyn_r,1,750,0.0009022655942518315,0.9937833333333334,0.0004916000088055929,-2.6186115355420547,-70.38525659853319,-73.00386813407525
0,SC_dyn_r,1,1500,0.0012313481665901284,0.990875,0.0008370229125022888,-2.773294247328164,-69.45009916895131,-72.22339341627948
0,SC_dyn_r,1,2250,0.0015798225554272821,0.9885416666666667,0.0011621600016951561,-2.3743236278420197,-69.12764160469224,-71.50196523253426
0,SC_dyn_r,1,3000,0.0018220170138607483,0.98755,0.0014047563329339027,-2.356858205198116,-68.93624265631288,-71.29310086151101
0,SC_dyn_r,1,3750,0.0019558879601436407,0.9862333333333333,0.0014957551876703897,-2.3959409377959635,-68.53900262266745,-70.93494356046342
0,SC_dyn_r,1,4500,0.0027013122473908313,0.9837,0.002217325865228971,-2.3752039532881772,-68.12506187737584,-70.50026583066402
0,SC_dyn_r,1,5250,0.0032550160761968872,0.9813416666666667,0.0026616767649849256,-2.3884512185840556,-66.37059285469701,-68.75904407328106
0,SC_dyn_r,1,6000,0.004207990194249531,0.9743166666666667,0.0034723965475956598,-2.2521607319940813,-64.65686489460072,-66.9090256265948
0,SC_dyn_r,2,0,0.004207990194249531,0.9743166666666667,0.0034723965475956598,-2.2521607319940813,-64.65686489460072,-66.9090256265948
0,SC_dyn_r,2,750,0.0007898912832085234,0.9951416666666667,0.00044634853253761926,-2.543745965942558,-76.49077546412647,-79.03452143006903
0,SC_dyn_r,2,1500,0.0009277983476820495,0.9939833333333333,0.0005657848988970121,-2.762781146674766,-75.63876498089954,-78.4015461275743
0,SC_dyn_r,2,2250,0.0009762621367530339,0.993225,0.0006429347465435664,-2.9350444097596533,-75.49430906380067,-78.42935347356033
0,SC_dyn_r,2,3000,0.0011511451956755792,0.9925666666666667,0.0007855261524518331,-2.9064327763117617,-74.34074543049087,-77.24717820680263
0,SC_dyn_r,2,3750,0.0013472032737036827,0.9923083333333333,0.0009749736905097961,-2.7804879362352812,-74.28730782987873,-77.067795766114
0,SC_dyn_r,2,4500,0.0018193567702842065,0.9888166666666667,0.001391242669026057,-2.5777404099257897,-72.90292484851963,-75.48066525844543
0,SC_dyn_r,2,5250,0.0024156191642602785,0.9861416666666667,0.0019258108735084533,-2.417178586453339,-72.5402099100221,-74.95738849647543
0,SC_dyn_r,2,6000,0.0031525626592993406,0.9834166666666667,0.0026387098520994187,-2.4192572674169517,-72.03582416390579,-74.45508143132274
0,SC_dyn_free_r,1,0,0.004295208132812207,0.9644333333333334,0.003407557841638724,-2.491853145367202,-56.97513369051404,-59.466986835881244
0,SC_dyn_free_r,1,750,0.0009513810328333701,0.993275,0.0005315043861667315,-2.7820189662297254,-70.38525659853319,-73.16727556476292
0,SC_dyn_free_r,1,1500,0.0012380907591826547,0.9902083333333334,0.0008509290854136149,-2.6909567445789775,-69.45009916895131,-72.1410559135303
0,SC_dyn_free_r,1,2250,0.001616643843251101,0.9875083333333333,0.0012149441440900167,-2.2245069343782187,-69.12764160469224,-71.35214853907046
0,SC_dyn_free_r,1,3000,0.0019172005471492155,0.9867916666666666,0.0015041537702083587,-2.2841741965384377,-68.93624265631288,-71.22041685285133
0,SC_dyn_free_r,1,3750,0.0021160459265879947,0.986025,0.0016265472983320553,-2.4094572751853227,-68.53900262266745,-70.94845989785277
0,SC_dyn_free_r,1,4500,0.0027072668852262927,0.9839166666666667,0.002211900618672371,-2.4463949853157625,-68.12506187737584,-70.5714568626916
0,SC_dyn_free_r,1,5250,0.003720113465180498,0.9796166666666667,0.003110593215127786,-2.139129483888473,-66.37059285469701,-68.50972233858548
0,SC_dyn_free_r,1,6000,0.004955185520246105,0.9733916666666667,0.004241237077613672,-2.3710135277666735,-64.65686489460072,-67.0278784223674
0,SC_dyn_free_r,2,0,0.004955185520246105,0.9733916666666667,0.004241237077613672,-2.3710135277666735,-64.65686489460072,-67.0278784223674
0,SC_dyn_free_r,2,750,0.0008905772895644589,0.9954333333333333,0.0005689988479018212,-4.263264916819966,-76.49077546412647,-80.75404038094644
0,SC_dyn_free_r,2,1500,0.0011055241796612161,0.993775,0.0007887039562066396,-4.573481073941857,-75.63876498089954,-80.2122460548414
0,SC_dyn_free_r,2,2250,0.001237075635723886,0.99345,0.0009067789499958356,-5.043772067168665,-75.49430906380067,-80.53808113096933
0,SC_dyn_free_r,2,3000,0.0018529032450520966,0.9909166666666667,0.0014445219298203787,-5.134747240580874,-74.34074543049087,-79.47549267107175
0,SC_dyn_free_r,2,3750,0.0021435564931534365,0.9897833333333333,0.001764266155163447,-5.798907241040965,-74.28730782987873,-80.08621507091969
0,SC_dyn_free_r,2,4500,0.0033283150010330674,0.9840333333333333,0.002877206928531329,-5.6839954251332205,-72.90292484851963,-78.58692027365285
0,SC_dyn_free_r,2,5250,0.005220178584159852,0.9794333333333334,0.004720063190658887,-6.202489027547929,-72.5402099100221,-78.74269893757003
0,SC_dyn_free_r,2,6000,0.006120039148599505,0.975925,0.005579188429812591,-6.321590331912494,-72.03582416390579,-78.35741449581828
0,SC_u30_r,1,0,0.0,1.0,0.0,-2.491853145367202,-30.0,-32.4918531453672
0,SC_u30_r,1,750,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,1,1500,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,1,2250,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,1,3000,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,1,3750,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,1,4500,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,1,5250,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,1,6000,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,0,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,750,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,1500,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,2250,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,3000,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,3750,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,4500,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,5250,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,SC_u30_r,2,6000,0.0,1.0,0.0,-2.4918530820960956,-30.0,-32.49185308209609
0,NR_r,1,0,0.004295208135948592,0.9644333333333334,0.003407557842632135,-59.46698684575331,0.0,-59.46698684575331
0,NR_r,1,750,0.00107181490705867,0.9902583333333334,0.000649088663359483,-69.09076187559572,0.0,-69.09076187559572
0,NR_r,1,1500,0.001739088245110884,0.9809916666666667,0.0013103554452459018,-66.10895733909815,0.0,-66.10895733909815
0,NR_r,1,2250,0.00252182923426435,0.974275,0.0020357693806290628,-64.27069880371559,0.0,-64.27069880371559
0,NR_r,1,3000,0.003385594503504329,0.9664166666666667,0.002923189942538738,-62.109595141017465,0.0,-62.109595141017465
0,NR_r,1,3750,0.004366084544513595,0.9617166666666667,0.0037588511486848194,-61.27507395180327,0.0,-61.27507395180327
0,NR_r,1,4500,0.006497208924730733,0.9511166666666667,0.005688288375735283,-60.120758226572725,0.0,-60.120758226572725
0,NR_r,1,5250,0.007601000935648646,0.9452083333333333,0.0066866241628925,-58.62735634251746,0.0,-58.62735634251746
0,NR_r,1,6000,0.009135129972800377,0.9418166666666666,0.008112815870344639,-57.90848117531658,0.0,-57.90848117531658
0,NR_r,2,0,0.009135129972800377,0.9418166666666666,0.008112815870344639,-57.90848117531658,0.0,-57.90848117531658
0,NR_r,2,750,0.000840637008062472,0.9943166666666666,0.0003655247007807096,-76.31900447200609,0.0,-76.31900447200609
0,NR_r,2,1500,0.0012541073706981072,0.991225,0.0007767769485712052,-75.24956081958494,0.0,-75.24956081958494
0,NR_r,2,2250,0.001457911010593303,0.989125,0.0009594157675902049,-74.55239540722482,0.0,-74.55239540722482
0,NR_r,2,3000,0.0019447778502367458,0.9853083333333333,0.001488007112344106,-73.71960108950859,0.0,-73.71960108950859
