step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss,w_D_all,w_D_alive,n_alive,w_paircos_all,w_paircos_alive,w_rnorm_mean,w_rnorm_alive
0,B_w100_K10000_c-1.0_lr0.01_s6,0,0,0,69.5598,25.7606,0.502011,0,1.12813,0.9888,0.9888,100,0.00121184,0.00121184,1.42053,1.42053
0,B_w100_K10000_c-1.0_lr0.01_s7,0,0,0,69.9033,25.9379,0.503963,0.00020202,2.13598,0.986781,0.986781,100,0.0032518,0.0032518,1.38028,1.38028
0,B_w100_K10000_c-1.0_lr0.01_s8,0,0,0,68.8711,25.5188,0.500818,0,11.7682,0.991597,0.991597,100,-0.00161362,-0.00161362,1.4396,1.4396
0,B_w100_K10000_c-1.0_lr0.01_s9,0,0,0,70.49,27.3189,0.498624,0,4.25324,0.995096,0.995096,100,-0.00514753,-0.00514753,1.39397,1.39397
0,B_w100_K10000_c-1.0_lr0.01_s10,0,0,0,70.2439,26.188,0.499962,0,1.78172,0.98948,0.98948,100,0.000525339,0.000525339,1.39306,1.39306
0,B_w100_K10000_c-1.0_lr0.01_s11,0,0,0,68.859,25.4409,0.497826,0,3.83392,0.995131,0.995131,100,-0.0051833,-0.0051833,1.40972,1.40972
0,B_w100_K10000_c-1.0_lr0.01_s0_nfix,0,0,0,69.5849,26.4917,0.500048,0,3.43381,0.991745,0.991745,100,-0.00176224,-0.00176224,1.3857,1.3857
0,B_w100_K10000_c-1.0_lr0.01_s1_nfix,0,0,0,70.2641,27.2601,0.501251,0,10.1732,0.988534,0.988534,100,0.00148058,0.00148058,1.41725,1.41725
0,B_w100_K10000_c-1.0_lr0.01_s2_nfix,0,0,0,69.457,26.6979,0.503531,0,1.52988,0.982659,0.982659,100,0.00741503,0.00741503,1.40252,1.40252
0,B_w100_K10000_c-1.0_lr0.01_s3_nfix,0,0,0,69.3439,26.5026,0.497999,0,1.55229,0.992053,0.992053,100,-0.00207415,-0.00207415,1.42472,1.42472
0,B_w100_K10000_c-1.0_lr0.01_s4_nfix,0,0,0,69.3371,26.0352,0.500164,0,1.27375,0.987629,0.987629,100,0.00239513,0.00239513,1.40105,1.40105
0,B_w100_K10000_c-1.0_lr0.01_s5_nfix,0,0,0,69.031,25.6337,0.500519,0,2.25788,0.988761,0.988761,100,0.00125198,0.00125198,1.41894,1.41894
0,B_w100_K10000_c-1.0_lr0.01_s6_nfix,0,0,0,70.5816,27.2554,0.503483,0,2.51552,0.983909,0.983909,100,0.00615262,0.00615262,1.4102,1.4102
0,B_w100_K10000_c-1.0_lr0.01_s7_nfix,0,0,0,70.3062,26.9566,0.500423,0.00020202,1.56643,0.991206,0.991206,100,-0.00121815,-0.00121815,1.40666,1.40666
0,B_w100_K10000_c-1.0_lr0.01_s8_nfix,0,0,0,69.8398,26.4806,0.498951,0,1.55505,0.990024,0.990024,100,-2.4648e-05,-2.46483e-05,1.40357,1.40357
0,B_w100_K10000_c-1.0_lr0.01_s9_nfix,0,0,0,70.4486,26.9375,0.504387,0,2.30949,0.980729,0.980729,100,0.00936425,0.00936425,1.39406,1.39406
0,B_w100_K10000_c-1.0_lr0.01_s10_nfix,0,0,0,69.3332,26.3794,0.502039,0,1.29724,0.985936,0.985936,100,0.00410519,0.00410519,1.38918,1.38918
0,B_w100_K10000_c-1.0_lr0.01_s11_nfix,0,0,0,69.2302,25.5071,0.498884,0,1.48886,0.992991,0.992991,100,-0.00302089,-0.00302089,1.39302,1.39302
0,B_w100_K10000_c-0.75_lr0.01_s0,0,0,0,70.4801,26.8786,0.498528,0.00020202,1.86464,0.991104,0.991104,100,-0.00111505,-0.00111505,1.40884,1.40884
0,B_w100_K10000_c-0.75_lr0.01_s1,0,0,0,70.4377,26.8975,0.498028,0,1.78602,0.991179,0.991179,100,-0.00119053,-0.00119053,1.41503,1.41503
0,B_w100_K10000_c-0.75_lr0.01_s2,0,0,0,70.2705,26.7079,0.498846,0,1.72847,0.992007,0.992007,100,-0.00202747,-0.00202747,1.40166,1.40166
0,B_w100_K10000_c-0.75_lr0.01_s3,0,0,0,70.2857,26.9466,0.497739,0,1.50494,0.995512,0.995512,100,-0.005568,-0.005568,1.43284,1.43284
0,B_w100_K10000_c-0.75_lr0.01_s4,0,0,0,70.3012,26.77,0.500356,0,1.79206,0.991351,0.991351,100,-0.00136489,-0.00136489,1.41026,1.41026
0,B_w100_K10000_c-0.75_lr0.01_s5,0,0,0,69.9219,26.744,0.501231,0,4.82677,0.987495,0.987495,100,0.00253073,0.00253073,1.3902,1.3902
0,B_w100_K10000_c-0.75_lr0.01_s6,0,0,0,70.6091,27.2268,0.498596,0,2.80778,0.991851,0.991851,100,-0.00187001,-0.00187001,1.39123,1.39123
0,B_w100_K10000_c-0.75_lr0.01_s7,0,0,0,70.754,27.0912,0.498365,0,1.1749,0.9938,0.9938,100,-0.00383854,-0.00383854,1.41501,1.41501
0,B_w100_K10000_c-0.75_lr0.01_s8,0,0,0,69.9976,26.1334,0.498211,0,1.24678,0.995129,0.995129,100,-0.00518039,-0.00518039,1.3933,1.3933
0,B_w100_K10000_c-0.75_lr0.01_s9,0,0,0,69.6616,26.3028,0.501655,0,2.48055,0.989554,0.989554,100,0.000450606,0.000450606,1.42116,1.42116
0,B_w100_K10000_c-0.75_lr0.01_s10,0,0,0,69.9233,26.4196,0.502809,0,2.21084,0.986152,0.986152,100,0.0038866,0.0038866,1.4172,1.4172
0,B_w100_K10000_c-0.75_lr0.01_s11,0,0,0,70.1923,26.3995,0.499663,0,1.15877,0.989662,0.989662,100,0.000341472,0.000341472,1.3925,1.3925
0,B_w100_K10000_c-0.75_lr0.01_s0_nfix,0,0,0,70.2952,27.1785,0.504281,0,1.46966,0.983233,0.983233,100,0.00683547,0.00683547,1.4021,1.4021
0,B_w100_K10000_c-0.75_lr0.01_s1_nfix,0,0,0,69.5529,26.2137,0.500298,0,1.49714,0.990385,0.990385,100,-0.000389214,-0.000389215,1.39509,1.39509
0,B_w100_K10000_c-0.75_lr0.01_s2_nfix,0,0,0,69.4401,25.6335,0.499885,0,1.25455,0.986479,0.986479,100,0.00355654,0.00355654,1.42005,1.42005
0,B_w100_K10000_c-0.75_lr0.01_s3_nfix,0,0,0,69.8906,26.5055,0.499,0,1.56127,0.990776,0.990776,100,-0.000783682,-0.000783683,1.39838,1.39838
0,B_w100_K10000_c-0.75_lr0.01_s4_nfix,0,0,0,70.0413,26.7552,0.500875,0,1.13891,0.984684,0.984684,100,0.00537019,0.00537019,1.38685,1.38685
0,B_w100_K10000_c-0.75_lr0.01_s5_nfix,0,0,0,70.313,27.312,0.498211,0,1.83484,0.990257,0.990257,100,-0.000259404,-0.000259404,1.38674,1.38674
0,B_w100_K10000_c-0.75_lr0.01_s6_nfix,0,0,0,70.0182,27.062,0.500693,0,11.8122,0.987503,0.987503,100,0.00252232,0.00252232,1.40324,1.40324
0,B_w100_K10000_c-0.75_lr0.01_s7_nfix,0,0,0,70.3965,26.2675,0.500443,0,1.51626,0.989043,0.989043,100,0.000966838,0.000966839,1.40761,1.40761
0,B_w100_K10000_c-0.75_lr0.01_s8_nfix,0,0,0,69.7854,26.2309,0.502318,0,1.05422,0.986741,0.986741,100,0.00329194,0.00329194,1.40118,1.40118
0,B_w100_K10000_c-0.75_lr0.01_s9_nfix,0,0,0,70.6574,27.0941,0.499865,0,1.10897,0.990957,0.990957,100,-0.000967084,-0.000967084,1.42601,1.42601
0,B_w100_K10000_c-0.75_lr0.01_s10_nfix,0,0,0,70.008,27.1898,0.497643,0,1.90449,0.993655,0.993655,100,-0.00369162,-0.00369162,1.40198,1.40198
