arm,seed,L,var_gbar_late,degenerate,O_1,O_5,O_20,O_40,Ndistinct,Nrun60,n_chronic,O_20_null,O_20_fixed,sizes_ok,O_20_abs,O_20_depth,O_20_depth_inv,O_1_depth_inv,jaccard_gate_depth,phase_frac,max_dev_from_1,alphaW_med,dcn2_bottom,dcn2_other,cross8,return8
SN02,0,0.8049994707107544,0.06721921025080647,False,0.10886075949367086,0.11066666666666665,0.10666666666666666,0.11749999999999998,99,0,0,0.08833333333333332,1.0,True,0.10666666666666666,0.10833333333333332,0.1333333333333333,0.6050632911392406,0.27010971055088706,1.0,0.851037196116522,0.4181487425056033,0.2739210449435728,0.23320416600415436,0,0
SN02,1,0.5550026893615723,0.07157673082191693,False,0.1430379746835443,0.11599999999999999,0.10833333333333334,0.0975,100,0,0,0.08833333333333332,1.0,True,0.10833333333333334,0.11166666666666664,0.175,0.5822784810126583,0.3227447389212095,1.0,0.8393294842680916,0.4154178466610648,0.24527362451622814,0.24830193953033475,0,0
SN02,2,1.205003261566162,0.07750520509425636,False,0.120253164556962,0.12133333333333333,0.11499999999999998,0.10499999999999998,98,0,0,0.08833333333333332,1.0,True,0.11499999999999998,0.11,0.19333333333333333,0.5632911392405066,0.28603838971486023,1.0,0.8488550691399723,0.42030288449847586,0.2808752129323865,0.24297739034269314,0,0
SN06,0,2.7399957180023193,0.01687343288957767,False,0.089873417721519,0.09599999999999999,0.09499999999999999,0.1025,99,0,0,0.08833333333333332,1.0,True,0.09499999999999999,0.16666666666666666,0.19166666666666668,0.6253164556962026,0.0,0.985,0.4486331855878234,1.0432693463100127,0.3193913334379229,0.2770466081820344,0,0
SN06,1,2.8850018978118896,0.01515933662002849,False,0.11898734177215188,0.09866666666666667,0.105,0.0925,100,0,0,0.08833333333333332,1.0,True,0.105,0.09999999999999999,0.17499999999999996,0.581012658227848,0.0,0.9599999999999997,0.48670788400340825,1.0535292271358414,0.30478456678000926,0.2747827494695158,0,0
SN06,2,2.2549986839294434,0.015017021877024014,False,0.09367088607594935,0.11333333333333333,0.10999999999999997,0.0975,100,0,0,0.08833333333333332,1.0,True,0.10999999999999997,0.12666666666666665,0.22833333333333333,0.6291139240506329,0.0,0.9499999999999998,0.44119098607916385,1.0483326378217068,0.2651228995469248,0.2658486421959403,0,0
SN15,0,1.0450005531311035,0.001157627314793554,False,0.1012658227848101,0.104,0.10333333333333335,0.085,100,0,0,0.08833333333333332,1.0,True,0.10333333333333335,0.145,0.15666666666666668,0.6316455696202532,0.0632094943240454,0.30999999999999994,0.10952745843678713,2.9507137082826755,0.3566217589824932,0.3696419588561886,0,0
SN15,1,1.2100011110305786,0.0013304005356648352,False,0.10253164556962024,0.08399999999999999,0.11833333333333332,0.11000000000000001,100,0,0,0.08833333333333332,1.0,True,0.11833333333333332,0.13,0.22,0.6531645569620254,0.045906432748538006,0.335,0.11403064196929336,2.9246969354490457,0.35403162231137336,0.37074808591058445,0,0
SN15,2,0.2650022506713867,0.0012969444722291934,False,0.0911392405063291,0.11466666666666667,0.08166666666666668,0.10500000000000001,100,0,0,0.08833333333333332,1.0,True,0.08166666666666668,0.14,0.22333333333333333,0.6405063291139241,0.061265909872721014,0.31,0.1084436709061265,2.9621423666541604,0.3451795610248332,0.35790983445165925,0,0
SNA,0,0.7100015878677368,0.05669590316380269,False,0.11139240506329112,0.11333333333333333,0.10166666666666664,0.11749999999999998,99,0,0,0.08833333333333332,1.0,True,0.10166666666666664,0.13666666666666666,0.21666666666666667,0.6025316455696202,0.12157292741658068,nan,nan,nan,0.24741252604786185,0.22984345057432212,0,0
SNA,1,0.6999999284744263,0.057929619812348135,False,0.11772151898734173,0.09066666666666666,0.08833333333333333,0.1275,99,0,0,0.08833333333333332,1.0,True,0.08833333333333333,0.18666666666666662,0.23833333333333337,0.6278481012658227,0.08383212934296526,nan,nan,nan,0.2515022786714421,0.24109682768420856,1,0
SNA,2,1.3150006532669067,0.05167268584089785,False,0.12151898734177212,0.10533333333333333,0.11,0.09,99,0,0,0.08833333333333332,1.0,True,0.11,0.20666666666666667,0.2733333333333333,0.608860759493671,0.12088493292053663,nan,nan,nan,0.2544288331112968,0.23604327868305117,1,0
LIN,0,0.6999969482421875,0.0,True,1.0,1.0,1.0,1.0,10,10,10,0.08833333333333332,1.0,True,1.0,0.2133333333333333,0.21833333333333335,0.6417721518987343,0.060577915376676984,nan,nan,nan,0.37063251842262784,0.36934891704028733,1,0
LIN,1,0.6300032138824463,0.0,True,1.0,1.0,1.0,1.0,10,10,10,0.08833333333333332,1.0,True,1.0,0.14166666666666664,0.1666666666666666,0.6151898734177216,0.04883040935672515,nan,nan,nan,0.3316963656342525,0.3761858736958622,0,0
LIN,2,-0.01499950885772705,0.0,True,1.0,1.0,1.0,1.0,10,10,10,0.08833333333333332,1.0,True,1.0,0.15499999999999997,0.22000000000000003,0.6063291139240506,0.07598899208806328,nan,nan,nan,0.40428597071431555,0.36297298734188876,0,0
GELU,0,4.344996809959412,0.09933909464485106,False,0.21898734177215196,0.208,0.1816666666666667,0.19,89,0,0,0.08833333333333332,1.0,True,0.2666666666666667,0.4116666666666667,0.5866666666666667,0.8797468354430381,0.0,nan,nan,nan,0.13064549481509138,0.24037196899947402,50,50
GELU,1,4.330000281333923,0.09048623438142764,False,0.189873417721519,0.16133333333333338,0.175,0.155,88,0,0,0.08833333333333332,1.0,True,0.195,0.275,0.42166666666666663,0.8240506329113925,0.0,nan,nan,nan,0.0999338469788547,0.19890625275726814,57,57
GELU,2,4.06000018119812,0.10218380186884898,False,0.2050632911392405,0.16533333333333336,0.15666666666666662,0.13999999999999999,92,0,0,0.08833333333333332,1.0,True,0.23666666666666666,0.3,0.41000000000000003,0.8215189873417721,0.0,nan,nan,nan,0.2235483635928872,0.2788329225454614,52,52
SILU,0,2.9199987649917603,0.11802797947242606,False,0.1962025316455696,0.164,0.14666666666666664,0.11749999999999998,85,0,0,0.08833333333333332,1.0,True,0.3316666666666667,0.5033333333333333,0.6699999999999999,0.886075949367089,0.0,nan,nan,nan,0.28917793540150877,0.3579923256822283,62,61
SILU,1,3.564998507499695,0.11129370133854738,False,0.19240506329113927,0.17333333333333334,0.15999999999999995,0.15,83,0,0,0.08833333333333332,1.0,True,0.41666666666666663,0.6066666666666667,0.7183333333333334,0.9088607594936712,0.0,nan,nan,nan,0.2941723173640374,0.41434580966631723,57,54
SILU,2,2.829998731613159,0.1077636258982852,False,0.2329113924050633,0.2026666666666667,0.16666666666666663,0.145,83,0,0,0.08833333333333332,1.0,True,0.33999999999999997,0.5333333333333333,0.6566666666666667,0.9012658227848104,0.0,nan,nan,nan,0.25429869754343687,0.3710398561305201,60,56
