step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,e1_stability
5000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.3448,7.01248,0.172483,0.509524,0,0.0602127,8.16828,0.00737152,16.4348,0.16788,5.95662,5.95662,0,0.201824,0.161101,0.161101,0.163364,nan,0.161101,0.16788,1.40408,0.995595
5000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.2134,6.4399,0.17695,0.502757,0,0.122718,4.74453,0.0258652,16.0804,0.155587,6.42729,6.42729,0,0.175864,0.113524,0.113524,0.124752,nan,0.113524,0.155587,1.38132,0.999435
5000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.1727,9.26455,0.183159,0.500251,0,0.150404,4.08739,0.036797,16.451,0.186283,5.36818,5.36818,0,0.109662,0.204218,0.204218,0.208666,nan,-0.204218,0.186283,1.2391,0.99285
5000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.2941,5.99441,0.178701,0.493734,0,0.0864088,8.30091,0.0104096,16.1822,0.184135,5.43078,5.43078,0,0.13936,0.332985,0.332985,0.354093,nan,0.332985,0.184135,1.18364,0.993333
6000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.3106,12.4863,0.178216,0.495238,0,0.00832201,3.68923,0.00225575,15.7041,0.165756,6.03298,6.03298,0,0.18005,nan,nan,nan,nan,nan,0.165756,1.3988,0.979733
6000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5419,13.142,0.170001,0.490977,0,0.00993145,4.35366,0.00228118,15.9515,0.157582,6.34589,6.34589,0,0.184037,nan,nan,nan,nan,nan,0.157582,1.44886,0.977189
6000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.535,12.7533,0.186046,0.501754,0,0.0212811,3.44121,0.00618417,16.0751,0.172721,5.78968,5.78968,0,0.130732,nan,nan,nan,nan,nan,0.172721,1.30301,0.995782
6000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.4915,12.2164,0.187895,0.491228,0,0.00726882,2.27239,0.00319875,15.9236,0.195002,5.12815,5.12815,0,0.108959,nan,nan,nan,nan,nan,0.195002,1.24968,0.995321
6000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.371,7.13316,0.173495,0.509524,0,0.0558996,7.91065,0.00706637,16.4541,0.168554,5.9328,5.9328,0,0.183507,0.153092,0.153092,0.179003,nan,0.153092,0.168554,1.40216,0.997268
6000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.1859,6.33794,0.178509,0.503008,0,0.0245064,4.14182,0.00591682,16.0466,0.157785,6.33773,6.33773,0,0.134734,0.0415788,0.0415788,0.0787531,nan,0.0415788,0.157785,1.38026,0.975089
6000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.1054,8.89672,0.187816,0.495489,0,0.091686,5.16588,0.0177484,16.3498,0.189107,5.28801,5.28801,0,0.12664,0.209478,0.209478,0.211147,nan,-0.209478,0.189107,1.23094,0.993379
6000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.413,6.16099,0.176907,0.492481,0,0.45525,10.0202,0.045433,16.2087,0.183187,5.45889,5.45889,0,0.160629,0.31224,0.31224,0.3237,nan,0.31224,0.183187,1.17082,0.988835
7000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.3063,12.4462,0.179371,0.494987,0,0.00865717,3.43843,0.00251777,15.6799,0.167176,5.9817,5.9817,0,0.177328,nan,nan,nan,nan,nan,0.167176,1.39649,0.996017
7000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5412,13.1108,0.170947,0.489975,0,0.00826082,3.71554,0.00222332,15.8944,0.158512,6.30868,6.30868,0,0.173662,nan,nan,nan,nan,nan,0.158512,1.44589,0.972494
7000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6208,12.8994,0.184435,0.500501,0,0.0173851,3.76494,0.00461763,16.0933,0.172215,5.80669,5.80669,0,0.114327,nan,nan,nan,nan,nan,0.172215,1.2971,0.994575
7000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.5384,12.3998,0.184922,0.491729,0,0.0168593,3.04647,0.00553403,16.0741,0.190962,5.23664,5.23664,0,0.11177,nan,nan,nan,nan,nan,0.190962,1.24295,0.996126
7000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.3202,6.93824,0.175313,0.509774,0,0.62055,13.9423,0.0445083,16.4133,0.171174,5.842,5.842,0,0.234726,0.171519,0.171519,0.197906,nan,0.171519,0.171174,1.40075,0.998796
7000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.2135,6.41814,0.179591,0.502757,0,0.0593208,4.18906,0.0141609,16.0744,0.159621,6.26484,6.26484,0,0.134857,0.0251236,0.0251236,0.0652349,nan,0.0251236,0.159621,1.37739,0.996685
7000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.1748,9.31989,0.184527,0.492982,0,0.0261945,3.10765,0.00842903,16.4219,0.184418,5.42248,5.42248,0,0.0995239,0.188244,0.188244,0.195345,nan,-0.188244,0.184418,1.22095,0.99588
7000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.3819,6.19174,0.176902,0.489474,0,0.0962973,8.34409,0.0115408,16.1527,0.181117,5.52129,5.52129,0,0.133592,0.327481,0.327481,0.341488,nan,0.327481,0.181117,1.16335,0.992816
8000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.2931,12.4052,0.179216,0.496992,0,0.00886407,3.41086,0.00259878,15.6502,0.168948,5.91897,5.91897,0,0.171159,nan,nan,nan,nan,nan,0.168948,1.39495,0.980595
8000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5396,13.0687,0.173038,0.490977,0,0.00830865,3.75717,0.00221141,15.9708,0.159462,6.27109,6.27109,0,0.163827,nan,nan,nan,nan,nan,0.159462,1.44475,0.916509
8000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6681,13.0383,0.182974,0.500501,0,0.00804607,2.53787,0.0031704,16.1841,0.170819,5.85415,5.85415,0,0.0942545,nan,nan,nan,nan,nan,0.170819,1.28772,0.990742
8000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.5955,12.5859,0.183075,0.494737,0,0.00853341,2.57291,0.00331663,16.0491,0.189615,5.27384,5.27384,0,0.0926308,nan,nan,nan,nan,nan,0.189615,1.23441,0.988941
8000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.2939,6.8489,0.175791,0.509524,0,0.0120819,6.57509,0.00183752,16.4746,0.172111,5.81021,5.81021,0,0.16026,0.175271,0.175271,0.202633,nan,0.175271,0.172111,1.39705,0.999437
8000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.2073,6.40073,0.180259,0.501754,0,0.0496072,3.56271,0.013924,16.0667,0.160819,6.21818,6.21818,0,0.118198,0.0309872,0.0309872,0.0706175,nan,0.0309872,0.160819,1.37513,0.999394
8000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.1756,9.21192,0.183704,0.505764,0,0.118662,5.24691,0.0226156,16.4807,0.183743,5.44238,5.44238,0,0.117119,0.180185,0.180185,0.187861,nan,-0.180185,0.183743,1.21519,0.992418
8000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.6339,6.74357,0.172581,0.488221,0,0.230776,7.11042,0.0324561,16.2617,0.179933,5.55763,5.55763,0,0.12341,0.286934,0.286934,0.299625,nan,0.286934,0.179933,1.15778,0.993186
9000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.2903,12.3317,0.181129,0.493734,0,0.00613108,3.20131,0.00191518,15.6513,0.172471,5.79808,5.79808,0,0.15788,nan,nan,nan,nan,nan,0.172471,1.39315,0.994442
9000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5367,13.0328,0.174742,0.489724,0,0.0085903,4.04876,0.00212171,15.9788,0.161327,6.1986,6.1986,0,0.156854,nan,nan,nan,nan,nan,0.161327,1.44407,0.993549
9000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.7189,13.174,0.179698,0.495739,0,0.00525533,2.4233,0.00216867,16.257,0.168529,5.9337,5.9337,0,0.0881897,nan,nan,nan,nan,nan,0.168529,1.28208,0.995786
9000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.6302,12.7536,0.181026,0.492231,0,0.0185144,2.75414,0.0067224,16.064,0.183773,5.44149,5.44149,0,0.110349,nan,nan,nan,nan,nan,0.183773,1.22661,0.994597
9000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.336,7.02385,0.17633,0.507769,0,0.039286,7.1537,0.0054917,16.5381,0.173127,5.77611,5.77611,0,0.155878,0.163805,0.163805,0.181925,nan,0.163805,0.173127,1.39571,0.998213
9000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.1703,6.31969,0.181327,0.500501,0,0.093673,4.03112,0.0232375,16.0616,0.161659,6.18585,6.18585,0,0.124212,0.00206541,0.00206541,0.0437672,nan,0.00206541,0.161659,1.37379,0.99826
9000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.1973,9.18725,0.182123,0.496491,0,0.0203144,3.4512,0.00588619,16.489,0.182733,5.47246,5.47246,0,0.0796653,0.194519,0.194519,0.207393,nan,-0.194519,0.182733,1.21011,0.997438
9000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.6084,6.66225,0.17054,0.488972,0,0.113743,6.37861,0.017832,16.4073,0.1744,5.73393,5.73393,0,0.104201,0.281131,0.281131,0.28972,nan,0.281131,0.174401,1.15589,0.995556
10000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.2892,12.3063,0.181392,0.494236,0,0.00521936,3.1054,0.00168073,15.7198,0.173776,5.75455,5.75455,0,0.148775,nan,nan,nan,nan,nan,0.173776,1.3918,0.999201
10000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5383,13.0434,0.175395,0.491228,0,0.00671893,3.60092,0.00186589,16.0187,0.161948,6.17483,6.17483,0,0.143849,nan,nan,nan,nan,nan,0.161948,1.44234,0.991106
10000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.7489,13.2332,0.176565,0.501002,0,0.0130909,3.08685,0.00424086,16.1591,0.168835,5.92294,5.92294,0,0.0894692,nan,nan,nan,nan,nan,0.168835,1.27948,0.992344
10000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.6653,12.8575,0.178901,0.492231,0,0.011898,2.47004,0.00481694,16.0756,0.179842,5.56044,5.56044,0,0.0938867,nan,nan,nan,nan,nan,0.179842,1.22134,0.998049
10000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.2952,6.89308,0.176753,0.505013,0,0.0449569,6.47298,0.00694532,16.556,0.173752,5.75532,5.75532,0,0.151722,0.169271,0.169271,0.183416,nan,0.169271,0.173752,1.39274,0.999116
10000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.1759,6.36135,0.182054,0.502005,0,0.101555,4.55758,0.0222827,16.0605,0.163399,6.12,6.12,0,0.117879,0.00968848,0.00968848,0.0306415,nan,-0.00968848,0.163399,1.37272,0.998255
10000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.2163,9.21369,0.182271,0.502256,0,0.104874,4.02416,0.0260612,16.4889,0.182199,5.48851,5.48851,0,0.0931677,0.183884,0.183884,0.197294,nan,-0.183884,0.182199,1.2031,0.989196
10000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.7834,7.27642,0.168102,0.487719,0,0.298511,8.49346,0.035146,16.4799,0.176479,5.66639,5.66639,0,0.114268,0.266614,0.266614,0.272451,nan,0.266614,0.176479,1.15248,0.995412
11000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.3104,12.417,0.180119,0.496241,0,0.0304099,3.82457,0.00795119,15.7177,0.170571,5.86266,5.86266,0,0.321793,nan,nan,nan,nan,nan,0.170571,1.38353,0.990914
11000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5959,13.3714,0.170942,0.489223,0,0.122126,9.36409,0.0130419,16.2391,0.156045,6.4084,6.4084,0,0.427007,nan,nan,nan,nan,nan,0.156045,1.43321,0.862777
11000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.8456,13.5314,0.171583,0.488972,0,0.0218566,5.46721,0.00399777,16.0969,0.168161,5.94667,5.94667,0,0.246617,nan,nan,nan,nan,nan,0.168161,1.24504,0.891036
11000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.6558,12.4056,0.186737,0.495238,0,0.0395559,7.95663,0.00497144,15.9713,0.189282,5.28311,5.28311,0,0.250771,nan,nan,nan,nan,nan,0.189282,1.19502,0.523129
11000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.1423,6.20808,0.174379,0.509524,0,0.105251,11.201,0.00939658,16.6695,0.173142,5.77562,5.77562,0,0.316271,0.169745,0.169745,0.163536,nan,0.169745,0.173142,1.3823,0.99344
11000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.2685,6.48515,0.175475,0.499248,0,0.0923555,15.549,0.00593963,16.2112,0.156961,6.37099,6.37099,0,0.438952,0.0519277,0.0519277,0.0456257,nan,-0.0519277,0.156961,1.35861,0.990383
11000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.4304,11.6059,0.184443,0.501253,0,0.599351,16.9941,0.0352682,16.2857,0.178237,5.61051,5.61051,0,0.327098,0.0162413,0.0162413,0.0183336,nan,-0.0162413,0.178237,1.17262,0.68735
11000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,17.2922,9.90815,0.168701,0.486216,0,0.0403125,9.62504,0.00418829,16.6671,0.171111,5.84416,5.84416,0,0.188428,0.15033,0.15033,0.147454,nan,0.15033,0.171111,1.13097,0.823831
12000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.328,12.4721,0.178782,0.497995,0,0.0172855,4.14487,0.00417033,15.7045,0.170968,5.84904,5.84904,0,0.259704,nan,nan,nan,nan,nan,0.170968,1.38185,0.982996
12000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.588,13.414,0.16987,0.48797,0,0.0423572,8.71365,0.00486102,16.254,0.154189,6.48554,6.48554,0,0.268124,nan,nan,nan,nan,nan,0.154189,1.43401,0.995949
12000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.8408,13.372,0.17525,0.486717,0,0.0228597,5.6335,0.00405782,16.0335,0.17792,5.62049,5.62049,0,0.204272,nan,nan,nan,nan,nan,0.17792,1.23441,0.951823
