pair,arm,eps,seed,task,exp_zero_units,U2_max,U2_median,tiny_mean,epsfrac_l2_mean,zbar2_mean,frozen_vs_prev_end
LR->ELU1,eps1e-6,1e-06,1,50,0,33.5518913269043,-38.504478454589844,0.999549925327301,0.9128713011741638,-155.1430206298828,False
LR->ELU1,eps1e-30,1e-30,1,10,0,37.82596206665039,12.452159881591797,0.43494167923927307,0.0,-18.324010848999023,False
LR->ELU1,eps1e-30,1e-30,1,20,0,73.05451202392578,-7.995912551879883,0.9772167205810547,0.0,-75.23747253417969,False
LR->ELU1,eps1e-30,1e-30,1,30,0,63.093387603759766,-10.313568115234375,0.9827415943145752,0.0,-94.37157440185547,False
LR->ELU1,eps1e-30,1e-30,1,40,0,40.23634338378906,-9.773397445678711,0.9937083721160889,0.0,-106.39749908447266,False
LR->ELU1,eps1e-30,1e-30,1,50,0,72.47594451904297,-13.404251098632812,0.9964250326156616,0.0,-121.75700378417969,False
ELU1->ELU1,eps1e-6,1e-06,2,10,0,46.22454071044922,-4.057745933532715,0.9351916313171387,0.14861387014389038,-48.404632568359375,False
ELU1->ELU1,eps1e-6,1e-06,2,20,0,73.83016967773438,-24.849308013916016,0.9992583394050598,0.8470297455787659,-95.1143569946289,False
ELU1->ELU1,eps1e-6,1e-06,2,30,0,59.91795349121094,-34.44145202636719,0.9996499419212341,0.8914851546287537,-114.21244049072266,False
ELU1->ELU1,eps1e-6,1e-06,2,40,0,-18.47616195678711,-44.47721862792969,1.0,0.9976237416267395,-124.248779296875,False
ELU1->ELU1,eps1e-6,1e-06,2,50,0,-18.256988525390625,-44.47692108154297,0.9999916553497314,1.0,-124.24256896972656,False
ELU1->ELU1,eps1e-30,1e-30,2,10,0,48.41101837158203,8.760570526123047,0.8758749961853027,0.0,-40.87445831298828,False
ELU1->ELU1,eps1e-30,1e-30,2,20,0,67.0855712890625,-20.16413116455078,0.995741605758667,0.0,-90.00320434570312,False
ELU1->ELU1,eps1e-30,1e-30,2,30,0,118.86033630371094,-20.63779640197754,0.9955999851226807,0.0,-107.06114959716797,False
ELU1->ELU1,eps1e-30,1e-30,2,40,0,91.9996337890625,-19.091400146484375,0.9958333373069763,0.0,-112.75558471679688,False
ELU1->ELU1,eps1e-30,1e-30,2,50,1,79.29727935791016,-14.964242935180664,0.9964499473571777,0.0,-127.70822143554688,False
LR->ELU1,eps1e-6,1e-06,2,10,0,39.580142974853516,10.455809593200684,0.6766000390052795,0.026237623766064644,-27.129911422729492,False
LR->ELU1,eps1e-6,1e-06,2,20,0,65.28077697753906,-15.74521541595459,0.9907417297363281,0.6392078995704651,-98.7476577758789,False
LR->ELU1,eps1e-6,1e-06,2,30,0,13.55890941619873,-26.004688262939453,0.999591588973999,0.882277250289917,-131.3488311767578,False
LR->ELU1,eps1e-6,1e-06,2,40,0,73.47599792480469,-31.926410675048828,0.9984749555587769,0.8570297360420227,-146.12205505371094,False
LR->ELU1,eps1e-6,1e-06,2,50,0,58.72542953491211,-39.35887145996094,0.9998250007629395,0.9303960204124451,-163.48165893554688,False
LR->ELU1,eps1e-30,1e-30,2,10,0,34.40773391723633,11.86699104309082,0.5820000171661377,0.0,-22.875139236450195,False
LR->ELU1,eps1e-30,1e-30,2,20,0,76.36414337158203,-12.253246307373047,0.9834000468254089,0.0,-84.15001678466797,False
LR->ELU1,eps1e-30,1e-30,2,30,0,71.95308685302734,-10.4079008102417,0.9910749793052673,0.0,-94.13259887695312,False
LR->ELU1,eps1e-30,1e-30,2,40,0,57.01838302612305,-11.620851516723633,0.9940917491912842,0.0,-108.97561645507812,False
LR->ELU1,eps1e-30,1e-30,2,50,0,48.60988235473633,-10.15722942352295,0.9916499257087708,0.0,-114.29597473144531,False
