arm,seed,T,T_dead,T_freeze,C1,frozen_while_live_tasks,C3,n_dead2_end,U2_max_end,zbar2_mean_end,epsfrac_l1_end,mhat_l1_zero_units_end,first_task_all_dead,n_tasks_frozen
cap_par,3,100,65,66,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.63946533203125,-141.12274053614934,1.0,100,65,35
cap_par,4,100,,,NO_FULL_DEATH,[],NOT_REACHED,99,-14.428833961486816,-164.85646625179453,0.5262244897959184,10,,0
cap_par,5,100,75,76,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-18.92137908935547,-167.64022581462856,1.0,100,75,25
cap_par,6,100,79,80,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.643112182617188,-157.33546657948494,1.0,100,79,21
cap_par,7,100,76,77,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-17.060728073120117,-153.6155644764264,1.0,100,76,24
cap_par,8,100,69,70,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.637388229370117,-141.9777870085875,1.0,100,69,31
cap_par,9,100,98,99,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-19.09921646118164,-150.086540378952,0.837079081632653,100,98,2
cap_both,0,100,56,57,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-17.795263290405273,-84.02730525194804,1.0,100,56,44
cap_both,1,100,69,70,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.844341278076172,-75.63253421759606,1.0,100,69,31
cap_both,2,100,76,77,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-18.104537963867188,-87.41112960534093,1.0,100,76,24
cap_both,3,100,50,51,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.65410804748535,-78.98586526203155,1.0,100,50,50
cap_both,4,100,96,97,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.64200210571289,-74.59712044315339,1.0,100,96,4
cap_both,5,100,50,51,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-17.83560562133789,-82.50152046648662,1.0,100,50,50
cap_both,6,100,76,77,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.641830444335938,-79.88964494245847,1.0,100,76,24
cap_both,7,100,,,NO_FULL_DEATH,[],NOT_REACHED,97,-12.100702285766602,-74.64907170254389,0.5239540816326531,0,,0
cap_both,8,100,,,NO_FULL_DEATH,[],NOT_REACHED,93,51.938236236572266,-75.11459585155647,0.45660714285714293,0,,0
cap_both,9,100,53,54,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-18.43149757385254,-78.177381742239,1.0,100,53,47
