arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
R,std,16,6,0.0001,3,1,5,0.6403044872,0.7888000011,0.6880000234,0.7888000011,0,0,-0.1351023912,4.565507412,-2.066952229,0.4755999744,42.33733704,0,0,1.406368375,2.39681077,-3.555592775,0.741599977,29.6626812,0.7438588738,0.5967983603,0.6973119974
R,std,16,6,0.0001,4,0,1,0.9611378205,1,1,1,0,0,-1.05388689,4.001525879,-3.106460571,0.380000025,32.34803195,0.009999999776,0.009999999776,-0.5785000324,2.24583292,-4.77864027,0.3840000033,17.58496306,0.723159194,0.59893924,0.6770566106
R,std,16,6,0.0001,5,1,5,0.7057291667,0.8507999778,0.726000011,0.8507999778,0,0,-0.300211072,5.252370834,-7.455140591,0.4623999894,41.5626439,0,0,1.352608442,2.781943083,-5.082860947,0.6947999597,29.28589394,0.7795833349,0.6044988632,0.7201519608
R,std,16,6,0.0001,6,0,1,0.9555288462,1,1,1,0,0,-3.241691589,3.971637487,-8.947543144,0.1720000058,28.83234586,0.009999999776,0.009999999776,0.00408671191,1.907800555,-6.79804039,0.4820000231,15.50843219,0.777103126,0.6059568524,0.6951054335
R,std,16,6,0.0001,7,1,5,0.6725961538,0.8068000078,0.6720000505,0.8068000078,0,0,-0.1348934472,4.959654808,-2.94866395,0.4751999974,49.01087661,0,0,1.159225225,2.597321272,-4.646377087,0.6507999897,34.69389889,0.8180934787,0.6201897264,0.7248579264
R,std,16,6,0.0001,8,0,1,0.9668669872,1,1,1,0,0,-3.454190016,4.825400352,-7.474618912,0.1980000138,34.3725091,0,0,0.3456775248,2.277846813,-5.124968529,0.5360000134,21.45423011,0.802011013,0.6167425513,0.6782003045
R,std,16,6,0.0001,9,1,5,0.6887019231,0.8131999969,0.7240000367,0.8131999969,0,0,-0.6134345531,4.582425594,-3.961164713,0.4332000017,43.76362708,0,0,1.164355993,2.48899579,-4.451571941,0.685199976,30.24403171,0.8323884606,0.6244087815,0.7277672887
R,std,16,6,0.0001,10,0,1,0.9665865385,1,1,1,0,0,-1.046204686,4.176098347,-3.751963377,0.3920000196,42.01909194,0,0,0.04289676249,2.409571409,-5.341725826,0.5040000081,25.13141042,0.8014493585,0.6277194023,0.7010148764
R,std,16,6,0.0001,11,1,5,0.6941105769,0.8147999644,0.7160000205,0.8147999644,0,0,-0.3898495138,5.631315231,-4.074934959,0.4767999947,45.58684987,0,0,0.9189825058,2.989834547,-4.358194351,0.595600009,34.67898371,0.8496226072,0.6315015554,0.7385434508
R,std,16,6,0.0001,12,0,1,0.963661859,1,1,1,0,0,-0.9181175828,4.162277699,-2.92386055,0.4080000222,41.12904418,0,0,0.3685100079,2.514968634,-4.245492458,0.4940000176,24.24431651,0.824338913,0.6327617764,0.7058519721
R,std,16,6,0.0001,13,1,5,0.6217948718,0.7507999539,0.65200001,0.7507999539,0,0,-0.3388017118,5.59498167,-12.20879173,0.458799988,35.77395431,0,0,1.640391946,3.784230947,-8.392688751,0.7015999556,25.87996741,0.8420597911,0.6303135157,0.7437238097
R,std,16,6,0.0001,14,0,1,0.9649038462,1,1,1,0,0,-3.639504671,4.900975227,-10.09632015,0.1820000112,33.17513356,0.009999999776,0.009999999776,0.1346917152,2.3953619,-8.184165001,0.4900000095,20.39536535,0.8233989477,0.6311324239,0.7064579725
R,std,16,6,0.0001,15,1,5,0.6433092949,0.7979999781,0.6500000358,0.7979999781,0,0,-0.4186332524,5.483803749,-3.484621763,0.4591999948,52.40845043,0,0,1.521600366,2.536789656,-4.367454052,0.6847999692,37.03904396,0.8664342165,0.6451786757,0.7558783889
R,std,16,6,0.0001,16,0,1,0.9604166667,1,1,1,0,0,-2.706403017,4.393769741,-6.09946394,0.2380000055,35.12714622,0,0,-0.769767642,2.264978647,-7.256732941,0.3620000184,21.16072499,0.8471099734,0.643627584,0.7235805988
R,std,16,6,0.0001,17,1,5,0.7147035256,0.8359999657,0.7180000544,0.8359999657,0,0,-0.4491544664,5.480577946,-3.635220289,0.44599998,50.20404509,0,0,0.7790527344,2.901713133,-4.052955627,0.6340000033,35.87062868,0.8706985116,0.6510332823,0.7502399087
R,std,16,6,0.0001,18,0,1,0.9631009615,1,1,1,0,0,-1.494184613,3.973912001,-4.619857311,0.3220000267,42.00196547,0,0,-0.5684675574,2.078435898,-4.677997112,0.3500000238,25.15896296,0.8352844119,0.6489475965,0.7271345854
R,std,16,6,0.0001,19,1,5,0.6451121795,0.7915999889,0.6540000439,0.7915999889,0,0,-0.1801686287,5.949970722,-2.632132053,0.4727999866,45.113836,0,0,1.058118343,3.349135637,-4.607920647,0.6179999709,32.61582922,0.8850541115,0.6546560526,0.7827932835
R,std,16,6,0.0001,20,0,1,0.9591746795,1,1,1,0,0,-3.999767303,4.63672781,-8.368777275,0.1720000058,30.06650866,0.009999999776,0.009999999776,-0.3452821672,2.466811657,-7.918214321,0.4480000138,18.7399784,0.8496593833,0.6520153284,0.7275523543
R,std,16,6,0.0001,21,1,5,0.6110576923,0.7659999728,0.6200000048,0.7659999728,0,0,-0.9152641296,4.979561806,-3.505205393,0.4283999801,48.68798408,0,0,1.47053194,2.731960297,-4.243914604,0.6800000072,36.5438684,0.8666350245,0.6605148911,0.7760705352
R,std,16,6,0.0001,22,0,1,0.9628205128,1,1,1,0,0,-2.611635923,4.047870159,-6.358778477,0.2380000055,40.75498064,0,0,-0.2485054433,2.08714509,-4.354345798,0.45600003,26.72497684,0.8467281461,0.6587884426,0.7303625941
R,std,16,6,0.0001,23,1,5,0.7208733974,0.8531999588,0.7460000515,0.8531999588,0,0,-0.5024932027,5.140518188,-2.846763134,0.4551999867,52.42251841,0,0,1.257731438,2.975843906,-3.420905828,0.6647999883,38.65353137,0.8888100386,0.670360446,0.7624782324
R,std,16,6,0.0001,24,0,1,0.9625801282,1,1,1,0,0,-0.3908914924,3.528268337,-2.341566324,0.4440000355,38.02524734,0,0,-0.1648897678,2.64432025,-4.202544689,0.4840000272,23.66240639,0.8434510827,0.6671695709,0.7391735315
R,std,16,6,0.0001,25,1,5,0.5459134615,0.7063999772,0.5480000377,0.7063999772,0,0,-0.3356200457,4.969333172,-2.058768749,0.4648000002,45.47423292,0,0,1.060746789,3.018568277,-5.209465504,0.6563999653,32.81570996,0.8756456971,0.6742958426,0.7813932896
R,std,16,6,0.0001,26,0,1,0.9633413462,1,1,1,0,0,-0.6539435387,4.84781599,-7.434177876,0.4480000138,34.74519581,0,0,-0.388076365,3.254373312,-5.863069057,0.4660000205,19.6950525,0.8548131585,0.6730917096,0.7284698486
R,std,16,6,0.0001,27,1,5,0.6737980769,0.8151999712,0.7020000219,0.8151999712,0,0,-0.5528886318,4.933283329,-2.67688632,0.4472000003,49.13064694,0,0,1.523189187,2.821893692,-4.845226288,0.6783999801,38.01377351,0.8675655723,0.6812600493,0.7706453204
R,std,16,6,0.0001,28,0,1,0.9631410256,1,1,1,0,0,-0.6730241776,4.468585014,-3.248869181,0.4240000248,43.22499325,0,0,-0.7376835346,2.621836185,-6.408855915,0.4060000181,26.12174796,0.8308095932,0.6762691736,0.7224900126
R,std,16,6,0.0001,29,1,5,0.6922676282,0.834800005,0.7160000205,0.834800005,0,0,-0.1335154623,4.868350029,-1.951334953,0.4715999961,50.72637269,0,0,0.9110485911,2.619376421,-3.942305803,0.6359999776,38.09211102,0.8712776899,0.6833077073,0.760288775
R,std,16,6,0.0001,30,0,1,0.9634615385,1,1,1,0,0,-0.8126350641,3.578220129,-4.23611927,0.3600000143,39.88578546,0,0,0.1185560375,2.184766531,-4.514298916,0.5580000281,24.10891392,0.8365628123,0.6832665205,0.7273921967
R,std,17,7,0.0001,1,1,5,0.6447916667,0.7611999512,0.6320000291,0.7611999512,0,0,0.5933358073,6.066102028,-2.516208172,0.5487999916,28.93803087,0.009999999776,0.009999999776,1.592673898,2.877295017,-4.448290348,0.7315999866,19.5372058,0.725269258,0.6000676155,0.6177831292
R,std,17,7,0.0001,2,0,1,0.9595352564,1,1,1,0,0,-0.4469718337,3.092496634,-5.768530369,0.4280000329,28.77338358,0.01999999955,0.01999999955,-0.2792484462,2.081377745,-4.928183079,0.4200000167,15.06636664,0.686894238,0.6023848653,0.6346418262
R,std,17,7,0.0001,3,1,5,0.68125,0.8167999983,0.7320000529,0.8167999983,0,0,-0.09347514063,4.613402843,-4.143053055,0.4847999811,40.47581795,0,0,0.9742658734,2.744336367,-3.940824032,0.6696000099,29.43501659,0.7476375103,0.6129908562,0.6864804626
R,std,17,7,0.0001,4,0,1,0.9612179487,1,1,1,0,0,-0.1084431037,4.70275259,-2.201550961,0.5,21.07075755,0.009999999776,0.009999999776,-0.3723344207,3.555284023,-5.953708172,0.4680000246,11.41242875,0.747789681,0.6103646755,0.6978371739
R,std,17,7,0.0001,5,1,5,0.7058894231,0.8327999711,0.7340000272,0.8327999711,0,0,-0.6265088916,4.319442272,-3.518825769,0.4375999868,39.59370398,0,0,1.086130142,2.725922585,-4.289001942,0.5867999792,27.17104925,0.7570215464,0.6178401709,0.735108912
R,std,17,7,0.0001,6,0,1,0.9706730769,1,0.9899999499,1,0,0,-3.670296907,3.957830191,-13.6253767,0.1160000041,20.41909245,0.02999999933,0.02999999933,-1.333957434,2.022350311,-7.872689724,0.2080000043,10.67090372,0.7466267943,0.6180225611,0.6906650066
R,std,17,7,0.0001,7,1,5,0.6383012821,0.7996000051,0.6560000181,0.7996000051,0,0,-0.1091884747,5.609238148,-1.766346097,0.4939999878,49.34180983,0,0,1.498804808,2.642629385,-4.181427956,0.6827999949,35.23937485,0.8094773293,0.6249077916,0.7398284674
R,std,17,7,0.0001,8,0,1,0.9641826923,1,1,1,0,0,-2.127187014,3.768105984,-6.189994335,0.2820000052,29.0516362,0,0,0.628254652,2.328768015,-7.229302883,0.5720000267,18.12305125,0.7904329896,0.6251530051,0.7085787058
R,std,17,7,0.0001,9,1,5,0.6042067308,0.7579999566,0.5800000429,0.7579999566,0,0,-0.268424958,4.984714508,-3.088227272,0.4643999934,43.400701,0,0,1.324119091,2.802879333,-5.032562733,0.6547999978,30.45245429,0.8332371712,0.6355543137,0.7417351604
R,std,17,7,0.0001,10,0,1,0.9648237179,1,1,1,0,0,-0.8351789713,4.387022972,-3.301580191,0.4200000167,40.46378555,0,0,0.1962309927,2.58403039,-4.76511097,0.5360000134,25.09340339,0.7963971496,0.6357021332,0.6999279857
R,std,17,7,0.0001,11,1,5,0.7036458333,0.8295999765,0.7180000544,0.8295999765,0,0,-0.1640628874,5.741436958,-1.897256732,0.480399996,41.52517082,0,0,1.129155397,3.321469307,-4.400405407,0.6255999804,29.97950514,0.8411465287,0.643194139,0.733494997
R,std,17,7,0.0001,12,0,1,0.9721554487,1,1,1,0,0,-3.468536854,4.308389664,-8.580387115,0.1460000128,26.73741494,0.009999999776,0.009999999776,-0.07457883656,2.054912567,-6.623182774,0.400000006,16.40941848,0.8265964389,0.6407831311,0.6875249743
R,std,17,7,0.0001,13,1,5,0.7084134615,0.8619999886,0.7340000272,0.8619999886,0,0,-0.2060011923,5.16825676,-5.1434412,0.4824000001,50.26395162,0,0,1.26146853,2.9033494,-6.001762867,0.6768000126,37.30777845,0.8689877391,0.6513933539,0.7316758037
R,std,17,7,0.0001,14,0,1,0.9594150641,1,1,1,0,0,-0.1404301822,3.94043541,-3.028375149,0.476000011,40.04250064,0.009999999776,0.009999999776,0.5295876265,2.689910889,-4.384077549,0.6060000062,21.98587848,0.8585475683,0.6560437679,0.7258894444
R,std,17,7,0.0001,15,1,5,0.5956330128,0.7419999838,0.5920000076,0.7419999838,0,0,-0.2936620414,5.466697693,-3.305022955,0.4743999839,48.10010241,0,0,0.9879472256,2.719335794,-3.907749176,0.643599987,33.29523738,0.875135541,0.6588417292,0.7541626692
R,std,17,7,0.0001,16,0,1,0.9650641026,1,1,1,0,0,-3.43653512,4.44372797,-8.358386993,0.1960000098,35.07823344,0,0,-0.2119278312,2.04360652,-4.911418438,0.3660000265,22.21661682,0.849868536,0.6582019925,0.7185649872
R,std,17,7,0.0001,17,1,5,0.6701923077,0.7827999592,0.6240000129,0.7827999592,0,0,-0.4652644396,5.922587395,-3.21577692,0.4483999908,48.43915192,0,0,1.634601712,3.355729342,-4.763972759,0.6595999599,38.04336774,0.8756762147,0.6591616869,0.7437250614
R,std,17,7,0.0001,18,0,1,0.9713141026,1,1,1,0,0,-2.197640419,5.309998989,-7.572945595,0.3320000172,38.13474157,0,0,-0.1053643078,3.050839663,-7.227243423,0.4720000327,24.96320961,0.8591815829,0.6607182026,0.7133514881
R,std,17,7,0.0001,19,1,5,0.7066105769,0.8355999589,0.726000011,0.8355999589,0,0,-0.286870271,4.472825527,-3.43607688,0.4535999894,50.24155451,0,0,1.245652914,2.652202845,-3.195795298,0.6904000044,38.15276682,0.8728715181,0.6653839946,0.7541530728
R,std,17,7,0.0001,20,0,1,0.9673878205,1,1,1,0,0,-0.9768638015,4.680953979,-3.297326803,0.40200001,45.62467718,0.009999999776,0.009999999776,-0.3769611418,2.598719597,-6.22989893,0.5120000243,27.31694082,0.8396710157,0.6611754894,0.7132158279
