arm,E_k1,E_k2,floor_k1,memo_k1,first75_k1,logg2_start,neff2_start,logg1_start,pf_eps_w2,pf_eps_w1,pf_zero_w2,gtr2_start,zero2_start,deadunits2_start,neffT2_start,gtr2_end_k1,zero2_end_k1,step_w2_k1,step_w1_k1,effbar2_move_k1,logg2_end_k1,neff2_end_k1,lowgate2_end_k1,reset
S2u30r,0.21168645833333333,0.22503124999999996,0,0.2831666648387909,0.10133333333333334,-28.24441050151745,0.05961891964988195,-1.0486285887888422,1.0,1.0,0.999,4.967053731282552e-14,0.9999991666666667,0.999,8.333333333333333e-07,0.0,1.0,1.2403350051631917e-06,5.755998555972654e-07,-8.430650653146188e-05,-28.244793565868328,0.05962367329396971,1.0,True
S1u20r,0.40743645833333336,0.6104572916666666,0,0.831083333492279,0.10075,-0.46000332036768843,0.752947770617739,-20.026841894126573,0.0,0.9789260204081632,0.0,0.6603631645908454,0.0,0.0,0.7529477706142454,0.20951070440719524,0.003610833333333333,0.1750077210565602,0.07535362740384387,-3.7387849765662935,-1.7890027817921936,0.271680803033823,0.5904883333333333,True
R2_5,0.9157072916666665,0.9071281250000001,0,0.9956666648387908,0.10133333333333334,-0.46000332041260306,0.7529477705860537,-1.0837193042663125,0.0,0.21518749999999995,0.0,0.6603631645906469,0.0,0.0,0.7529477706204363,0.5758519337457915,0.0005466666666666667,0.10989236159208908,0.07991193191266273,-0.1821868467241617,-0.6246067272347952,0.6288680537926975,0.23954916666666665,False
R2_7,0.9146947916666667,0.8995927083333332,0,0.9832499980926513,0.09858333333333333,-0.4600033208414243,0.7529477706885075,-1.1178536030765547,0.0,0.21502295918367348,0.0,0.6603631643893817,0.0,0.0,0.7529477707092814,0.4719657043065627,0.007457500000000001,0.09731748230733502,0.07415671413310747,-1.4412196183506198,-0.9517069277826987,0.5203220464302503,0.35910583333333335,False
R2_10,0.896584375,0.87533125,0,1.0,0.09833333333333333,-0.46000332005516065,0.7529477710154224,-1.4118331014838958,0.0,0.21974362244897958,0.0,0.6603631645993888,0.0,0.0,0.7529477710275494,0.3702647428969542,0.07686249999999999,0.0977970659716675,0.08282753401504882,-4.219443173769369,-1.9059681896841205,0.4049907064274671,0.5113433333333333,False
R2_15,0.8593635416666666,0.8235458333333334,0,1.0,0.10200000000000001,-0.46000331977688413,0.7529477698488011,-1.9341659962113262,0.0,0.22918494897959185,0.0,0.6603631649203598,0.0,0.0,0.752947769856445,0.2751061993665497,0.2723375,0.10621451984934538,0.1098309373074926,-9.722409862395208,-3.727639699574103,0.2968772443525803,0.6523941666666667,False
R2_20,0.821025,0.7614552083333334,0,1.0,0.10658333333333334,-0.46000332097063323,0.7529477694255112,-2.196270798040186,0.0,0.2362436224489796,0.0,0.6603631643769144,0.0,0.0,0.7529477694146316,0.2180832222575943,0.374235,0.10723385705440099,0.12751083484126868,-13.18271674280669,-4.591453396794476,0.23480599639247193,0.7272150000000001,False
R2_10r,0.9112416666666666,0.8994895833333334,0,1.0,0.099,-0.46000332005516065,0.7529477710154224,-1.4118331014838958,0.0,0.21974362244897958,0.0,0.6603631645993888,0.0,0.0,0.7529477710275494,0.6520526018709442,2.5e-05,0.06539131331330357,0.05124652907062834,0.2186717539957424,-0.4757051879314521,0.7175361390938921,0.13303583333333333,True
N2r,0.7238895833333333,0.7476822916666667,0,0.9999166667461395,0.10066666666666665,-0.46000332036768843,0.752947770617739,-1.0486285887888422,0.0,0.2126390306122449,0.0,0.6603631645908454,0.0,0.0,0.7529477706142454,0.5278546123922865,0.00021166666666666664,0.1361581140596627,0.10127374153309272,-0.7975409112856584,-0.7407657452669658,0.6071005053470365,0.21555250000000004,True
N10r,0.16865520833333333,0.13129895833333335,2,0.2692499980330467,0.1045,-10.590500221094445,0.007558423308897345,-1.4118331014838958,0.1384,0.2500599489795919,0.047,0.006299437154630818,0.9391808333333334,0.047,0.007439163101679544,0.006505659426599741,0.9435991666666668,0.1252716923128749,0.14311040948893303,-3.3990773225843087,-10.873175425316793,0.0076475796929502795,0.9915408333333333,True
N2,0.7788239583333334,0.74580625,0,0.9999166667461395,0.10133333333333334,-0.46000332036768843,0.752947770617739,-1.0486285887888422,0.0,0.2126390306122449,0.0,0.6603631645908454,0.0,0.0,0.7529477706142454,0.4832967536692817,0.0004816666666666666,0.15517540825289872,0.11623140297328975,-1.1268268937360821,-0.8481503634403044,0.5592967351696284,0.2659583333333334,False
N5,0.55516875,0.35155833333333336,0,0.9276666700839996,0.09666666666666668,-2.2650812691868287,0.1985054156468614,-1.0837193042663125,0.0,0.21618367346938777,0.0,0.17454194044803578,0.14020916666666666,0.0,0.19850540687123264,0.09748203016350666,0.3831191666666666,0.17158869007729055,0.16270749524273925,-6.388672223989827,-3.29592012766366,0.109682608685719,0.8582808333333334,False
N7,0.2693416666666667,0.195340625,0,0.5113333344459534,0.09974999999999998,-4.895332324598995,0.04914943771076556,-1.1178536030765547,0.004520000000000001,0.21889795918367344,0.0,0.043653107095460095,0.6450275,0.0,0.04914649650148284,0.02411392741158605,0.7863358333333333,0.15123192742089486,0.15653773926134515,-7.859763618624612,-6.127496464336796,0.027134979360188154,0.9659875000000001,False
N10,0.13672499999999999,0.12295937500000001,7,0.19600000083446503,0.10458333333333333,-10.590500221094445,0.007558423308897345,-1.4118331014838958,0.1384,0.2500599489795919,0.047,0.006299437154630818,0.9391808333333334,0.047,0.007439163101679544,0.003286975329816341,0.9680983333333334,0.08889970595570276,0.11816700212264855,-8.904593169912019,-13.64713949437866,0.004394152142861192,0.9957083333333333,False
N15,0.11051354166666667,0.10729166666666665,10,0.12791666835546495,0.09641666666666668,-22.74198526059763,0.0020529508911490205,-1.9341659962113262,0.61375,0.37334311224489797,0.49000000000000005,0.0009988914327820145,0.9924425000000001,0.49000000000000005,0.0013837017397792526,0.0008092411228020986,0.9938016666666668,0.0512533625251572,0.0868515942764991,-4.520107967120614,-24.02324978534625,0.0018457751096679874,0.9990483333333333,False
N20,0.10546979166666667,0.10378229166666667,10,0.11174999922513962,0.1018333333333333,-31.887782166475347,0.0014517363674284647,-2.196270798040186,0.8216300000000001,0.5260714285714286,0.752,0.0003783382572233677,0.9977833333333332,0.752,0.0005479877170137518,0.00023113542690873147,0.9984491666666667,0.029095208702984703,0.06147014677270797,-2.939602083843192,-32.71129024360259,0.0012888358414308296,0.9997416666666666,False
