contrast,what,k,n,mean,sd,level,degenerate,n_pos,n_neg,lo,hi,sign
N2r - S2_15r,sink to the t15 field,2,10,0.4521385416666666,0.0513664548558863,0.95,False,10,0,0.41539319345028336,0.48888388988304987,+
N2r - S2_20r,sink to the t20 field,1,10,0.4765041666666667,0.02483026300386384,0.95,False,10,0,0.4587416665497874,0.49426666678354597,+
N2r - S2_20r,sink to the t20 field,2,10,0.4882260416666666,0.04717783198777517,0.95,False,10,0,0.45447705374549285,0.5219750295878404,+
R2_10r - N10r,"restore at t10, both fresh Adam",1,10,0.7425864583333335,0.028402654700392157,0.95,False,10,0,0.7222684231455108,0.7629044935211562,+
R2_10r - N10r,"restore at t10, both fresh Adam",2,10,0.768190625,0.010300198482689208,0.95,False,10,0,0.7608223068825408,0.7755589431174592,+
N10r - N10,fresh Adam alone at t10,1,10,0.031930208333333335,0.020223233964550617,0.95,False,10,0,0.017463378255733672,0.046397038410933,+
N10r - N10,fresh Adam alone at t10,2,10,0.008339583333333333,0.008189387858403724,0.95,False,10,0,0.002481248173152776,0.01419791849351389,+
N2r - N2,fresh Adam alone at t2,1,10,-0.054934374999999994,0.02057341393562174,0.95,False,0,10,-0.06965170873823795,-0.04021704126176203,-
N2r - N2,fresh Adam alone at t2,2,10,0.0018760416666666947,0.01748727108857713,0.95,False,5,5,-0.010633598473126263,0.014385681806459652,0
S2_10 - S2_10r,sink to t10 with the t2 moments kept,1,10,-0.07569270833333333,0.03489126671681298,0.95,False,0,10,-0.10065241693726623,-0.05073299972940043,-
S2_10 - S2_10r,sink to t10 with the t2 moments kept,2,10,-0.01943229166666665,0.022289950095079322,0.95,False,2,8,-0.03537756140092078,-0.003487021932412522,-
S1u20r - S2u20r,"layer 1 vs layer 2, both shifted by 20",1,10,-0.15349583333333333,0.0668359739234862,0.95,False,0,10,-0.20130740884676743,-0.10568425781989924,-
S1u20r - S2u20r,"layer 1 vs layer 2, both shifted by 20",2,10,0.01700104166666666,0.05986166727836826,0.95,False,7,3,-0.025821415423825954,0.059823498757159276,0
N2r - S2u5r,uniform shift 5,1,10,0.07623437500000002,0.02507418644075036,0.95,False,10,0,0.05829738256801588,0.09417136743198416,+
N2r - S2u5r,uniform shift 5,2,10,-0.066115625,0.030394448399166305,0.95,False,0,10,-0.08785850356550944,-0.04437274643449056,-
N2r - S2u10r,uniform shift 10,1,10,0.04453125,0.02394311966640034,0.95,False,10,0,0.027403373996160996,0.06165912600383901,+
N2r - S2u10r,uniform shift 10,2,10,0.0065500000000000115,0.048159646569274864,0.95,False,7,3,-0.02790133576243214,0.041001335762432166,0
N2r - S2u15r,uniform shift 15,1,10,0.08983229166666667,0.024866832563437562,0.95,False,10,0,0.07204363126279802,0.10762095207053533,+
N2r - S2u15r,uniform shift 15,2,10,0.0866916666666667,0.04835263179342266,0.95,False,10,0,0.05210227759139014,0.12128105574194326,+
N2r - S2u20r,uniform shift 20,1,10,0.16295729166666667,0.034522424627067526,0.95,False,10,0,0.13826143679884578,0.18765314653448756,+
N2r - S2u20r,uniform shift 20,2,10,0.15422604166666665,0.040068636572950664,0.95,False,10,0,0.12556266578138184,0.18288941755195146,+
N2r - S2u30r,uniform shift 30,1,10,0.5122031250000002,0.01768809931285188,0.95,False,10,0,0.4995498210030585,0.524856428996942,+
N2r - S2u30r,uniform shift 30,2,10,0.5226510416666668,0.03880039759885315,0.95,False,10,0,0.49489490928992363,0.5504071740434099,+
