arm,seed,clamp,acc_late,acc_base,slope_late,slope_sigma_late,ce_frac,zbar_late,z20,sigma_late,star_sd_late,cnorm_late,pos_late,w2col_late,dead_hard_late,dead_soft_late,sat_late,pressure,L_ref,rho
LR,2,wclamp,0.9140499830245972,0.9193000197410583,-0.12616303243902569,0.000126113009381811,1.0,-2.9129904293594717,-1.8337053943866517,1.3847205305265444,1.5488427201081183,3.728033625937321,0.09552734375,4.027093371173108,0.0,0.0,0.0,8.141847715644383,0.04205000400543213,0.8751477713109619
LR,2,wcap2,0.9007500112056732,0.9193000197410583,-0.10685252957324935,0.02433017760284476,1.0,-4.407451169124656,-1.8337053943866517,2.430900032369685,2.296048640324676,7.441752718838357,0.10845703125,3.8367137560533724,0.0,0.0,0.0,207747.0,0.04205000400543213,0.558858340822303
ELU1,0,ref,0.8817999958992004,0.9218000173568726,-0.6281844603203444,0.42325660188455033,1.0,-8.453903741394967,-2.0218119985300658,6.073091237063485,12.453439969891047,12.887629233936888,0.23496093750000002,4.350531139432325,7.0,12.0,0.6218847632408142,0.0,0.04000002145767212,0.0
ELU1,0,dclamp,0.8854999840259552,0.9218000173568726,-0.5610201117729879,0.24472899293919928,1.0,-2.9594145264758662,-2.0218119985300658,4.535644835165751,9.454021656734316,12.949775183223645,0.40035156250000004,3.7747405402725582,0.0,7.0,0.44359375536441803,0.4289109749194157,0.04000002145767212,0.0924996535481881
ELU1,0,wclamp,0.9179999828338623,0.9218000173568726,-0.027530772028617014,0.50179268003418,1.0,-10.577051321234798,-2.0218119985300658,6.0350934291679375,14.631172410231695,3.698496601214673,0.11306640625,4.002954936196874,8.0,21.0,0.5751172006130219,7.1218330736475615,0.04000002145767212,0.9049991878871506
ELU1,0,wcap2,0.9034000039100647,0.9218000173568726,-0.12664922965455996,0.0792393370577801,1.0,-8.325762587696381,-2.0218119985300658,5.246993670864181,12.065162081504837,7.25371305425349,0.164833984375,4.314361246438677,2.0,13.0,0.6100976467132568,206908.0,0.04000002145767212,0.5399999105930808
ELU1,1,ref,0.8819500207901001,0.9235000014305115,-0.34655844739633057,0.49104800647096813,1.0,-8.180355078546832,-2.0429982554145703,5.535806053000629,12.481613268923113,13.116201206916148,0.2389453125,4.336725337773583,6.0,11.0,0.6243847608566284,0.0,0.04154998064041138,0.0
ELU1,1,dclamp,0.8847000002861023,0.9235000014305115,-0.4122476516240606,0.4306771116054664,1.0,-2.6671366053736687,-2.0429982554145703,4.216063782507219,8.324030158552283,13.34375278872875,0.374130859375,3.8797994216343135,0.0,4.0,0.4745507836341858,0.39298681144925524,0.04154998064041138,0.06618485625303941
ELU1,1,wclamp,0.9190999865531921,0.9235000014305115,0.06972723024370889,0.37048396574869175,1.0,-8.349924216714417,-2.0429982554145703,4.524404008064276,13.195940470850545,3.73729204198701,0.12107421875,4.049215897040051,4.0,15.0,0.5440039038658142,7.690646172667003,0.04154998064041138,0.8941030823720795
ELU1,1,wcap2,0.9040499925613403,0.9235000014305115,-0.203640973142336,0.5313830107400715,1.0,-8.408019689113196,-2.0429982554145703,4.58962024349566,11.838647757341692,7.330122600330745,0.167265625,4.249944079382384,3.0,13.0,0.6164257526397705,212594.0,0.04154998064041138,0.5318888584449994
ELU1,2,ref,0.8829500079154968,0.9254000186920166,-0.592073766884052,0.35613701433531836,1.0,-8.110434242553364,-2.053661362199015,5.647651297502236,11.868910320526096,12.943059097274052,0.2219921875,4.301416687083834,9.0,10.0,0.6372265517711639,0.0,0.042450010776519775,0.0
ELU1,2,dclamp,0.8842999935150146,0.9254000186920166,-0.6384825656408932,0.38658831272815436,1.0,-2.6582178159450294,-2.053661362199015,4.384002164841782,8.578168950819098,13.245862311505025,0.388955078125,3.858538839589798,0.0,5.0,0.4505078196525574,0.3935993516113708,0.042450010776519775,0.0318017728340492
ELU1,2,wclamp,0.9176499843597412,0.9254000186920166,0.16295729261456754,0.021387325638780784,1.0,-10.63819098950562,-2.053661362199015,5.782255908813136,15.127573720712377,3.6984961477858453,0.120673828125,4.026016643464674,17.0,21.5,0.564628928899765,7.3795370011645245,0.042450010776519775,0.8174315108404604
ELU1,2,wcap2,0.904699981212616,0.9254000186920166,-0.2731947329464149,0.04402972414095288,1.0,-7.761540162956428,-2.053661362199015,4.802766182686042,11.969634040595224,7.237693125854555,0.17560546875,4.248314816511707,9.0,11.0,0.5997558534145355,211275.0,0.042450010776519775,0.5123667320515647
