seed,task,unit_updates,cert_down,cert_up,uncertain,cert_total_down,raw_down,raw_up,fail,certificate_violation,nonfinite,S_sum,S_positive,S_negative,S_positive_count,S_negative_count,U_sum,U_positive,U_negative,U_positive_count,U_negative_count,total_sum,total_positive,total_negative,total_positive_count,total_negative_count,S_conf_sum,S_conf_positive,S_conf_negative,S_conf_positive_count,S_conf_negative_count,S_label_sum,S_label_positive,S_label_negative,S_label_positive_count,S_label_negative_count,S_hist_sum,S_hist_positive,S_hist_negative,S_hist_positive_count,S_hist_negative_count,Qminus,Qplus,T,R,H,move_error,S_error,native_closure,closure,grad_defect,grad_bound,adam_defect,component_defect,SGD_T,SGD_R
0,4,3000000,284483,624947,2090570,1441387,1721999,799152,0,0,0,-593.1231056,3772.775792,-4365.898897,910789,493298,-629.2599884,4291.480833,-4920.740822,1212770,1787230,-1222.383094,7085.526591,-8307.909685,1334834,1665166,-1.943605868e+10,1303439950,-2.073949863e+10,243686,1676109,1.943605809e+10,2.073949856e+10,-1303440478,1399498,1600502,0.005130977221,0.03708789177,-0.03195691455,1092294,1893015,-1.423999089e+13,1.155271595e+13,-1.343638008e+13,1.289635342e+14,600754.9548,13904.4285,1.75309311e-09,0.8983980617,1.051919901e-08,0.04296485099,18.3955922,0.02886396359,0.3169663847,-17424834.59,454032728.5
1,4,3000000,210948,699223,2089829,1357742,1889266,839073,0,0,0,-690.8381485,4290.353042,-4981.191191,870655,317807,-635.0092705,6403.580758,-7038.590028,1421146,1578854,-1325.847419,9689.118232,-11014.96565,1526835,1473165,-47953754.46,1750843.19,-49704597.65,276598,1495527,47953063.66,49704449.55,-1751385.892,1240750,1759250,0.01606822555,0.0242647879,-0.008196562352,1028267,1954360,-2.052768185e+10,1.561616018e+10,-2.456387681e+10,1.807192101e+11,696495.6253,19.9895359,1.862025377e-09,0.9409719706,1.219152595e-08,0.02916029678,12.69209952,0.02472439672,0.312203906,-13307251.94,309792484.4
2,4,3000000,319590,756830,1923580,1292790,1726652,845258,0,0,0,-863.9836389,3747.538359,-4611.521998,1012370,503799,-398.133984,4551.256067,-4949.390051,1396262,1603738,-1262.117623,7330.900182,-8593.017805,1512098,1487902,-7100346962,187922393.6,-7288269356,337523,1870255,7100346098,7288269235,-187923137.1,1419662,1580338,0.2380603442,0.2693465257,-0.03128618145,1378903,1610215,-3.882569421e+12,2.348838366e+12,-7.668663081e+12,3.115703893e+13,867003.1114,3511.129658,1.751439887e-09,0.9536395648,1.089388571e-08,0.03566829636,14.69406641,0.03170685242,0.3489123817,-11718083.49,368652405.4
3,4,3000000,284209,695298,2020493,1370911,1795793,777763,0,0,0,-580.3627661,2652.116801,-3232.479567,942489,470792,-160.1522037,4227.675178,-4387.827382,1326140,1673860,-740.5149698,6109.857662,-6850.372632,1431513,1568487,-4350410095,127043674,-4477453769,257081,1644595,4350409515,4477453666,-127044150.7,1340465,1659535,0.02518797684,0.04416454526,-0.01897656842,1051862,1937025,-2.421072345e+12,1.770132733e+12,-3.254703272e+12,2.095602539e+13,579161.807,2225.842923,1.262626374e-09,0.8894990487,1.00075929e-08,0.03592503566,14.46883129,0.02946499762,0.298829612,-9108246.48,336998946.1
4,4,3000000,286499,845185,1868316,1463590,1849507,1048308,0,0,0,-1404.32647,13523.69859,-14928.02506,906092,333125,-4641.50463,14186.55018,-18828.05481,1427117,1572883,-6045.831101,25716.94879,-31762.77989,1485052,1514948,-32241642.24,2386632.47,-34628274.7,35357,1978897,32240235.77,34627616.61,-2387380.838,1426049,1573951,2.238630821,3.721720796,-1.483089974,1317705,1681009,-5877480333,2171707091,-1.854156123e+10,4.024593712e+10,1410558.442,8.253594824,5.12518784e-09,1.822694366,2.383484743e-08,0.005506484901,1.905461963,0.0259671223,0.5385159667,-23257518.16,51611553.2
0,5,3000000,163785,588770,2247445,1449506,1996120,722238,0,0,0,-811.3758541,3230.104551,-4041.480405,761397,277432,-2.692101984,6050.236718,-6052.92882,1349030,1650970,-814.0679561,8461.594564,-9275.66252,1425688,1574312,-976840106.6,20995828.09,-997835934.7,166851,1589073,976839295.3,997835557.5,-20996262.23,1105818,1894182,0.003675865151,0.02877329001,-0.02509742485,940544,2045302,-3.255878098e+11,2.169338342e+11,-5.432771382e+11,2.71260822e+12,806690.6047,268.9478402,1.532844398e-09,0.9258072426,1.278604213e-08,0.03090680917,12.35800702,0.02125853227,0.2604090811,-13216727.74,313492852.5
1,5,3000000,95115,374490,2530395,1413403,2122132,732105,0,0,0,-876.3815122,7199.189343,-8075.570856,456844,160189,-1527.386024,21555.48938,-23082.8754,1501487,1498513,-2403.767536,27600.462,-30004.22954,1516379,1483621,-132571702.1,2032719.549,-134604421.6,146817,1301395,132570825.5,134604024.1,-2033198.541,977510,2022490,0.2040115813,0.2312209001,-0.02720931885,937459,2017897,-2.584431293e+10,3554907950,-1.114549345e+11,1.469961044e+11,878846.3178,20.36612554,3.071224647e-09,0.9456714362,1.708498471e-08,0.0154334778,6.002110625,0.01320723011,0.212597274,-51767399.74,194553358.1
2,5,3000000,191065,525348,2283587,1346314,1995057,753153,0,0,0,-848.0288224,11171.61743,-12019.64626,670196,302930,-1012.272692,23609.72341,-24621.99611,1510748,1489252,-1860.301514,32672.80205,-34533.10356,1533029,1466971,-310034923.3,19577464.75,-329612388.1,102948,1826435,310034075.3,329612175.6,-19578100.29,1190602,1809398,0.02797840406,0.04019370519,-0.01221530113,985710,1963917,-1.321348201e+11,2.783132014e+10,-5.215251604e+11,7.998307014e+11,851153.3421,100.5234611,4.531058165e-09,0.9890604225,1.501427807e-08,0.01418162505,5.259482839,0.02052529429,0.2771432968,-54455492.59,167872557
3,5,3000000,155612,473467,2370921,1544367,2111235,614867,0,0,0,-733.7511249,2831.656431,-3565.407556,644688,265313,-322.7699917,5526.627077,-5849.397069,1263655,1736345,-1056.521117,7663.380921,-8719.902037,1333699,1666301,-561252558,10467572.2,-571720130.2,265789,1468586,561251824.1,571719808.5,-10467984.36,1009957,1990043,0.1278450524,0.2109298346,-0.08308478226,843151,2139474,-2.375401085e+11,1.606157193e+11,-3.846285194e+11,1.990779139e+12,730367.1641,212.566323,1.347837621e-09,0.7720812178,1.177308881e-08,0.0280830361,11.19208759,0.01958912298,0.2258208737,-18852163.99,287404673.8
4,5,3000000,90210,454806,2454984,1557925,2230036,758209,0,0,0,-1470.851897,2499.918072,-3970.769969,465494,94684,-3209.252432,4489.044134,-7698.296566,1378204,1621796,-4680.104329,6792.566586,-11472.67091,1437877,1562123,-4465223255,114.7780459,-4465223370,42275,1502705,4465221787,4465222367,-580.3240106,878686,2121314,-1.973096782,2.068369159,-4.041465941,780362,2219399,-7.310365324e+10,1.511937633e+10,-2.899346137e+11,4.411151479e+11,1469902.902,55.75306097,1.075905289e-09,1.897740103,3.775004373e-08,0.0006681176039,0.2625058895,0.01023447411,0.3057140487,-2062686.47,6717115.298
