arm,seed,j,band,cycle_len,tasks,x_j,E,M_sq,D_sq,D_sq_diameter,E_identity_residual,center_disp,ret_odd_t,ret_odd,a_odd,resid_odd,cos_odd,ret_even_t,ret_even,a_even,resid_even,cos_even,status,ret_third_t,ret_third,a_third,resid_third,cos_third
LR_iid,0,3,all,2,5+6,5.5,8318.652123,7691.361559,627.2905639,627.2905639,4.547473509e-13,2942.58918,5,4023.044883,0.8909469076,3969.501185,0.6883129226,6,4325.415235,0.8930387559,4256.01308,0.7293801373,ok,,,,,
LR_iid,0,4,top,2,7+8,7.5,816.5768562,714.8221254,101.7547308,101.7547308,2.842170943e-14,400.1636275,7,588.4125491,0.6595431286,524.770025,0.5592662197,8,634.4527269,0.6755031051,563.9282854,0.5928451558,ok,,,,,
LR_iid,0,4,mid1,2,7+8,7.5,5456.773267,5129.587769,327.1854979,327.1854979,-2.842170943e-13,1534.507271,7,2114.777686,0.9183047158,2091.401889,0.7651454773,8,2238.177858,0.9326391677,2219.140174,0.7885816156,ok,,,,,
LR_iid,0,4,mid2,2,7+8,7.5,4354.865266,4139.88553,214.9797362,214.9797362,6.252776075e-13,1059.582231,7,1478.497251,0.9531867152,1472.299228,0.797335321,8,1515.201243,0.9608145558,1509.948793,0.8225071808,ok,,,,,
LR_iid,0,4,low,2,7+8,7.5,958.2818639,916.7782141,41.50364982,41.50364982,-1.421085472e-14,212.8305463,7,292.5146535,0.9747861932,292.1170156,0.8188187038,8,300.6962421,0.9770139536,300.292277,0.841716331,ok,,,,,
LR_iid,0,4,mu,2,7+8,7.5,0.5874647607,0.5802971112,0.007167649491,0.007167649491,-2.064320936e-16,0.05703232148,7,0.0660108393,1.142733019,0.0587773204,0.9420678702,8,0.07224949835,1.081696565,0.06892061735,0.9457139569,ok,,,,,
LR_iid,0,4,comp,2,7+8,7.5,49.42550498,48.287285,1.138219976,1.138219976,3.552713679e-15,6.881363747,7,9.698878621,0.9974649406,9.698635907,0.8915414697,8,8.970312343,0.9977132798,8.97008853,0.9088896445,ok,,,,,
LR_iid,0,4,all,2,7+8,7.5,11636.51022,10949.94122,686.5690024,686.5690024,-4.547473509e-13,3214.022072,7,4483.96703,0.9176385428,4432.797404,0.7674474232,8,4697.570632,0.9283447633,4650.877964,0.7921995917,ok,,,,,
LR_iid,0,5,top,2,9+10,9.5,1008.194877,887.7907517,120.4041253,120.4041253,-2.842170943e-14,475.5140691,9,679.5458923,0.6753011182,599.0388267,0.6063129403,10,742.6751399,0.6877107376,657.8733894,0.6202088176,ok,,,,,
LR_iid,0,5,mid1,2,9+10,9.5,6998.793654,6636.121993,362.6716616,362.6716616,5.684341886e-13,1785.698851,9,2428.713599,0.9189728958,2395.591435,0.8000574375,10,2575.17771,0.9060852533,2523.41693,0.8101104525,ok,,,,,
LR_iid,0,5,mid2,2,9+10,9.5,5748.591472,5495.613601,252.9778716,252.9778716,-3.97903932e-13,1253.180077,9,1646.508024,0.9603845448,1640.164681,0.8333463653,10,1812.267146,0.9623937487,1805.665803,0.8398745869,ok,,,,,
LR_iid,0,5,low,2,9+10,9.5,1273.14448,1225.298613,47.84586745,47.84586745,-1.136868377e-13,254.6163077,9,332.1107391,0.9816610384,331.8126105,0.8486675474,10,356.7776427,0.9870645312,356.6052774,0.8589742874,ok,,,,,
LR_iid,0,5,mu,2,9+10,9.5,0.8831634212,0.8735245019,0.009638919291,0.009638919291,7.806255642e-17,0.06569277387,9,0.07815112877,1.188250651,0.05963718855,0.961872412,10,0.0778624951,1.182902932,0.05603402436,0.9706577982,ok,,,,,
LR_iid,0,5,comp,2,9+10,9.5,58.50182707,57.41100429,1.090822779,1.090822779,3.552713679e-15,7.13680277,9,9.487350073,0.996495526,9.486769473,0.9120784652,10,9.242225477,0.9976192083,9.241933136,0.9205564205,ok,,,,,
LR_iid,0,5,all,2,9+10,9.5,15088.10947,14303.10949,784.9999877,784.9999877,-1.818989404e-12,3776.211801,9,5096.443756,0.922745622,5032.07777,0.8037404688,10,5496.217726,0.9189990035,5414.28019,0.8128888628,ok,,,,,
LR_iid,0,6,top,2,11+12,11.5,1089.500616,979.3069726,110.1936437,110.1936437,3.410605132e-13,496.4074184,11,746.7502728,0.6662163733,641.2135187,0.6293042831,12,737.4387242,0.6776735772,626.3632266,0.6628872301,ok,,,,,
LR_iid,0,6,mid1,2,11+12,11.5,8459.423529,8083.366738,376.0567909,376.0567909,-2.273736754e-13,1912.793952,11,2629.001454,0.9106024751,2575.806293,0.8257144658,12,2721.984617,0.9155723942,2669.654486,0.8351339276,ok,,,,,
LR_iid,0,6,mid2,2,11+12,11.5,7216.719259,6969.242746,247.4765127,247.4765127,-7.958078641e-13,1353.930336,11,1851.161619,0.9656236651,1844.817851,0.8548066602,12,1862.713464,0.966671351,1855.905389,0.8690567699,ok,,,,,
LR_iid,0,6,low,2,11+12,11.5,1600.036767,1554.336445,45.70032142,45.70032142,1.563194019e-13,261.8226295,11,356.4631188,0.9904029905,356.3538808,0.8749384996,12,353.6465056,0.9876639432,353.4395063,0.8886283966,ok,,,,,
LR_iid,0,6,mu,2,11+12,11.5,1.231154816,1.224170257,0.006984558649,0.006984558649,-1.561251128e-17,0.06726443022,11,0.08513966322,1.180964679,0.05903039472,0.9744682811,12,0.07560774498,1.127278208,0.05990932296,0.9765279675,ok,,,,,
LR_iid,0,6,comp,2,11+12,11.5,67.44315959,66.30029331,1.14286628,1.14286628,6.439293543e-15,6.816240042,11,8.935048906,0.9980998501,8.934845158,0.9289028915,12,9.174686002,0.9998958663,9.174685345,0.9318983692,ok,,,,,
LR_iid,0,6,all,2,11+12,11.5,18434.35448,17653.77737,780.5771196,780.5771196,-1.818989404e-12,4031.83784,11,5592.396653,0.9221161398,5506.170805,0.8288700747,12,5685.033604,0.9257355242,5597.003311,0.8423976415,ok,,,,,
LR_iid,0,7,top,2,13+14,13.5,1229.439414,1111.683476,117.7559377,117.7559377,4.263256415e-14,514.8170119,13,748.298232,0.7182842915,664.0414184,0.6723190367,14,760.2532626,0.7178564268,671.3068217,0.6794879968,ok,,,,,
LR_iid,0,7,mid1,2,13+14,13.5,10050.31023,9625.795029,424.5151977,424.5151977,0,1986.02684,13,2729.606479,0.9231376519,2681.782435,0.8485702364,14,2912.152084,0.9311194366,2870.287249,0.8527419896,ok,,,,,
LR_iid,0,7,mid2,2,13+14,13.5,8683.931706,8410.751414,273.180292,273.180292,5.684341886e-13,1309.043808,13,1800.824843,0.9732954817,1795.939696,0.8850062878,14,1877.046685,0.9751040555,1872.346581,0.890984901,ok,,,,,
LR_iid,0,7,low,2,13+14,13.5,1922.523375,1869.252546,53.27082887,53.27082887,0,252.6634995,13,340.3514857,0.9910872138,340.2307605,0.9024336533,14,362.7186092,0.9907736631,362.5755708,0.9054264497,ok,,,,,
LR_iid,0,7,mu,2,13+14,13.5,1.489602999,1.479406529,0.01019647057,0.01019647057,-1.42247325e-16,0.05027438405,13,0.05824291385,1.073563981,0.05190602751,0.9813071895,14,0.07009571953,1.083740669,0.0610401953,0.9804646495,ok,,,,,
LR_iid,0,7,comp,2,13+14,13.5,76.0192322,74.86093646,1.158295742,1.158295742,-1.310063169e-14,6.413590163,13,8.704741851,0.9989883686,8.704675176,0.9391110865,14,8.72004747,0.9989902784,8.719976373,0.9426842866,ok,,,,,
LR_iid,0,7,all,2,13+14,13.5,21963.71356,21093.82281,869.8907485,869.8907485,-2.160049917e-12,4069.015025,13,5627.844025,0.9364665413,5556.829716,0.8574408647,14,5920.960784,0.9415171189,5855.033224,0.863012271,ok,,,,,
LR_iid,0,8,top,2,15+16,15.5,1416.947153,1294.055734,122.8914184,122.8914184,1.421085472e-13,597.8841155,15,828.8322568,0.7343510977,743.3175375,0.6839894846,16,877.2189752,0.7244726149,782.5452647,0.6748836403,ok,,,,,
LR_iid,0,8,mid1,2,15+16,15.5,11490.93817,11064.66913,426.2690437,426.2690437,2.273736754e-13,2138.060472,15,3093.099782,0.9227101584,3035.87012,0.8536725359,16,2960.910005,0.9195920987,2892.891209,0.8686888387,ok,,,,,
LR_iid,0,8,mid2,2,15+16,15.5,10192.34321,9918.522373,273.8208409,273.8208409,1.136868377e-12,1446.185623,15,2023.106485,0.9715599562,2016.405088,0.8916388806,16,1991.446626,0.9710180148,1983.817623,0.9010648128,ok,,,,,
LR_iid,0,8,low,2,15+16,15.5,2266.700415,2216.657427,50.04298813,50.04298813,-6.96331881e-13,285.9636834,15,395.5338295,0.9876779963,395.2555209,0.9049694964,16,384.9775826,0.9883241139,384.7032886,0.9144937279,ok,,,,,
LR_iid,0,8,mu,2,15+16,15.5,1.897254802,1.888439335,0.008815466742,0.008815466742,2.428612866e-17,0.05861901801,15,0.08214269454,1.109125233,0.06545325528,0.9815416463,16,0.07574612341,1.111407554,0.05616413035,0.9858944692,ok,,,,,
LR_iid,0,8,comp,2,15+16,15.5,84.95149571,83.98618011,0.9653155961,0.9653155961,-2.220446049e-15,7.156873299,15,9.668492845,0.9985073008,9.668328575,0.9400830901,16,8.891933797,0.9969622115,8.891211103,0.9473564098,ok,,,,,
LR_iid,0,8,all,2,15+16,15.5,25453.7777,24579.77928,873.9984221,873.9984221,-1.364242053e-12,4475.309386,15,6350.322989,0.9370733712,6267.225869,0.8638350623,16,6223.520869,0.9356500939,6128.519947,0.8753298454,ok,,,,,
LR_iid,0,9,top,2,17+18,17.5,1460.833996,1327.065644,133.7683521,133.7683521,1.136868377e-13,602.0193861,17,914.5660633,0.7005306612,789.2986247,0.6817609123,18,867.695148,0.7015192458,739.6631065,0.6991385769,ok,,,,,
LR_iid,0,9,mid1,2,17+18,17.5,12740.46605,12308.59135,431.8746972,431.8746972,1.023181539e-12,2173.1788,17,3028.032555,0.9191773107,2954.920176,0.8728780655,18,3084.622361,0.9234741589,3015.580945,0.8770797414,ok,,,,,
LR_iid,0,9,mid2,2,17+18,17.5,11597.63056,11326.64984,270.9807186,270.9807186,1.47792889e-12,1456.972194,17,1987.271028,0.9683196592,1977.398105,0.9074488252,18,2037.440652,0.9719911376,2029.16609,0.9114938365,ok,,,,,
LR_iid,0,9,low,2,17+18,17.5,2609.834245,2559.039907,50.79433845,50.79433845,1.278976924e-13,273.7503004,17,373.3503231,0.9920731184,373.2131302,0.9230509569,18,378.9619848,0.993312849,378.8568961,0.9271224152,ok,,,,,
LR_iid,0,9,mu,2,17+18,17.5,2.373575175,2.365588625,0.007986549387,0.007986549387,-6.192962809e-16,0.06935882863,17,0.0992437501,1.112184186,0.07672219566,0.9831077145,18,0.06940451556,1.095382289,0.0511635039,0.9895329382,ok,,,,,
LR_iid,0,9,comp,2,17+18,17.5,92.10477646,91.08729894,1.017477525,1.017477525,6.217248938e-15,5.596062545,17,7.463988111,0.9972363894,7.463352875,0.9577247789,18,7.688065065,0.9977759929,7.68763608,0.9582509219,ok,,,,,
LR_iid,0,9,all,2,17+18,17.5,28503.2432,27614.79963,888.4435704,888.4435704,-1.932676241e-12,4511.586102,17,6310.783202,0.9331077909,6200.285396,0.8810087336,18,6376.477615,0.9373482158,6273.585445,0.8865211367,ok,,,,,
LR_iid,0,10,top,2,19+20,19.5,1653.345489,1509.967096,143.3783925,143.3783925,5.684341886e-14,592.7286497,19,903.4775546,0.7492739641,810.7684387,0.7108043372,20,886.8726606,0.7699212858,810.2792277,0.71708624,ok,,,,,
LR_iid,0,10,mid1,2,19+20,19.5,14107.31975,13665.97578,441.3439738,441.3439738,2.387423592e-12,2207.997597,19,3066.568278,0.9306725032,3006.916033,0.8839827789,20,3157.611464,0.9323017,3097.712359,0.8864195256,ok,,,,,
LR_iid,0,10,mid2,2,19+20,19.5,13000.66155,12717.4673,283.194253,283.194253,1.136868377e-13,1454.638614,19,1984.081714,0.9773706868,1978.345808,0.9186712681,20,2038.977127,0.9704001824,2028.468421,0.9207324623,ok,,,,,
LR_iid,0,10,low,2,19+20,19.5,2947.882229,2895.264135,52.61809348,52.61809348,3.410605132e-13,277.1206922,19,379.8536881,0.9939104507,379.760162,0.9315237736,20,384.9245418,0.9892559926,384.6131519,0.9342564728,ok,,,,,
LR_iid,0,10,mu,2,19+20,19.5,2.830965065,2.81904089,0.01192417471,0.01192417471,2.012279232e-16,0.06108919787,19,0.07703085058,1.066483253,0.06690781344,0.9873996338,20,0.08162835279,1.091903392,0.06087695099,0.9897679084,ok,,,,,
LR_iid,0,10,comp,2,19+20,19.5,100.0478267,98.75705642,1.290770316,1.290770316,6.883382753e-15,6.215874686,19,7.971625257,0.9963141197,7.970400137,0.9582478222,20,9.076459184,0.9973561266,9.075801891,0.9547522916,ok,,,,,
LR_iid,0,10,all,2,19+20,19.5,31812.08781,30890.2504,921.8374073,921.8374073,2.614797268e-12,4538.762516,19,6342.029891,0.9458799582,6260.892315,0.8934932368,20,6477.543881,0.9453425435,6389.997539,0.896582933,ok,,,,,
LR_iid,0,11,top,2,21+22,21.5,1774.47403,1623.960163,150.5138668,150.5138668,1.136868377e-13,662.2841561,21,908.0300899,0.7497640953,805.4167168,0.7304306847,22,1048.551522,0.7319523619,928.7085708,0.7002666184,ok,,,,,
LR_iid,0,11,mid1,2,21+22,21.5,15562.60515,15092.58273,470.0224236,470.0224236,-1.705302566e-13,2343.474463,21,3227.785967,0.935180564,3169.985359,0.8896437942,22,3359.719661,0.9345158391,3297.72252,0.8904535776,ok,,,,,
LR_iid,0,11,mid2,2,21+22,21.5,14390.94231,14094.92328,296.0190317,296.0190317,3.410605132e-13,1500.70421,21,2033.906428,0.9731913398,2024.794551,0.9250432968,22,2150.935806,0.9728100686,2141.086123,0.9245740497,ok,,,,,
LR_iid,0,11,low,2,21+22,21.5,3285.927607,3232.685694,53.24191315,53.24191315,2.273736754e-13,287.6480778,21,392.9346566,0.9888837387,392.5798538,0.9366599315,22,396.1218564,0.9918779221,395.9223341,0.9394511318,ok,,,,,
LR_iid,0,11,mu,2,21+22,21.5,3.434630811,3.42593802,0.008692791796,0.008692791796,2.012279232e-16,0.07299612293,21,0.1041668465,1.104727806,0.07486247078,0.9887146614,22,0.07586540144,1.078202996,0.05757880706,0.9918192954,ok,,,,,
LR_iid,0,11,comp,2,21+22,21.5,109.1300554,107.8099031,1.320152227,1.320152227,-9.103828802e-15,6.820616217,21,9.338534121,0.998886395,9.33841323,0.9551974013,22,9.539453655,0.9975811071,9.53885327,0.95633063,ok,,,,,
LR_iid,0,11,all,2,21+22,21.5,35126.51379,34155.38771,971.1260803,971.1260803,7.730704965e-12,4801.004519,21,6572.099843,0.9460975488,6481.898642,0.9004781209,22,6964.944165,0.9453425511,6867.616713,0.8995221445,ok,,,,,
LR_iid,0,12,top,2,23+24,23.5,1852.088053,1699.871206,152.2168472,152.2168472,-1.136868377e-13,650.9738426,23,968.8863019,0.7314170815,844.3337145,0.7228015274,24,971.4421794,0.7646912801,870.5393477,0.7418737574,ok,,,,,
LR_iid,0,12,mid1,2,23+24,23.5,16616.20547,16134.50661,481.6988641,481.6988641,1.250555215e-12,2179.20023,23,3101.848109,0.9311156763,3029.717209,0.9017110841,24,3176.479254,0.9347878696,3108.760857,0.9040931834,ok,,,,,
LR_iid,0,12,mid2,2,23+24,23.5,15736.66267,15438.72923,297.9334434,297.9334434,6.821210263e-13,1420.171984,23,2005.563291,0.9753767406,1997.055417,0.9326692962,24,2048.26457,0.9772418989,2040.62532,0.9345914209,ok,,,,,
LR_iid,0,12,low,2,23+24,23.5,3591.881542,3535.728074,56.15346777,56.15346777,4.76063633e-13,274.469081,23,374.7999592,0.9889240912,374.4073551,0.9450693647,24,391.6196017,0.9875992933,391.1011384,0.9453615987,ok,,,,,
LR_iid,0,12,mu,2,23+24,23.5,3.898214691,3.891268671,0.006946020292,0.006946020292,5.533767888e-16,0.05240578792,23,0.07508809763,1.062117594,0.06221727425,0.9918339228,24,0.06238799423,1.053102474,0.05242358586,0.9933777935,ok,,,,,
LR_iid,0,12,comp,2,23+24,23.5,117.4108102,115.9359583,1.474851932,1.474851932,8.881784197e-15,5.941618415,23,8.4013282,0.9976558203,8.400742384,0.9626190927,24,9.05892603,0.9982135102,9.058569679,0.961618093,ok,,,,,
LR_iid,0,12,all,2,23+24,23.5,37918.14677,36928.66235,989.4844204,989.4844204,-2.273736754e-13,4530.809162,23,6459.574077,0.9447956603,6355.133988,0.9099396424,24,6596.92692,0.9487324207,6502.351788,0.9125794504,ok,,,,,
LR_iid,0,13,top,2,25+26,25.5,2027.752092,1861.304128,166.4479649,166.4479649,-3.97903932e-13,704.4610532,25,1029.406383,0.7522016513,920.8426252,0.7215918916,26,1062.053426,0.7769015942,965.6855024,0.7399595443,ok,,,,,
LR_iid,0,13,mid1,2,25+26,25.5,18202.02755,17668.80379,533.2237589,533.2237589,4.433786671e-12,2547.679561,25,3508.560901,0.9402977081,3450.786558,0.8977414073,26,3647.736456,0.9398115865,3586.066245,0.8985704248,ok,,,,,
LR_iid,0,13,mid2,2,25+26,25.5,17444.84222,17107.57491,337.2673117,337.2673117,1.47792889e-12,1724.524295,25,2317.784958,0.9808296715,2312.144966,0.9298379679,26,2432.675006,0.9768798643,2424.054752,0.9294729634,ok,,,,,
LR_iid,0,13,low,2,25+26,25.5,3978.839402,3915.699152,63.1402506,63.1402506,-4.476419235e-13,335.1024205,25,447.009131,0.9911804561,446.7365555,0.9408194728,26,467.5701297,0.9892850287,467.1476822,0.9408357446,ok,,,,,
LR_iid,0,13,mu,2,25+26,25.5,4.4376272,4.428551029,0.00907617167,0.00907617167,-3.851086117e-16,0.06121061658,25,0.07877563639,1.052413195,0.06826750155,0.9920391975,26,0.07176109055,1.066390522,0.05425671799,0.994046604,ok,,,,,
LR_iid,0,13,comp,2,25+26,25.5,125.6900773,124.5646867,1.125390553,1.125390553,-1.7985613e-14,5.707242899,25,9.041834943,0.9999078759,9.041833971,0.9627061719,26,7.610509861,0.9996978215,7.610498875,0.9697805798,ok,,,,,
LR_iid,0,13,all,2,25+26,25.5,41783.58897,40682.37522,1101.213753,1101.213753,1.591615728e-12,5317.535783,25,7311.881983,0.9531552818,7230.805918,0.9070612972,26,7617.717289,0.9519511757,7527.932457,0.9077401414,ok,,,,,
LR_iid,0,14,top,2,27+28,27.5,2371.972788,2199.152766,172.8200213,172.8200213,1.705302566e-13,839.5323861,27,1219.950166,0.7956560074,1139.727503,0.7184989519,28,1214.167332,0.7749840688,1106.103049,0.7326670066,ok,,,,,
LR_iid,0,14,mid1,2,27+28,27.5,19743.94148,19199.77404,544.1674372,544.1674372,0,2718.700548,27,3848.237605,0.9368101427,3777.234719,0.8972882363,28,3806.738753,0.9376045137,3734.239532,0.9023648245,ok,,,,,
LR_iid,0,14,mid2,2,27+28,27.5,18998.84551,18659.30598,339.5395309,339.5395309,2.046363079e-12,1815.52792,27,2494.165822,0.9700583178,2478.856906,0.9307809431,28,2525.927841,0.9750327776,2514.823608,0.9331143158,ok,,,,,
LR_iid,0,14,low,2,27+28,27.5,4361.577034,4298.449427,63.12760741,63.12760741,4.121147867e-13,342.3990037,27,476.2394133,0.9865817533,475.5391215,0.9425525275,28,466.3823177,0.9910566337,466.0569248,0.9463330556,ok,,,,,
LR_iid,0,14,mu,2,27+28,27.5,5.009312806,5.000584814,0.008727991708,0.008727991708,9.714451465e-17,0.06887096321,27,0.08301333157,1.057113423,0.06897111511,0.9929075664,28,0.08587970635,1.052812463,0.07313216917,0.9928591216,ok,,,,,
LR_iid,0,14,comp,2,27+28,27.5,133.4589221,132.437819,1.021103037,1.021103037,1.953992523e-14,6.121684706,27,8.517628518,0.9981333664,8.517198108,0.9670945408,28,8.050812315,0.9977724739,8.050177927,0.9698020869,ok,,,,,
LR_iid,0,14,all,2,27+28,27.5,45614.80505,44494.12062,1120.684428,1120.684428,-1.023181539e-11,5722.350414,27,8047.193648,0.949022998,7941.17701,0.9067985298,28,8021.352935,0.9503544546,7915.937481,0.9110047315,ok,,,,,
LR_iid,0,15,top,2,29+30,29.5,2397.927362,2211.489613,186.4377495,186.4377495,0,801.357119,29,1178.128682,0.7535814524,1035.068581,0.7508750677,30,1213.74587,0.7531683295,1068.257028,0.7477249142,ok,,,,,
LR_iid,0,15,mid1,2,29+30,29.5,21150.10279,20604.18266,545.9201289,545.9201289,3.637978807e-12,2899.508128,29,4032.155769,0.9324184769,3943.628631,0.900199615,30,4025.844584,0.9346971451,3940.107958,0.9037594939,ok,,,,,
LR_iid,0,15,mid2,2,29+30,29.5,20769.59156,20419.38461,350.2069565,350.2069565,-2.273736754e-13,1909.806509,29,2597.006434,0.9790310128,2588.850988,0.9342856624,30,2619.856186,0.9769275461,2609.502276,0.9363486297,ok,,,,,
LR_iid,0,15,low,2,29+30,29.5,4799.22324,4732.265526,66.95771359,66.95771359,-8.526512829e-14,359.8582466,29,483.7607767,0.9928784264,483.544657,0.9469819935,30,495.8356896,0.9951130502,495.7291304,0.9482196875,ok,,,,,
LR_iid,0,15,mu,2,29+30,29.5,5.584951199,5.575447282,0.009503917283,0.009503917283,-2.602085214e-16,0.06649636892,29,0.08238638199,1.047222319,0.07150511602,0.9933851706,30,0.08555756864,1.050834621,0.07227752834,0.9936918826,ok,,,,,
LR_iid,0,15,comp,2,29+30,29.5,140.8343974,139.9313136,0.9030838247,0.9030838247,-2.398081733e-14,6.184730668,29,8.377245118,0.9980096611,8.376723855,0.9694972542,30,7.835179583,0.9965356745,7.833555368,0.972071906,ok,,,,,
LR_iid,0,15,all,2,29+30,29.5,49263.2643,48112.82917,1150.435136,1150.435136,-4.547473509e-13,5976.781229,29,8299.511293,0.9483088347,8180.115245,0.9115180533,30,8363.203067,0.9490149661,8242.210386,0.9141599342,ok,,,,,
LR_iid,0,16,top,2,31+32,31.5,2412.901668,2231.413554,181.4881141,181.4881141,5.684341886e-14,763.051848,31,1137.955617,0.7671915943,1009.339887,0.7619043103,32,1199.218469,0.751880167,1050.058845,0.7523617557,ok,,,,,
LR_iid,0,16,mid1,2,31+32,31.5,22362.40451,21803.11691,559.2875998,559.2875998,1.364242053e-12,2737.393863,31,3883.23783,0.9382034653,3803.824609,0.909915545,32,3873.880134,0.9357737373,3785.172,0.9124890957,ok,,,,,
LR_iid,0,16,mid2,2,31+32,31.5,22450.20046,22093.29902,356.9014336,356.9014336,-2.614797268e-12,1814.505389,31,2503.616867,0.9778967782,2493.666537,0.9415401922,32,2563.954437,0.9809655648,2556.283537,0.942612738,ok,,,,,
LR_iid,0,16,low,2,31+32,31.5,5216.838034,5149.215589,67.62244562,67.62244562,1.136868377e-13,341.4807934,31,468.1184804,0.9947717208,467.9904335,0.9530478603,32,483.3785085,0.9931538495,483.1481868,0.9536015618,ok,,,,,
LR_iid,0,16,mu,2,31+32,31.5,6.421603086,6.409974756,0.01162833049,0.01162833049,-4.614364446e-16,0.06870665692,31,0.08923456212,1.066567276,0.06520483597,0.9947565185,32,0.09329592297,1.06688686,0.06758444161,0.9948739226,ok,,,,,
