arm,seed,band,window,window_lo,window_hi,window_hi_used,complete,n_increments,C1_cos,C1_energy,C1_energy_sym,n_pairs_1,n_cos_1,C2_cos,C2_energy,C2_energy_sym,n_pairs_2,n_cos_2,C3_cos,C3_energy,C3_energy_sym,n_pairs_3,n_cos_3,C4_cos,C4_energy,C4_energy_sym,n_pairs_4,n_cos_4,C5_cos,C5_energy,C5_energy_sym,n_pairs_5,n_cos_5,C6_cos,C6_energy,C6_energy_sym,n_pairs_6,n_cos_6,C2_minus_C13_cos,C3_minus_C2_cos,C2_minus_C13_energy,C3_minus_C2_energy,C2_minus_C13_energy_sym,C3_minus_C2_energy_sym,even_odd_pattern_cos,r_b,r_window,r_status,q20,qA,qB,q_points,status
LR_iid,0,all,all,2,50,50,True,49,-0.1008408626,-0.09935862895,-0.100161382,48,48,-0.03280992986,-0.03237558876,-0.03290654478,47,47,-0.02130814308,-0.02081837602,-0.0213072716,46,46,-0.01885672293,-0.01810426143,-0.01867896459,45,45,-0.01513486359,-0.01463689447,-0.0152189635,44,44,-0.01156807269,-0.0110730207,-0.01161656274,43,43,0.028264573,0.01150178678,0.02771291373,0.01155721274,0.027827782,0.01159927319,-0.1008;-0.0328;-0.0213;-0.0189;-0.0151;-0.0116,0.4306071763,t6-50,ok,-0.310851335,-0.3140463834,-0.310851335,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,top,early,5,14,14,True,10,-0.7034326377,-0.697352795,-0.7026549321,9,9,0.518526094,0.5096294561,0.5177877193,8,8,-0.556011776,-0.5432616467,-0.5558675323,7,7,0.5426571702,0.5266986794,0.5424337363,6,6,-0.5331350573,-0.5152063262,-0.53244756,5,5,0.5150032414,0.4923817687,0.5146984659,4,4,1.148248301,-1.07453787,1.129936677,-1.052891103,1.147048951,-1.073655252,-0.7034;+0.5185;-0.5560;+0.5427;-0.5331;+0.5150,0.0587739396,t6-50,ok,-0.048860427,-0.04985031281,-0.048860427,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,top,late,26,50,50,True,25,-0.6352493897,-0.6311573459,-0.6344571045,24,24,0.415579415,0.4116931578,0.4144475212,23,23,-0.4644424172,-0.4605082408,-0.4641748579,22,22,0.435991727,0.4306994746,0.4355006716,21,21,-0.446020367,-0.4388440281,-0.4452775407,20,20,0.4303247351,0.4232836459,0.430026944,19,19,0.9654253185,-0.8800218322,0.9575259512,-0.8722013986,0.9637635025,-0.8786223792,-0.6352;+0.4156;-0.4644;+0.4360;-0.4460;+0.4303,0.0587739396,t6-50,ok,-0.048860427,-0.04985031281,-0.048860427,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,top,all,2,50,50,True,49,-0.6597723175,-0.6551249813,-0.6572989781,48,48,0.4550785434,0.4480857042,0.4512350157,47,47,-0.4937811238,-0.4865644902,-0.49152845,46,46,0.4651857963,0.4563579282,0.4627635103,45,45,-0.4708164586,-0.4607191378,-0.4686819231,44,44,0.4565267714,0.4455705007,0.4544487774,43,43,1.031855264,-0.9488596672,1.01893044,-0.9346501944,1.02564873,-0.9427634657,-0.6598;+0.4551;-0.4938;+0.4652;-0.4708;+0.4565,0.0587739396,t6-50,ok,-0.048860427,-0.04985031281,-0.048860427,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,mid1,early,5,14,14,True,10,-0.3903923439,-0.3983798389,-0.3919136648,9,9,0.2890613424,0.2996928543,0.2917501516,8,8,-0.2922760786,-0.3057827639,-0.2927156537,7,7,0.288653352,0.3081750563,0.2894047421,6,6,-0.2633720994,-0.2879508,-0.2633694366,5,5,0.2803641278,0.3080020367,0.280933697,4,4,0.6303955537,-0.581337421,0.6517741557,-0.6054756183,0.6340648109,-0.5844658054,-0.3904;+0.2891;-0.2923;+0.2887;-0.2634;+0.2804,0.555099548,t6-50,ok,0.1791463311,0.1839808188,0.1791463311,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,mid1,late,26,50,50,True,25,-0.2977586901,-0.2966681605,-0.2975029209,24,24,0.1478113485,0.1469537523,0.1472770235,23,23,-0.2086363406,-0.2080214328,-0.2086638932,22,22,0.164920587,0.1635985168,0.1647775518,21,21,-0.1880979726,-0.1858547992,-0.1879698102,20,20,0.166671324,0.1647002102,0.1666467439,19,19,0.4010088638,-0.3564476891,0.399298549,-0.3549751852,0.4003604305,-0.3559409167,-0.2978;+0.1478;-0.2086;+0.1649;-0.1881;+0.1667,0.555099548,t6-50,ok,0.1791463311,0.1839808188,0.1791463311,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,mid1,all,2,50,50,True,49,-0.3275109856,-0.3351155789,-0.3298230299,48,48,0.1978579808,0.2120679412,0.2067941043,47,47,-0.235210247,-0.2441541273,-0.2366764348,46,46,0.2049256984,0.2173816469,0.2099218527,45,45,-0.2063225332,-0.2146969883,-0.2069316382,44,44,0.2003409852,0.2116112842,0.2033585701,43,43,0.4792185971,-0.4330682279,0.5017027943,-0.4562220686,0.4900438366,-0.4434705391,-0.3275;+0.1979;-0.2352;+0.2049;-0.2063;+0.2003,0.555099548,t6-50,ok,0.1791463311,0.1839808188,0.1791463311,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,mid2,early,5,14,14,True,10,-0.272809442,-0.2825773328,-0.2748155545,9,9,0.3614821233,0.3839872612,0.3658549985,8,8,-0.2329260886,-0.2509605825,-0.2342076661,7,7,0.353485397,0.3908417667,0.3551484471,6,6,-0.2192092974,-0.249278887,-0.2194179849,5,5,0.3421016316,0.3941235238,0.3427805744,4,4,0.6143498886,-0.5944082119,0.6507562189,-0.6349478437,0.6203666088,-0.6000626646,-0.2728;+0.3615;-0.2329;+0.3535;-0.2192;+0.3421,1.908978149,t6-50,ok,0.3841773554,0.3979627052,0.3841773554,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,mid2,late,26,50,50,True,25,-0.199073443,-0.198409095,-0.1988134623,24,24,0.1813218778,0.1808427543,0.1809305444,23,23,-0.1613703858,-0.1615693219,-0.1610474298,22,22,0.179311789,0.179408933,0.1790410539,21,21,-0.1522619264,-0.1517397262,-0.1521323294,20,20,0.1786360301,0.1784784287,0.1783559643,19,19,0.3615437922,-0.3426922636,0.3608319627,-0.3424120762,0.3608609905,-0.3419779742,-0.1991;+0.1813;-0.1614;+0.1793;-0.1523;+0.1786,1.908978149,t6-50,ok,0.3841773554,0.3979627052,0.3841773554,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_abab,0,mid2,all,2,50,50,True,49,-0.2238065924,-0.2380976076,-0.2298530185,48,48,0.2511077483,0.2945524719,0.2789295267,47,47,-0.1849670042,-0.2031748407,-0.1897844688,46,46,0.240422682,0.2796776068,0.2585346403,45,45,-0.1731083218,-0.1905407071,-0.1749315762,44,44,0.2348117709,0.272689806,0.2484898728,43,43,0.4554945466,-0.4360747525,0.5151886961,-0.4977273126,0.4887482703,-0.4687139955,-0.2238;+0.2511;-0.1850;+0.2404;-0.1731;+0.2348,1.908978149,t6-50,ok,0.3841773554,0.3979627052,0.3841773554,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
