arm,seed,t,band,steps,hit99,hit999,stop_step,tc,tc_cum_check,N,V,sigma_med,H,sigma_med_band,memo_acc,online_acc,status
LR_abab_stop,0,7,all,1000,300,500,1000,10900,10900,2595.82268,43406.17701,19.81937565,1.105023715,,1,0.898875,ok
LR_abab_stop,0,8,top,1000,400,500,1000,11900,11900,194.2112595,31739.01233,20.81475501,1.072647573,16.56557024,1,0.90075,ok
LR_abab_stop,0,8,mid1,1000,400,500,1000,11900,11900,1215.269896,13632.84588,20.81475501,1.072647573,11.46223727,1,0.90075,ok
LR_abab_stop,0,8,mid2,1000,400,500,1000,11900,11900,1123.04113,1081.365602,20.81475501,1.072647573,3.285704304,1,0.90075,ok
LR_abab_stop,0,8,low,1000,400,500,1000,11900,11900,252.2877147,19.66417671,20.81475501,1.072647573,0.4382258381,1,0.90075,ok
LR_abab_stop,0,8,mu,1000,400,500,1000,11900,11900,0.143922912,0,20.81475501,1.072647573,0,1,0.90075,ok
LR_abab_stop,0,8,comp,1000,400,500,1000,11900,11900,22.00636604,0,20.81475501,1.072647573,0,1,0.90075,ok
LR_abab_stop,0,8,all,1000,400,500,1000,11900,11900,2806.96029,46472.88799,20.81475501,1.072647573,,1,0.90075,ok
LR_abab_stop,0,9,top,1000,400,500,1000,12900,12900,201.6715409,30484.88893,20.89650508,1.054308137,16.67736473,1,0.9085625,ok
LR_abab_stop,0,9,mid1,1000,400,500,1000,12900,12900,1290.22576,14375.44961,20.89650508,1.054308137,11.77233417,1,0.9085625,ok
LR_abab_stop,0,9,mid2,1000,400,500,1000,12900,12900,1208.212905,1156.0596,20.89650508,1.054308137,3.389601521,1,0.9085625,ok
LR_abab_stop,0,9,low,1000,400,500,1000,12900,12900,275.2327053,21.43471629,20.89650508,1.054308137,0.4591976445,1,0.9085625,ok
LR_abab_stop,0,9,mu,1000,400,500,1000,12900,12900,0.1619609947,0,20.89650508,1.054308137,0,1,0.9085625,ok
LR_abab_stop,0,9,comp,1000,400,500,1000,12900,12900,22.12283308,0,20.89650508,1.054308137,0,1,0.9085625,ok
LR_abab_stop,0,9,all,1000,400,500,1000,12900,12900,2997.627705,46037.83285,20.89650508,1.054308137,,1,0.9085625,ok
LR_abab_stop,0,10,top,1000,400,500,1000,13900,13900,207.1020667,35032.0857,21.77948624,1.088160958,17.55482152,1,0.911,ok
LR_abab_stop,0,10,mid1,1000,400,500,1000,13900,13900,1372.266171,15311.64586,21.77948624,1.088160958,12.06568255,1,0.911,ok
LR_abab_stop,0,10,mid2,1000,400,500,1000,13900,13900,1305.453387,1249.494803,21.77948624,1.088160958,3.494101667,1,0.911,ok
LR_abab_stop,0,10,low,1000,400,500,1000,13900,13900,298.3807241,23.25565976,21.77948624,1.088160958,0.4762756513,1,0.911,ok
LR_abab_stop,0,10,mu,1000,400,500,1000,13900,13900,0.1840286572,0,21.77948624,1.088160958,0,1,0.911,ok
LR_abab_stop,0,10,comp,1000,400,500,1000,13900,13900,22.23958671,0,21.77948624,1.088160958,0,1,0.911,ok
LR_abab_stop,0,10,all,1000,400,500,1000,13900,13900,3205.625964,51616.48203,21.77948624,1.088160958,,1,0.911,ok
LR_abab_stop,0,11,top,900,300,400,900,14800,14800,214.9192147,32847.10534,21.90044298,1.046899381,17.56196024,1,0.9048611111,ok
LR_abab_stop,0,11,mid1,900,300,400,900,14800,14800,1451.65267,16005.05696,21.90044298,1.046899381,12.45262056,1,0.9048611111,ok
LR_abab_stop,0,11,mid2,900,300,400,900,14800,14800,1400.555067,1335.133891,21.90044298,1.046899381,3.637506925,1,0.9048611111,ok
LR_abab_stop,0,11,low,900,300,400,900,14800,14800,322.5020794,25.07629352,21.90044298,1.046899381,0.4969206364,1,0.9048611111,ok
LR_abab_stop,0,11,mu,900,300,400,900,14800,14800,0.2075676212,0,21.90044298,1.046899381,0,1,0.9048611111,ok
LR_abab_stop,0,11,comp,900,300,400,900,14800,14800,22.35020085,0,21.90044298,1.046899381,0,1,0.9048611111,ok
LR_abab_stop,0,11,all,900,300,400,900,14800,14800,3412.186799,50212.37249,21.90044298,1.046899381,,1,0.9048611111,ok
LR_abab_stop,0,12,top,800,300,300,800,15600,15600,224.3915147,37132.47585,22.15285582,1.127315079,17.36080072,1,0.89296875,ok
LR_abab_stop,0,12,mid1,800,300,300,800,15600,15600,1515.71,16744.85715,22.15285582,1.127315079,12.57759353,1,0.89296875,ok
LR_abab_stop,0,12,mid2,800,300,300,800,15600,15600,1486.217311,1418.941572,22.15285582,1.127315079,3.746472946,1,0.89296875,ok
LR_abab_stop,0,12,low,800,300,300,800,15600,15600,342.363664,26.60256615,22.15285582,1.127315079,0.5120716838,1,0.89296875,ok
LR_abab_stop,0,12,mu,800,300,300,800,15600,15600,0.2298975494,0,22.15285582,1.127315079,0,1,0.89296875,ok
LR_abab_stop,0,12,comp,800,300,300,800,15600,15600,22.46427995,0,22.15285582,1.127315079,0,1,0.89296875,ok
LR_abab_stop,0,12,all,800,300,300,800,15600,15600,3591.376667,55322.87714,22.15285582,1.127315079,,1,0.89296875,ok
LR_abab_stop,0,13,top,900,300,400,900,16500,16500,232.6553206,35764.44293,22.86048311,1.040396259,18.0679552,1,0.9234027778,ok
LR_abab_stop,0,13,mid1,900,300,400,900,16500,16500,1573.540996,17099.23078,22.86048311,1.040396259,12.95952983,1,0.9234027778,ok
LR_abab_stop,0,13,mid2,900,300,400,900,16500,16500,1554.826475,1479.472803,22.86048311,1.040396259,3.812825203,1,0.9234027778,ok
LR_abab_stop,0,13,low,900,300,400,900,16500,16500,362.1392918,28.13759569,22.86048311,1.040396259,0.5265819395,1,0.9234027778,ok
LR_abab_stop,0,13,mu,900,300,400,900,16500,16500,0.2484303663,0,22.86048311,1.040396259,0,1,0.9234027778,ok
LR_abab_stop,0,13,comp,900,300,400,900,16500,16500,22.54234829,0,22.86048311,1.040396259,0,1,0.9234027778,ok
LR_abab_stop,0,13,all,900,300,400,900,16500,16500,3745.952862,54371.28411,22.86048311,1.040396259,,1,0.9234027778,ok
LR_abab_stop,0,14,top,800,300,300,800,17300,17300,237.5212745,38932.00001,22.9009341,1.111388463,17.6886523,1,0.903828125,ok
LR_abab_stop,0,14,mid1,800,300,300,800,17300,17300,1636.437095,17765.59742,22.9009341,1.111388463,13.1554065,1,0.903828125,ok
LR_abab_stop,0,14,mid2,800,300,300,800,17300,17300,1638.520636,1559.796987,22.9009341,1.111388463,3.938710483,1,0.903828125,ok
LR_abab_stop,0,14,low,800,300,300,800,17300,17300,381.7339752,29.68280049,22.9009341,1.111388463,0.5427172395,1,0.903828125,ok
LR_abab_stop,0,14,mu,800,300,300,800,17300,17300,0.2686255991,0,22.9009341,1.111388463,0,1,0.903828125,ok
LR_abab_stop,0,14,comp,800,300,300,800,17300,17300,22.65911763,0,22.9009341,1.111388463,0,1,0.903828125,ok
LR_abab_stop,0,14,all,800,300,300,800,17300,17300,3917.140723,58287.07722,22.9009341,1.111388463,,1,0.903828125,ok
LR_abab_stop,0,15,top,900,300,400,900,18200,18200,244.07236,37783.31359,23.49757265,1.046267387,18.41061143,1,0.9190972222,ok
LR_abab_stop,0,15,mid1,900,300,400,900,18200,18200,1693.654456,18320.34502,23.49757265,1.046267387,13.43245898,1,0.9190972222,ok
LR_abab_stop,0,15,mid2,900,300,400,900,18200,18200,1717.283452,1633.175131,23.49757265,1.046267387,4.00608496,1,0.9190972222,ok
LR_abab_stop,0,15,low,900,300,400,900,18200,18200,403.1406386,31.34695173,23.49757265,1.046267387,0.5602349003,1,0.9190972222,ok
LR_abab_stop,0,15,mu,900,300,400,900,18200,18200,0.2900525074,0,23.49757265,1.046267387,0,1,0.9190972222,ok
LR_abab_stop,0,15,comp,900,300,400,900,18200,18200,22.74738825,0,23.49757265,1.046267387,0,1,0.9190972222,ok
LR_abab_stop,0,15,all,900,300,400,900,18200,18200,4081.188348,57768.18069,23.49757265,1.046267387,,1,0.9190972222,ok
LR_abab_stop,0,16,top,800,300,300,800,19000,19000,245.2727239,40919.25185,23.95787172,1.073027491,19.12990037,1,0.91046875,ok
LR_abab_stop,0,16,mid1,800,300,300,800,19000,19000,1754.76554,18922.44057,23.95787172,1.073027491,13.57159061,1,0.91046875,ok
LR_abab_stop,0,16,mid2,800,300,300,800,19000,19000,1802.230247,1715.034614,23.95787172,1.073027491,4.117519172,1,0.91046875,ok
LR_abab_stop,0,16,low,800,300,300,800,19000,19000,422.948757,32.86385535,23.95787172,1.073027491,0.570427082,1,0.91046875,ok
LR_abab_stop,0,16,mu,800,300,300,800,19000,19000,0.3119046692,0,23.95787172,1.073027491,0,1,0.91046875,ok
LR_abab_stop,0,16,comp,800,300,300,800,19000,19000,22.86031653,0,23.95787172,1.073027491,0,1,0.91046875,ok
LR_abab_stop,0,16,all,800,300,300,800,19000,19000,4248.389489,61589.59089,23.95787172,1.073027491,,1,0.91046875,ok
LR_abab_stop,0,17,top,900,300,400,900,19900,19900,249.6904424,38816.01533,23.15853191,1.117457221,17.78277893,1,0.9225694444,ok
LR_abab_stop,0,17,mid1,900,300,400,900,19900,19900,1814.005581,19298.97428,23.15853191,1.117457221,13.72132095,1,0.9225694444,ok
LR_abab_stop,0,17,mid2,900,300,400,900,19900,19900,1876.562959,1781.606513,23.15853191,1.117457221,4.168635432,1,0.9225694444,ok
LR_abab_stop,0,17,low,900,300,400,900,19900,19900,444.9784707,34.60140054,23.15853191,1.117457221,0.5865199878,1,0.9225694444,ok
LR_abab_stop,0,17,mu,900,300,400,900,19900,19900,0.3389537875,0,23.15853191,1.117457221,0,1,0.9225694444,ok
LR_abab_stop,0,17,comp,900,300,400,900,19900,19900,22.94908563,0,23.15853191,1.117457221,0,1,0.9225694444,ok
LR_abab_stop,0,17,all,900,300,400,900,19900,19900,4408.525492,59931.19752,23.15853191,1.117457221,,1,0.9225694444,ok
LR_abab_stop,0,18,top,900,300,400,900,20800,20800,247.3870174,40629.54531,24.20169542,1.072134467,18.87933672,1,0.9209722222,ok
LR_abab_stop,0,18,mid1,900,300,400,900,20800,20800,1888.769687,20269.5937,24.20169542,1.072134467,14.0142108,1,0.9209722222,ok
LR_abab_stop,0,18,mid2,900,300,400,900,20800,20800,1961.61847,1861.968948,24.20169542,1.072134467,4.272134359,1,0.9209722222,ok
LR_abab_stop,0,18,low,900,300,400,900,20800,20800,465.8094107,36.17303047,24.20169542,1.072134467,0.5980243304,1,0.9209722222,ok
LR_abab_stop,0,18,mu,900,300,400,900,20800,20800,0.3660111813,0,24.20169542,1.072134467,0,1,0.9209722222,ok
LR_abab_stop,0,18,comp,900,300,400,900,20800,20800,23.04978411,0,24.20169542,1.072134467,0,1,0.9209722222,ok
LR_abab_stop,0,18,all,900,300,400,900,20800,20800,4587.00038,62797.281,24.20169542,1.072134467,,1,0.9209722222,ok
LR_abab_stop,0,19,top,800,300,300,800,21600,21600,251.024904,41801.89559,24.22054474,1.098619812,19.08559317,1,0.916953125,ok
LR_abab_stop,0,19,mid1,800,300,300,800,21600,21600,1943.558122,20683.82223,24.22054474,1.098619812,14.27708598,1,0.916953125,ok
LR_abab_stop,0,19,mid2,800,300,300,800,21600,21600,2032.031359,1925.36541,24.22054474,1.098619812,4.31195619,1,0.916953125,ok
LR_abab_stop,0,19,low,800,300,300,800,21600,21600,486.4964703,37.77674202,24.22054474,1.098619812,0.6128721269,1,0.916953125,ok
LR_abab_stop,0,19,mu,800,300,300,800,21600,21600,0.3962904272,0,24.22054474,1.098619812,0,1,0.916953125,ok
LR_abab_stop,0,19,comp,800,300,300,800,21600,21600,23.15396131,0,24.22054474,1.098619812,0,1,0.916953125,ok
LR_abab_stop,0,19,all,800,300,300,800,21600,21600,4736.661106,64448.85997,24.22054474,1.098619812,,1,0.916953125,ok
LR_abab_stop,0,20,top,900,300,400,900,22500,22500,253.2817979,43552.72241,24.24054593,1.139389606,18.90643723,1,0.9222916667,ok
LR_abab_stop,0,20,mid1,900,300,400,900,22500,22500,2003.74465,21346.56124,24.24054593,1.139389606,14.40935952,1,0.9222916667,ok
LR_abab_stop,0,20,mid2,900,300,400,900,22500,22500,2122.472307,2012.230138,24.24054593,1.139389606,4.416272812,1,0.9222916667,ok
LR_abab_stop,0,20,low,900,300,400,900,22500,22500,508.4556772,39.48286779,24.24054593,1.139389606,0.6277800183,1,0.9222916667,ok
LR_abab_stop,0,20,mu,900,300,400,900,22500,22500,0.42561258,0,24.24054593,1.139389606,0,1,0.9222916667,ok
LR_abab_stop,0,20,comp,900,300,400,900,22500,22500,23.25984743,0,24.24054593,1.139389606,0,1,0.9222916667,ok
LR_abab_stop,0,20,all,900,300,400,900,22500,22500,4911.639892,66950.99665,24.24054593,1.139389606,,1,0.9222916667,ok
LR_abab_stop,0,21,top,900,300,400,900,23400,23400,251.7664749,42587.56699,24.45371635,1.114684978,18.87318946,1,0.9246527778,ok
LR_abab_stop,0,21,mid1,900,300,400,900,23400,23400,2073.824408,21949.1736,24.45371635,1.114684978,14.69595942,1,0.9246527778,ok
LR_abab_stop,0,21,mid2,900,300,400,900,23400,23400,2199.450878,2078.48146,24.45371635,1.114684978,4.492720198,1,0.9246527778,ok
LR_abab_stop,0,21,low,900,300,400,900,23400,23400,530.9198107,41.18328646,24.45371635,1.114684978,0.6425887854,1,0.9246527778,ok
LR_abab_stop,0,21,mu,900,300,400,900,23400,23400,0.451662574,0,24.45371635,1.114684978,0,1,0.9246527778,ok
LR_abab_stop,0,21,comp,900,300,400,900,23400,23400,23.36181268,0,24.45371635,1.114684978,0,1,0.9246527778,ok
LR_abab_stop,0,21,all,900,300,400,900,23400,23400,5079.775047,66656.40533,24.45371635,1.114684978,,1,0.9246527778,ok
LR_abab_stop,0,22,top,800,300,300,800,24200,24200,262.2602379,44372.30476,24.83802005,1.117627956,19.7196616,1,0.9128125,ok
LR_abab_stop,0,22,mid1,800,300,300,800,24200,24200,2122.170338,22370.03443,24.83802005,1.117627956,14.73282387,1,0.9128125,ok
LR_abab_stop,0,22,mid2,800,300,300,800,24200,24200,2287.030052,2164.285574,24.83802005,1.117627956,4.572878662,1,0.9128125,ok
LR_abab_stop,0,22,low,800,300,300,800,24200,24200,552.5534111,42.88826323,24.83802005,1.117627956,0.6530493057,1,0.9128125,ok
LR_abab_stop,0,22,mu,800,300,300,800,24200,24200,0.4822949147,0,24.83802005,1.117627956,0,1,0.9128125,ok
LR_abab_stop,0,22,comp,800,300,300,800,24200,24200,23.46684839,0,24.83802005,1.117627956,0,1,0.9128125,ok
LR_abab_stop,0,22,all,800,300,300,800,24200,24200,5247.963182,68949.51303,24.83802005,1.117627956,,1,0.9128125,ok
LR_abab_stop,0,23,top,800,300,300,800,25000,25000,268.8004524,44719.44388,25.38778314,1.084461249,19.91414857,1,0.915703125,ok
LR_abab_stop,0,23,mid1,800,300,300,800,25000,25000,2176.133213,22903.72027,25.38778314,1.084461249,15.03049841,1,0.915703125,ok
LR_abab_stop,0,23,mid2,800,300,300,800,25000,25000,2358.763235,2230.047294,25.38778314,1.084461249,4.630548607,1,0.915703125,ok
LR_abab_stop,0,23,low,800,300,300,800,25000,25000,574.1623433,44.60323474,25.38778314,1.084461249,0.6675438014,1,0.915703125,ok
LR_abab_stop,0,23,mu,800,300,300,800,25000,25000,0.5087951609,0,25.38778314,1.084461249,0,1,0.915703125,ok
LR_abab_stop,0,23,comp,800,300,300,800,25000,25000,23.56496888,0,25.38778314,1.084461249,0,1,0.915703125,ok
LR_abab_stop,0,23,all,800,300,300,800,25000,25000,5401.933008,69897.81467,25.38778314,1.084461249,,1,0.915703125,ok
LR_abab_stop,0,24,top,900,300,400,900,25900,25900,278.4784841,47591.28684,25.56140721,1.122774115,20.34042096,1,0.9250694444,ok
LR_abab_stop,0,24,mid1,900,300,400,900,25900,25900,2231.874895,23416.66023,25.56140721,1.122774115,15.00649991,1,0.9250694444,ok
LR_abab_stop,0,24,mid2,900,300,400,900,25900,25900,2440.010743,2306.192681,25.56140721,1.122774115,4.724306388,1,0.9250694444,ok
LR_abab_stop,0,24,low,900,300,400,900,25900,25900,595.9880115,46.29723737,25.56140721,1.122774115,0.6803429288,1,0.9250694444,ok
LR_abab_stop,0,24,mu,900,300,400,900,25900,25900,0.5334827002,0,25.56140721,1.122774115,0,1,0.9250694444,ok
LR_abab_stop,0,24,comp,900,300,400,900,25900,25900,23.66027475,0,25.56140721,1.122774115,0,1,0.9250694444,ok
LR_abab_stop,0,24,all,900,300,400,900,25900,25900,5570.54589,73360.43698,25.56140721,1.122774115,,1,0.9250694444,ok
LR_abab_stop,0,25,top,800,300,300,800,26700,26700,282.898013,47006.14246,25.68000603,1.10838522,19.75317386,1,0.9221875,ok
LR_abab_stop,0,25,mid1,800,300,300,800,26700,26700,2278.028941,23670.71575,25.68000603,1.10838522,15.22212583,1,0.9221875,ok
LR_abab_stop,0,25,mid2,800,300,300,800,26700,26700,2510.145605,2369.081799,25.68000603,1.10838522,4.788311959,1,0.9221875,ok
LR_abab_stop,0,25,low,800,300,300,800,26700,26700,616.8301684,47.93205464,25.68000603,1.10838522,0.6904281079,1,0.9221875,ok
LR_abab_stop,0,25,mu,800,300,300,800,26700,26700,0.5615883966,0,25.68000603,1.10838522,0,1,0.9221875,ok
LR_abab_stop,0,25,comp,800,300,300,800,26700,26700,23.75734065,0,25.68000603,1.10838522,0,1,0.9221875,ok
LR_abab_stop,0,25,all,800,300,300,800,26700,26700,5712.221656,73093.87207,25.68000603,1.10838522,,1,0.9221875,ok
LR_abab_stop,0,26,top,900,300,400,900,27600,27600,286.9006699,48334.61628,25.92326441,1.117355089,19.9871455,1,0.9218055556,ok
LR_abab_stop,0,26,mid1,900,300,400,900,27600,27600,2332.4306,24251.28941,25.92326441,1.117355089,15.31040297,1,0.9218055556,ok
LR_abab_stop,0,26,mid2,900,300,400,900,27600,27600,2600.553217,2452.425192,25.92326441,1.117355089,4.91062955,1,0.9218055556,ok
LR_abab_stop,0,26,low,900,300,400,900,27600,27600,639.8090647,49.67833741,25.92326441,1.117355089,0.7062747287,1,0.9218055556,ok
LR_abab_stop,0,26,mu,900,300,400,900,27600,27600,0.5910840812,0,25.92326441,1.117355089,0,1,0.9218055556,ok
LR_abab_stop,0,26,comp,900,300,400,900,27600,27600,23.85889346,0,25.92326441,1.117355089,0,1,0.9218055556,ok
LR_abab_stop,0,26,all,900,300,400,900,27600,27600,5884.143529,75088.00922,25.92326441,1.117355089,,1,0.9218055556,ok
LR_abab_stop,0,27,top,800,200,300,800,28400,28400,291.1069987,48668.14018,26.09380105,1.112278582,20.18881544,1,0.92015625,ok
LR_abab_stop,0,27,mid1,800,200,300,800,28400,28400,2381.091445,24485.7046,26.09380105,1.112278582,15.49592262,1,0.92015625,ok
LR_abab_stop,0,27,mid2,800,200,300,800,28400,28400,2682.776157,2528.396171,26.09380105,1.112278582,4.950092777,1,0.92015625,ok
LR_abab_stop,0,27,low,800,200,300,800,28400,28400,661.0591804,51.30089206,26.09380105,1.112278582,0.7149901998,1,0.92015625,ok
LR_abab_stop,0,27,mu,800,200,300,800,28400,28400,0.623354361,0,26.09380105,1.112278582,0,1,0.92015625,ok
LR_abab_stop,0,27,comp,800,200,300,800,28400,28400,23.96478903,0,26.09380105,1.112278582,0,1,0.92015625,ok
LR_abab_stop,0,27,all,800,200,300,800,28400,28400,6040.621925,75733.54184,26.09380105,1.112278582,,1,0.92015625,ok
LR_abab_stop,0,28,top,800,300,300,800,29200,29200,288.3124354,47894.80476,26.70285942,1.061913211,20.38610575,1,0.923203125,ok
LR_abab_stop,0,28,mid1,800,300,300,800,29200,29200,2439.369652,25160.21215,26.70285942,1.061913211,15.72789261,1,0.923203125,ok
LR_abab_stop,0,28,mid2,800,300,300,800,29200,29200,2769.738753,2610.842152,26.70285942,1.061913211,5.054960244,1,0.923203125,ok
LR_abab_stop,0,28,low,800,300,300,800,29200,29200,683.4904599,53.08738453,26.70285942,1.061913211,0.7279432705,1,0.923203125,ok
LR_abab_stop,0,28,mu,800,300,300,800,29200,29200,0.6498103432,0,26.70285942,1.061913211,0,1,0.923203125,ok
LR_abab_stop,0,28,comp,800,300,300,800,29200,29200,24.08271776,0,26.70285942,1.061913211,0,1,0.923203125,ok
LR_abab_stop,0,28,all,800,300,300,800,29200,29200,6205.643829,75718.94646,26.70285942,1.061913211,,1,0.923203125,ok
LR_abab_stop,0,29,top,900,300,400,900,30100,30100,290.4612042,48899.4588,25.92807729,1.147543501,19.63161626,1,0.9274305556,ok
LR_abab_stop,0,29,mid1,900,300,400,900,30100,30100,2487.457792,25518.20292,25.92807729,1.147543501,16.01711365,1,0.9274305556,ok
LR_abab_stop,0,29,mid2,900,300,400,900,30100,30100,2841.961869,2672.878272,25.92807729,1.147543501,5.095147052,1,0.9274305556,ok
