arm,seed,T_present,provenance_present,report_only,provenance_path,tc_source,max_identity_abs,max_identity_rel,max_bandsum_err,max_bandsum_rel,max_V_sum_err,max_V_sum_rel,V_mu_max,V_comp_max,sigma_med_vs_trace_max_abs,tc_repair_bad_tasks,trace_tc_column_already_per_row,steps_vs_last_step_bad_tasks,nonfinite_snapshots
LR_abc,1,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,1.932676241e-12,1.006153877e-15,1.818989404e-12,2.210982095e-16,5.820766091e-11,3.612859457e-16,0,0,3.448956711e-06,,False,,
SNA_abab,1,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,4.064304449e-12,6.396865451e-16,7.275957614e-12,2.775926423e-16,1.455191523e-11,2.180827899e-16,0,0,4.155498427e-06,,False,,
LR_abab_stop,1,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab_stop/seed1/provenance.json,tc_at_task_end diff;trace last row,1.833200258e-12,8.122403415e-16,1.818989404e-12,2.826757328e-16,1.455191523e-11,2.180847775e-16,0,0,3.09717845e-06,,False,,
LR_iid_stop,1,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid_stop/seed1/provenance.json,tc_at_task_end diff;trace last row,5.229594535e-12,9.909480721e-16,3.637978807e-12,2.525821447e-16,2.910383046e-11,3.008715428e-16,0,0,4.75756503e-06,,False,,
LR_iid_ext,1,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,2.910383046e-11,1.008067098e-15,1.455191523e-11,2.539784612e-16,1.164153218e-10,2.397557654e-16,0,0,,,,,
SNA_iid_ext,1,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,7.275957614e-12,1.236286403e-15,7.275957614e-12,3.881994946e-16,1.455191523e-11,2.134680294e-16,0,0,,,,,
LR_iid,2,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,1.773514668e-11,8.924083379e-16,1.455191523e-11,2.201231092e-16,2.328306437e-10,3.4600231e-16,0,0,1.420331603e-05,,False,,
LR_abab,2,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,1.283240181e-11,8.924083379e-16,1.455191523e-11,3.638522309e-16,5.820766091e-11,2.520246156e-16,0,0,1.184388765e-05,,False,,
LR_aaaa,2,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,9.382911115e-12,1.018947263e-15,3.637978807e-12,3.409164365e-16,5.820766091e-11,4.319671289e-16,0,0,9.021135064e-06,,False,,
LR_abc,2,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,2.216893336e-12,1.076734161e-15,1.818989404e-12,2.12757036e-16,2.910383046e-11,1.635043333e-16,0,0,6.367159976e-06,,False,,
SNA_abab,2,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,5.947242698e-12,5.923159675e-16,3.637978807e-12,3.160159379e-16,1.455191523e-11,4.010728018e-16,0,0,4.699631713e-06,,False,,
LR_abab_stop,2,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab_stop/seed2/provenance.json,tc_at_task_end diff;trace last row,2.678746114e-12,7.785091447e-16,3.637978807e-12,4.184497314e-16,2.910383046e-11,3.896377079e-16,0,0,3.681294633e-06,,False,,
LR_iid_stop,2,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid_stop/seed2/provenance.json,tc_at_task_end diff;trace last row,5.00222086e-12,7.647326503e-16,3.637978807e-12,3.548962943e-16,5.820766091e-11,2.929174585e-16,0,0,8.395790623e-06,,False,,
LR_iid_ext,2,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,2.41016096e-11,7.093374714e-16,1.455191523e-11,2.12757036e-16,2.328306437e-10,4.145021733e-16,0,0,,,,,
SNA_iid_ext,2,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,5.570655048e-12,8.812558602e-16,7.275957614e-12,3.874156632e-16,2.910383046e-11,2.179646807e-16,0,0,,,,,
LR_iid,3,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,1.227817847e-11,8.517601487e-16,2.910383046e-11,3.888525832e-16,2.328306437e-10,3.994008867e-16,0,0,1.359151435e-05,,False,,
LR_abab,3,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,1.041655651e-11,8.517601487e-16,7.275957614e-12,3.021580893e-16,5.820766091e-11,2.154361657e-16,0,0,8.416308667e-06,,False,,
LR_aaaa,3,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,5.229594535e-12,1.142651926e-15,3.637978807e-12,2.153739907e-16,1.164153218e-10,3.70604469e-16,0,0,7.396617228e-06,,False,,
LR_abc,3,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,4.348521543e-12,8.517601487e-16,3.637978807e-12,3.307924434e-16,2.910383046e-11,2.974774057e-16,0,0,5.578144794e-06,,False,,
SNA_abab,3,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,8.057554624e-12,8.932721816e-16,7.275957614e-12,3.788596503e-16,1.455191523e-11,3.230985337e-16,0,0,3.696566122e-06,,False,,
LR_abab_stop,3,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab_stop/seed3/provenance.json,tc_at_task_end diff;trace last row,1.435296326e-12,7.1384356e-16,1.818989404e-12,2.685185506e-16,1.455191523e-11,2.439234204e-16,0,0,3.300425291e-06,,False,,
LR_iid_stop,3,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid_stop/seed3/provenance.json,tc_at_task_end diff;trace last row,5.570655048e-12,1.041186781e-15,3.637978807e-12,2.145225565e-16,2.910383046e-11,1.912936521e-16,0,0,6.036237224e-06,,False,,
LR_iid_ext,3,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,1.364242053e-11,1.053464545e-15,1.455191523e-11,2.241040449e-16,1.164153218e-10,2.213022296e-16,0,0,,,,,
SNA_iid_ext,3,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,5.798028724e-12,5.487554014e-16,3.637978807e-12,2.652249878e-16,2.910383046e-11,2.98707611e-16,0,0,,,,,
LR_iid,4,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,1.591615728e-11,1.77553617e-15,1.455191523e-11,3.903224491e-16,2.328306437e-10,3.228954312e-16,0,0,1.311973084e-05,,False,,
LR_abab,4,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,9.990230865e-12,1.77553617e-15,7.275957614e-12,3.457796887e-16,1.164153218e-10,4.216379553e-16,0,0,9.395969329e-06,,False,,
LR_aaaa,4,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,6.311652589e-12,1.77553617e-15,3.637978807e-12,3.45041641e-16,5.820766091e-11,3.839441273e-16,0,0,8.581424979e-06,,False,,
LR_abc,4,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,1.591615728e-12,1.77553617e-15,1.818989404e-12,3.45041641e-16,2.910383046e-11,2.659488102e-16,0,0,3.792775153e-06,,False,,
SNA_abab,4,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,5.293543381e-12,4.535561523e-16,7.275957614e-12,3.548482167e-16,1.455191523e-11,4.414695471e-16,0,0,4.324365431e-06,,False,,
LR_abab_stop,4,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab_stop/seed4/provenance.json,tc_at_task_end diff;trace last row,4.092726158e-12,6.157103139e-16,3.637978807e-12,4.41368255e-16,2.910383046e-11,3.972972547e-16,0,0,3.954400128e-06,,False,,
LR_iid_stop,4,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid_stop/seed4/provenance.json,tc_at_task_end diff;trace last row,7.048583939e-12,5.839035929e-16,7.275957614e-12,3.967916465e-16,5.820766091e-11,3.616154655e-16,0,0,6.732978612e-06,,False,,
LR_iid_ext,4,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,1.500666258e-11,7.147245492e-16,1.455191523e-11,3.978396664e-16,2.328306437e-10,3.436442696e-16,0,0,,,,,
SNA_iid_ext,4,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,5.911715562e-12,5.770588301e-16,7.275957614e-12,2.813035131e-16,4.365574569e-11,4.424560731e-16,0,0,,,,,
LR_iid,5,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,2.955857781e-11,1.564108149e-15,2.910383046e-11,4.089771164e-16,1.164153218e-10,2.864341144e-16,0,0,1.131447823e-05,,False,,
LR_abab,5,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,1.023181539e-11,5.874175862e-16,7.275957614e-12,2.675891618e-16,1.164153218e-10,3.45835304e-16,0,0,9.298273909e-06,,False,,
LR_aaaa,5,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,3.0523431e-12,7.836325575e-16,3.637978807e-12,2.313408093e-16,5.820766091e-11,2.800335257e-16,0,0,8.299949265e-06,,False,,
LR_abc,5,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,1.847411113e-12,6.336852993e-16,1.818989404e-12,2.059505052e-16,2.910383046e-11,3.076495965e-16,0,0,3.965622156e-06,,False,,
SNA_abab,5,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,6.878053682e-12,4.596040891e-16,7.275957614e-12,4.018022615e-16,1.455191523e-11,2.457427774e-16,0,0,3.337497972e-06,,False,,
LR_iid_ext,5,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,1.637090463e-11,5.351266804e-16,1.455191523e-11,2.440514451e-16,2.328306437e-10,4.077434263e-16,0,0,,,,,
SNA_iid_ext,5,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,7.275957614e-12,7.204101503e-16,7.275957614e-12,4.046701442e-16,2.910383046e-11,2.949120687e-16,0,0,,,,,
LR_iid,6,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,2.864908311e-11,1.185131159e-15,1.455191523e-11,2.128666287e-16,2.328306437e-10,3.447379396e-16,0,0,1.109863291e-05,,False,,
LR_abab,6,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,9.237055565e-12,1.185131159e-15,7.275957614e-12,2.209096125e-16,5.820766091e-11,2.811137221e-16,0,0,8.594451742e-06,,False,,
LR_aaaa,6,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,6.321100761e-12,7.616672377e-16,3.637978807e-12,2.144922387e-16,5.820766091e-11,2.322473798e-16,0,0,9.705069488e-06,,False,,
LR_abc,6,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,2.586375558e-12,1.185131159e-15,3.637978807e-12,3.404397739e-16,2.910383046e-11,3.068556986e-16,0,0,3.818005581e-06,,False,,
SNA_abab,6,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,3.741007504e-12,6.256433007e-16,3.637978807e-12,2.198303624e-16,1.455191523e-11,2.896072902e-16,0,0,3.445971238e-06,,False,,
LR_iid_ext,6,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,1.091393642e-11,1.201088882e-15,1.455191523e-11,4.101413463e-16,2.328306437e-10,3.76844501e-16,0,0,,,,,
SNA_iid_ext,6,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,5.115907697e-12,6.010977382e-16,7.275957614e-12,2.945588575e-16,2.910383046e-11,2.734694836e-16,0,0,,,,,
LR_iid,7,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,2.5920599e-11,8.859275674e-16,1.455191523e-11,2.177878238e-16,1.164153218e-10,2.590100203e-16,0,0,1.166013435e-05,,False,,
LR_abab,7,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,1.496403002e-11,1.031519974e-15,7.275957614e-12,3.757444847e-16,1.164153218e-10,3.401093796e-16,0,0,1.062418703e-05,,False,,
LR_aaaa,7,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,7.326116601e-12,8.245435684e-16,7.275957614e-12,3.087848194e-16,1.164153218e-10,3.57003347e-16,0,0,1.169003204e-05,,False,,
LR_abc,7,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,1.250555215e-12,7.322500416e-16,1.818989404e-12,2.091709022e-16,2.910383046e-11,2.006669986e-16,0,0,4.399848244e-06,,False,,
SNA_abab,7,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,5.186961971e-12,6.744613876e-16,7.275957614e-12,3.50617529e-16,1.455191523e-11,2.461164371e-16,0,0,4.793028666e-06,,False,,
LR_iid_ext,7,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,1.364242053e-11,7.615152423e-16,1.455191523e-11,3.49980215e-16,2.328306437e-10,3.153091212e-16,0,0,,,,,
SNA_iid_ext,7,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,5.229594535e-12,7.085456499e-16,7.275957614e-12,2.661000497e-16,2.910383046e-11,2.722942968e-16,0,0,,,,,
LR_iid,8,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,1.864464139e-11,7.768500133e-16,1.455191523e-11,2.095040876e-16,1.164153218e-10,3.394015044e-16,0,0,1.280715506e-05,,False,,
LR_abab,8,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,8.519407402e-12,7.962462489e-16,7.275957614e-12,2.174409603e-16,1.164153218e-10,3.762050035e-16,0,0,1.0976038e-05,,False,,
LR_aaaa,8,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,4.466330951e-12,9.922756896e-16,3.637978807e-12,2.078562893e-16,5.820766091e-11,2.838037777e-16,0,0,1.127412667e-05,,False,,
LR_abc,8,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,1.648459147e-12,6.60899968e-16,1.818989404e-12,2.114918245e-16,2.910383046e-11,2.189607663e-16,0,0,6.8512703e-06,,False,,
SNA_abab,8,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,4.307665336e-12,5.615601577e-16,7.275957614e-12,2.79450554e-16,1.455191523e-11,3.224035086e-16,0,0,4.008114168e-06,,False,,
LR_iid_ext,8,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,3.183231456e-11,6.502272064e-16,1.455191523e-11,2.581017038e-16,1.164153218e-10,2.327915006e-16,0,0,,,,,
SNA_iid_ext,8,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,6.252776075e-12,7.01276875e-16,3.637978807e-12,2.217012906e-16,2.910383046e-11,3.027495636e-16,0,0,,,,,
LR_iid,9,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,1.136868377e-11,9.54190736e-16,1.455191523e-11,2.19305763e-16,1.164153218e-10,2.461590102e-16,0,0,1.270710621e-05,,False,,
LR_abab,9,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,1.242506098e-11,7.472730284e-16,1.455191523e-11,3.340356085e-16,5.820766091e-11,3.239212002e-16,0,0,7.659212557e-06,,False,,
LR_aaaa,9,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,5.911715562e-12,8.532461212e-16,3.637978807e-12,2.531148107e-16,5.820766091e-11,3.126844828e-16,0,0,1.133112551e-05,,False,,
LR_abc,9,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,2.444267011e-12,6.101649206e-16,1.818989404e-12,1.832519072e-16,2.910383046e-11,2.06338684e-16,0,0,6.058995005e-06,,False,,
SNA_abab,9,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,5.949019055e-12,6.072603277e-16,3.637978807e-12,3.657525342e-16,1.455191523e-11,2.229625007e-16,0,0,3.811758418e-06,,False,,
LR_iid_ext,9,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,1.909938874e-11,8.95286878e-16,1.455191523e-11,2.464087579e-16,2.328306437e-10,3.422973107e-16,0,0,,,,,
SNA_iid_ext,9,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,6.707523426e-12,7.539611987e-16,7.275957614e-12,3.022595696e-16,2.910383046e-11,2.48897562e-16,0,0,,,,,
