fork_set,t,seed,branch,slot,band,N,V,sigma_med,H,snap,status
LR_abab_fork,2,1,B,stop,all,2827.231314,62530.48294,24.10090586,1.076527306,snap/fork_t02_B_seed1_stop.npz,ok
LR_abab_fork,2,1,B,end,top,290.1935692,45329.60844,24.10090586,1.076527306,snap/fork_t02_B_seed1_end.npz,ok
LR_abab_fork,2,1,B,end,mid1,1317.699167,16171.58361,24.10090586,1.076527306,snap/fork_t02_B_seed1_end.npz,ok
LR_abab_fork,2,1,B,end,mid2,985.2241303,1013.13913,24.10090586,1.076527306,snap/fork_t02_B_seed1_end.npz,ok
LR_abab_fork,2,1,B,end,low,207.2860463,16.15176025,24.10090586,1.076527306,snap/fork_t02_B_seed1_end.npz,ok
LR_abab_fork,2,1,B,end,mu,0.06342568171,0,24.10090586,1.076527306,snap/fork_t02_B_seed1_end.npz,ok
LR_abab_fork,2,1,B,end,comp,26.76497589,0,24.10090586,1.076527306,snap/fork_t02_B_seed1_end.npz,ok
LR_abab_fork,2,1,B,end,all,2827.231314,62530.48294,24.10090586,1.076527306,snap/fork_t02_B_seed1_end.npz,ok
LR_abab_fork,2,1,C,stop,top,331.2388835,50220.23845,25.26451937,1.124946483,snap/fork_t02_C_seed1_stop.npz,ok
LR_abab_fork,2,1,C,stop,mid1,1681.526519,20278.28224,25.26451937,1.124946483,snap/fork_t02_C_seed1_stop.npz,ok
LR_abab_fork,2,1,C,stop,mid2,1257.822416,1285.433134,25.26451937,1.124946483,snap/fork_t02_C_seed1_stop.npz,ok
LR_abab_fork,2,1,C,stop,low,267.6189848,20.9233453,25.26451937,1.124946483,snap/fork_t02_C_seed1_stop.npz,ok
LR_abab_fork,2,1,C,stop,mu,0.1085904982,0,25.26451937,1.124946483,snap/fork_t02_C_seed1_stop.npz,ok
LR_abab_fork,2,1,C,stop,comp,29.03554482,0,25.26451937,1.124946483,snap/fork_t02_C_seed1_stop.npz,ok
LR_abab_fork,2,1,C,stop,all,3567.350939,71804.87717,25.26451937,1.124946483,snap/fork_t02_C_seed1_stop.npz,ok
LR_abab_fork,2,1,C,end,top,333.1486301,50552.78865,25.33547811,1.125026167,snap/fork_t02_C_seed1_end.npz,ok
LR_abab_fork,2,1,C,end,mid1,1687.096136,20351.05501,25.33547811,1.125026167,snap/fork_t02_C_seed1_end.npz,ok
LR_abab_fork,2,1,C,end,mid2,1261.455212,1289.068082,25.33547811,1.125026167,snap/fork_t02_C_seed1_end.npz,ok
LR_abab_fork,2,1,C,end,low,268.5039511,20.99359043,25.33547811,1.125026167,snap/fork_t02_C_seed1_end.npz,ok
LR_abab_fork,2,1,C,end,mu,0.1088525392,0,25.33547811,1.125026167,snap/fork_t02_C_seed1_end.npz,ok
LR_abab_fork,2,1,C,end,comp,29.04131204,0,25.33547811,1.125026167,snap/fork_t02_C_seed1_end.npz,ok
LR_abab_fork,2,1,C,end,all,3579.354094,72213.90533,25.33547811,1.125026167,snap/fork_t02_C_seed1_end.npz,ok
LR_abab_fork,2,2,A,stop,top,281.4181602,42656.11223,24.70379686,1.035083411,snap/fork_t02_A_seed2_stop.npz,ok
LR_abab_fork,2,2,A,stop,mid1,1613.354113,19270.3764,24.70379686,1.035083411,snap/fork_t02_A_seed2_stop.npz,ok
LR_abab_fork,2,2,A,stop,mid2,1256.914611,1221.521702,24.70379686,1.035083411,snap/fork_t02_A_seed2_stop.npz,ok
LR_abab_fork,2,2,A,stop,low,283.0803277,20.80952337,24.70379686,1.035083411,snap/fork_t02_A_seed2_stop.npz,ok
LR_abab_fork,2,2,A,stop,mu,0.1317486373,0,24.70379686,1.035083411,snap/fork_t02_A_seed2_stop.npz,ok
LR_abab_fork,2,2,A,stop,comp,28.77221392,0,24.70379686,1.035083411,snap/fork_t02_A_seed2_stop.npz,ok
LR_abab_fork,2,2,A,stop,all,3463.671174,63168.81986,24.70379686,1.035083411,snap/fork_t02_A_seed2_stop.npz,ok
LR_abab_fork,2,2,A,end,top,286.2998123,43501.32001,24.78933152,1.045665287,snap/fork_t02_A_seed2_end.npz,ok
LR_abab_fork,2,2,A,end,mid1,1630.569656,19501.73597,24.78933152,1.045665287,snap/fork_t02_A_seed2_end.npz,ok
LR_abab_fork,2,2,A,end,mid2,1269.558843,1233.174926,24.78933152,1.045665287,snap/fork_t02_A_seed2_end.npz,ok
LR_abab_fork,2,2,A,end,low,286.3482657,21.04671548,24.78933152,1.045665287,snap/fork_t02_A_seed2_end.npz,ok
LR_abab_fork,2,2,A,end,mu,0.1318228354,0,24.78933152,1.045665287,snap/fork_t02_A_seed2_end.npz,ok
LR_abab_fork,2,2,A,end,comp,28.79811604,0,24.78933152,1.045665287,snap/fork_t02_A_seed2_end.npz,ok
LR_abab_fork,2,2,A,end,all,3501.706516,64257.27762,24.78933152,1.045665287,snap/fork_t02_A_seed2_end.npz,ok
LR_abab_fork,2,2,B,stop,top,289.5226397,42418.25271,24.490861,1.041445303,snap/fork_t02_B_seed2_stop.npz,ok
LR_abab_fork,2,2,B,stop,mid1,1528.348453,18980.88897,24.490861,1.041445303,snap/fork_t02_B_seed2_stop.npz,ok
LR_abab_fork,2,2,B,stop,mid2,1054.121033,1050.451786,24.490861,1.041445303,snap/fork_t02_B_seed2_stop.npz,ok
LR_abab_fork,2,2,B,stop,low,226.069609,16.53249053,24.490861,1.041445303,snap/fork_t02_B_seed2_stop.npz,ok
LR_abab_fork,2,2,B,stop,mu,0.1051130288,0,24.490861,1.041445303,snap/fork_t02_B_seed2_stop.npz,ok
LR_abab_fork,2,2,B,stop,comp,27.40742347,0,24.490861,1.041445303,snap/fork_t02_B_seed2_stop.npz,ok
LR_abab_fork,2,2,B,stop,all,3125.574271,62466.12595,24.490861,1.041445303,snap/fork_t02_B_seed2_stop.npz,ok
LR_abab_fork,2,2,B,end,top,289.5226397,42418.25271,24.490861,1.041445303,snap/fork_t02_B_seed2_end.npz,ok
LR_abab_fork,2,2,B,end,mid1,1528.348453,18980.88897,24.490861,1.041445303,snap/fork_t02_B_seed2_end.npz,ok
LR_abab_fork,2,2,B,end,mid2,1054.121033,1050.451786,24.490861,1.041445303,snap/fork_t02_B_seed2_end.npz,ok
LR_abab_fork,2,2,B,end,low,226.069609,16.53249053,24.490861,1.041445303,snap/fork_t02_B_seed2_end.npz,ok
LR_abab_fork,2,2,B,end,mu,0.1051130288,0,24.490861,1.041445303,snap/fork_t02_B_seed2_end.npz,ok
LR_abab_fork,2,2,B,end,comp,27.40742347,0,24.490861,1.041445303,snap/fork_t02_B_seed2_end.npz,ok
LR_abab_fork,2,2,B,end,all,3125.574271,62466.12595,24.490861,1.041445303,snap/fork_t02_B_seed2_end.npz,ok
LR_abab_fork,2,2,C,stop,top,311.0790052,48767.93882,25.5899744,1.087361175,snap/fork_t02_C_seed2_stop.npz,ok
LR_abab_fork,2,2,C,stop,mid1,1732.95351,21196.73149,25.5899744,1.087361175,snap/fork_t02_C_seed2_stop.npz,ok
LR_abab_fork,2,2,C,stop,mid2,1242.3435,1220.706615,25.5899744,1.087361175,snap/fork_t02_C_seed2_stop.npz,ok
LR_abab_fork,2,2,C,stop,low,273.1666994,20.12055001,25.5899744,1.087361175,snap/fork_t02_C_seed2_stop.npz,ok
LR_abab_fork,2,2,C,stop,mu,0.1780484904,0,25.5899744,1.087361175,snap/fork_t02_C_seed2_stop.npz,ok
LR_abab_fork,2,2,C,stop,comp,29.07368346,0,25.5899744,1.087361175,snap/fork_t02_C_seed2_stop.npz,ok
LR_abab_fork,2,2,C,stop,all,3588.794447,71205.49747,25.5899744,1.087361175,snap/fork_t02_C_seed2_stop.npz,ok
LR_abab_fork,2,2,C,end,top,319.823743,50258.65302,25.90967606,1.089783344,snap/fork_t02_C_seed2_end.npz,ok
LR_abab_fork,2,2,C,end,mid1,1763.796794,21640.02613,25.90967606,1.089783344,snap/fork_t02_C_seed2_end.npz,ok
LR_abab_fork,2,2,C,end,mid2,1261.237538,1239.255813,25.90967606,1.089783344,snap/fork_t02_C_seed2_end.npz,ok
LR_abab_fork,2,2,C,end,low,277.6238498,20.45383425,25.90967606,1.089783344,snap/fork_t02_C_seed2_end.npz,ok
LR_abab_fork,2,2,C,end,mu,0.1766266931,0,25.90967606,1.089783344,snap/fork_t02_C_seed2_end.npz,ok
LR_abab_fork,2,2,C,end,comp,29.1114189,0,25.90967606,1.089783344,snap/fork_t02_C_seed2_end.npz,ok
LR_abab_fork,2,2,C,end,all,3651.76997,73158.3888,25.90967606,1.089783344,snap/fork_t02_C_seed2_end.npz,ok
LR_abab_fork,2,3,A,stop,top,286.6615534,43952.58428,24.59180832,1.053323526,snap/fork_t02_A_seed3_stop.npz,ok
LR_abab_fork,2,3,A,stop,mid1,1630.928893,18472.23663,24.59180832,1.053323526,snap/fork_t02_A_seed3_stop.npz,ok
LR_abab_fork,2,3,A,stop,mid2,1291.923727,1253.368352,24.59180832,1.053323526,snap/fork_t02_A_seed3_stop.npz,ok
LR_abab_fork,2,3,A,stop,low,295.2339287,22.29219538,24.59180832,1.053323526,snap/fork_t02_A_seed3_stop.npz,ok
LR_abab_fork,2,3,A,stop,mu,0.1097220881,0,24.59180832,1.053323526,snap/fork_t02_A_seed3_stop.npz,ok
LR_abab_fork,2,3,A,stop,comp,26.52786541,0,24.59180832,1.053323526,snap/fork_t02_A_seed3_stop.npz,ok
LR_abab_fork,2,3,A,stop,all,3531.385689,63700.48145,24.59180832,1.053323526,snap/fork_t02_A_seed3_stop.npz,ok
LR_abab_fork,2,3,A,end,top,293.019536,44829.44067,24.88177902,1.046764213,snap/fork_t02_A_seed3_end.npz,ok
LR_abab_fork,2,3,A,end,mid1,1649.618761,18684.10526,24.88177902,1.046764213,snap/fork_t02_A_seed3_end.npz,ok
LR_abab_fork,2,3,A,end,mid2,1308.734986,1269.303668,24.88177902,1.046764213,snap/fork_t02_A_seed3_end.npz,ok
LR_abab_fork,2,3,A,end,low,299.6928336,22.6292358,24.88177902,1.046764213,snap/fork_t02_A_seed3_end.npz,ok
LR_abab_fork,2,3,A,end,mu,0.1098843065,0,24.88177902,1.046764213,snap/fork_t02_A_seed3_end.npz,ok
LR_abab_fork,2,3,A,end,comp,26.55509956,0,24.88177902,1.046764213,snap/fork_t02_A_seed3_end.npz,ok
LR_abab_fork,2,3,A,end,all,3577.7311,64805.47883,24.88177902,1.046764213,snap/fork_t02_A_seed3_end.npz,ok
LR_abab_fork,2,3,B,stop,top,316.3203421,48120.85034,25.42576559,1.044995641,snap/fork_t02_B_seed3_stop.npz,ok
LR_abab_fork,2,3,B,stop,mid1,1533.171795,18347.14764,25.42576559,1.044995641,snap/fork_t02_B_seed3_stop.npz,ok
LR_abab_fork,2,3,B,stop,mid2,1089.012158,1069.826921,25.42576559,1.044995641,snap/fork_t02_B_seed3_stop.npz,ok
LR_abab_fork,2,3,B,stop,low,239.1626262,17.96186412,25.42576559,1.044995641,snap/fork_t02_B_seed3_stop.npz,ok
LR_abab_fork,2,3,B,stop,mu,0.08135322096,0,25.42576559,1.044995641,snap/fork_t02_B_seed3_stop.npz,ok
LR_abab_fork,2,3,B,stop,comp,25.47203576,0,25.42576559,1.044995641,snap/fork_t02_B_seed3_stop.npz,ok
LR_abab_fork,2,3,B,stop,all,3203.22031,67555.78676,25.42576559,1.044995641,snap/fork_t02_B_seed3_stop.npz,ok
LR_abab_fork,2,3,B,end,top,316.3203421,48120.85034,25.42576559,1.044995641,snap/fork_t02_B_seed3_end.npz,ok
LR_abab_fork,2,3,B,end,mid1,1533.171795,18347.14764,25.42576559,1.044995641,snap/fork_t02_B_seed3_end.npz,ok
LR_abab_fork,2,3,B,end,mid2,1089.012158,1069.826921,25.42576559,1.044995641,snap/fork_t02_B_seed3_end.npz,ok
LR_abab_fork,2,3,B,end,low,239.1626262,17.96186412,25.42576559,1.044995641,snap/fork_t02_B_seed3_end.npz,ok
LR_abab_fork,2,3,B,end,mu,0.08135322096,0,25.42576559,1.044995641,snap/fork_t02_B_seed3_end.npz,ok
LR_abab_fork,2,3,B,end,comp,25.47203576,0,25.42576559,1.044995641,snap/fork_t02_B_seed3_end.npz,ok
LR_abab_fork,2,3,B,end,all,3203.22031,67555.78676,25.42576559,1.044995641,snap/fork_t02_B_seed3_end.npz,ok
LR_abab_fork,2,3,C,stop,top,348.7134681,50217.05976,26.53055263,1.042116828,snap/fork_t02_C_seed3_stop.npz,ok
LR_abab_fork,2,3,C,stop,mid1,1845.916986,21774.64418,26.53055263,1.042116828,snap/fork_t02_C_seed3_stop.npz,ok
LR_abab_fork,2,3,C,stop,mid2,1355.216813,1337.13331,26.53055263,1.042116828,snap/fork_t02_C_seed3_stop.npz,ok
LR_abab_fork,2,3,C,stop,low,299.4910005,22.66310639,26.53055263,1.042116828,snap/fork_t02_C_seed3_stop.npz,ok
LR_abab_fork,2,3,C,stop,mu,0.1372601845,0,26.53055263,1.042116828,snap/fork_t02_C_seed3_stop.npz,ok
LR_abab_fork,2,3,C,stop,comp,27.07515294,0,26.53055263,1.042116828,snap/fork_t02_C_seed3_stop.npz,ok
LR_abab_fork,2,3,C,stop,all,3876.550681,73351.50036,26.53055263,1.042116828,snap/fork_t02_C_seed3_stop.npz,ok
LR_abab_fork,2,3,C,end,top,351.7222386,49441.31543,26.61782915,1.029533266,snap/fork_t02_C_seed3_end.npz,ok
LR_abab_fork,2,3,C,end,mid1,1873.72145,22121.77277,26.61782915,1.029533266,snap/fork_t02_C_seed3_end.npz,ok
LR_abab_fork,2,3,C,end,mid2,1376.055998,1357.217145,26.61782915,1.029533266,snap/fork_t02_C_seed3_end.npz,ok
LR_abab_fork,2,3,C,end,low,304.5031265,23.03549629,26.61782915,1.029533266,snap/fork_t02_C_seed3_end.npz,ok
LR_abab_fork,2,3,C,end,mu,0.1401797882,0,26.61782915,1.029533266,snap/fork_t02_C_seed3_end.npz,ok
LR_abab_fork,2,3,C,end,comp,27.10142596,0,26.61782915,1.029533266,snap/fork_t02_C_seed3_end.npz,ok
LR_abab_fork,2,3,C,end,all,3933.244418,72943.34084,26.61782915,1.029533266,snap/fork_t02_C_seed3_end.npz,ok
LR_abab_fork,2,4,A,stop,top,273.9216948,37840.04011,23.21187201,1.061747992,snap/fork_t02_A_seed4_stop.npz,ok
LR_abab_fork,2,4,A,stop,mid1,1602.096451,18070.94233,23.21187201,1.061747992,snap/fork_t02_A_seed4_stop.npz,ok
LR_abab_fork,2,4,A,stop,mid2,1340.584813,1272.217813,23.21187201,1.061747992,snap/fork_t02_A_seed4_stop.npz,ok
LR_abab_fork,2,4,A,stop,low,308.0993849,22.82625886,23.21187201,1.061747992,snap/fork_t02_A_seed4_stop.npz,ok
LR_abab_fork,2,4,A,stop,mu,0.145444632,0,23.21187201,1.061747992,snap/fork_t02_A_seed4_stop.npz,ok
LR_abab_fork,2,4,A,stop,comp,27.98232094,0,23.21187201,1.061747992,snap/fork_t02_A_seed4_stop.npz,ok
LR_abab_fork,2,4,A,stop,all,3552.830109,57206.0265,23.21187201,1.061747992,snap/fork_t02_A_seed4_stop.npz,ok
LR_abab_fork,2,4,A,end,top,276.2993191,38203.82269,23.33017592,1.059906194,snap/fork_t02_A_seed4_end.npz,ok
LR_abab_fork,2,4,A,end,mid1,1610.986544,18184.71557,23.33017592,1.059906194,snap/fork_t02_A_seed4_end.npz,ok
LR_abab_fork,2,4,A,end,mid2,1347.951618,1278.877118,23.33017592,1.059906194,snap/fork_t02_A_seed4_end.npz,ok
LR_abab_fork,2,4,A,end,low,310.1574364,22.97227295,23.33017592,1.059906194,snap/fork_t02_A_seed4_end.npz,ok
LR_abab_fork,2,4,A,end,mu,0.146303429,0,23.33017592,1.059906194,snap/fork_t02_A_seed4_end.npz,ok
LR_abab_fork,2,4,A,end,comp,27.9930135,0,23.33017592,1.059906194,snap/fork_t02_A_seed4_end.npz,ok
LR_abab_fork,2,4,A,end,all,3573.534235,57690.38765,23.33017592,1.059906194,snap/fork_t02_A_seed4_end.npz,ok
LR_abab_fork,2,4,B,stop,top,290.8097001,41284.33934,23.36902643,1.094679505,snap/fork_t02_B_seed4_stop.npz,ok
LR_abab_fork,2,4,B,stop,mid1,1495.48628,17386.65635,23.36902643,1.094679505,snap/fork_t02_B_seed4_stop.npz,ok
LR_abab_fork,2,4,B,stop,mid2,1122.877988,1092.775881,23.36902643,1.094679505,snap/fork_t02_B_seed4_stop.npz,ok
LR_abab_fork,2,4,B,stop,low,241.8682792,17.9237489,23.36902643,1.094679505,snap/fork_t02_B_seed4_stop.npz,ok
LR_abab_fork,2,4,B,stop,mu,0.1101651074,0,23.36902643,1.094679505,snap/fork_t02_B_seed4_stop.npz,ok
LR_abab_fork,2,4,B,stop,comp,26.95068728,0,23.36902643,1.094679505,snap/fork_t02_B_seed4_stop.npz,ok
LR_abab_fork,2,4,B,stop,all,3178.1031,59781.69532,23.36902643,1.094679505,snap/fork_t02_B_seed4_stop.npz,ok
LR_abab_fork,2,4,B,end,top,290.8097001,41284.33934,23.36902643,1.094679505,snap/fork_t02_B_seed4_end.npz,ok
LR_abab_fork,2,4,B,end,mid1,1495.48628,17386.65635,23.36902643,1.094679505,snap/fork_t02_B_seed4_end.npz,ok
LR_abab_fork,2,4,B,end,mid2,1122.877988,1092.775881,23.36902643,1.094679505,snap/fork_t02_B_seed4_end.npz,ok
LR_abab_fork,2,4,B,end,low,241.8682792,17.9237489,23.36902643,1.094679505,snap/fork_t02_B_seed4_end.npz,ok
LR_abab_fork,2,4,B,end,mu,0.1101651074,0,23.36902643,1.094679505,snap/fork_t02_B_seed4_end.npz,ok
LR_abab_fork,2,4,B,end,comp,26.95068728,0,23.36902643,1.094679505,snap/fork_t02_B_seed4_end.npz,ok
LR_abab_fork,2,4,B,end,all,3178.1031,59781.69532,23.36902643,1.094679505,snap/fork_t02_B_seed4_end.npz,ok
LR_abab_fork,2,4,C,stop,top,303.2712335,43268.96638,24.34741931,1.080593668,snap/fork_t02_C_seed4_stop.npz,ok
LR_abab_fork,2,4,C,stop,mid1,1720.422981,19460.58734,24.34741931,1.080593668,snap/fork_t02_C_seed4_stop.npz,ok
LR_abab_fork,2,4,C,stop,mid2,1352.522451,1305.494268,24.34741931,1.080593668,snap/fork_t02_C_seed4_stop.npz,ok
LR_abab_fork,2,4,C,stop,low,296.1396252,22.20178965,24.34741931,1.080593668,snap/fork_t02_C_seed4_stop.npz,ok
LR_abab_fork,2,4,C,stop,mu,0.1569427833,0,24.34741931,1.080593668,snap/fork_t02_C_seed4_stop.npz,ok
LR_abab_fork,2,4,C,stop,comp,28.32571968,0,24.34741931,1.080593668,snap/fork_t02_C_seed4_stop.npz,ok
LR_abab_fork,2,4,C,stop,all,3700.838953,64057.24978,24.34741931,1.080593668,snap/fork_t02_C_seed4_stop.npz,ok
