geometry,optimizer,seed,task,observed_V,model_V,constant_V
avg16,adam,302,30,3251.3579344589443,2762.68793665842,3080.7623626059435
avg16,adam,302,31,3183.1529771804617,2744.1214446403615,3080.7623626059435
avg16,adam,302,32,3369.2983299,2731.256772507376,3080.7623626059435
avg16,adam,302,33,3407.0312299287325,2722.342875960401,3080.7623626059435
avg16,adam,302,34,3372.5921882516213,2716.1664611377923,3080.7623626059435
avg16,adam,302,35,3403.72525209382,2711.8868400024216,3080.7623626059435
avg16,adam,302,36,3563.077309976554,2708.921502085793,3080.7623626059435
avg16,adam,302,37,3508.378357518828,2706.8668274588445,3080.7623626059435
avg16,adam,302,38,3584.0703444209635,2705.443148963739,3080.7623626059435
avg16,adam,302,39,3638.8009918416747,2704.456685982768,3080.7623626059435
avg16,adam,302,40,3737.1500441101357,2703.7731684497207,3080.7623626059435
avg16,adam,302,41,3746.1161232569493,2703.299560998661,3080.7623626059435
avg16,adam,302,42,3696.313719755442,2702.97139967601,3080.7623626059435
avg16,adam,302,43,3796.622490078827,2702.744017582585,3080.7623626059435
avg16,adam,302,44,4006.6278057346917,2702.586465144678,3080.7623626059435
avg16,adam,302,45,3942.231493681149,2702.4772974863263,3080.7623626059435
avg16,adam,302,46,3941.587674149707,2702.4016555109406,3080.7623626059435
avg16,adam,302,47,3824.1881117481757,2702.3492433906604,3080.7623626059435
avg16,adam,302,48,3842.8812709353033,2702.312927174192,3080.7623626059435
avg16,adam,302,49,3828.6191544524095,2702.2877637659653,3080.7623626059435
avg16,adam,302,50,3839.909527450146,2702.270328108423,3080.7623626059435
avg16,adam,303,26,3070.462068324686,2961.6651584553156,3062.7974690204583
avg16,adam,303,27,3010.48830432379,2890.39885610744,3062.7974690204583
avg16,adam,303,28,3264.570372409774,2840.178646345028,3062.7974690204583
avg16,adam,303,29,3220.558142089351,2804.789277379741,3062.7974690204583
avg16,adam,303,30,3163.9624303103014,2779.8509618751614,3062.7974690204583
avg16,adam,303,31,3190.759060592585,2762.277334585678,3062.7974690204583
avg16,adam,303,32,3167.9113761296308,2749.8934838780006,3062.7974690204583
avg16,adam,303,33,3223.3677681920212,2741.1667847268345,3062.7974690204583
avg16,adam,303,34,3328.3745508072698,2735.017221083617,3062.7974690204583
avg16,adam,303,35,3334.1518401359076,2730.683723119851,3062.7974690204583
avg16,adam,303,36,3366.6858229640443,2727.629977245918,3062.7974690204583
avg16,adam,303,37,3507.0014821960053,2725.4780519558776,3062.7974690204583
avg16,adam,303,38,3533.8023561602654,2723.961625034619,3062.7974690204583
avg16,adam,303,39,3455.7835744664467,2722.8930235277912,3062.7974690204583
avg16,adam,303,40,3572.7378736292603,2722.1399973421003,3062.7974690204583
avg16,adam,303,41,3644.8088509662903,2721.609351977376,3062.7974690204583
avg16,adam,303,42,3628.778407462922,2721.235414777774,3062.7974690204583
avg16,adam,303,43,3670.837979123301,2720.971907285688,3062.7974690204583
avg16,adam,303,44,3646.148427565764,2720.7862178210944,3062.7974690204583
avg16,adam,303,45,3723.4057930862673,2720.655365460928,3062.7974690204583
avg16,adam,303,46,3811.3678380214933,2720.5631559206686,3062.7974690204583
avg16,adam,303,47,3733.1035688450697,2720.498177350133,3062.7974690204583
avg16,adam,303,48,3820.810324663801,2720.4523880032066,3062.7974690204583
avg16,adam,303,49,3889.2105028768883,2720.420120991565,3062.7974690204583
avg16,adam,303,50,4145.092873523073,2720.3973829507286,3062.7974690204583
avg16,adam,304,26,2902.29453142283,2855.4092772148438,2961.16163796808
avg16,adam,304,27,2906.7669560883064,2781.819270310469,2961.16163796808
avg16,adam,304,28,2994.3987147445105,2730.61011452791,2961.16163796808
avg16,adam,304,29,2889.465733789771,2694.97514523962,2961.16163796808
avg16,adam,304,30,3063.1656579760242,2670.1778015464465,2961.16163796808
avg16,adam,304,31,3253.2370985346147,2652.922047815815,2961.16163796808
avg16,adam,304,32,3250.943257874193,2640.9142682529505,2961.16163796808
avg16,adam,304,33,3298.284479005416,2632.5584020137153,2961.16163796808
avg16,adam,304,34,3242.7872475817485,2626.7437965537747,2961.16163796808
avg16,adam,304,35,3337.3509024707946,2622.697580914753,2961.16163796808
avg16,adam,304,36,3368.1850085062774,2619.8819365670392,2961.16163796808
avg16,adam,304,37,3355.8014108520088,2617.9226111627395,2961.16163796808
avg16,adam,304,38,3536.1345510713477,2616.5591733254814,2961.16163796808
avg16,adam,304,39,3424.217245442873,2615.61039639849,2961.16163796808
avg16,adam,304,40,3515.358669006247,2614.9501699968223,2961.16163796808
avg16,adam,304,41,3581.094865408826,2614.490737553791,2961.16163796808
avg16,adam,304,42,3589.2800835876774,2614.1710318147043,2961.16163796808
avg16,adam,304,43,3766.059619326825,2613.94855784458,2961.16163796808
avg16,adam,304,44,3601.5683013085813,2613.7937446481574,2961.16163796808
avg16,adam,304,45,3678.842534662605,2613.6860146257495,2961.16163796808
avg16,adam,304,46,3767.170299000157,2613.611048421342,2961.16163796808
avg16,adam,304,47,3799.356411062837,2613.55888160955,2961.16163796808
avg16,adam,304,48,3849.8373132727825,2613.522580235164,2961.16163796808
avg16,adam,304,49,3723.1139330733395,2613.4973191594518,2961.16163796808
avg16,adam,304,50,3792.939256535077,2613.479740708032,2961.16163796808
avg16,sgd,300,26,719.6632816332885,743.853026013297,737.450304629254
avg16,sgd,300,27,715.06966540635,749.7111943746594,737.450304629254
avg16,sgd,300,28,716.1750822243488,755.0711240813612,737.450304629254
avg16,sgd,300,29,734.9314911126253,759.9751904530732,737.450304629254
avg16,sgd,300,30,729.4659905921504,764.4621647781443,737.450304629254
avg16,sgd,300,31,712.1125970538704,768.5675208373484,737.450304629254
avg16,sgd,300,32,715.4505968020662,772.323715357712,737.450304629254
avg16,sgd,300,33,735.0481904206263,775.7604446136743,737.450304629254
avg16,sgd,300,34,735.3455044500214,778.9048792042568,737.450304629254
avg16,sgd,300,35,729.3533283312618,781.7818788623758,737.450304629254
avg16,sgd,300,36,725.1720468270366,784.4141889945718,737.450304629254
avg16,sgd,300,37,723.1621167026939,786.8226205049847,737.450304629254
avg16,sgd,300,38,733.1230601735491,789.026214325258,737.450304629254
avg16,sgd,300,39,734.7357683380242,791.042391951133,737.450304629254
avg16,sgd,300,40,736.3630694577128,792.887093175869,737.450304629254
avg16,sgd,300,41,750.5985899880362,794.5749021094027,737.450304629254
avg16,sgd,300,42,748.9966367132117,796.1191624795468,737.450304629254
avg16,sgd,300,43,712.8501414101729,797.5320831267937,737.450304629254
avg16,sgd,300,44,732.0888146584101,798.8248345267604,737.450304629254
avg16,sgd,300,45,744.3897142442124,800.0076371033749,737.450304629254
avg16,sgd,300,46,748.6824915500141,801.0898420310061,737.450304629254
avg16,sgd,300,47,760.5195892741642,802.0800051643512,737.450304629254
avg16,sgd,300,48,764.4099900341764,802.9859546805687,737.450304629254
avg16,sgd,300,49,730.1895233076575,803.8148529684318,737.450304629254
avg16,sgd,300,50,761.9531809826827,804.573253253793,737.450304629254
avg16,sgd,301,26,772.814421805542,766.8255661063494,760.5400566211707
avg16,sgd,301,27,751.90048596431,772.5958325954857,760.5400566211707
avg16,sgd,301,28,732.8122038626241,777.8930921786845,760.5400566211707
avg16,sgd,301,29,747.3181031457839,782.7561187208072,760.5400566211707
avg16,sgd,301,30,757.8640425605302,787.2205076709726,760.5400566211707
avg16,sgd,301,31,753.7603052936275,791.3189366072988,760.5400566211707
avg16,sgd,301,32,752.3340093345777,795.0814044239738,760.5400566211707
avg16,sgd,301,33,767.6092960343312,798.5354509114077,760.5400566211707
avg16,sgd,301,34,743.3496818975665,801.7063583367096,760.5400566211707
avg16,sgd,301,35,769.7999701806646,804.6173364999784,760.5400566211707
avg16,sgd,301,36,755.1878575362251,807.289692620946,760.5400566211707
avg16,sgd,301,37,727.0640405981519,809.742987299479,760.5400566211707
avg16,sgd,301,38,751.2298649058548,811.9951776915062,760.5400566211707
avg16,sgd,301,39,764.3361844552121,814.0627489483651,760.5400566211707
avg16,sgd,301,40,745.9846520297347,815.9608348816513,760.5400566211707
avg16,sgd,301,41,724.5193341530115,817.7033287367904,760.5400566211707
avg16,sgd,301,42,751.1161144480499,819.3029848861516,760.5400566211707
avg16,sgd,301,43,758.5961178234089,820.7715121860573,760.5400566211707
avg16,sgd,301,44,778.7262063350287,822.119659681023,760.5400566211707
avg16,sgd,301,45,797.6453349747433,823.3572952825534,760.5400566211707
avg16,sgd,301,46,780.8366859389721,824.4934779983878,760.5400566211707
avg16,sgd,301,47,792.5213093935588,825.536524240888,760.5400566211707
avg16,sgd,301,48,762.0230580382649,826.4940686999188,760.5400566211707
avg16,sgd,301,49,769.9034535776647,827.3731202257867,760.5400566211707
avg16,sgd,301,50,735.9424884747585,828.1801131312783,760.5400566211707
avg16,sgd,302,26,691.5689235694273,733.7255444413269,722.9258224787287
avg16,sgd,302,27,706.7187338425935,743.6633148827312,722.9258224787287
avg16,sgd,302,28,709.8350294314733,752.8079282059331,722.9258224787287
avg16,sgd,302,29,714.2006662800734,761.2226881688391,722.9258224787287
avg16,sgd,302,30,709.7097498569337,768.9658461057277,722.9258224787287
avg16,sgd,302,31,722.1220111744697,776.0910041732068,722.9258224787287
avg16,sgd,302,32,725.2445989890298,782.6474864121526,722.9258224787287
avg16,sgd,302,33,721.8019531749864,788.6806801943112,722.9258224787287
avg16,sgd,302,34,687.3839356938711,794.2323504172339,722.9258224787287
avg16,sgd,302,35,689.7462858488414,799.340928622567,722.9258224787287
avg16,sgd,302,36,702.737199157304,804.0417790391225,722.9258224787287
avg16,sgd,302,37,702.2753556122797,808.3674433924175,722.9258224787287
avg16,sgd,302,38,713.7888618156454,812.3478661753824,722.9258224787287
avg16,sgd,302,39,691.8001065858389,816.0106019396765,722.9258224787287
avg16,sgd,302,40,697.4691375296281,819.381006042591,722.9258224787287
avg16,sgd,302,41,693.6476759102102,822.4824101699871,722.9258224787287
avg16,sgd,302,42,723.2894150658609,825.3362838503307,722.9258224787287
avg16,sgd,302,43,706.720696272308,827.9623830779071,722.9258224787287
avg16,sgd,302,44,705.498524263103,830.3788870740643,722.9258224787287
avg16,sgd,302,45,726.0381856208708,832.602524133214,722.9258224787287
avg16,sgd,302,46,720.340962431075,834.6486874247654,722.9258224787287
avg16,sgd,302,47,736.8013612155661,836.5315415526298,722.9258224787287
avg16,sgd,302,48,716.2752208891164,838.2641206099582,722.9258224787287
avg16,sgd,302,49,726.680205652841,839.8584184078965,722.9258224787287
avg16,sgd,302,50,745.1292199441525,841.3254715029684,722.9258224787287
avg16,sgd,303,26,730.3714752219388,757.5434324807189,746.2602220096672
avg16,sgd,303,27,750.4517857968372,767.9134360819174,746.2602220096672
avg16,sgd,303,28,769.0486918491383,777.4441432299201,746.2602220096672
avg16,sgd,303,29,764.6863455708362,786.203482400303,746.2602220096672
avg16,sgd,303,30,731.6697042400881,794.2538842760842,746.2602220096672
avg16,sgd,303,31,750.4570336659488,801.6527267116776,746.2602220096672
avg16,sgd,303,32,742.4831456363872,808.4527436836779,746.2602220096672
avg16,sgd,303,33,733.8230567384618,814.7024011432079,746.2602220096672
avg16,sgd,303,34,711.736657216397,820.4462424486464,746.2602220096672
avg16,sgd,303,35,735.1611130491461,825.7252058407526,746.2602220096672
avg16,sgd,303,36,738.5681584597946,830.5769162229337,746.2602220096672
avg16,sgd,303,37,759.99939791793,835.0359533262717,746.2602220096672
avg16,sgd,303,38,764.6578170555375,839.1340981706072,746.2602220096672
avg16,sgd,303,39,753.2123469947322,842.9005595782912,746.2602220096672
avg16,sgd,303,40,711.2380111362272,846.3621823550415,746.2602220096672
avg16,sgd,303,41,718.3773631858899,849.5436386216766,746.2602220096672
avg16,sgd,303,42,735.2886306342259,852.4676036604131,746.2602220096672
avg16,sgd,303,43,737.6207206843906,855.1549175290386,746.2602220096672
avg16,sgd,303,44,690.7285093426277,857.6247335948377,746.2602220096672
avg16,sgd,303,45,731.9819881975113,859.8946550469232,746.2602220096672
avg16,sgd,303,46,725.7340049288881,861.9808603599373,746.2602220096672
avg16,sgd,303,47,719.6090682642415,863.8982186033469,746.2602220096672
avg16,sgd,303,48,739.7649792076058,865.6603954181778,746.2602220096672
avg16,sgd,303,49,735.7195248730537,867.2799504165206,746.2602220096672
avg16,sgd,303,50,735.5410605352228,868.7684266980046,746.2602220096672
avg16,sgd,304,26,780.9605552691932,768.8733841175413,761.5025494209631
avg16,sgd,304,27,779.7125135891811,775.6591165862446,761.5025494209631
avg16,sgd,304,28,804.9448896678256,781.9061926681695,761.5025494209631
avg16,sgd,304,29,811.4921422025714,787.6573712997101,761.5025494209631
avg16,sgd,304,30,778.5819635944962,792.9520171817396,761.5025494209631
avg16,sgd,304,31,773.1290172325898,797.8263702164988,761.5025494209631
avg16,sgd,304,32,768.9080446446076,802.3137935563879,761.5025494209631
avg16,sgd,304,33,771.9618163742674,806.4450019624641,761.5025494209631
avg16,sgd,304,34,739.4403225529342,810.2482720356765,761.5025494209631
avg16,sgd,304,35,765.6952222399602,813.7496357597912,761.5025494209631
avg16,sgd,304,36,774.7628326265583,816.9730586807389,761.5025494209631
avg16,sgd,304,37,736.3587662597575,819.9406039419548,761.5025494209631
avg16,sgd,304,38,748.6122048916847,822.6725832984758,761.5025494209631
avg16,sgd,304,39,732.2133739035907,825.1876961434265,761.5025494209631
avg16,sgd,304,40,736.813000468052,827.5031574984828,761.5025494209631
avg16,sgd,304,41,731.4044158717556,829.6348158443587,761.5025494209631
avg16,sgd,304,42,724.678822074904,831.5972615978238,761.5025494209631
avg16,sgd,304,43,722.713451374827,833.4039269777352,761.5025494209631
avg16,sgd,304,44,717.3648669198989,835.0671779436317,761.5025494209631
avg16,sgd,304,45,710.9939904047447,836.5983988361753,761.5025494209631
avg16,sgd,304,46,724.9710518114089,838.008070298773,761.5025494209631
avg16,sgd,304,47,708.7619488981958,839.3058410137224,761.5025494209631
avg16,sgd,304,48,724.0412629851228,840.5005937438921,761.5025494209631
avg16,sgd,304,49,697.7243113558519,841.6005061319622,761.5025494209631
avg16,sgd,304,50,737.636219946826,842.6131066733801,761.5025494209631
dup64,adam,300,26,359148.1231225502,344141.9396277634,356626.1463889919
dup64,adam,300,27,367191.04703241296,336142.13460579293,356626.1463889919
dup64,adam,300,28,402707.89010395226,331015.90739620395,356626.1463889919
dup64,adam,300,29,383407.9525358806,327731.05166132527,356626.1463889919
dup64,adam,300,30,408631.93780852715,325626.13575381716,356626.1463889919
dup64,adam,300,31,389946.98114150687,324277.31823022367,356626.1463889919
dup64,adam,300,32,407368.5492040954,323413.00402866176,356626.1463889919
dup64,adam,300,33,404064.23656951595,322859.15665794304,356626.1463889919
dup64,adam,300,34,423969.14930362505,322504.2545754622,356626.1463889919
dup64,adam,300,35,414738.6485586171,322276.8354437513,356626.1463889919
dup64,adam,300,36,427456.52636952995,322131.10662439186,356626.1463889919
dup64,adam,300,37,434893.58506883006,322037.72446858056,356626.1463889919
dup64,adam,300,38,430225.56709973735,321977.8857416747,356626.1463889919
dup64,adam,300,39,463113.5011279073,321939.5414433812,356626.1463889919
dup64,adam,300,40,436295.55420732335,321914.97064638,356626.1463889919
dup64,adam,300,41,471572.47491355136,321899.2258266246,356626.1463889919
dup64,adam,300,42,464020.8472383394,321889.1366402984,356626.1463889919
dup64,adam,300,43,455935.53433742747,321882.67155004607,356626.1463889919
dup64,adam,300,44,458900.6693951137,321878.5287588814,356626.1463889919
dup64,adam,300,45,467267.181091896,321875.87408308196,356626.1463889919
dup64,adam,300,46,478817.753435954,321874.17298270785,356626.1463889919
dup64,adam,300,47,464337.3356649131,321873.08292776276,356626.1463889919
dup64,adam,300,48,474719.6452412544,321872.38442707376,356626.1463889919
dup64,adam,300,49,477640.23019668437,321871.93683201016,356626.1463889919
dup64,adam,300,50,485957.97149455675,321871.6500157706,356626.1463889919
dup64,adam,301,26,383147.260355448,347032.7472650779,361896.90905060293
dup64,adam,301,27,368883.44292336545,337612.3825432535,361896.90905060293
dup64,adam,301,28,380038.9783795623,331642.0982599773,361896.90905060293
dup64,adam,301,29,380035.2837211686,327858.3493844633,361896.90905060293
dup64,adam,301,30,382177.39164589375,325460.3470660382,361896.90905060293
dup64,adam,301,31,375672.3416117274,323940.58047783107,361896.90905060293
dup64,adam,301,32,411174.63569522416,322977.40772988,361896.90905060293
dup64,adam,301,33,392509.2321564039,322366.98389927717,361896.90905060293
dup64,adam,301,34,394450.9902861895,321980.11949332245,361896.90905060293
dup64,adam,301,35,389592.52913769224,321734.93891371286,361896.90905060293
dup64,adam,301,36,417587.6228981246,321579.55238630844,361896.90905060293
dup64,adam,301,37,419911.7681386961,321481.0740609155,361896.90905060293
dup64,adam,301,38,410205.3461206186,321418.66208264313,361896.90905060293
dup64,adam,301,39,423034.7464412681,321379.107642452,361896.90905060293
dup64,adam,301,40,431695.981917848,321354.0394779403,361896.90905060293
dup64,adam,301,41,465199.4113986186,321338.1521876905,361896.90905060293
dup64,adam,301,42,459186.33298516984,321328.0834013873,361896.90905060293
dup64,adam,301,43,429584.89663217583,321321.7021711067,361896.90905060293
dup64,adam,301,44,440605.5137473036,321317.65797961544,361896.90905060293
dup64,adam,301,45,442416.2095139546,321315.0949182466,361896.90905060293
dup64,adam,301,46,461800.00649681693,321313.47054323996,361896.90905060293
dup64,adam,301,47,481182.8430765332,321312.4410734839,361896.90905060293
dup64,adam,301,48,461766.17312285485,321311.7886330226,361896.90905060293
dup64,adam,301,49,451951.5026968275,321311.3751400054,361896.90905060293
dup64,adam,301,50,476957.78121578926,321311.1130831812,361896.90905060293
dup64,adam,302,26,356906.3865670525,330175.4653457769,338704.20063935744
dup64,adam,302,27,348828.86573422194,324769.5730804079,338704.20063935744
dup64,adam,302,28,372626.6125469578,321343.0778054552,338704.20063935744
dup64,adam,302,29,380472.81504861114,319171.2124975786,338704.20063935744
dup64,adam,302,30,397457.3600701303,317794.5875391149,338704.20063935744
dup64,adam,302,31,398317.5343659607,316922.02133098384,338704.20063935744
dup64,adam,302,32,384044.2167494832,316368.9500076063,338704.20063935744
dup64,adam,302,33,387255.17810760037,316018.38877122995,338704.20063935744
dup64,adam,302,34,403729.5988173514,315796.1874469971,338704.20063935744
dup64,adam,302,35,413745.34029890515,315655.346351726,338704.20063935744
dup64,adam,302,36,429110.635946975,315566.0749930352,338704.20063935744
dup64,adam,302,37,423191.26518722816,315509.49083010206,338704.20063935744
dup64,adam,302,38,447197.0962029762,315473.6252675991,338704.20063935744
dup64,adam,302,39,414806.23369548836,315450.8920767738,338704.20063935744
dup64,adam,302,40,448811.7822646718,315436.48276798194,338704.20063935744
dup64,adam,302,41,451282.0386753542,315427.34950633574,338704.20063935744
dup64,adam,302,42,457283.9184471927,315421.56043834484,338704.20063935744
dup64,adam,302,43,439824.26645597396,315417.8910692299,338704.20063935744
dup64,adam,302,44,446618.81381925894,315415.5652596656,338704.20063935744
dup64,adam,302,45,447617.6578883934,315414.09105798136,338704.20063935744
dup64,adam,302,46,460466.1702106659,315413.15664329875,338704.20063935744
dup64,adam,302,47,471748.07775610953,315412.5643696578,338704.20063935744
dup64,adam,302,48,477440.86461405345,315412.18896024657,338704.20063935744
dup64,adam,302,49,479263.8355362139,315411.95100904244,338704.20063935744
dup64,adam,302,50,475726.72353974346,315411.8001849719,338704.20063935744
dup64,adam,303,26,386359.61978391086,359882.61584707326,376137.70989806997
dup64,adam,303,27,372795.7787512064,349404.2348164242,376137.70989806997
dup64,adam,303,28,384785.2045965877,342649.6464591373,376137.70989806997
dup64,adam,303,29,391338.03756492265,338295.4944443418,376137.70989806997
dup64,adam,303,30,379634.32155559683,335488.7149982642,376137.70989806997
dup64,adam,303,31,395916.0431261129,333679.4049805722,376137.70989806997
dup64,adam,303,32,376020.6320939764,332513.0850744265,376137.70989806997
dup64,adam,303,33,394640.5304315463,331761.2503362279,376137.70989806997
dup64,adam,303,34,406414.4942454095,331276.60159570334,376137.70989806997
dup64,adam,303,35,421402.6807341684,330964.18665960344,376137.70989806997
dup64,adam,303,36,427294.44386323116,330762.79731483245,376137.70989806997
dup64,adam,303,37,430989.1641287658,330632.97743908135,376137.70989806997
dup64,adam,303,38,427690.3555626561,330549.2927726498,376137.70989806997
dup64,adam,303,39,451284.6017010005,330495.3478481515,376137.70989806997
dup64,adam,303,40,436337.7958470151,330460.573796904,376137.70989806997
dup64,adam,303,41,446812.19773939275,330438.15770027565,376137.70989806997
dup64,adam,303,42,458608.8643520406,330423.7078053101,376137.70989806997
dup64,adam,303,43,461663.52072209923,330414.3930941908,376137.70989806997
dup64,adam,303,44,448817.83268574375,330408.3886323284,376137.70989806997
dup64,adam,303,45,478352.03459979076,330404.518027884,376137.70989806997
dup64,adam,303,46,476486.51670315675,330402.02295353625,376137.70989806997
dup64,adam,303,47,484013.27554125444,330400.41457528673,376137.70989806997
dup64,adam,303,48,478687.4234225292,330399.37778029265,376137.70989806997
dup64,adam,303,49,505150.2531291391,330398.70944008103,376137.70989806997
dup64,adam,303,50,488426.3225880733,330398.27861369675,376137.70989806997
dup64,adam,304,26,376000.5596577994,353918.86734062864,371106.4688216588
dup64,adam,304,27,374341.2890258309,342783.6155439363,371106.4688216588
dup64,adam,304,28,372424.0287362635,335569.47151618515,371106.4688216588
dup64,adam,304,29,384539.35388611,330895.67742482957,371106.4688216588
dup64,adam,304,30,396802.7039583441,327867.6880855039,371106.4688216588
dup64,adam,304,31,408072.76445999136,325905.95865116105,371106.4688216588
dup64,adam,304,32,405965.552322352,324635.0220849101,371106.4688216588
dup64,adam,304,33,406305.6368214862,323811.6262958904,371106.4688216588
dup64,adam,304,34,396206.34999571304,323278.1766782001,371106.4688216588
dup64,adam,304,35,410189.64705970924,322932.5731441417,371106.4688216588
dup64,adam,304,36,410441.8389548265,322708.6685825998,371106.4688216588
dup64,adam,304,37,411831.4574930462,322563.6085709426,371106.4688216588
dup64,adam,304,38,438652.95097681094,322469.62921278627,371106.4688216588
dup64,adam,304,39,400507.6255732753,322408.74324112135,371106.4688216588
dup64,adam,304,40,427927.1989875739,322369.29732854746,371106.4688216588
dup64,adam,304,41,427093.7947818473,322343.74168779416,371106.4688216588
dup64,adam,304,42,427353.97927582724,322327.1850731363,371106.4688216588
dup64,adam,304,43,451968.3564444199,322316.4586158514,371106.4688216588
dup64,adam,304,44,448568.4938645934,322309.5093156314,371106.4688216588
dup64,adam,304,45,458443.25119345234,322305.0071046716,371106.4688216588
dup64,adam,304,46,470973.22294402367,322302.0902781013,371106.4688216588
dup64,adam,304,47,471139.12318779883,322300.2005671755,371106.4688216588
dup64,adam,304,48,485192.4345848651,322298.97628890694,371106.4688216588
dup64,adam,304,49,458721.3054843489,322298.1831214132,371106.4688216588
dup64,adam,304,50,466318.60238429473,322297.66925566125,371106.4688216588
dup64,sgd,300,26,4934.602287986385,4805.316692579254,4875.051581832025
dup64,sgd,300,27,4947.940687814933,4751.957179501292,4875.051581832025
dup64,sgd,300,28,4978.385891632282,4711.12772287741,4875.051581832025
dup64,sgd,300,29,5109.694214735457,4679.885973617708,4875.051581832025
dup64,sgd,300,30,5049.493498704031,4655.9805147281295,4875.051581832025
dup64,sgd,300,31,4940.743469741916,4637.688614362022,4875.051581832025
dup64,sgd,300,32,5117.384070729985,4623.692078234057,4875.051581832025
dup64,sgd,300,33,5287.307196758587,4612.982254778839,4875.051581832025
dup64,sgd,300,34,5189.361472685093,4604.787347310787,4875.051581832025
dup64,sgd,300,35,5192.840590058844,4598.516794981819,4875.051581832025
dup64,sgd,300,36,5372.620822863184,4593.7187143855945,4875.051581832025
dup64,sgd,300,37,5226.951253126343,4590.047334864286,4875.051581832025
dup64,sgd,300,38,5113.099599442801,4587.238080763784,4875.051581832025
dup64,sgd,300,39,4970.844351411673,4585.088504955729,4875.051581832025
