k,band,band_center,n_A,n_S,n_L,n_seed,seed_ids,A_F,C_S_F,C_L_F,A_D,C_S_D,C_L_D,A_H,C_S_H,C_L_H,off_rate
1,-6,-0.55,49120,49120,0,10,"0,1,2,3,4,5,6,7,8,9",6.968437163472615e-05,6.968437163472615e-05,0.0,8.867947214702064e-05,8.867947214702064e-05,0.0,1.8995100512294492e-05,1.8995100512294492e-05,0.0,0.0
1,-5,-0.45,67192,67192,0,10,"0,1,2,3,4,5,6,7,8,9",0.0001300782785076289,0.0001300782785076289,0.0,0.0001022998746265032,0.0001022998746265032,0.0,-2.7778403881125694e-05,-2.7778403881125694e-05,0.0,0.0
1,-4,-0.35,88814,88814,0,10,"0,1,2,3,4,5,6,7,8,9",7.027732974713845e-05,7.027732974713845e-05,0.0,7.250564549873046e-05,7.250564549873046e-05,0.0,2.228315751592009e-06,2.228315751592009e-06,0.0,0.0
1,-3,-0.25,126282,126282,0,10,"0,1,2,3,4,5,6,7,8,9",-7.0545311548030195e-06,-7.0545311548030195e-06,0.0,-2.7452498546167945e-05,-2.7452498546167945e-05,0.0,-2.0397967391364912e-05,-2.0397967391364912e-05,0.0,0.0
1,-2,-0.15,157123,157123,0,10,"0,1,2,3,4,5,6,7,8,9",-1.2597004418694163e-05,-1.2597004418694163e-05,0.0,-1.2411303842632424e-05,-1.2411303842632424e-05,0.0,1.8570057606174463e-07,1.8570057606174463e-07,0.0,0.0
1,-1,-0.05,149967,149967,0,10,"0,1,2,3,4,5,6,7,8,9",4.38502552316569e-06,4.38502552316569e-06,0.0,4.406707338259453e-06,4.406707338259453e-06,0.0,2.168181509375547e-08,2.168181509375547e-08,0.0,0.0
1,0,0.05,120306,120306,0,10,"0,1,2,3,4,5,6,7,8,9",3.746471912328134e-06,3.746471912328134e-06,0.0,1.476026489280518e-05,1.476026489280518e-05,0.0,1.1013792980477051e-05,1.1013792980477051e-05,0.0,0.0
1,1,0.15,80087,80087,0,10,"0,1,2,3,4,5,6,7,8,9",-2.0818896307722517e-05,-2.0818896307722517e-05,0.0,-4.337015711821368e-05,-4.337015711821368e-05,0.0,-2.2551260810491163e-05,-2.2551260810491163e-05,0.0,0.0
1,2,0.25,39741,39741,0,10,"0,1,2,3,4,5,6,7,8,9",-4.3897713994486205e-05,-4.3897713994486205e-05,0.0,5.911630489275567e-05,5.911630489275567e-05,0.0,0.00010301401888724191,0.00010301401888724191,0.0,0.0
1,3,0.35,18550,18550,0,10,"0,1,2,3,4,5,6,7,8,9",-0.00020847780469868273,-0.00020847780469868273,0.0,-0.00019867700838251153,-0.00019867700838251153,0.0,9.800796316171179e-06,9.800796316171179e-06,0.0,0.0
1,4,0.45,12311,12311,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0005687404272760982,-0.0005687404272760982,0.0,-0.00026160861510154937,-0.00026160861510154937,0.0,0.00030713181217454874,0.00030713181217454874,0.0,0.0
1,5,0.55,6266,6266,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0006933828605674783,-0.0006933828605674783,0.0,-0.0008153634568991289,-0.0008153634568991289,0.0,-0.00012198059633165086,-0.00012198059633165086,0.0,0.0
1,6,0.65,3346,3346,0,10,"0,1,2,3,4,5,6,7,8,9",0.00022506027559456723,0.00022506027559456723,0.0,-0.0007020435635622607,-0.0007020435635622607,0.0,-0.0009271038391568282,-0.0009271038391568282,0.0,0.0
1,7,0.75,1663,1663,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0015119286799073458,-0.0015119286799073458,0.0,-0.0011699944948812908,-0.0011699944948812908,0.0,0.00034193418502605487,0.00034193418502605487,0.0,0.0
1,8,0.85,1108,1108,0,10,"0,1,2,3,4,5,6,7,8,9",-0.003226335732929661,-0.003226335732929661,0.0,-0.005651933781453515,-0.005651933781453515,0.0,-0.0024255980485238544,-0.0024255980485238544,0.0,0.0
1,9,0.95,754,754,0,5,"1,4,6,7,8",-0.006320425786383252,-0.006320425786383252,0.0,-0.0067420211602672465,-0.0067420211602672465,0.0,-0.0004215953738839936,-0.0004215953738839936,0.0,0.0
1,10,1.05,383,383,0,4,"0,1,7,8",-0.0009865457077454234,-0.0009865457077454234,0.0,-0.0005065556964971989,-0.0005065556964971989,0.0,0.0004799900112482244,0.0004799900112482244,0.0,0.0
1,11,1.15,180,180,0,2,"1,8",-0.0033427173630274946,-0.0033427173630274946,0.0,-0.004206973125522672,-0.004206973125522672,0.0,-0.0008642557624951781,-0.0008642557624951781,0.0,0.0
1,12,1.25,121,121,0,2,"1,8",-0.0001788868699445803,-0.0001788868699445803,0.0,-0.0004088187605933652,-0.0004088187605933652,0.0,-0.00022993189064878487,-0.00022993189064878487,0.0,0.0
2,-24,-2.35,60,60,0,1,9,0.00036682995476742993,0.00036682995476742993,0.0,-0.0002516804018933764,-0.0002516804018933764,0.0,-0.0006185103566608063,-0.0006185103566608063,0.0,0.0
2,-23,-2.25,60,60,0,1,0,-1.2608139744922179e-05,-1.2608139744922179e-05,0.0,-8.09541904253308e-05,-8.09541904253308e-05,0.0,-6.834605068040863e-05,-6.834605068040863e-05,0.0,0.0
2,-22,-2.15,60,60,0,1,8,-7.030252436379669e-06,-7.030252436379669e-06,0.0,-4.8518529354169004e-06,-4.8518529354169004e-06,0.0,2.1783995009627686e-06,2.1783995009627686e-06,0.0,0.0
2,-21,-2.05,502,502,0,3,"5,8,9",1.3900433731260628e-05,1.3900433731260628e-05,0.0,2.2996883171511338e-05,2.2996883171511338e-05,0.0,9.096449440250704e-06,9.096449440250704e-06,0.0,0.0
2,-20,-1.95,638,638,0,6,"2,3,4,5,8,9",8.566496277611976e-06,8.566496277611976e-06,0.0,3.463450508631431e-05,3.463450508631431e-05,0.0,2.6068008808702325e-05,2.6068008808702325e-05,0.0,0.0
2,-19,-1.85,523,523,0,3,"4,5,9",0.00016236489208010837,0.00016236489208010837,0.0,0.0003902451453145664,0.0003902451453145664,0.0,0.00022788025323445803,0.00022788025323445803,0.0,0.0
2,-18,-1.75,1425,1425,0,10,"0,1,2,3,4,5,6,7,8,9",-3.009191375448753e-05,-3.009191375448753e-05,0.0,-4.415745872079623e-05,-4.415745872079623e-05,0.0,-1.4065544966308693e-05,-1.4065544966308693e-05,0.0,0.0
2,-17,-1.65,1986,1986,0,9,"0,1,2,4,5,6,7,8,9",-1.2392420130950097e-05,-1.2392420130950097e-05,0.0,-1.5309903152527397e-05,-1.5309903152527397e-05,0.0,-2.9174830215773022e-06,-2.9174830215773022e-06,0.0,0.0
2,-16,-1.55,3477,3477,0,10,"0,1,2,3,4,5,6,7,8,9",3.5004563817403647e-06,3.5004563817403647e-06,0.0,4.2099728899872254e-05,4.2099728899872254e-05,0.0,3.85992725181319e-05,3.85992725181319e-05,0.0,0.0
2,-15,-1.45,4620,4620,0,10,"0,1,2,3,4,5,6,7,8,9",0.0001208615452106931,0.0001208615452106931,0.0,-1.6216625327340143e-06,-1.6216625327340143e-06,0.0,-0.00012248320774342714,-0.00012248320774342714,0.0,0.0
2,-14,-1.35,6339,6339,0,10,"0,1,2,3,4,5,6,7,8,9",0.00023628739162131405,0.00023628739162131405,0.0,0.00019417417084874414,0.00019417417084874414,0.0,-4.211322077256995e-05,-4.211322077256995e-05,0.0,0.0
2,-13,-1.25,9537,9537,0,10,"0,1,2,3,4,5,6,7,8,9",-3.655281236123269e-05,-3.655281236123269e-05,0.0,-3.5110204223830387e-05,-3.5110204223830387e-05,0.0,1.4426081374023006e-06,1.4426081374023006e-06,0.0,0.0
2,-12,-1.15,11971,11971,0,10,"0,1,2,3,4,5,6,7,8,9",2.9767979968054995e-05,2.9767979968054995e-05,0.0,3.416745995076709e-05,3.416745995076709e-05,0.0,4.399479982712097e-06,4.399479982712097e-06,0.0,0.0
2,-11,-1.05,14924,14924,0,10,"0,1,2,3,4,5,6,7,8,9",-2.3450543284354293e-05,-2.3450543284354293e-05,0.0,-2.145065629994405e-05,-2.145065629994405e-05,0.0,1.9998869844102396e-06,1.9998869844102396e-06,0.0,0.0
2,-10,-0.95,20427,20427,0,10,"0,1,2,3,4,5,6,7,8,9",2.9979212182492197e-05,2.9979212182492197e-05,0.0,2.864770696384935e-05,2.864770696384935e-05,0.0,-1.3315052186428442e-06,-1.3315052186428442e-06,0.0,0.0
2,-9,-0.85,22380,22380,0,10,"0,1,2,3,4,5,6,7,8,9",4.7340543619557685e-05,4.7340543619557685e-05,0.0,5.386862845915573e-05,5.386862845915573e-05,0.0,6.528084839598053e-06,6.528084839598053e-06,0.0,0.0
2,-8,-0.75,31697,31697,0,10,"0,1,2,3,4,5,6,7,8,9",3.7045270383822864e-05,3.7045270383822864e-05,0.0,5.8666436076040285e-05,5.8666436076040285e-05,0.0,2.162116569221741e-05,2.162116569221741e-05,0.0,0.0
2,-7,-0.65,41060,41060,0,10,"0,1,2,3,4,5,6,7,8,9",5.4295159858060235e-05,5.4295159858060235e-05,0.0,5.241311383263091e-05,5.241311383263091e-05,0.0,-1.8820460254293296e-06,-1.8820460254293296e-06,0.0,0.0
2,-6,-0.55,49120,49120,0,10,"0,1,2,3,4,5,6,7,8,9",6.968437163472615e-05,6.968437163472615e-05,0.0,7.334460257057358e-05,7.334460257057358e-05,0.0,3.6602309358474092e-06,3.6602309358474092e-06,0.0,0.0
2,-5,-0.45,67192,67192,0,10,"0,1,2,3,4,5,6,7,8,9",0.0001300782785076289,0.0001300782785076289,0.0,9.965331365908413e-05,9.965331365908413e-05,0.0,-3.042496484854475e-05,-3.042496484854475e-05,0.0,0.0
2,-4,-0.35,88814,88814,0,10,"0,1,2,3,4,5,6,7,8,9",7.027732974713845e-05,7.027732974713845e-05,0.0,6.612843718172077e-05,6.612843718172077e-05,0.0,-4.1488925654176874e-06,-4.1488925654176874e-06,0.0,0.0
2,-3,-0.25,126282,126282,0,10,"0,1,2,3,4,5,6,7,8,9",-7.0545311548030195e-06,-7.0545311548030195e-06,0.0,-2.0574351075332762e-05,-2.0574351075332762e-05,0.0,-1.3519819920529736e-05,-1.3519819920529736e-05,0.0,0.0
2,-2,-0.15,157123,157123,0,10,"0,1,2,3,4,5,6,7,8,9",-1.2597004418694163e-05,-1.2597004418694163e-05,0.0,-1.3108279989718807e-05,-1.3108279989718807e-05,0.0,-5.112755710246406e-07,-5.112755710246406e-07,0.0,0.0
2,-1,-0.05,149967,149967,0,10,"0,1,2,3,4,5,6,7,8,9",4.38502552316569e-06,4.38502552316569e-06,0.0,-1.839535126641819e-06,-1.839535126641819e-06,0.0,-6.224560649807499e-06,-6.224560649807499e-06,0.0,0.0
2,0,0.05,120306,120306,0,10,"0,1,2,3,4,5,6,7,8,9",3.746471912328134e-06,3.746471912328134e-06,0.0,1.0402411624328974e-05,1.0402411624328974e-05,0.0,6.655939712000832e-06,6.655939712000832e-06,0.0,0.0
2,1,0.15,80087,80087,0,10,"0,1,2,3,4,5,6,7,8,9",-2.0818896307722517e-05,-2.0818896307722517e-05,0.0,-3.6379263233007107e-05,-3.6379263233007107e-05,0.0,-1.556036692528459e-05,-1.556036692528459e-05,0.0,0.0
2,2,0.25,39741,39741,0,10,"0,1,2,3,4,5,6,7,8,9",-4.3897713994486205e-05,-4.3897713994486205e-05,0.0,4.961787343788766e-05,4.961787343788766e-05,0.0,9.351558743237388e-05,9.351558743237388e-05,0.0,0.0
2,3,0.35,18550,18550,0,10,"0,1,2,3,4,5,6,7,8,9",-0.00020847780469868273,-0.00020847780469868273,0.0,-0.00016293200081850636,-0.00016293200081850636,0.0,4.5545803880176386e-05,4.5545803880176386e-05,0.0,0.0
2,4,0.45,12311,12311,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0005687404272760982,-0.0005687404272760982,0.0,-0.0002961076347742238,-0.0002961076347742238,0.0,0.0002726327925018744,0.0002726327925018744,0.0,0.0
2,5,0.55,6266,6266,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0006933828605674783,-0.0006933828605674783,0.0,-0.0007356070200501278,-0.0007356070200501278,0.0,-4.2224159482649506e-05,-4.2224159482649506e-05,0.0,0.0
2,6,0.65,3346,3346,0,10,"0,1,2,3,4,5,6,7,8,9",0.00022506027559456723,0.00022506027559456723,0.0,-0.00038505564509642477,-0.00038505564509642477,0.0,-0.000610115920690992,-0.000610115920690992,0.0,0.0
2,7,0.75,1663,1663,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0015119286799073458,-0.0015119286799073458,0.0,-0.0010505343549504053,-0.0010505343549504053,0.0,0.0004613943249569403,0.0004613943249569403,0.0,0.0
2,8,0.85,1108,1108,0,10,"0,1,2,3,4,5,6,7,8,9",-0.003226335732929661,-0.003226335732929661,0.0,-0.004859702266180906,-0.004859702266180906,0.0,-0.0016333665332512453,-0.0016333665332512453,0.0,0.0
2,9,0.95,754,754,0,5,"1,4,6,7,8",-0.006320425786383252,-0.006320425786383252,0.0,-0.004911152222140559,-0.004911152222140559,0.0,0.0014092735642426929,0.0014092735642426929,0.0,0.0
2,10,1.05,383,383,0,4,"0,1,7,8",-0.0009865457077454234,-0.0009865457077454234,0.0,-0.0007606068608281851,-0.0007606068608281851,0.0,0.0002259388469172383,0.0002259388469172383,0.0,0.0
2,11,1.15,180,180,0,2,"1,8",-0.0033427173630274946,-0.0033427173630274946,0.0,-0.0027375014149355467,-0.0027375014149355467,0.0,0.0006052159480919481,0.0006052159480919481,0.0,0.0
2,12,1.25,121,121,0,2,"1,8",-0.0001788868699445803,-0.0001788868699445803,0.0,-0.00021368638122944874,-0.00021368638122944874,0.0,-3.479951128486841e-05,-3.479951128486841e-05,0.0,0.0
5,-24,-2.35,60,60,0,1,9,0.00036682995476742993,0.00036682995476742993,0.0,-0.0002516804018933765,-0.0002516804018933765,0.0,-0.0006185103566608064,-0.0006185103566608064,0.0,0.0
5,-23,-2.25,60,60,0,1,0,-1.2608139744922179e-05,-1.2608139744922179e-05,0.0,-7.252594820386092e-05,-7.252594820386092e-05,0.0,-5.991780845893874e-05,-5.991780845893874e-05,0.0,0.0
5,-22,-2.15,60,60,0,1,8,-7.030252436379669e-06,-7.030252436379669e-06,0.0,-4.8518529354169004e-06,-4.8518529354169004e-06,0.0,2.1783995009627686e-06,2.1783995009627686e-06,0.0,0.0
5,-21,-2.05,502,502,0,3,"5,8,9",1.3900433731260628e-05,1.3900433731260628e-05,0.0,2.0976011635455427e-05,2.0976011635455427e-05,0.0,7.075577904194774e-06,7.075577904194774e-06,0.0,0.0
5,-20,-1.95,638,638,0,6,"2,3,4,5,8,9",8.566496277611976e-06,8.566496277611976e-06,0.0,3.821537162835742e-05,3.821537162835742e-05,0.0,2.9648875350745476e-05,2.9648875350745476e-05,0.0,0.0
5,-19,-1.85,523,523,0,3,"4,5,9",0.00016236489208010837,0.00016236489208010837,0.0,0.00039024514531456637,0.00039024514531456637,0.0,0.00022788025323445797,0.00022788025323445797,0.0,0.0
5,-18,-1.75,1425,1425,0,10,"0,1,2,3,4,5,6,7,8,9",-3.009191375448753e-05,-3.009191375448753e-05,0.0,-4.524504878882067e-05,-4.524504878882067e-05,0.0,-1.5153135034333139e-05,-1.5153135034333139e-05,0.0,0.0
5,-17,-1.65,1986,1986,0,9,"0,1,2,4,5,6,7,8,9",-1.2392420130950097e-05,-1.2392420130950097e-05,0.0,-2.0796027479229313e-05,-2.0796027479229313e-05,0.0,-8.403607348279215e-06,-8.403607348279215e-06,0.0,0.0
5,-16,-1.55,3477,3477,0,10,"0,1,2,3,4,5,6,7,8,9",3.5004563817403647e-06,3.5004563817403647e-06,0.0,3.940008222899992e-05,3.940008222899992e-05,0.0,3.5899625847259545e-05,3.5899625847259545e-05,0.0,0.0
5,-15,-1.45,4620,4620,0,10,"0,1,2,3,4,5,6,7,8,9",0.0001208615452106931,0.0001208615452106931,0.0,1.11485068183481e-05,1.11485068183481e-05,0.0,-0.00010971303839234503,-0.00010971303839234503,0.0,0.0
5,-14,-1.35,6339,6339,0,10,"0,1,2,3,4,5,6,7,8,9",0.00023628739162131405,0.00023628739162131405,0.0,0.00020548371284325964,0.00020548371284325964,0.0,-3.080367877805435e-05,-3.080367877805435e-05,0.0,0.0
5,-13,-1.25,9537,9537,0,10,"0,1,2,3,4,5,6,7,8,9",-3.655281236123269e-05,-3.655281236123269e-05,0.0,-3.1461139311150915e-05,-3.1461139311150915e-05,0.0,5.091673050081736e-06,5.091673050081736e-06,0.0,0.0
5,-12,-1.15,11971,11971,0,10,"0,1,2,3,4,5,6,7,8,9",2.9767979968054995e-05,2.9767979968054995e-05,0.0,3.4910708673427276e-05,3.4910708673427276e-05,0.0,5.142728705372261e-06,5.142728705372261e-06,0.0,0.0
5,-11,-1.05,14924,14924,0,10,"0,1,2,3,4,5,6,7,8,9",-2.3450543284354293e-05,-2.3450543284354293e-05,0.0,-2.120606122321536e-05,-2.120606122321536e-05,0.0,2.2444820611388604e-06,2.2444820611388604e-06,0.0,0.0
5,-10,-0.95,20427,20427,0,10,"0,1,2,3,4,5,6,7,8,9",2.9979212182492197e-05,2.9979212182492197e-05,0.0,2.4283657831213985e-05,2.4283657831213985e-05,0.0,-5.695554351278279e-06,-5.695554351278279e-06,0.0,0.0
5,-9,-0.85,22380,22380,0,10,"0,1,2,3,4,5,6,7,8,9",4.7340543619557685e-05,4.7340543619557685e-05,0.0,5.83306065152719e-05,5.83306065152719e-05,0.0,1.0990062895714187e-05,1.0990062895714187e-05,0.0,0.0
5,-8,-0.75,31697,31697,0,10,"0,1,2,3,4,5,6,7,8,9",3.7045270383822864e-05,3.7045270383822864e-05,0.0,5.3270699904580896e-05,5.3270699904580896e-05,0.0,1.622542952075795e-05,1.622542952075795e-05,0.0,0.0
5,-7,-0.65,41060,41060,0,10,"0,1,2,3,4,5,6,7,8,9",5.4295159858060235e-05,5.4295159858060235e-05,0.0,3.6540533989275905e-05,3.6540533989275905e-05,0.0,-1.7754625868784143e-05,-1.7754625868784143e-05,0.0,0.0
5,-6,-0.55,49120,49120,0,10,"0,1,2,3,4,5,6,7,8,9",6.968437163472615e-05,6.968437163472615e-05,0.0,5.802654723785566e-05,5.802654723785566e-05,0.0,-1.1657824396870536e-05,-1.1657824396870536e-05,0.0,0.0
5,-5,-0.45,67192,67192,0,10,"0,1,2,3,4,5,6,7,8,9",0.0001300782785076289,0.0001300782785076289,0.0,7.841570698253958e-05,7.841570698253958e-05,0.0,-5.166257152508949e-05,-5.166257152508949e-05,0.0,0.0
5,-4,-0.35,88814,88814,0,10,"0,1,2,3,4,5,6,7,8,9",7.027732974713845e-05,7.027732974713845e-05,0.0,4.986350211118874e-05,4.986350211118874e-05,0.0,-2.0413827635949743e-05,-2.0413827635949743e-05,0.0,0.0
5,-3,-0.25,126282,126282,0,10,"0,1,2,3,4,5,6,7,8,9",-7.0545311548030195e-06,-7.0545311548030195e-06,0.0,-9.443752039699289e-06,-9.443752039699289e-06,0.0,-2.389220884896238e-06,-2.389220884896238e-06,0.0,0.0
5,-2,-0.15,157123,157123,0,10,"0,1,2,3,4,5,6,7,8,9",-1.2597004418694163e-05,-1.2597004418694163e-05,0.0,-1.6900273943204398e-05,-1.6900273943204398e-05,0.0,-4.303269524510232e-06,-4.303269524510232e-06,0.0,0.0
5,-1,-0.05,149967,149967,0,10,"0,1,2,3,4,5,6,7,8,9",4.38502552316569e-06,4.38502552316569e-06,0.0,-5.317995759069734e-06,-5.317995759069734e-06,0.0,-9.703021282235428e-06,-9.703021282235428e-06,0.0,0.0
5,0,0.05,120306,120306,0,10,"0,1,2,3,4,5,6,7,8,9",3.746471912328134e-06,3.746471912328134e-06,0.0,3.4855468846804734e-06,3.4855468846804734e-06,0.0,-2.609250276476637e-07,-2.609250276476637e-07,0.0,0.0
5,1,0.15,80087,80087,0,10,"0,1,2,3,4,5,6,7,8,9",-2.0818896307722517e-05,-2.0818896307722517e-05,0.0,-3.881524252498251e-05,-3.881524252498251e-05,0.0,-1.7996346217260053e-05,-1.7996346217260053e-05,0.0,0.0
5,2,0.25,39741,39741,0,10,"0,1,2,3,4,5,6,7,8,9",-4.3897713994486205e-05,-4.3897713994486205e-05,0.0,1.3185192766369493e-05,1.3185192766369493e-05,0.0,5.708290676085566e-05,5.708290676085566e-05,0.0,0.0
5,3,0.35,18550,18550,0,10,"0,1,2,3,4,5,6,7,8,9",-0.00020847780469868273,-0.00020847780469868273,0.0,-7.616063429334265e-05,-7.616063429334265e-05,0.0,0.00013231717040534008,0.00013231717040534008,0.0,0.0
5,4,0.45,12311,12311,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0005687404272760982,-0.0005687404272760982,0.0,-0.00025821091948696994,-0.00025821091948696994,0.0,0.00031052950778912806,0.00031052950778912806,0.0,0.0
5,5,0.55,6266,6266,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0006933828605674783,-0.0006933828605674783,0.0,-0.0005213416074670472,-0.0005213416074670472,0.0,0.0001720412531004311,0.0001720412531004311,0.0,0.0
5,6,0.65,3346,3346,0,10,"0,1,2,3,4,5,6,7,8,9",0.00022506027559456723,0.00022506027559456723,0.0,-0.0002646914939790315,-0.0002646914939790315,0.0,-0.0004897517695735983,-0.0004897517695735983,0.0,0.0
5,7,0.75,1663,1663,0,10,"0,1,2,3,4,5,6,7,8,9",-0.0015119286799073458,-0.0015119286799073458,0.0,-0.0008298575622657239,-0.0008298575622657239,0.0,0.0006820711176416218,0.0006820711176416218,0.0,0.0
5,8,0.85,1108,1108,0,10,"0,1,2,3,4,5,6,7,8,9",-0.003226335732929661,-0.003226335732929661,0.0,-0.001302916408451224,-0.001302916408451224,0.0,0.0019234193244784374,0.0019234193244784374,0.0,0.0
5,9,0.95,754,754,0,5,"1,4,6,7,8",-0.006320425786383252,-0.006320425786383252,0.0,-0.002946378713737354,-0.002946378713737354,0.0,0.0033740470726458987,0.0033740470726458987,0.0,0.0
5,10,1.05,383,383,0,4,"0,1,7,8",-0.0009865457077454234,-0.0009865457077454234,0.0,-0.0006251129243095852,-0.0006251129243095852,0.0,0.0003614327834358383,0.0003614327834358383,0.0,0.0
5,11,1.15,180,180,0,2,"1,8",-0.0033427173630274946,-0.0033427173630274946,0.0,-0.0009082127508362639,-0.0009082127508362639,0.0,0.0024345046121912297,0.0024345046121912297,0.0,0.0
5,12,1.25,121,121,0,2,"1,8",-0.0001788868699445803,-0.0001788868699445803,0.0,-5.905359961400304e-05,-5.905359961400304e-05,0.0,0.0001198332703305772,0.0001198332703305772,0.0,0.0
10,-24,-2.35,60,60,0,1,9,0.00036682995476742993,0.00036682995476742993,0.0,-0.0002516804018933765,-0.0002516804018933765,0.0,-0.0006185103566608059,-0.0006185103566608059,0.0,0.0
10,-23,-2.25,60,60,0,1,0,-1.2608139744922179e-05,-1.2608139744922179e-05,0.0,-5.5669463760921204e-05,-5.5669463760921204e-05,0.0,-4.306132401599904e-05,-4.306132401599904e-05,0.0,0.0
10,-22,-2.15,60,60,0,1,8,-7.030252436379669e-06,-7.030252436379669e-06,0.0,-4.8518529354169004e-06,-4.8518529354169004e-06,0.0,2.1783995009627686e-06,2.1783995009627686e-06,0.0,0.0
10,-21,-2.05,502,502,0,3,"5,8,9",1.3900433731260628e-05,1.3900433731260628e-05,0.0,2.0587133125957413e-05,2.0587133125957413e-05,0.0,6.6866993946967684e-06,6.6866993946967684e-06,0.0,0.0
