population,k,band,n_pair,n_seed,seed_ids,guard_main,guard_descriptive
A,2,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,9,754,5,"1,4,6,7,8",False,False
A,2,10,383,4,"0,1,7,8",False,False
A,2,11,180,2,"1,8",False,False
A,2,12,121,2,"1,8",False,False
A,5,-24,60,1,9,False,False
A,5,-23,60,1,0,False,False
A,5,-22,60,1,8,False,False
A,5,-21,502,3,"5,8,9",False,False
A,5,-20,638,6,"2,3,4,5,8,9",False,True
A,5,-19,523,3,"4,5,9",False,False
A,5,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
A,5,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,5,9,754,5,"1,4,6,7,8",False,False
A,5,10,383,4,"0,1,7,8",False,False
A,5,11,180,2,"1,8",False,False
A,5,12,121,2,"1,8",False,False
A,10,-24,60,1,9,False,False
A,10,-23,60,1,0,False,False
A,10,-22,60,1,8,False,False
A,10,-21,502,3,"5,8,9",False,False
A,10,-20,638,6,"2,3,4,5,8,9",False,True
A,10,-19,523,3,"4,5,9",False,False
A,10,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
A,10,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,10,9,754,5,"1,4,6,7,8",False,False
A,10,10,383,4,"0,1,7,8",False,False
A,10,11,180,2,"1,8",False,False
A,10,12,121,2,"1,8",False,False
A,20,-24,60,1,9,False,False
A,20,-23,60,1,0,False,False
A,20,-22,60,1,8,False,False
A,20,-21,502,3,"5,8,9",False,False
A,20,-20,638,6,"2,3,4,5,8,9",False,True
A,20,-19,523,3,"4,5,9",False,False
A,20,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
A,20,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,20,9,754,5,"1,4,6,7,8",False,False
A,20,10,383,4,"0,1,7,8",False,False
A,20,11,180,2,"1,8",False,False
A,20,12,121,2,"1,8",False,False
A,40,-24,60,1,9,False,False
A,40,-23,60,1,0,False,False
A,40,-22,60,1,8,False,False
A,40,-21,502,3,"5,8,9",False,False
A,40,-20,638,6,"2,3,4,5,8,9",False,True
A,40,-19,523,3,"4,5,9",False,False
A,40,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
A,40,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,40,9,754,5,"1,4,6,7,8",False,False
A,40,10,383,4,"0,1,7,8",False,False
A,40,11,180,2,"1,8",False,False
A,40,12,121,2,"1,8",False,False
L,10,-9,4,1,2,False,False
L,20,-14,2,1,6,False,False
L,20,-9,14,1,2,False,False
L,40,-14,22,1,6,False,False
L,40,-9,34,1,2,False,False
L,40,-6,7,1,9,False,False
S,1,-24,60,1,9,False,False
S,1,-23,60,1,0,False,False
S,1,-22,60,1,8,False,False
S,1,-21,502,3,"5,8,9",False,False
S,1,-20,638,6,"2,3,4,5,8,9",False,True
S,1,-19,523,3,"4,5,9",False,False
S,1,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
S,1,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,1,9,754,5,"1,4,6,7,8",False,False
S,1,10,383,4,"0,1,7,8",False,False
S,1,11,180,2,"1,8",False,False
S,1,12,121,2,"1,8",False,False
S,2,-24,60,1,9,False,False
S,2,-23,60,1,0,False,False
S,2,-22,60,1,8,False,False
S,2,-21,502,3,"5,8,9",False,False
S,2,-20,638,6,"2,3,4,5,8,9",False,True
S,2,-19,523,3,"4,5,9",False,False
S,2,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
S,2,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,2,9,754,5,"1,4,6,7,8",False,False
S,2,10,383,4,"0,1,7,8",False,False
S,2,11,180,2,"1,8",False,False
S,2,12,121,2,"1,8",False,False
S,5,-24,60,1,9,False,False
S,5,-23,60,1,0,False,False
S,5,-22,60,1,8,False,False
S,5,-21,502,3,"5,8,9",False,False
S,5,-20,638,6,"2,3,4,5,8,9",False,True
S,5,-19,523,3,"4,5,9",False,False
S,5,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
S,5,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,5,9,754,5,"1,4,6,7,8",False,False
S,5,10,383,4,"0,1,7,8",False,False
S,5,11,180,2,"1,8",False,False
S,5,12,121,2,"1,8",False,False
S,10,-24,60,1,9,False,False
S,10,-23,60,1,0,False,False
S,10,-22,60,1,8,False,False
S,10,-21,502,3,"5,8,9",False,False
S,10,-20,638,6,"2,3,4,5,8,9",False,True
S,10,-19,523,3,"4,5,9",False,False
S,10,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
S,10,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-9,22376,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,10,9,754,5,"1,4,6,7,8",False,False
S,10,10,383,4,"0,1,7,8",False,False
S,10,11,180,2,"1,8",False,False
S,10,12,121,2,"1,8",False,False
S,20,-24,60,1,9,False,False
S,20,-23,60,1,0,False,False
S,20,-22,60,1,8,False,False
S,20,-21,502,3,"5,8,9",False,False
S,20,-20,638,6,"2,3,4,5,8,9",False,True
S,20,-19,523,3,"4,5,9",False,False
S,20,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
S,20,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-14,6337,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-9,22366,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,20,9,754,5,"1,4,6,7,8",False,False
S,20,10,383,4,"0,1,7,8",False,False
S,20,11,180,2,"1,8",False,False
S,20,12,121,2,"1,8",False,False
S,40,-24,60,1,9,False,False
S,40,-23,60,1,0,False,False
S,40,-22,60,1,8,False,False
S,40,-21,502,3,"5,8,9",False,False
S,40,-20,638,6,"2,3,4,5,8,9",False,True
S,40,-19,523,3,"4,5,9",False,False
S,40,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
S,40,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-14,6317,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-9,22346,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-6,49113,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
