population,k,band,band_left,band_right,band_center,n_pair,n_seed,seed_ids,guard_main,guard_descriptive,F,D,H,F_path
A,2,-13,-1.3,-1.2,-1.25,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True,-3.655281236123269e-05,-3.5110204223830387e-05,1.4426081374023006e-06,-3.654287101484123e-05
A,2,-12,-1.2,-1.1,-1.15,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True,2.9767979968054995e-05,3.416745995076709e-05,4.399479982712097e-06,2.9001672597550798e-05
A,2,-11,-1.1,-1.0,-1.05,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.3450543284354293e-05,-2.145065629994405e-05,1.9998869844102396e-06,-1.9718038703748848e-05
A,2,-10,-1.0,-0.9,-0.95,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True,2.9979212182492197e-05,2.864770696384935e-05,-1.3315052186428442e-06,2.72125490505243e-05
A,2,-9,-0.9,-0.8,-0.85,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.7340543619557685e-05,5.386862845915573e-05,6.528084839598053e-06,4.627857407021015e-05
A,2,-8,-0.8,-0.7,-0.75,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.7045270383822864e-05,5.8666436076040285e-05,2.162116569221741e-05,3.31523841355105e-05
A,2,-7,-0.7,-0.6,-0.65,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True,5.4295159858060235e-05,5.241311383263091e-05,-1.8820460254293296e-06,5.044149650449194e-05
A,2,-6,-0.6,-0.5,-0.55,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True,6.968437163472615e-05,7.334460257057358e-05,3.6602309358474092e-06,6.588688170504577e-05
A,2,-5,-0.5,-0.4,-0.45,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.0001300782785076289,9.965331365908413e-05,-3.042496484854475e-05,0.00011923486019726877
A,2,-4,-0.4,-0.3,-0.35,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True,7.027732974713845e-05,6.612843718172077e-05,-4.1488925654176874e-06,6.33233375743053e-05
A,2,-3,-0.3,-0.2,-0.25,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True,-7.0545311548030195e-06,-2.0574351075332762e-05,-1.3519819920529736e-05,-4.877450214414737e-06
A,2,-2,-0.2,-0.1,-0.15,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True,-1.2597004418694163e-05,-1.3108279989718807e-05,-5.112755710246406e-07,-1.228519212207409e-05
A,2,-1,-0.1,0.0,-0.05,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.38502552316569e-06,-1.839535126641819e-06,-6.224560649807499e-06,3.199344414683644e-06
A,2,0,0.0,0.1,0.05,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.746471912328134e-06,1.0402411624328974e-05,6.655939712000832e-06,3.245674016292773e-06
A,2,1,0.1,0.2,0.15,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.0818896307722517e-05,-3.6379263233007107e-05,-1.556036692528459e-05,-1.9987625464670437e-05
A,2,2,0.2,0.3,0.25,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True,-4.3897713994486205e-05,4.961787343788766e-05,9.351558743237388e-05,-5.81591482667565e-05
A,2,3,0.3,0.4,0.35,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.00020847780469868273,-0.00016293200081850636,4.5545803880176386e-05,-0.00017768575223985392
