arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SMAXH,0,0.001,37,none,0.81815625,0.9925000072,0.9925000072,0,0,-17.21205139,9.695455551,-28.8335743,0.1191274896,63.84102393,0,0,-16.85433578,8.087290764,-30.75628662,0.1144756079,53.972076,44.22372818,4.922914028,7.759628773
SMAXH,0,0.001,38,none,0.797125,1,1,0,0,-16.89241219,9.4099226,-30.50841713,0.124075219,63.08176358,0,0,-15.01652622,7.674329281,-33.58843231,0.1193253547,56.09385587,45.63031769,4.968708515,7.660087109
SMAXH,0,0.001,39,none,0.7882604167,1,1,0,0,-17.77795792,9.503109932,-25.27047348,0.1185061783,62.22474136,0,0,-15.34618855,7.483485222,-31.04020882,0.1164091751,56.70864257,46.70458603,4.960533142,7.556991577
SMAXH,0,0.001,40,none,0.79989375,1,1,0,0,-17.38236046,9.652558327,-29.65472984,0.1184058115,63.65643661,0,0,-16.90365791,8.121560097,-35.95793915,0.1163962707,55.1893086,48.1129837,5.039914608,7.622141838
SMAXH,0,0.001,41,none,0.7750479167,1,1,0,0,-18.09622002,9.760789871,-32.96731949,0.1201499179,63.58587585,0,0,-16.46370125,7.941437721,-26.36919022,0.1153913364,56.66883309,49.38265991,5.033771992,7.527965546
SMAXH,0,0.001,42,none,0.79005625,1,1,0,0,-17.38493538,9.554288864,-28.85970688,0.1228513345,65.26128515,0,0,-17.06297684,8.183213234,-29.44314194,0.1145078018,55.17553603,50.55014801,5.070093155,7.379767418
SMAXH,0,0.001,43,none,0.7846104167,1,1,0,0,-17.24227715,9.925564766,-31.19590187,0.1231271997,66.20788245,0,0,-17.47204018,8.468330383,-36.05151367,0.1152163669,56.85613174,51.39152908,5.088713169,7.533466816
SMAXH,0,0.001,44,none,0.80416875,1,1,0,0,-17.36403656,9.808834076,-28.89337921,0.1245569885,66.64061128,0,0,-18.71459007,8.818566322,-31.65078163,0.1154523715,55.58212069,52.3732872,5.173282146,7.389491081
SMAXH,0,0.001,45,none,0.7956208333,1,1,0,0,-18.48211861,10.30151939,-27.65047836,0.1225250885,65.68842014,0,0,-18.17072678,9.294863701,-32.820858,0.1197631434,57.39249237,53.36588287,5.268717289,7.341934204
SMAXH,0,0.001,46,none,0.7942083333,1,1,0,0,-18.3210392,10.28907871,-30.62039948,0.1226065829,65.33168836,0,0,-20.50935364,9.432617188,-39.79521179,0.1107721478,52.09666086,54.01126099,5.194706917,7.442764282
SMAXH,0,0.001,47,none,0.7970541667,1,1,0,0,-18.7017765,10.51238251,-32.32971191,0.1216469184,65.80443251,0,0,-20.21714211,9.911044121,-34.4902916,0.1147519052,53.76836699,55.29076004,5.278910637,7.481618404
SMAXH,0,0.001,48,none,0.7949958333,1,1,0,0,-19.71403885,10.63155746,-30.60809517,0.120141983,63.61784913,0,0,-19.90974808,9.419975281,-39.87251282,0.1116597727,51.28606184,56.09936142,5.252744675,7.436632633
SMAXH,0,0.001,49,none,0.7851333333,1,1,0,0,-19.32694244,10.59422684,-32.08424377,0.1197108701,63.61278086,0,0,-17.64160156,8.847086906,-34.03259277,0.1130297333,54.78397609,57.03892136,5.222571373,7.201413631
SMAXH,0,0.001,50,none,0.7922041667,1,1,0,0,-19.69476318,10.65043259,-31.41426849,0.1185421497,63.75804156,0,0,-18.94403458,9.033175468,-41.83710861,0.1152063608,57.16396048,58.26702499,5.183866501,7.19382906
