arm,seed,is_control,source,events_within_task,events_across_boundary,units_within_task,units_across_boundary,opportunities_within_task,opportunities_across_boundary,n_units,n_records,rate_within_task
RW_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,91,751,49,99,377672,94349,100,5001,0.0002409498188904658
RW_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,98,909,58,100,372177,92957,100,5001,0.0002633155729666261
RW_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,73,805,49,99,376820,94131,100,5001,0.0001937264476407834
RW_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,59,738,38,99,377899,94413,100,5001,0.00015612637239050645
RW_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,105,816,57,100,377597,94309,100,5001,0.0002780742431746015
RW_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,55,695,39,97,381348,95284,100,5001,0.00014422522210684206
R_933,0,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1561,0,100,345652,86465,100,5001,0.0
R_933,1,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1295,0,100,360661,90215,100,5001,0.0
R_933,2,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1545,0,100,349691,87493,100,5001,0.0
R_933,3,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1409,0,100,353665,88487,100,5001,0.0
R_933,4,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1389,0,100,357912,89542,100,5001,0.0
R_933,5,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1644,0,100,340282,85138,100,5001,0.0
R_933,6,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1495,0,100,349385,87434,100,5001,0.0
R_933,7,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1541,0,99,351016,87834,100,5001,0.0
R_933,8,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1474,0,100,352171,88127,100,5001,0.0
R_933,9,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,1448,0,100,354154,88611,100,5001,0.0
R_1216,0,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,711,0,100,379941,94975,100,5001,0.0
R_1216,1,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,715,0,98,378905,94707,100,5001,0.0
R_1216,2,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,676,0,99,378250,94551,100,5001,0.0
R_1216,3,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,623,0,97,382217,95542,100,5001,0.0
R_1216,4,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,657,0,98,379888,94960,100,5001,0.0
R_1216,5,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,735,0,100,375886,93963,100,5001,0.0
R_1216,6,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,676,0,98,381213,95306,100,5001,0.0
R_1216,7,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,588,0,95,383106,95743,100,5001,0.0
R_1216,8,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,676,0,100,378199,94527,100,5001,0.0
R_1216,9,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,0,527,0,96,385560,96376,100,5001,0.0
