variant,k,M,ci_lo,ci_hi,n_pair,n_seed_contrib,delta_vs_main,rel_delta_vs_main,ci_method,note
win_hi_m1,2,2.4254595403324122e-05,-5.201590213366375e-05,0.00011151226773716001,161964,10,1.2795810189935501e-06,0.055694459972405956,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,2,2.3564005986657256e-05,-4.519189667345245e-05,0.0001000382153551043,163826,10,5.889916023266833e-07,0.02563617991588234,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,2,2.2984238213104643e-05,-4.9213095378350825e-05,0.00010096132413661587,163012,10,9.223828774070682e-09,0.00040147216536071123,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,2,2.6514378374178103e-05,-2.1977517304968562e-05,7.310285251724288e-05,163072,10,3.539363989847531e-06,0.15405274315133616,percentile,pair-equal weighting instead of seed-equal
no_blip,2,3.71873082293392e-05,-2.247638803939263e-05,0.00011770844795863441,159726,10,1.421229384500863e-05,0.6185978214099271,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,2,2.2975014384330572e-05,-4.917081994949847e-05,0.00010096411560740085,163072,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,5,2.304626107752901e-05,-1.5076743069987827e-05,8.721294633239204e-05,283378,10,-1.998389538243163e-05,-0.4644160520547154,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,5,0.00010897769610379426,-7.60698370981873e-06,0.0003222011346049442,82985,10,6.594753964383362e-05,1.532588888102173,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,5,4.0028571228572185e-05,-3.109125371796669e-05,0.00015998437637096158,161964,10,-3.0015852313884566e-06,-0.0697553873451847,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,5,4.751303860523526e-05,-1.8105290975064054e-05,0.00017603711856135597,163826,10,4.4828821452746155e-06,0.10418001034799668,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,5,4.304138478636591e-05,-2.5627822840825252e-05,0.00016363232343010695,163012,10,1.1228326405265075e-08,0.00026094086866063293,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,5,4.259550322109544e-05,-6.536462797136032e-06,9.818090076996299e-05,163072,10,-4.346532388652046e-07,-0.010101130802758,percentile,pair-equal weighting instead of seed-equal
no_blip,5,5.4037078725409456e-05,-9.404086907455706e-06,0.00018300062611562937,159726,10,1.1006922265448814e-05,0.255795543659961,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,5,4.303015645996064e-05,-2.5633971384617413e-05,0.00016360496322591147,163072,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,10,3.166587866633659e-05,-1.967262797474188e-06,0.00011833862928929777,283378,10,-2.7912654345914048e-05,-0.4685018736559794,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,10,0.00013545977031721574,1.637331281799403e-05,0.0003650397688415875,82985,10,7.58812373049651e-05,1.2736338655629917,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,10,5.671340212778845e-05,-1.056450476880827e-05,0.0002026791207734148,161964,10,-2.865130884462191e-06,-0.04808998710782385,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,10,6.635866974688361e-05,6.424006376790763e-06,0.0002559611653924306,163826,10,6.7801367346329676e-06,0.11380167304956676,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,10,5.95920764344396e-05,-6.068940974499129e-06,0.00021524432073440346,163012,10,1.3543422188963018e-08,0.00022732050462165955,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,10,5.638224437446216e-05,8.780350950707142e-06,0.00011537368144999482,163072,10,-3.196288637788483e-06,-0.05364832727806938,percentile,pair-equal weighting instead of seed-equal
no_blip,10,6.762646625361209e-05,2.3758851207305378e-06,0.00022211074417996318,159726,10,8.047933241361447e-06,0.1350810910316744,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,10,5.957853301225064e-05,-6.078374947109221e-06,0.00021520812387400019,163072,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,20,4.48697786355216e-05,1.584905780043508e-05,0.00014523309692882302,283378,10,-3.738593339880597e-05,-0.4545086593281667,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,20,0.00017389454883288855,5.565448885284349e-05,0.00041338244632137814,82985,10,9.163883679856098e-05,1.1140726222188384,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,20,8.10784468734393e-05,1.8913306168628915e-05,0.000269840864012645,161964,10,-1.177265160888261e-06,-0.014312260288950582,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,20,9.086340686278301e-05,3.538357200313963e-05,0.000445383905303172,163826,10,8.60769482845544e-06,0.10464555731841714,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,20,8.227163522068913e-05,2.209754437245159e-05,0.0002692572003810168,163012,10,1.592318636156381e-08,0.00019358152726121474,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,20,7.476988342714977e-05,2.9828155920594588e-05,0.00013339916120832027,163072,10,-7.4858286071777995e-06,-0.09100679359572934,percentile,pair-equal weighting instead of seed-equal
no_blip,20,8.803702909501512e-05,2.562257993557018e-05,0.0002483168560161983,159726,10,5.781317060687551e-06,0.07028468805029428,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,20,8.225571203432757e-05,2.2070786882627732e-05,0.00026947355051984347,163072,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,40,5.2436818312035007e-05,2.3398437994346235e-05,0.00011111912396400488,283378,10,-4.6175578771158235e-05,-0.4682532839375431,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,40,0.00019237572774175732,7.000337433352022e-05,0.0004002565261369969,82985,10,9.376333065856408e-05,0.9508270099089234,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,40,9.823043886550622e-05,3.574196587369309e-05,0.00025660604448472226,161964,10,-3.8195821768702276e-07,-0.0038733285974661786,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,40,0.00010802017425306873,5.382838055633828e-05,0.00032934781319080415,163826,10,9.407777169875492e-06,0.09540156661985132,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,40,9.86297449735167e-05,3.907097400802796e-05,0.00025059937615585094,163012,10,1.734789032345192e-08,0.0001759199739239334,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,40,8.988632394806709e-05,4.435338459498487e-05,0.00014876950756279817,163072,10,-8.726073135126154e-06,-0.08848860177047009,percentile,pair-equal weighting instead of seed-equal
no_blip,40,0.0001015004538155604,3.8398107042690366e-05,0.00022867116019553252,159726,10,2.888056732367153e-06,0.029286953950938607,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,40,9.861239708319324e-05,3.906182720649411e-05,0.00025054269124777666,163072,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
