seed,env,act,iv,layer,unit_id,task,q_lowgate,sink,entry,exit,persistent_latest5
0,PM,ELU1,ref,1,15,2,0.01666666753590107,0,0,0,
0,PM,ELU1,ref,1,16,2,0.021666666492819786,0,0,0,
0,PM,ELU1,ref,1,17,2,0.021666666492819786,0,0,0,
0,PM,ELU1,ref,1,18,2,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,19,2,0.02916666679084301,0,0,0,
0,PM,ELU1,ref,1,20,2,0.0,0,0,0,
0,PM,ELU1,ref,1,21,2,0.14000000059604645,0,0,0,
0,PM,ELU1,ref,1,22,2,0.05583333596587181,0,0,0,
0,PM,ELU1,ref,1,23,2,0.005833333358168602,0,0,0,
0,PM,ELU1,ref,1,24,2,0.017500000074505806,0,0,0,
0,PM,ELU1,ref,1,25,2,0.15000000596046448,0,0,0,
0,PM,ELU1,ref,1,26,2,0.29083335399627686,0,0,0,
0,PM,ELU1,ref,1,27,2,0.0,0,0,0,
0,PM,ELU1,ref,1,28,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,29,2,0.37833333015441895,0,0,0,
0,PM,ELU1,ref,1,30,2,0.0,0,0,0,
0,PM,ELU1,ref,1,31,2,0.0033333334140479565,0,0,0,
0,PM,ELU1,ref,1,32,2,0.0033333334140479565,0,0,0,
0,PM,ELU1,ref,1,33,2,0.0,0,0,0,
0,PM,ELU1,ref,1,34,2,0.05250000208616257,0,0,0,
0,PM,ELU1,ref,1,35,2,0.0,0,0,0,
0,PM,ELU1,ref,1,36,2,0.007500000298023224,0,0,0,
0,PM,ELU1,ref,1,37,2,0.03500000014901161,0,0,0,
0,PM,ELU1,ref,1,38,2,0.011666666716337204,0,0,0,
0,PM,ELU1,ref,1,39,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,40,2,0.013333333656191826,0,0,0,
0,PM,ELU1,ref,1,41,2,0.057500001043081284,0,0,0,
0,PM,ELU1,ref,1,42,2,0.0,0,0,0,
0,PM,ELU1,ref,1,43,2,0.0,0,0,0,
0,PM,ELU1,ref,1,44,2,0.021666666492819786,0,0,0,
0,PM,ELU1,ref,1,45,2,0.01833333447575569,0,0,0,
0,PM,ELU1,ref,1,46,2,0.008333333767950535,0,0,0,
0,PM,ELU1,ref,1,47,2,0.054999999701976776,0,0,0,
0,PM,ELU1,ref,1,48,2,0.008333333767950535,0,0,0,
0,PM,ELU1,ref,1,49,2,0.009166667237877846,0,0,0,
0,PM,ELU1,ref,1,50,2,0.0,0,0,0,
0,PM,ELU1,ref,1,51,2,0.4741666913032532,0,0,0,
0,PM,ELU1,ref,1,52,2,0.004999999888241291,0,0,0,
0,PM,ELU1,ref,1,53,2,0.007500000298023224,0,0,0,
0,PM,ELU1,ref,1,54,2,0.005833333358168602,0,0,0,
0,PM,ELU1,ref,1,55,2,0.0,0,0,0,
0,PM,ELU1,ref,1,56,2,0.0,0,0,0,
0,PM,ELU1,ref,1,57,2,0.04749999940395355,0,0,0,
0,PM,ELU1,ref,1,58,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,59,2,0.07750000059604645,0,0,0,
0,PM,ELU1,ref,1,60,2,0.023333333432674408,0,0,0,
0,PM,ELU1,ref,1,61,2,0.007500000298023224,0,0,0,
0,PM,ELU1,ref,1,62,2,0.210833340883255,0,0,0,
0,PM,ELU1,ref,1,63,2,0.19333334267139435,0,0,0,
0,PM,ELU1,ref,1,64,2,0.0,0,0,0,
0,PM,ELU1,ref,1,65,2,0.4858333468437195,0,0,0,
0,PM,ELU1,ref,1,66,2,0.0,0,0,0,
0,PM,ELU1,ref,1,67,2,0.005833333358168602,0,0,0,
0,PM,ELU1,ref,1,68,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,69,2,0.015000000596046448,0,0,0,
0,PM,ELU1,ref,1,70,2,0.0,0,0,0,
0,PM,ELU1,ref,1,71,2,0.0,0,0,0,
0,PM,ELU1,ref,1,72,2,0.29333335161209106,0,0,0,
0,PM,ELU1,ref,1,73,2,0.0,0,0,0,
0,PM,ELU1,ref,1,74,2,0.08166667073965073,0,0,0,
0,PM,ELU1,ref,1,75,2,0.006666666828095913,0,0,0,
0,PM,ELU1,ref,1,76,2,0.019999999552965164,0,0,0,
0,PM,ELU1,ref,1,77,2,0.012500000186264515,0,0,0,
0,PM,ELU1,ref,1,78,2,0.013333333656191826,0,0,0,
0,PM,ELU1,ref,1,79,2,0.148333340883255,0,0,0,
0,PM,ELU1,ref,1,80,2,0.0,0,0,0,
0,PM,ELU1,ref,1,81,2,0.02916666679084301,0,0,0,
0,PM,ELU1,ref,1,82,2,0.0,0,0,0,
0,PM,ELU1,ref,1,83,2,0.042500000447034836,0,0,0,
0,PM,ELU1,ref,1,84,2,0.0,0,0,0,
0,PM,ELU1,ref,1,85,2,0.0,0,0,0,
0,PM,ELU1,ref,1,86,2,0.0,0,0,0,
0,PM,ELU1,ref,1,87,2,0.010833333246409893,0,0,0,
0,PM,ELU1,ref,1,88,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,89,2,0.09166666865348816,0,0,0,
0,PM,ELU1,ref,1,90,2,0.0,0,0,0,
0,PM,ELU1,ref,1,91,2,0.006666666828095913,0,0,0,
0,PM,ELU1,ref,1,92,2,0.09916666895151138,0,0,0,
0,PM,ELU1,ref,1,93,2,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,94,2,0.11749999970197678,0,0,0,
0,PM,ELU1,ref,1,95,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,96,2,0.03666666895151138,0,0,0,
0,PM,ELU1,ref,1,97,2,0.009166667237877846,0,0,0,
0,PM,ELU1,ref,1,98,2,0.015000000596046448,0,0,0,
0,PM,ELU1,ref,1,99,2,0.015000000596046448,0,0,0,
0,PM,ELU1,ref,1,0,3,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,1,3,0.07833333313465118,0,0,0,
0,PM,ELU1,ref,1,2,3,0.007500000298023224,0,0,0,
0,PM,ELU1,ref,1,3,3,0.004166666883975267,0,0,0,
0,PM,ELU1,ref,1,4,3,0.0024999999441206455,0,0,0,
0,PM,ELU1,ref,1,5,3,0.1758333444595337,0,0,0,
0,PM,ELU1,ref,1,6,3,0.09000000357627869,0,0,0,
0,PM,ELU1,ref,1,7,3,0.0,0,0,0,
0,PM,ELU1,ref,1,8,3,0.015833333134651184,0,0,0,
0,PM,ELU1,ref,1,9,3,0.011666666716337204,0,0,0,
0,PM,ELU1,ref,1,10,3,0.04833333566784859,0,0,0,
0,PM,ELU1,ref,1,11,3,0.015000000596046448,0,0,0,
0,PM,ELU1,ref,1,12,3,0.1925000101327896,0,0,0,
0,PM,ELU1,ref,1,13,3,0.0,0,0,0,
0,PM,ELU1,ref,1,14,3,0.0,0,0,0,
0,PM,ELU1,ref,1,15,3,0.023333333432674408,0,0,0,
0,PM,ELU1,ref,1,16,3,0.006666666828095913,0,0,0,
0,PM,ELU1,ref,1,17,3,0.03500000014901161,0,0,0,
0,PM,ELU1,ref,1,18,3,0.0,0,0,0,
