arm,age,metric,mean,lo,hi,label,n
LR_a0p1_q0,1000000,control_Kn,8.969449158911145e-17,-1.0929276836052896e-16,2.8868175153875185e-16,UNRESOLVED,10
LR_a0p1_q0,1000000,control_mean_transport_null,-2.0912198628932163e-17,-1.2800343311797927e-16,8.617903586011493e-17,UNRESOLVED,10
LR_a0p1_q0,1000000,control_mean_transport_span,0.004748648406633955,0.0012694072805339682,0.008227889532733942,POSITIVE,10
LR_a0p1_q0,1000000,control_mean_transport_W,0.004748648406633934,0.0012694072805340007,0.008227889532733868,POSITIVE,10
LR_a0p1_q0,1000000,control_mean_transport_bias,0.0005885729435223489,0.00022723378135273715,0.0009499121056919606,POSITIVE,10
LR_a0p1_q0,1000000,control_null_weight_norm2_change,-3.17506704729859e-14,-9.988116814188056e-14,3.6379827195908764e-14,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cn_qpos,1.0336995443230106e-16,-9.438324732916637e-16,1.150572382156266e-15,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cwhole_qpos,-0.02812780712351893,-0.044184976268008894,-0.012070637979028964,NEGATIVE,10
LR_a0p1_q0,1000000,control_Cn_qneg,2.5773317470087663e-16,-2.2332839022781733e-16,7.387947396295706e-16,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cwhole_qneg,0.010868149798019954,-0.008024548497053202,0.02976084809309311,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cn_qpos_zpos,-2.549569894406622e-16,-2.4535678806481097e-15,1.943653901766785e-15,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cwhole_qpos_zpos,-0.05122253757075843,-0.11090870945697312,0.008463634315456263,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cn_qpos_zneg,2.081421916985475e-16,-7.458723643022158e-16,1.162156747699311e-15,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cwhole_qpos_zneg,-0.025293048376734146,-0.040659514034478136,-0.009926582718990159,NEGATIVE,10
LR_a0p1_q0,1000000,control_Cn_qneg_zpos,-1.4894614291233104e-15,-3.434989407223874e-15,4.560665489772532e-16,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cwhole_qneg_zpos,0.07570818442365915,-0.05349583247861234,0.20491220132593063,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cn_qneg_zneg,2.8401076987672255e-16,-2.1003375356434415e-16,7.780552933177892e-16,UNRESOLVED,10
LR_a0p1_q0,1000000,control_Cwhole_qneg_zneg,0.00892625086586867,-0.007631031653516798,0.025483533385254137,UNRESOLVED,10
LR_a0p1_q0,1000000,Kn_diff,0.0002794437874191179,-0.00014781684131475858,0.0007067044161529944,UNRESOLVED,10
LR_a0p1_q0,1000000,Sn,0.032449174240641906,0.014266187964003169,0.050632160517280644,POSITIVE,10
LR_a0p1_q0,5000000,null_weight_energy_fraction,0.15362153210838153,0.1462372038492362,0.16100586036752687,POSITIVE,10
LR_a0p1_q0,5000000,null_B_field_RMS,0.39554753837689227,0.3838792056068353,0.40721587114694924,POSITIVE,10
LR_a0p1_q0,5000000,total_input_jump_RMS,0.4108535323142329,0.40017644340693415,0.4215306212215316,POSITIVE,10
LR_a0p1_q0,5000000,null_field_energy_over_jump_energy,0.9273329008271511,0.8991352636298673,0.955530538024435,POSITIVE,10
LR_a0p1_q0,5000000,span_jump_energy_over_jump_energy,0.43088873827847607,0.38940267073494605,0.4723748058220061,POSITIVE,10
LR_a0p1_q0,5000000,cross_over_jump_energy,-0.3582216391056249,-0.3821622141701982,-0.33428106404105157,NEGATIVE,10
LR_a0p1_q0,5000000,null_field_signed_mean,-0.15803031693312447,-0.16986859679192184,-0.1461920370743271,NEGATIVE,10
LR_a0p1_q0,5000000,null_field_positive_fraction,0.32953333333333334,0.3120525405230247,0.34701412614364197,POSITIVE,10
LR_a0p1_q0,5000000,null_field_positive_energy_fraction,0.19696614114405436,0.18435277789349946,0.20957950439460926,POSITIVE,10
LR_a0p1_q0,5000000,B_Kn,0.0003181803553607591,1.5360563423336647e-05,0.0006210001472981815,POSITIVE,10
LR_a0p1_q0,5000000,B_mean_transport_null,0.0014816142129938955,-0.001425588997748222,0.004388817423736013,UNRESOLVED,10
LR_a0p1_q0,5000000,B_mean_transport_span,0.014097798429592795,-0.011180477876747733,0.039376074735933325,UNRESOLVED,10
LR_a0p1_q0,5000000,B_mean_transport_W,0.015579412642586696,-0.012548017504596727,0.04370684278977012,UNRESOLVED,10
LR_a0p1_q0,5000000,B_mean_transport_bias,0.001624230027883299,-0.0015390913897601285,0.004787551445526726,UNRESOLVED,10
