arm,age,coordinate,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,centered,B_C_newly_activated,0.7758164029486785,0.16247323723033302,1.389159568667024,POSITIVE,10
LR_a0p1_q0,200000,centered,B_Cbias_newly_activated,0.8441784561073652,0.1672542914297922,1.521102620784938,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qpos_energy_fraction,0.4057212798794073,0.3351686100364564,0.4762739497223582,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qpos_count_fraction,0.45718749999999997,0.41814406422325595,0.496230935776744,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qneg_energy_fraction,0.5942787201205926,0.5237260502776416,0.6648313899635435,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qneg_count_fraction,0.5428125,0.503769064223256,0.5818559357767441,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qpos_zpos_energy_fraction,0.2028338018854748,0.16317008154274748,0.24249752222820214,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qpos_zpos_count_fraction,0.091,0.07183298243924383,0.11016701756075617,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qpos_zneg_energy_fraction,0.20288747799393256,0.15933420478443835,0.24644075120342676,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qpos_zneg_count_fraction,0.3661875,0.32973494516514357,0.40264005483485643,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qneg_zpos_energy_fraction,0.10524202319049884,0.06695154893963737,0.14353249744136032,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qneg_zpos_count_fraction,0.08503125000000002,0.05298966382236271,0.11707283617763732,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qneg_zneg_energy_fraction,0.4890366969300938,0.4264561947037798,0.5516171991564077,POSITIVE,10
LR_a0p1_q0,200000,centered,control_qneg_zneg_count_fraction,0.45778125000000003,0.407647259343159,0.5079152406568411,POSITIVE,10
LR_a0p1_q0,200000,centered,control_newly_activated_energy_fraction,0.0435340544375649,0.03070655769743772,0.05636155117769207,POSITIVE,10
LR_a0p1_q0,200000,centered,control_newly_activated_count_fraction,0.00959375,0.0068679384561348145,0.012319561543865185,POSITIVE,10
LR_a0p1_q0,200000,centered,control_K,-0.020020063922597683,-0.03496940502471055,-0.005070722820484815,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_K_source_positive,-0.021688550215195643,-0.03758205756974191,-0.005795042860649378,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_K_source_negative,0.0016684862925979544,0.0006016209549476858,0.002735351630248223,POSITIVE,10
LR_a0p1_q0,200000,centered,control_mean_B_delta,0.00026616301983877486,-0.0004367520418879546,0.0009690780815655043,UNRESOLVED,10
LR_a0p1_q0,200000,centered,control_C_qpos,-0.01522711705832216,-0.02523325700425811,-0.005220977112386208,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_Cbias_qpos,-0.01584766359061396,-0.02631235173668167,-0.0053829754445462435,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_C_qneg,-0.014864387471630136,-0.039839370364816995,0.010110595421556725,UNRESOLVED,10
LR_a0p1_q0,200000,centered,control_Cbias_qneg,-0.015937469213421974,-0.043260658025397414,0.011385719598553466,UNRESOLVED,10
LR_a0p1_q0,200000,centered,control_C_qpos_zpos,-0.01773103432541861,-0.030996990875108064,-0.004465077775729151,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_Cbias_qpos_zpos,-0.017863566729520462,-0.03117405620280754,-0.004553077256233383,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_C_qpos_zneg,-0.014440228489960228,-0.026581929291182964,-0.002298527688737494,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_Cbias_qpos_zneg,-0.0157190123635836,-0.029209101807258137,-0.002228922919909067,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_C_qneg_zpos,-0.008682564689541256,-0.028023173939347258,0.010658044560264748,UNRESOLVED,10
LR_a0p1_q0,200000,centered,control_Cbias_qneg_zpos,-0.010297786302266519,-0.03221957604643324,0.011624003441900203,UNRESOLVED,10
