arm,age,coordinate,dtype,seed,rank,D_null_rel_norm,u_null_energy_fraction
LR_a0p1_q0,1000000,centered,float64,7,6,2.3529207658273066e-14,0.027384626655174982
LR_a0p1_q0,1000000,centered,float64,8,6,3.106236603931435e-14,0.024452449818522265
LR_a0p1_q0,1000000,centered,float64,9,6,2.6169081002967106e-14,0.03376288933597177
LR_a0p1_q0,1000000,centered,float32,0,6,1.290429592072004e-05,
LR_a0p1_q0,1000000,centered,float32,1,6,2.6541164956730484e-05,
LR_a0p1_q0,1000000,centered,float32,2,6,1.1742135302592301e-05,
LR_a0p1_q0,1000000,centered,float32,3,6,3.061257195576687e-05,
LR_a0p1_q0,1000000,centered,float32,4,6,1.9336279614918817e-05,
LR_a0p1_q0,1000000,centered,float32,5,6,1.4338175292246258e-05,
LR_a0p1_q0,1000000,centered,float32,6,6,2.9693505816209188e-05,
LR_a0p1_q0,1000000,centered,float32,7,6,1.2177022014036368e-05,
LR_a0p1_q0,1000000,centered,float32,8,6,1.5708033473431515e-05,
LR_a0p1_q0,1000000,centered,float32,9,6,1.3097704957357006e-05,
LR_a0p1_q0,5000000,whole,float64,0,6,4.574811162759268e-14,0.012685305486392176
LR_a0p1_q0,5000000,whole,float64,1,6,4.766099587577032e-14,0.0031144717027074467
LR_a0p1_q0,5000000,whole,float64,2,6,4.9762388053904866e-14,0.0034673637904056556
LR_a0p1_q0,5000000,whole,float64,3,6,3.28196656271334e-14,0.004932434165029308
LR_a0p1_q0,5000000,whole,float64,4,6,5.324266752123189e-14,0.0021835835839817837
LR_a0p1_q0,5000000,whole,float64,5,6,5.342224985744408e-14,0.005218760904419108
LR_a0p1_q0,5000000,whole,float64,6,6,3.558043504807893e-14,0.002550061407458929
LR_a0p1_q0,5000000,whole,float64,7,6,4.104020794060675e-14,0.0037913931608915177
LR_a0p1_q0,5000000,whole,float64,8,6,3.0463040333450885e-14,0.002701483907459437
LR_a0p1_q0,5000000,whole,float64,9,6,3.379953637688271e-14,0.005069782781269223
LR_a0p1_q0,5000000,whole,float32,0,6,2.21295515766388e-05,
LR_a0p1_q0,5000000,whole,float32,1,6,2.203252645459306e-05,
LR_a0p1_q0,5000000,whole,float32,2,6,2.592870402838958e-05,
LR_a0p1_q0,5000000,whole,float32,3,6,1.8537254912732357e-05,
LR_a0p1_q0,5000000,whole,float32,4,6,2.6543001537920094e-05,
LR_a0p1_q0,5000000,whole,float32,5,6,4.511781138405537e-05,
LR_a0p1_q0,5000000,whole,float32,6,6,1.5969110258366286e-05,
LR_a0p1_q0,5000000,whole,float32,7,6,2.3517570598614245e-05,
LR_a0p1_q0,5000000,whole,float32,8,6,1.7368210485850538e-05,
LR_a0p1_q0,5000000,whole,float32,9,6,2.176270515742761e-05,
LR_a0p1_q0,5000000,centered,float64,0,6,5.3172283365137265e-14,0.03141228569983609
LR_a0p1_q0,5000000,centered,float64,1,6,5.457333089615867e-14,0.008201027222163012
LR_a0p1_q0,5000000,centered,float64,2,6,5.6836896524440874e-14,0.0131866853694767
LR_a0p1_q0,5000000,centered,float64,3,6,3.2281207438428544e-14,0.006947202551822316
LR_a0p1_q0,5000000,centered,float64,4,6,6.440832165695178e-14,0.008216724866467297
LR_a0p1_q0,5000000,centered,float64,5,6,5.691639919361626e-14,0.012002993581914811
LR_a0p1_q0,5000000,centered,float64,6,6,3.824996275458412e-14,0.005742082636706265
LR_a0p1_q0,5000000,centered,float64,7,6,4.6731639216944784e-14,0.009504121209561922
LR_a0p1_q0,5000000,centered,float64,8,6,3.0361153218871216e-14,0.0065070578037065814
LR_a0p1_q0,5000000,centered,float64,9,6,3.3168812283653825e-14,0.007945665681628406
LR_a0p1_q0,5000000,centered,float32,0,6,2.5907283913295683e-05,
LR_a0p1_q0,5000000,centered,float32,1,6,2.483034486032358e-05,
LR_a0p1_q0,5000000,centered,float32,2,6,2.9646282969294718e-05,
LR_a0p1_q0,5000000,centered,float32,3,6,1.8423450080785907e-05,
LR_a0p1_q0,5000000,centered,float32,4,6,3.0893969165811376e-05,
LR_a0p1_q0,5000000,centered,float32,5,6,4.7915852249065676e-05,
LR_a0p1_q0,5000000,centered,float32,6,6,1.8154865399640128e-05,
LR_a0p1_q0,5000000,centered,float32,7,6,2.7714568821005657e-05,
LR_a0p1_q0,5000000,centered,float32,8,6,1.7768787048499944e-05,
LR_a0p1_q0,5000000,centered,float32,9,6,2.0387720082796786e-05,
LR_a0p7_q0,200000,whole,float64,0,6,2.6463342710132757e-14,0.04844122186067027
LR_a0p7_q0,200000,whole,float64,1,6,1.6870686196274558e-14,0.05257546866419436
LR_a0p7_q0,200000,whole,float64,2,6,2.514367600843343e-14,0.021963796585094928
LR_a0p7_q0,200000,whole,float64,3,6,2.2849012178123063e-14,0.04790566301634763
LR_a0p7_q0,200000,whole,float64,4,6,2.029050042432125e-14,0.04832075464893301
LR_a0p7_q0,200000,whole,float64,5,6,2.7576597373965017e-14,0.029382604101247656
LR_a0p7_q0,200000,whole,float64,6,6,2.547253084835533e-14,0.02961325753143289
LR_a0p7_q0,200000,whole,float64,7,6,3.0322791441414755e-14,0.026187173458168688
LR_a0p7_q0,200000,whole,float64,8,6,2.1404967042701827e-14,0.03198209528445412
LR_a0p7_q0,200000,whole,float64,9,6,2.5968491223772922e-14,0.03197598708373589
LR_a0p7_q0,200000,whole,float32,0,6,1.260900415315455e-05,
LR_a0p7_q0,200000,whole,float32,1,6,1.0325332624422792e-05,
LR_a0p7_q0,200000,whole,float32,2,6,1.2970404975657751e-05,
LR_a0p7_q0,200000,whole,float32,3,6,1.3045900972639527e-05,
LR_a0p7_q0,200000,whole,float32,4,6,1.1425424715812736e-05,
LR_a0p7_q0,200000,whole,float32,5,6,1.4435705367319041e-05,
LR_a0p7_q0,200000,whole,float32,6,6,1.352893662687132e-05,
LR_a0p7_q0,200000,whole,float32,7,6,1.6637066144313398e-05,
LR_a0p7_q0,200000,whole,float32,8,6,1.096297872610218e-05,
LR_a0p7_q0,200000,whole,float32,9,6,1.285007602424781e-05,
LR_a0p7_q0,200000,centered,float64,0,6,2.7779698518234214e-14,0.058097967051639055
LR_a0p7_q0,200000,centered,float64,1,6,1.6232702027481213e-14,0.05856297049948914
LR_a0p7_q0,200000,centered,float64,2,6,2.3739628536518166e-14,0.022495657349421567
LR_a0p7_q0,200000,centered,float64,3,6,2.2633642574368112e-14,0.055318684964199366
LR_a0p7_q0,200000,centered,float64,4,6,2.1224163121165395e-14,0.0532805572700913
LR_a0p7_q0,200000,centered,float64,5,6,2.6795888074971285e-14,0.03408750542733908
LR_a0p7_q0,200000,centered,float64,6,6,2.5349665602896345e-14,0.037971976879735095
LR_a0p7_q0,200000,centered,float64,7,6,3.415907046024559e-14,0.038214146592692524
LR_a0p7_q0,200000,centered,float64,8,6,2.0623613415162987e-14,0.036710704564404305
LR_a0p7_q0,200000,centered,float64,9,6,2.6388412575173528e-14,0.03700011766796575
LR_a0p7_q0,200000,centered,float32,0,6,1.3210032145112636e-05,
LR_a0p7_q0,200000,centered,float32,1,6,9.804831236097611e-06,
LR_a0p7_q0,200000,centered,float32,2,6,1.2406636256038167e-05,
LR_a0p7_q0,200000,centered,float32,3,6,1.2910648227218615e-05,
LR_a0p7_q0,200000,centered,float32,4,6,1.1838775696365983e-05,
LR_a0p7_q0,200000,centered,float32,5,6,1.4392415323724958e-05,
LR_a0p7_q0,200000,centered,float32,6,6,1.3461550207443793e-05,
LR_a0p7_q0,200000,centered,float32,7,6,1.8623890931518035e-05,
LR_a0p7_q0,200000,centered,float32,8,6,1.0776383436853516e-05,
LR_a0p7_q0,200000,centered,float32,9,6,1.246646460167831e-05,
LR_a0p7_q0,1000000,whole,float64,0,6,1.6127597772308966e-14,0.021881817207383993
LR_a0p7_q0,1000000,whole,float64,1,6,2.120889205834848e-14,0.053571329313326393
LR_a0p7_q0,1000000,whole,float64,2,6,1.8736731813909318e-14,0.029537209178092282
LR_a0p7_q0,1000000,whole,float64,3,6,2.048978559177434e-14,0.021252465772922818
LR_a0p7_q0,1000000,whole,float64,4,6,1.8290791555950234e-14,0.02102552822878217
LR_a0p7_q0,1000000,whole,float64,5,6,2.2551313761864043e-14,0.012106224210944863
LR_a0p7_q0,1000000,whole,float64,6,6,1.6862862254344362e-14,0.013898361137255082
LR_a0p7_q0,1000000,whole,float64,7,6,1.4601781859577543e-14,0.020091318309578658
LR_a0p7_q0,1000000,whole,float64,8,6,1.6017608286171665e-14,0.02853404359081361
LR_a0p7_q0,1000000,whole,float64,9,6,1.8877188021489176e-14,0.021531055438066705
LR_a0p7_q0,1000000,whole,float32,0,6,8.13571491561633e-06,
LR_a0p7_q0,1000000,whole,float32,1,6,1.3688649669075886e-05,
LR_a0p7_q0,1000000,whole,float32,2,6,1.1018835945635047e-05,
LR_a0p7_q0,1000000,whole,float32,3,6,1.1195572408677898e-05,
LR_a0p7_q0,1000000,whole,float32,4,6,9.53142101724169e-06,
LR_a0p7_q0,1000000,whole,float32,5,6,1.2209049409708507e-05,
LR_a0p7_q0,1000000,whole,float32,6,6,1.0719538536644751e-05,
LR_a0p7_q0,1000000,whole,float32,7,6,8.175449632924147e-06,
LR_a0p7_q0,1000000,whole,float32,8,6,7.72203351948015e-06,
LR_a0p7_q0,1000000,whole,float32,9,6,1.1580646812904531e-05,
LR_a0p7_q0,1000000,centered,float64,0,6,1.7538707274776667e-14,0.024502763848045134
LR_a0p7_q0,1000000,centered,float64,1,6,2.3017049659159576e-14,0.07090388245127624
LR_a0p7_q0,1000000,centered,float64,2,6,1.899315213880781e-14,0.039484397699993956
LR_a0p7_q0,1000000,centered,float64,3,6,2.123885773355284e-14,0.024690292007623783
LR_a0p7_q0,1000000,centered,float64,4,6,1.8295395088980854e-14,0.025071719303945243
LR_a0p7_q0,1000000,centered,float64,5,6,2.3645626461147995e-14,0.015600652799320089
LR_a0p7_q0,1000000,centered,float64,6,6,1.7242714889231362e-14,0.015989513855624804
LR_a0p7_q0,1000000,centered,float64,7,6,1.467741037414047e-14,0.02213288644663307
LR_a0p7_q0,1000000,centered,float64,8,6,1.5202488424016742e-14,0.03160167130288014
LR_a0p7_q0,1000000,centered,float64,9,6,1.950469913858802e-14,0.024472488847464727
LR_a0p7_q0,1000000,centered,float32,0,6,8.538643269868867e-06,
LR_a0p7_q0,1000000,centered,float32,1,6,1.3679175390950885e-05,
LR_a0p7_q0,1000000,centered,float32,2,6,1.0985414608654174e-05,
LR_a0p7_q0,1000000,centered,float32,3,6,1.11458762717837e-05,
LR_a0p7_q0,1000000,centered,float32,4,6,9.698643397127408e-06,
LR_a0p7_q0,1000000,centered,float32,5,6,1.2961454745239127e-05,
LR_a0p7_q0,1000000,centered,float32,6,6,1.017652308179894e-05,
LR_a0p7_q0,1000000,centered,float32,7,6,8.158327445427524e-06,
LR_a0p7_q0,1000000,centered,float32,8,6,7.445636946867136e-06,
LR_a0p7_q0,1000000,centered,float32,9,6,1.1678785411900323e-05,
LR_a0p7_q0,5000000,whole,float64,0,6,1.2881099971093658e-14,0.021325060860583715
LR_a0p7_q0,5000000,whole,float64,1,6,1.2402353668142208e-14,0.01750559300074149
LR_a0p7_q0,5000000,whole,float64,2,6,1.290328236040193e-14,0.00882167681434299
LR_a0p7_q0,5000000,whole,float64,3,6,1.1407993262156857e-14,0.014970330548054148
LR_a0p7_q0,5000000,whole,float64,4,6,9.92931558238757e-15,0.06377767694846125
LR_a0p7_q0,5000000,whole,float64,5,6,1.8006780800053005e-14,0.018247560237704595
LR_a0p7_q0,5000000,whole,float64,6,6,1.080847767211269e-14,0.019459839832561058
LR_a0p7_q0,5000000,whole,float64,7,6,1.3336185033213315e-14,0.022736470796720726
LR_a0p7_q0,5000000,whole,float64,8,6,9.086346538333319e-15,0.029960958132880827
LR_a0p7_q0,5000000,whole,float64,9,6,1.3963981701042269e-14,0.033795242859814986
LR_a0p7_q0,5000000,whole,float32,0,6,6.3165871000409845e-06,
LR_a0p7_q0,5000000,whole,float32,1,6,6.309407038703562e-06,
LR_a0p7_q0,5000000,whole,float32,2,6,6.95919653142124e-06,
LR_a0p7_q0,5000000,whole,float32,3,6,5.707357335898697e-06,
LR_a0p7_q0,5000000,whole,float32,4,6,5.157054897754002e-06,
LR_a0p7_q0,5000000,whole,float32,5,6,1.0356630834800315e-05,
LR_a0p7_q0,5000000,whole,float32,6,6,6.004627447629768e-06,
LR_a0p7_q0,5000000,whole,float32,7,6,6.692879741328832e-06,
LR_a0p7_q0,5000000,whole,float32,8,6,4.242297706813083e-06,
LR_a0p7_q0,5000000,whole,float32,9,6,8.317013621303186e-06,
LR_a0p7_q0,5000000,centered,float64,0,6,1.3087238715844007e-14,0.019899117644371963
LR_a0p7_q0,5000000,centered,float64,1,6,1.2418424983805145e-14,0.017783008227133645
LR_a0p7_q0,5000000,centered,float64,2,6,1.3187684110831802e-14,0.011674945891345679
LR_a0p7_q0,5000000,centered,float64,3,6,1.1708152916367445e-14,0.01567253673895921
LR_a0p7_q0,5000000,centered,float64,4,6,9.90689933641067e-15,0.07193316532281198
LR_a0p7_q0,5000000,centered,float64,5,6,2.0024467570987756e-14,0.026495591685931734
LR_a0p7_q0,5000000,centered,float64,6,6,1.143173997066574e-14,0.01978661587202228
LR_a0p7_q0,5000000,centered,float64,7,6,1.3101189847343496e-14,0.024712896161299274
LR_a0p7_q0,5000000,centered,float64,8,6,8.926335273917322e-15,0.02996264740626915
LR_a0p7_q0,5000000,centered,float64,9,6,1.483214310951569e-14,0.03636275350306756
LR_a0p7_q0,5000000,centered,float32,0,6,6.197576215052002e-06,
LR_a0p7_q0,5000000,centered,float32,1,6,6.353354819714357e-06,
LR_a0p7_q0,5000000,centered,float32,2,6,7.179595080696002e-06,
LR_a0p7_q0,5000000,centered,float32,3,6,5.865066041392277e-06,
LR_a0p7_q0,5000000,centered,float32,4,6,5.129540903166231e-06,
LR_a0p7_q0,5000000,centered,float32,5,6,1.106110742723021e-05,
LR_a0p7_q0,5000000,centered,float32,6,6,6.344944486744708e-06,
LR_a0p7_q0,5000000,centered,float32,7,6,6.671506083850051e-06,
LR_a0p7_q0,5000000,centered,float32,8,6,4.003557356269896e-06,
LR_a0p7_q0,5000000,centered,float32,9,6,8.220715333622891e-06,
