exp,width,batch,c,run_id,metric,t50
A,100,1,,A_w100_T10000_std_lr0.01_s3,dead,91500.0
A,100,1,,A_w100_T10000_std_lr0.01_s4,srank_drop,161300.0
A,100,1,,A_w100_T10000_std_lr0.01_s4,srank_alive_drop,67000.0
A,100,1,,A_w100_T10000_std_lr0.01_s4,post_err,440000.0
A,100,1,,A_w100_T10000_std_lr0.01_s4,trC,40300.0
A,100,1,,A_w100_T10000_std_lr0.01_s4,dead,60100.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s0,srank_drop,85000.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s0,srank_alive_drop,190400.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s0,post_err,400000.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s0,trC,80300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s0,dead,400200.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s1,srank_drop,55000.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s1,srank_alive_drop,62900.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s1,post_err,70000.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s1,trC,20300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s1,dead,190300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s2,srank_drop,110500.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s2,srank_alive_drop,110400.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s2,post_err,110000.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s2,trC,110300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s2,dead,240300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s3,srank_drop,90600.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s3,srank_alive_drop,120500.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s3,post_err,60000.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s3,trC,20300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s3,dead,250100.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s4,srank_drop,81300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s4,srank_alive_drop,90100.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s4,post_err,80000.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s4,trC,10300.0
A,100,full,,A_w100_T10000_std_lr0.01_bfull_s4,dead,660200.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s0,srank_drop,12100.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s0,srank_alive_drop,12100.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s0,post_err,320000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s0,trC,
