step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
9000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.28204,3.11047,0.187136,0.495556,0,0.82002,122.646,0.00668605,9.21292,0.286961,3.48479,3.09277,0.2,0.355146
9000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0,0.4,4.04676,2.50088,0.203474,0.477778,0,0.174266,75.6949,0.00230222,8.92577,0.270601,3.69547,2.89934,0.4,0.26722
9000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.28012,2.5648,0.192904,0.48,0,0.0310396,37.4135,0.000829635,9.18219,0.290795,3.43885,2.54163,0.4,0.250428
9800,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.02902,2.52436,0.218437,0.468889,0,2.77734,72.5062,0.0383048,8.68932,0.346676,2.88454,2.27694,0.4,0.214215
9800,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.61686,3.5532,0.177194,0.47,0,0.14425,27.4126,0.00526218,9.10766,0.276412,3.61778,3.06365,0.3,0.253139
9800,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.27873,3.07892,0.187303,0.495556,0,0.641167,116.77,0.00549087,9.21062,0.287816,3.47444,3.08657,0.2,0.351699
9800,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0,0.4,4.06034,2.54091,0.203762,0.477778,0,0.0765934,76.594,0.000999993,8.92259,0.270165,3.70144,2.91863,0.4,0.265925
9800,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.38822,2.39514,0.205493,0.478889,0,0.0452734,37.2229,0.00121628,9.11075,0.297977,3.35597,2.51344,0.4,0.179764
9900,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.02114,2.51477,0.218878,0.468889,0,3.80862,77.4578,0.0491702,8.68199,0.34865,2.86821,2.26635,0.4,0.213002
9900,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.61991,3.55196,0.176911,0.47,0,0.117346,25.7159,0.00456318,9.10515,0.277209,3.60739,3.05591,0.3,0.252136
9900,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.28005,3.07451,0.187323,0.495556,0,0.69194,116.62,0.00593329,9.21083,0.287951,3.47281,3.08542,0.2,0.351093
9900,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0,0.4,4.06224,2.54571,0.203783,0.477778,0,0.185487,77.5688,0.00239125,8.92232,0.270142,3.70176,2.92068,0.4,0.266161
9900,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.40111,2.36679,0.207117,0.478889,0,0.0307276,36.7201,0.000836807,9.09958,0.300097,3.33225,2.50054,0.4,0.173517
10000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.01266,2.50255,0.219303,0.468889,0,3.07394,79.487,0.0386722,8.67479,0.350629,2.85202,2.25599,0.4,0.211006
10000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.62846,3.54731,0.176583,0.47,0,0.119649,25.8459,0.00462932,9.10274,0.278071,3.5962,3.04705,0.3,0.250814
10000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.28314,3.07298,0.187435,0.495556,0,0.552142,116.571,0.00473655,9.21057,0.288171,3.47016,3.08338,0.2,0.349796
10000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0,0.4,4.06317,2.55029,0.203801,0.477778,0,0.201456,77.7384,0.00259146,8.92206,0.270121,3.70205,2.92293,0.4,0.266266
10000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.41574,2.34189,0.208681,0.478889,0,0.0345258,36.7616,0.00093918,9.08835,0.302348,3.30745,2.48656,0.4,0.167531
10100,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0.0222222,0.3,4.21296,2.53812,0.2241,0.467778,0,0.346366,129.95,0.00266537,8.65044,0.355717,2.81122,2.28465,0.3,0.533912
10100,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.02108,3.56756,0.174299,0.47,0,0.174312,67.4277,0.00258517,9.09731,0.273801,3.65229,3.17631,0.2,0.617007
10100,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.03385,3.20692,0.162389,0.501111,0,0.181235,229.908,0.000788294,9.32292,0.25665,3.89636,3.45281,0.2,0.702447
10100,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.02357,2.97655,0.19481,0.481111,0,0.154159,110.452,0.00139571,8.90958,0.285703,3.50013,3.05207,0.3,0.564873
10100,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.56099,2.03369,0.21083,0.48,0,0.191667,197.196,0.000971962,9.03555,0.311326,3.21206,2.60114,0.3,0.625731
10200,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0.0222222,0.3,4.16078,2.52749,0.2264,0.467778,0,0.430276,106.661,0.00403406,8.64496,0.358466,2.78966,2.26683,0.3,0.435119
10200,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.02457,3.53744,0.173818,0.471111,0,0.135218,60.4294,0.00223762,9.09488,0.273826,3.65195,3.16765,0.2,0.566153
10200,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,3.99585,3.28873,0.15508,0.501111,0,0.10399,200.658,0.000518247,9.36111,0.241913,4.13371,3.65103,0.2,0.60708
