step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
9900,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.60568,1.63518,0.185319,0.488889,0,0.639275,15.2805,0.0418359,8.71648,0.308764,3.23872,2.69857,0.4,0.254058
9900,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,4.52383,1.89379,0.24164,0.503333,0,3.9678,14.8771,0.266706,8.67924,0.450898,2.2178,1.89245,0.3,0.122278
10000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.44585,3.02025,0.200161,0.475556,0,0.669586,14.7316,0.0454523,8.73295,0.320308,3.122,2.58535,0.4,0.285461
10000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.11651,2.35291,0.192205,0.46,0,0.247799,9.01566,0.0274854,8.98737,0.267083,3.74415,2.92473,0.4,0.193409
10000,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,6.32479,4.0813,0.18721,0.512222,0,0.124792,10.8962,0.0114528,8.8685,0.289711,3.45171,3.18511,0.3,0.280978
10000,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.33546,1.68835,0.182561,0.488889,0,10.488,26.7181,0.392544,8.73345,0.306971,3.25764,2.71721,0.4,0.38815
10000,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,4.51955,1.86198,0.241782,0.5,0,5.97564,22.3524,0.267337,8.67207,0.452546,2.20972,1.88672,0.3,0.158399
10100,A_w10_T10000_std_lr0.01_s0,0.5,0,0.4,3.22086,2.14737,0.201135,0.473333,0,1.90098,21.5248,0.0883157,8.74701,0.322089,3.10473,2.38126,0.5,0.783732
10100,A_w10_T10000_std_lr0.01_s1,0.5,0,0.4,3.36263,1.79752,0.195038,0.461111,0,0.104304,9.41679,0.0110764,8.96508,0.256831,3.89361,2.41109,0.5,0.531822
10100,A_w10_T10000_std_lr0.01_s2,0.4,0,0.3,4.66832,2.70998,0.187054,0.512222,0,0.63903,50.9433,0.0125439,8.91219,0.280759,3.56178,3.02146,0.4,0.782498
10100,A_w10_T10000_std_lr0.01_s3,0.5,0.0222222,0.2,2.39905,1.52179,0.185197,0.501111,0,11.6525,82.1957,0.141766,8.74621,0.3063,3.26477,2.24241,0.5,1.22973
10100,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,2.48437,1.30622,0.231978,0.491111,0,5.8774,49.9451,0.117677,8.70688,0.433175,2.30854,1.97264,0.3,1.0154
10200,A_w10_T10000_std_lr0.01_s0,0.6,0,0.5,3.15539,2.19287,0.207484,0.484444,0,0.139366,13.4346,0.0103737,8.74537,0.325723,3.07009,2.13806,0.6,0.532138
