switch_step,run_id,post_err
410000,A_w100_T10000_std_lr0.01_bfull_s0,6.34261
410000,A_w100_T10000_std_lr0.01_bfull_s1,4.67314
410000,A_w100_T10000_std_lr0.01_bfull_s2,3.32664
410000,A_w100_T10000_std_lr0.01_bfull_s3,1.26476
410000,A_w100_T10000_std_lr0.01_bfull_s4,0.839839
420000,A_w100_T10000_std_lr0.01_bfull_s0,30.0784
420000,A_w100_T10000_std_lr0.01_bfull_s1,1.33162
420000,A_w100_T10000_std_lr0.01_bfull_s2,5.24298
420000,A_w100_T10000_std_lr0.01_bfull_s3,3.69184
420000,A_w100_T10000_std_lr0.01_bfull_s4,3.47284
430000,A_w100_T10000_std_lr0.01_bfull_s0,5.27731
430000,A_w100_T10000_std_lr0.01_bfull_s1,5.13652
430000,A_w100_T10000_std_lr0.01_bfull_s2,3.04553
430000,A_w100_T10000_std_lr0.01_bfull_s3,0.833545
430000,A_w100_T10000_std_lr0.01_bfull_s4,2.22679
440000,A_w100_T10000_std_lr0.01_bfull_s0,2.84869
440000,A_w100_T10000_std_lr0.01_bfull_s1,1.97018
440000,A_w100_T10000_std_lr0.01_bfull_s2,4.03097
440000,A_w100_T10000_std_lr0.01_bfull_s3,1.19413
440000,A_w100_T10000_std_lr0.01_bfull_s4,2.59448
450000,A_w100_T10000_std_lr0.01_bfull_s0,2.01352
450000,A_w100_T10000_std_lr0.01_bfull_s1,4.54107
450000,A_w100_T10000_std_lr0.01_bfull_s2,2.19763
450000,A_w100_T10000_std_lr0.01_bfull_s3,1.2848
450000,A_w100_T10000_std_lr0.01_bfull_s4,4.13898
460000,A_w100_T10000_std_lr0.01_bfull_s0,2.95653
460000,A_w100_T10000_std_lr0.01_bfull_s1,7.54883
460000,A_w100_T10000_std_lr0.01_bfull_s2,1.62784
460000,A_w100_T10000_std_lr0.01_bfull_s3,1.37657
460000,A_w100_T10000_std_lr0.01_bfull_s4,1.44325
470000,A_w100_T10000_std_lr0.01_bfull_s0,3.26172
470000,A_w100_T10000_std_lr0.01_bfull_s1,6.60084
470000,A_w100_T10000_std_lr0.01_bfull_s2,1.41485
470000,A_w100_T10000_std_lr0.01_bfull_s3,3.04195
470000,A_w100_T10000_std_lr0.01_bfull_s4,0.739314
480000,A_w100_T10000_std_lr0.01_bfull_s0,1.06124
480000,A_w100_T10000_std_lr0.01_bfull_s1,3.30997
480000,A_w100_T10000_std_lr0.01_bfull_s2,2.0897
480000,A_w100_T10000_std_lr0.01_bfull_s3,1.0665
480000,A_w100_T10000_std_lr0.01_bfull_s4,1.18408
490000,A_w100_T10000_std_lr0.01_bfull_s0,4.86304
490000,A_w100_T10000_std_lr0.01_bfull_s1,1.5106
490000,A_w100_T10000_std_lr0.01_bfull_s2,1.48494
490000,A_w100_T10000_std_lr0.01_bfull_s3,1.02759
490000,A_w100_T10000_std_lr0.01_bfull_s4,1.2865
500000,A_w100_T10000_std_lr0.01_bfull_s0,1.88473
500000,A_w100_T10000_std_lr0.01_bfull_s1,0.820882
500000,A_w100_T10000_std_lr0.01_bfull_s2,0.860806
500000,A_w100_T10000_std_lr0.01_bfull_s3,0.654297
500000,A_w100_T10000_std_lr0.01_bfull_s4,1.38671
510000,A_w100_T10000_std_lr0.01_bfull_s0,0.861832
510000,A_w100_T10000_std_lr0.01_bfull_s1,1.63212
510000,A_w100_T10000_std_lr0.01_bfull_s2,1.35895
510000,A_w100_T10000_std_lr0.01_bfull_s3,1.36241
510000,A_w100_T10000_std_lr0.01_bfull_s4,0.992274
520000,A_w100_T10000_std_lr0.01_bfull_s0,1.84407
520000,A_w100_T10000_std_lr0.01_bfull_s1,2.12339
520000,A_w100_T10000_std_lr0.01_bfull_s2,4.97601
520000,A_w100_T10000_std_lr0.01_bfull_s3,1.70132
520000,A_w100_T10000_std_lr0.01_bfull_s4,1.23721
530000,A_w100_T10000_std_lr0.01_bfull_s0,1.1982
530000,A_w100_T10000_std_lr0.01_bfull_s1,0.811263
530000,A_w100_T10000_std_lr0.01_bfull_s2,0.892362
530000,A_w100_T10000_std_lr0.01_bfull_s3,1.25302
530000,A_w100_T10000_std_lr0.01_bfull_s4,0.826086
540000,A_w100_T10000_std_lr0.01_bfull_s0,1.36236
540000,A_w100_T10000_std_lr0.01_bfull_s1,1.09123
540000,A_w100_T10000_std_lr0.01_bfull_s2,0.827671
540000,A_w100_T10000_std_lr0.01_bfull_s3,1.06469
540000,A_w100_T10000_std_lr0.01_bfull_s4,0.913683
550000,A_w100_T10000_std_lr0.01_bfull_s0,2.36704
550000,A_w100_T10000_std_lr0.01_bfull_s1,0.913175
550000,A_w100_T10000_std_lr0.01_bfull_s2,1.03328
550000,A_w100_T10000_std_lr0.01_bfull_s3,0.844552
550000,A_w100_T10000_std_lr0.01_bfull_s4,0.933699
560000,A_w100_T10000_std_lr0.01_bfull_s0,2.90647
560000,A_w100_T10000_std_lr0.01_bfull_s1,2.71043
560000,A_w100_T10000_std_lr0.01_bfull_s2,2.06344
560000,A_w100_T10000_std_lr0.01_bfull_s3,0.928785
560000,A_w100_T10000_std_lr0.01_bfull_s4,10.1299
570000,A_w100_T10000_std_lr0.01_bfull_s0,1.7497
570000,A_w100_T10000_std_lr0.01_bfull_s1,1.0155
570000,A_w100_T10000_std_lr0.01_bfull_s2,2.08933
570000,A_w100_T10000_std_lr0.01_bfull_s3,1.6461
570000,A_w100_T10000_std_lr0.01_bfull_s4,1.24268
580000,A_w100_T10000_std_lr0.01_bfull_s0,1.01168
580000,A_w100_T10000_std_lr0.01_bfull_s1,0.821931
580000,A_w100_T10000_std_lr0.01_bfull_s2,1.41241
580000,A_w100_T10000_std_lr0.01_bfull_s3,1.51032
580000,A_w100_T10000_std_lr0.01_bfull_s4,1.74158
590000,A_w100_T10000_std_lr0.01_bfull_s0,0.979588
590000,A_w100_T10000_std_lr0.01_bfull_s1,1.28028
590000,A_w100_T10000_std_lr0.01_bfull_s2,0.825279
590000,A_w100_T10000_std_lr0.01_bfull_s3,0.711305
590000,A_w100_T10000_std_lr0.01_bfull_s4,1.49792
600000,A_w100_T10000_std_lr0.01_bfull_s0,1.51568
600000,A_w100_T10000_std_lr0.01_bfull_s1,2.23472
600000,A_w100_T10000_std_lr0.01_bfull_s2,1.21198
600000,A_w100_T10000_std_lr0.01_bfull_s3,4.06588
600000,A_w100_T10000_std_lr0.01_bfull_s4,1.20162
610000,A_w100_T10000_std_lr0.01_bfull_s0,1.61896
610000,A_w100_T10000_std_lr0.01_bfull_s1,3.10009
610000,A_w100_T10000_std_lr0.01_bfull_s2,1.36997
610000,A_w100_T10000_std_lr0.01_bfull_s3,0.837028
610000,A_w100_T10000_std_lr0.01_bfull_s4,9.97671
620000,A_w100_T10000_std_lr0.01_bfull_s0,1.27984
620000,A_w100_T10000_std_lr0.01_bfull_s1,3.1873
620000,A_w100_T10000_std_lr0.01_bfull_s2,1.97059
620000,A_w100_T10000_std_lr0.01_bfull_s3,1.45575
620000,A_w100_T10000_std_lr0.01_bfull_s4,0.610025
630000,A_w100_T10000_std_lr0.01_bfull_s0,3.07498
630000,A_w100_T10000_std_lr0.01_bfull_s1,1.59781
630000,A_w100_T10000_std_lr0.01_bfull_s2,1.22833
630000,A_w100_T10000_std_lr0.01_bfull_s3,1.79064
630000,A_w100_T10000_std_lr0.01_bfull_s4,0.913929
640000,A_w100_T10000_std_lr0.01_bfull_s0,2.1018
640000,A_w100_T10000_std_lr0.01_bfull_s1,1.65425
640000,A_w100_T10000_std_lr0.01_bfull_s2,1.81492
640000,A_w100_T10000_std_lr0.01_bfull_s3,1.35404
640000,A_w100_T10000_std_lr0.01_bfull_s4,1.1289
650000,A_w100_T10000_std_lr0.01_bfull_s0,1.24187
650000,A_w100_T10000_std_lr0.01_bfull_s1,2.36395
650000,A_w100_T10000_std_lr0.01_bfull_s2,0.764319
650000,A_w100_T10000_std_lr0.01_bfull_s3,0.678887
650000,A_w100_T10000_std_lr0.01_bfull_s4,0.990739
660000,A_w100_T10000_std_lr0.01_bfull_s0,6.48171
660000,A_w100_T10000_std_lr0.01_bfull_s1,6.6152
660000,A_w100_T10000_std_lr0.01_bfull_s2,1.0378
660000,A_w100_T10000_std_lr0.01_bfull_s3,1.73285
660000,A_w100_T10000_std_lr0.01_bfull_s4,0.883002
670000,A_w100_T10000_std_lr0.01_bfull_s0,2.16546
670000,A_w100_T10000_std_lr0.01_bfull_s1,0.841322
670000,A_w100_T10000_std_lr0.01_bfull_s2,1.08433
670000,A_w100_T10000_std_lr0.01_bfull_s3,1.98218
670000,A_w100_T10000_std_lr0.01_bfull_s4,1.06398
680000,A_w100_T10000_std_lr0.01_bfull_s0,5.83388
680000,A_w100_T10000_std_lr0.01_bfull_s1,0.759168
680000,A_w100_T10000_std_lr0.01_bfull_s2,0.924955
680000,A_w100_T10000_std_lr0.01_bfull_s3,1.02574
680000,A_w100_T10000_std_lr0.01_bfull_s4,1.29981
690000,A_w100_T10000_std_lr0.01_bfull_s0,1.54525
690000,A_w100_T10000_std_lr0.01_bfull_s1,0.906027
690000,A_w100_T10000_std_lr0.01_bfull_s2,1.51097
690000,A_w100_T10000_std_lr0.01_bfull_s3,1.49221
690000,A_w100_T10000_std_lr0.01_bfull_s4,2.31207
700000,A_w100_T10000_std_lr0.01_bfull_s0,1.5342
700000,A_w100_T10000_std_lr0.01_bfull_s1,0.991604
700000,A_w100_T10000_std_lr0.01_bfull_s2,0.735463
700000,A_w100_T10000_std_lr0.01_bfull_s3,3.76972
700000,A_w100_T10000_std_lr0.01_bfull_s4,3.48909
710000,A_w100_T10000_std_lr0.01_bfull_s0,1.72666
710000,A_w100_T10000_std_lr0.01_bfull_s1,1.17794
710000,A_w100_T10000_std_lr0.01_bfull_s2,0.808944
710000,A_w100_T10000_std_lr0.01_bfull_s3,4.13843
710000,A_w100_T10000_std_lr0.01_bfull_s4,1.95055
720000,A_w100_T10000_std_lr0.01_bfull_s0,4.81042
720000,A_w100_T10000_std_lr0.01_bfull_s1,1.57126
720000,A_w100_T10000_std_lr0.01_bfull_s2,2.02281
720000,A_w100_T10000_std_lr0.01_bfull_s3,1.09638
720000,A_w100_T10000_std_lr0.01_bfull_s4,2.18433
730000,A_w100_T10000_std_lr0.01_bfull_s0,1.10506
730000,A_w100_T10000_std_lr0.01_bfull_s1,1.68345
730000,A_w100_T10000_std_lr0.01_bfull_s2,3.36843
730000,A_w100_T10000_std_lr0.01_bfull_s3,1.23578
730000,A_w100_T10000_std_lr0.01_bfull_s4,5.57588
740000,A_w100_T10000_std_lr0.01_bfull_s0,1.43783
740000,A_w100_T10000_std_lr0.01_bfull_s1,3.26618
740000,A_w100_T10000_std_lr0.01_bfull_s2,2.53467
740000,A_w100_T10000_std_lr0.01_bfull_s3,4.73796
740000,A_w100_T10000_std_lr0.01_bfull_s4,1.18537
750000,A_w100_T10000_std_lr0.01_bfull_s0,1.06358
750000,A_w100_T10000_std_lr0.01_bfull_s1,3.41731
750000,A_w100_T10000_std_lr0.01_bfull_s2,5.87738
750000,A_w100_T10000_std_lr0.01_bfull_s3,1.87119
750000,A_w100_T10000_std_lr0.01_bfull_s4,0.854948
760000,A_w100_T10000_std_lr0.01_bfull_s0,1.70151
760000,A_w100_T10000_std_lr0.01_bfull_s1,1.01325
760000,A_w100_T10000_std_lr0.01_bfull_s2,1.65499
760000,A_w100_T10000_std_lr0.01_bfull_s3,3.65203
760000,A_w100_T10000_std_lr0.01_bfull_s4,1.57913
770000,A_w100_T10000_std_lr0.01_bfull_s0,1.48026
770000,A_w100_T10000_std_lr0.01_bfull_s1,0.797598
770000,A_w100_T10000_std_lr0.01_bfull_s2,1.4688
770000,A_w100_T10000_std_lr0.01_bfull_s3,1.24361
770000,A_w100_T10000_std_lr0.01_bfull_s4,1.93538
780000,A_w100_T10000_std_lr0.01_bfull_s0,1.60552
780000,A_w100_T10000_std_lr0.01_bfull_s1,0.96332
780000,A_w100_T10000_std_lr0.01_bfull_s2,0.865874
780000,A_w100_T10000_std_lr0.01_bfull_s3,0.710925
780000,A_w100_T10000_std_lr0.01_bfull_s4,2.49894
790000,A_w100_T10000_std_lr0.01_bfull_s0,0.979317
790000,A_w100_T10000_std_lr0.01_bfull_s1,1.95676
790000,A_w100_T10000_std_lr0.01_bfull_s2,0.85303
790000,A_w100_T10000_std_lr0.01_bfull_s3,1.86797
790000,A_w100_T10000_std_lr0.01_bfull_s4,1.58977
800000,A_w100_T10000_std_lr0.01_bfull_s0,1.36729
800000,A_w100_T10000_std_lr0.01_bfull_s1,2.89397
800000,A_w100_T10000_std_lr0.01_bfull_s2,1.04838
