arm,family,k,p_hat,count,share_of_band
LR_a0p0001_1216,leaky,2,0.0625,14,0.08484848484848485
LR_a0p0001_1216,leaky,3,0.09375,4,0.024242424242424242
LR_a0p0001_1216,leaky,4,0.125,2,0.012121212121212121
LR_a0p0001_1216,leaky,5,0.15625,6,0.03636363636363636
LR_a0p0001_1216,leaky,6,0.1875,9,0.05454545454545454
LR_a0p0001_1216,leaky,7,0.21875,5,0.030303030303030304
LR_a0p0001_1216,leaky,8,0.25,8,0.048484848484848485
LR_a0p0001_1216,leaky,9,0.28125,7,0.04242424242424243
LR_a0p0001_1216,leaky,10,0.3125,4,0.024242424242424242
LR_a0p0001_1216,leaky,11,0.34375,4,0.024242424242424242
LR_a0p0001_1216,leaky,12,0.375,6,0.03636363636363636
LR_a0p0001_1216,leaky,13,0.40625,0,0.0
LR_a0p0001_1216,leaky,14,0.4375,3,0.01818181818181818
LR_a0p0001_1216,leaky,15,0.46875,8,0.048484848484848485
LR_a0p0001_1216,leaky,16,0.5,19,0.11515151515151516
LR_a0p0001_1216,leaky,17,0.53125,5,0.030303030303030304
LR_a0p0001_1216,leaky,18,0.5625,4,0.024242424242424242
LR_a0p0001_1216,leaky,19,0.59375,1,0.006060606060606061
LR_a0p0001_1216,leaky,20,0.625,2,0.012121212121212121
LR_a0p0001_1216,leaky,21,0.65625,2,0.012121212121212121
LR_a0p0001_1216,leaky,22,0.6875,1,0.006060606060606061
LR_a0p0001_1216,leaky,23,0.71875,0,0.0
LR_a0p0001_1216,leaky,24,0.75,0,0.0
LR_a0p0001_1216,leaky,25,0.78125,0,0.0
LR_a0p0001_1216,leaky,26,0.8125,3,0.01818181818181818
LR_a0p0001_1216,leaky,27,0.84375,2,0.012121212121212121
LR_a0p0001_1216,leaky,28,0.875,2,0.012121212121212121
LR_a0p0001_1216,leaky,29,0.90625,0,0.0
LR_a0p0001_1216,leaky,30,0.9375,5,0.030303030303030304
LR_a0p0001_1216,leaky,31,0.96875,0,0.0
E_a0p1_1216,elu,1,0.03125,990,0.6257901390644753
E_a0p1_1216,elu,2,0.0625,225,0.14222503160556257
E_a0p1_1216,elu,3,0.09375,76,0.04804045512010114
E_a0p1_1216,elu,4,0.125,54,0.03413400758533502
E_a0p1_1216,elu,5,0.15625,43,0.02718078381795196
E_a0p1_1216,elu,6,0.1875,39,0.02465233881163085
E_a0p1_1216,elu,7,0.21875,25,0.01580278128950695
E_a0p1_1216,elu,8,0.25,20,0.012642225031605562
E_a0p1_1216,elu,9,0.28125,17,0.010745891276864728
E_a0p1_1216,elu,10,0.3125,10,0.006321112515802781
E_a0p1_1216,elu,11,0.34375,11,0.00695322376738306
E_a0p1_1216,elu,12,0.375,10,0.006321112515802781
E_a0p1_1216,elu,13,0.40625,8,0.0050568900126422255
E_a0p1_1216,elu,14,0.4375,6,0.0037926675094816687
E_a0p1_1216,elu,15,0.46875,2,0.0012642225031605564
E_a0p1_1216,elu,16,0.5,8,0.0050568900126422255
E_a0p1_1216,elu,17,0.53125,2,0.0012642225031605564
E_a0p1_1216,elu,18,0.5625,6,0.0037926675094816687
E_a0p1_1216,elu,19,0.59375,4,0.0025284450063211127
E_a0p1_1216,elu,20,0.625,2,0.0012642225031605564
E_a0p1_1216,elu,21,0.65625,1,0.0006321112515802782
E_a0p1_1216,elu,22,0.6875,3,0.0018963337547408343
E_a0p1_1216,elu,23,0.71875,3,0.0018963337547408343
E_a0p1_1216,elu,24,0.75,3,0.0018963337547408343
E_a0p1_1216,elu,25,0.78125,2,0.0012642225031605564
E_a0p1_1216,elu,26,0.8125,3,0.0018963337547408343
E_a0p1_1216,elu,27,0.84375,1,0.0006321112515802782
E_a0p1_1216,elu,28,0.875,5,0.0031605562579013905
E_a0p1_1216,elu,29,0.90625,1,0.0006321112515802782
E_a0p1_1216,elu,30,0.9375,2,0.0012642225031605564
E_a0p1_1216,elu,31,0.96875,0,0.0
E_a0p01_1216,elu,1,0.03125,446,0.5938748335552596
E_a0p01_1216,elu,2,0.0625,83,0.11051930758988016
E_a0p01_1216,elu,3,0.09375,27,0.03595206391478029
E_a0p01_1216,elu,4,0.125,33,0.043941411451398134
E_a0p01_1216,elu,5,0.15625,16,0.02130492676431425
E_a0p01_1216,elu,6,0.1875,14,0.018641810918774968
E_a0p01_1216,elu,7,0.21875,11,0.014647137150466045
E_a0p01_1216,elu,8,0.25,18,0.023968042609853527
E_a0p01_1216,elu,9,0.28125,9,0.011984021304926764
E_a0p01_1216,elu,10,0.3125,9,0.011984021304926764
E_a0p01_1216,elu,11,0.34375,5,0.006657789613848202
E_a0p01_1216,elu,12,0.375,7,0.009320905459387484
E_a0p01_1216,elu,13,0.40625,6,0.007989347536617843
E_a0p01_1216,elu,14,0.4375,8,0.010652463382157125
E_a0p01_1216,elu,15,0.46875,7,0.009320905459387484
E_a0p01_1216,elu,16,0.5,11,0.014647137150466045
E_a0p01_1216,elu,17,0.53125,2,0.002663115845539281
E_a0p01_1216,elu,18,0.5625,3,0.0039946737683089215
E_a0p01_1216,elu,19,0.59375,3,0.0039946737683089215
E_a0p01_1216,elu,20,0.625,4,0.005326231691078562
E_a0p01_1216,elu,21,0.65625,6,0.007989347536617843
E_a0p01_1216,elu,22,0.6875,4,0.005326231691078562
E_a0p01_1216,elu,23,0.71875,5,0.006657789613848202
E_a0p01_1216,elu,24,0.75,4,0.005326231691078562
E_a0p01_1216,elu,25,0.78125,0,0.0
E_a0p01_1216,elu,26,0.8125,1,0.0013315579227696406
E_a0p01_1216,elu,27,0.84375,0,0.0
E_a0p01_1216,elu,28,0.875,1,0.0013315579227696406
E_a0p01_1216,elu,29,0.90625,0,0.0
E_a0p01_1216,elu,30,0.9375,6,0.007989347536617843
E_a0p01_1216,elu,31,0.96875,2,0.002663115845539281
S_b0p3_1216,silu,1,0.03125,59,0.026094648385670056
S_b0p3_1216,silu,2,0.0625,75,0.033171163202122954
S_b0p3_1216,silu,3,0.09375,49,0.021671826625386997
S_b0p3_1216,silu,4,0.125,98,0.043343653250773995
S_b0p3_1216,silu,5,0.15625,43,0.01901813356921716
S_b0p3_1216,silu,6,0.1875,91,0.04024767801857585
S_b0p3_1216,silu,7,0.21875,60,0.026536930561698365
S_b0p3_1216,silu,8,0.25,128,0.05661211853162318
S_b0p3_1216,silu,9,0.28125,79,0.03494029190623618
S_b0p3_1216,silu,10,0.3125,145,0.06413091552410438
S_b0p3_1216,silu,11,0.34375,85,0.03759398496240601
S_b0p3_1216,silu,12,0.375,167,0.07386112339672711
S_b0p3_1216,silu,13,0.40625,125,0.055285272003538256
S_b0p3_1216,silu,14,0.4375,120,0.05307386112339673
S_b0p3_1216,silu,15,0.46875,98,0.043343653250773995
S_b0p3_1216,silu,16,0.5,250,0.11057054400707651
S_b0p3_1216,silu,17,0.53125,100,0.044228217602830605
S_b0p3_1216,silu,18,0.5625,105,0.04643962848297214
S_b0p3_1216,silu,19,0.59375,61,0.02697921273772667
S_b0p3_1216,silu,20,0.625,97,0.04290137107474569
S_b0p3_1216,silu,21,0.65625,58,0.02565236620964175
S_b0p3_1216,silu,22,0.6875,69,0.03051747014595312
S_b0p3_1216,silu,23,0.71875,35,0.015479876160990712
S_b0p3_1216,silu,24,0.75,25,0.011057054400707651
S_b0p3_1216,silu,25,0.78125,12,0.005307386112339673
S_b0p3_1216,silu,26,0.8125,13,0.005749668288367979
S_b0p3_1216,silu,27,0.84375,6,0.0026536930561698365
S_b0p3_1216,silu,28,0.875,8,0.0035382574082264487
S_b0p3_1216,silu,29,0.90625,0,0.0
S_b0p3_1216,silu,30,0.9375,0,0.0
S_b0p3_1216,silu,31,0.96875,0,0.0
S_b3_1216,silu,1,0.03125,0,nan
S_b3_1216,silu,2,0.0625,0,nan
S_b3_1216,silu,3,0.09375,0,nan
S_b3_1216,silu,4,0.125,0,nan
S_b3_1216,silu,5,0.15625,0,nan
S_b3_1216,silu,6,0.1875,0,nan
S_b3_1216,silu,7,0.21875,0,nan
S_b3_1216,silu,8,0.25,0,nan
S_b3_1216,silu,9,0.28125,0,nan
S_b3_1216,silu,10,0.3125,0,nan
S_b3_1216,silu,11,0.34375,0,nan
S_b3_1216,silu,12,0.375,0,nan
S_b3_1216,silu,13,0.40625,0,nan
S_b3_1216,silu,14,0.4375,0,nan
S_b3_1216,silu,15,0.46875,0,nan
S_b3_1216,silu,16,0.5,0,nan
S_b3_1216,silu,17,0.53125,0,nan
S_b3_1216,silu,18,0.5625,0,nan
S_b3_1216,silu,19,0.59375,0,nan
S_b3_1216,silu,20,0.625,0,nan
S_b3_1216,silu,21,0.65625,0,nan
S_b3_1216,silu,22,0.6875,0,nan
S_b3_1216,silu,23,0.71875,0,nan
S_b3_1216,silu,24,0.75,0,nan
S_b3_1216,silu,25,0.78125,0,nan
S_b3_1216,silu,26,0.8125,0,nan
S_b3_1216,silu,27,0.84375,0,nan
S_b3_1216,silu,28,0.875,0,nan
S_b3_1216,silu,29,0.90625,0,nan
S_b3_1216,silu,30,0.9375,0,nan
S_b3_1216,silu,31,0.96875,0,nan
G_b0p3_1216,gelu,1,0.03125,39,0.42391304347826086
G_b0p3_1216,gelu,2,0.0625,12,0.13043478260869565
G_b0p3_1216,gelu,3,0.09375,8,0.08695652173913043
G_b0p3_1216,gelu,4,0.125,9,0.09782608695652174
G_b0p3_1216,gelu,5,0.15625,4,0.043478260869565216
G_b0p3_1216,gelu,6,0.1875,3,0.03260869565217391
G_b0p3_1216,gelu,7,0.21875,0,0.0
G_b0p3_1216,gelu,8,0.25,5,0.05434782608695652
G_b0p3_1216,gelu,9,0.28125,1,0.010869565217391304
G_b0p3_1216,gelu,10,0.3125,3,0.03260869565217391
G_b0p3_1216,gelu,11,0.34375,3,0.03260869565217391
G_b0p3_1216,gelu,12,0.375,0,0.0
G_b0p3_1216,gelu,13,0.40625,0,0.0
G_b0p3_1216,gelu,14,0.4375,1,0.010869565217391304
G_b0p3_1216,gelu,15,0.46875,1,0.010869565217391304
G_b0p3_1216,gelu,16,0.5,2,0.021739130434782608
G_b0p3_1216,gelu,17,0.53125,0,0.0
G_b0p3_1216,gelu,18,0.5625,0,0.0
G_b0p3_1216,gelu,19,0.59375,0,0.0
G_b0p3_1216,gelu,20,0.625,0,0.0
G_b0p3_1216,gelu,21,0.65625,0,0.0
G_b0p3_1216,gelu,22,0.6875,1,0.010869565217391304
G_b0p3_1216,gelu,23,0.71875,0,0.0
G_b0p3_1216,gelu,24,0.75,0,0.0
G_b0p3_1216,gelu,25,0.78125,0,0.0
G_b0p3_1216,gelu,26,0.8125,0,0.0
G_b0p3_1216,gelu,27,0.84375,0,0.0
G_b0p3_1216,gelu,28,0.875,0,0.0
G_b0p3_1216,gelu,29,0.90625,0,0.0
G_b0p3_1216,gelu,30,0.9375,0,0.0
G_b0p3_1216,gelu,31,0.96875,0,0.0
G_b3_1216,gelu,1,0.03125,1,1.0
G_b3_1216,gelu,2,0.0625,0,0.0
G_b3_1216,gelu,3,0.09375,0,0.0
G_b3_1216,gelu,4,0.125,0,0.0
G_b3_1216,gelu,5,0.15625,0,0.0
G_b3_1216,gelu,6,0.1875,0,0.0
G_b3_1216,gelu,7,0.21875,0,0.0
G_b3_1216,gelu,8,0.25,0,0.0
G_b3_1216,gelu,9,0.28125,0,0.0
G_b3_1216,gelu,10,0.3125,0,0.0
G_b3_1216,gelu,11,0.34375,0,0.0
G_b3_1216,gelu,12,0.375,0,0.0
G_b3_1216,gelu,13,0.40625,0,0.0
G_b3_1216,gelu,14,0.4375,0,0.0
G_b3_1216,gelu,15,0.46875,0,0.0
G_b3_1216,gelu,16,0.5,0,0.0
G_b3_1216,gelu,17,0.53125,0,0.0
G_b3_1216,gelu,18,0.5625,0,0.0
G_b3_1216,gelu,19,0.59375,0,0.0
G_b3_1216,gelu,20,0.625,0,0.0
G_b3_1216,gelu,21,0.65625,0,0.0
G_b3_1216,gelu,22,0.6875,0,0.0
G_b3_1216,gelu,23,0.71875,0,0.0
G_b3_1216,gelu,24,0.75,0,0.0
G_b3_1216,gelu,25,0.78125,0,0.0
G_b3_1216,gelu,26,0.8125,0,0.0
G_b3_1216,gelu,27,0.84375,0,0.0
G_b3_1216,gelu,28,0.875,0,0.0
G_b3_1216,gelu,29,0.90625,0,0.0
G_b3_1216,gelu,30,0.9375,0,0.0
G_b3_1216,gelu,31,0.96875,0,0.0
LR_a0p00001_1216,leaky,1,0.03125,46,0.2911392405063291
LR_a0p00001_1216,leaky,2,0.0625,15,0.0949367088607595
LR_a0p00001_1216,leaky,3,0.09375,2,0.012658227848101266
LR_a0p00001_1216,leaky,4,0.125,3,0.0189873417721519
LR_a0p00001_1216,leaky,5,0.15625,2,0.012658227848101266
LR_a0p00001_1216,leaky,6,0.1875,5,0.03164556962025317
LR_a0p00001_1216,leaky,7,0.21875,3,0.0189873417721519
LR_a0p00001_1216,leaky,8,0.25,6,0.0379746835443038
LR_a0p00001_1216,leaky,9,0.28125,3,0.0189873417721519
LR_a0p00001_1216,leaky,10,0.3125,4,0.02531645569620253
LR_a0p00001_1216,leaky,11,0.34375,1,0.006329113924050633
LR_a0p00001_1216,leaky,12,0.375,5,0.03164556962025317
LR_a0p00001_1216,leaky,13,0.40625,3,0.0189873417721519
LR_a0p00001_1216,leaky,14,0.4375,2,0.012658227848101266
LR_a0p00001_1216,leaky,15,0.46875,2,0.012658227848101266
LR_a0p00001_1216,leaky,16,0.5,5,0.03164556962025317
LR_a0p00001_1216,leaky,17,0.53125,0,0.0
LR_a0p00001_1216,leaky,18,0.5625,3,0.0189873417721519
LR_a0p00001_1216,leaky,19,0.59375,3,0.0189873417721519
LR_a0p00001_1216,leaky,20,0.625,4,0.02531645569620253
LR_a0p00001_1216,leaky,21,0.65625,2,0.012658227848101266
LR_a0p00001_1216,leaky,22,0.6875,0,0.0
LR_a0p00001_1216,leaky,23,0.71875,4,0.02531645569620253
LR_a0p00001_1216,leaky,24,0.75,4,0.02531645569620253
LR_a0p00001_1216,leaky,25,0.78125,4,0.02531645569620253
LR_a0p00001_1216,leaky,26,0.8125,4,0.02531645569620253
LR_a0p00001_1216,leaky,27,0.84375,2,0.012658227848101266
LR_a0p00001_1216,leaky,28,0.875,2,0.012658227848101266
LR_a0p00001_1216,leaky,29,0.90625,6,0.0379746835443038
LR_a0p00001_1216,leaky,30,0.9375,8,0.05063291139240506
LR_a0p00001_1216,leaky,31,0.96875,5,0.03164556962025317
E_a0p001_1216,elu,1,0.03125,125,0.423728813559322
E_a0p001_1216,elu,2,0.0625,27,0.09152542372881356
E_a0p001_1216,elu,3,0.09375,12,0.04067796610169491
E_a0p001_1216,elu,4,0.125,13,0.04406779661016949
E_a0p001_1216,elu,5,0.15625,9,0.030508474576271188
E_a0p001_1216,elu,6,0.1875,13,0.04406779661016949
E_a0p001_1216,elu,7,0.21875,4,0.013559322033898305
E_a0p001_1216,elu,8,0.25,12,0.04067796610169491
E_a0p001_1216,elu,9,0.28125,6,0.020338983050847456
E_a0p001_1216,elu,10,0.3125,3,0.010169491525423728
E_a0p001_1216,elu,11,0.34375,5,0.01694915254237288
E_a0p001_1216,elu,12,0.375,2,0.006779661016949152
E_a0p001_1216,elu,13,0.40625,2,0.006779661016949152
E_a0p001_1216,elu,14,0.4375,3,0.010169491525423728
E_a0p001_1216,elu,15,0.46875,2,0.006779661016949152
E_a0p001_1216,elu,16,0.5,6,0.020338983050847456
E_a0p001_1216,elu,17,0.53125,2,0.006779661016949152
E_a0p001_1216,elu,18,0.5625,4,0.013559322033898305
E_a0p001_1216,elu,19,0.59375,2,0.006779661016949152
E_a0p001_1216,elu,20,0.625,4,0.013559322033898305
E_a0p001_1216,elu,21,0.65625,4,0.013559322033898305
E_a0p001_1216,elu,22,0.6875,2,0.006779661016949152
E_a0p001_1216,elu,23,0.71875,1,0.003389830508474576
E_a0p001_1216,elu,24,0.75,2,0.006779661016949152
E_a0p001_1216,elu,25,0.78125,3,0.010169491525423728
E_a0p001_1216,elu,26,0.8125,4,0.013559322033898305
E_a0p001_1216,elu,27,0.84375,5,0.01694915254237288
E_a0p001_1216,elu,28,0.875,6,0.020338983050847456
E_a0p001_1216,elu,29,0.90625,0,0.0
E_a0p001_1216,elu,30,0.9375,9,0.030508474576271188
E_a0p001_1216,elu,31,0.96875,3,0.010169491525423728
S_b10_1216,silu,1,0.03125,2,1.0
S_b10_1216,silu,2,0.0625,0,0.0
S_b10_1216,silu,3,0.09375,0,0.0
S_b10_1216,silu,4,0.125,0,0.0
S_b10_1216,silu,5,0.15625,0,0.0
S_b10_1216,silu,6,0.1875,0,0.0
S_b10_1216,silu,7,0.21875,0,0.0
S_b10_1216,silu,8,0.25,0,0.0
S_b10_1216,silu,9,0.28125,0,0.0
S_b10_1216,silu,10,0.3125,0,0.0
S_b10_1216,silu,11,0.34375,0,0.0
S_b10_1216,silu,12,0.375,0,0.0
S_b10_1216,silu,13,0.40625,0,0.0
S_b10_1216,silu,14,0.4375,0,0.0
S_b10_1216,silu,15,0.46875,0,0.0
S_b10_1216,silu,16,0.5,0,0.0
S_b10_1216,silu,17,0.53125,0,0.0
S_b10_1216,silu,18,0.5625,0,0.0
S_b10_1216,silu,19,0.59375,0,0.0
S_b10_1216,silu,20,0.625,0,0.0
S_b10_1216,silu,21,0.65625,0,0.0
S_b10_1216,silu,22,0.6875,0,0.0
S_b10_1216,silu,23,0.71875,0,0.0
S_b10_1216,silu,24,0.75,0,0.0
S_b10_1216,silu,25,0.78125,0,0.0
S_b10_1216,silu,26,0.8125,0,0.0
S_b10_1216,silu,27,0.84375,0,0.0
S_b10_1216,silu,28,0.875,0,0.0
S_b10_1216,silu,29,0.90625,0,0.0
S_b10_1216,silu,30,0.9375,0,0.0
S_b10_1216,silu,31,0.96875,0,0.0
R_1216,relu,1,0.03125,32,0.2302158273381295
R_1216,relu,2,0.0625,12,0.08633093525179857
R_1216,relu,3,0.09375,4,0.02877697841726619
R_1216,relu,4,0.125,7,0.050359712230215826
R_1216,relu,5,0.15625,0,0.0
R_1216,relu,6,0.1875,2,0.014388489208633094
R_1216,relu,7,0.21875,2,0.014388489208633094
R_1216,relu,8,0.25,3,0.02158273381294964
R_1216,relu,9,0.28125,1,0.007194244604316547
R_1216,relu,10,0.3125,4,0.02877697841726619
R_1216,relu,11,0.34375,1,0.007194244604316547
R_1216,relu,12,0.375,4,0.02877697841726619
R_1216,relu,13,0.40625,4,0.02877697841726619
R_1216,relu,14,0.4375,3,0.02158273381294964
R_1216,relu,15,0.46875,2,0.014388489208633094
R_1216,relu,16,0.5,10,0.07194244604316546
R_1216,relu,17,0.53125,2,0.014388489208633094
R_1216,relu,18,0.5625,3,0.02158273381294964
R_1216,relu,19,0.59375,4,0.02877697841726619
R_1216,relu,20,0.625,3,0.02158273381294964
R_1216,relu,21,0.65625,0,0.0
R_1216,relu,22,0.6875,1,0.007194244604316547
R_1216,relu,23,0.71875,4,0.02877697841726619
R_1216,relu,24,0.75,4,0.02877697841726619
R_1216,relu,25,0.78125,3,0.02158273381294964
R_1216,relu,26,0.8125,4,0.02877697841726619
R_1216,relu,27,0.84375,3,0.02158273381294964
R_1216,relu,28,0.875,4,0.02877697841726619
R_1216,relu,29,0.90625,5,0.03597122302158273
R_1216,relu,30,0.9375,4,0.02877697841726619
R_1216,relu,31,0.96875,4,0.02877697841726619
LR_1216,leaky,1,0.03125,1707,0.4628524945770065
LR_1216,leaky,2,0.0625,548,0.14859002169197397
LR_1216,leaky,3,0.09375,270,0.07321041214750543
LR_1216,leaky,4,0.125,238,0.06453362255965293
LR_1216,leaky,5,0.15625,189,0.051247288503253795
LR_1216,leaky,6,0.1875,178,0.048264642082429504
LR_1216,leaky,7,0.21875,89,0.024132321041214752
LR_1216,leaky,8,0.25,79,0.021420824295010847
LR_1216,leaky,9,0.28125,71,0.019251626898047724
LR_1216,leaky,10,0.3125,68,0.01843817787418655
LR_1216,leaky,11,0.34375,35,0.009490238611713666
LR_1216,leaky,12,0.375,40,0.010845986984815618
LR_1216,leaky,13,0.40625,26,0.0070498915401301515
LR_1216,leaky,14,0.4375,28,0.007592190889370932
LR_1216,leaky,15,0.46875,23,0.006236442516268981
LR_1216,leaky,16,0.5,31,0.008405639913232104
LR_1216,leaky,17,0.53125,15,0.004067245119305857
LR_1216,leaky,18,0.5625,14,0.003796095444685466
LR_1216,leaky,19,0.59375,13,0.0035249457700650758
LR_1216,leaky,20,0.625,8,0.0021691973969631237
LR_1216,leaky,21,0.65625,5,0.0013557483731019523
LR_1216,leaky,22,0.6875,4,0.0010845986984815619
LR_1216,leaky,23,0.71875,3,0.0008134490238611713
LR_1216,leaky,24,0.75,2,0.0005422993492407809
LR_1216,leaky,25,0.78125,0,0.0
LR_1216,leaky,26,0.8125,1,0.00027114967462039046
