n_records,n_units,u,log10_u,onset,sub_frac,band_frac,surf_frac,surf_among_alive,band_among_alive,near_off_frac,near_on_frac,shallow_sub_frac,non_affine_frac,arm,family,dial,is_control,seed,window,role
10,100,0.08807125003335647,-1.0551658394835555,1,0.978,0.022,0.0,0.0,1.0,0.02,0.0,0.063,0.08499999999999999,G_b1_1216,gelu,1.0,0,1,1M,
10,100,0.9999900217066606,-4.3335393568016745e-06,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,G_b1_1216,gelu,1.0,0,1,5M,
10,100,0.032806947104203496,-1.4840341816068205,0,0.901,0.099,0.0,0.0,1.0,0.061,0.0,0.085,0.184,G_b1_1216,gelu,1.0,0,2,1M,
10,100,0.9999988428740171,-5.02533719996575e-07,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,G_b1_1216,gelu,1.0,0,2,5M,
10,100,0.0053847510150803,-2.2688343731973153,0,0.929,0.071,0.0,0.0,1.0,0.043,0.0,0.1,0.17099999999999999,G_b1_1216,gelu,1.0,0,3,1M,
10,100,0.9507818281922896,-0.021919127313263547,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.001,0.001,G_b1_1216,gelu,1.0,0,3,5M,
10,100,0.1314472862669111,-0.881248375487413,1,0.981,0.019,0.0,0.0,1.0,0.012,0.0,0.065,0.084,G_b1_1216,gelu,1.0,0,4,1M,
10,100,1.0000001591007186,6.909655865803709e-08,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,G_b1_1216,gelu,1.0,0,4,5M,
10,100,8.289052019268423e-05,-4.081495134870964,0,0.824,0.176,0.0,0.0,1.0,0.052,0.001,0.078,0.254,G_b1_1216,gelu,1.0,0,5,1M,
10,100,0.9690342877475091,-0.013660855853166462,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.001,0.001,G_b1_1216,gelu,1.0,0,5,5M,
10,100,0.0043697220857336115,-2.359546183274522,0,0.867,0.131,0.002,0.015037593984962405,0.9849624060150376,0.043,0.0,0.099,0.23,G_b1_1216,gelu,1.0,0,6,1M,
10,100,0.9866662268664801,-0.0058297372446800095,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.001,0.001,G_b1_1216,gelu,1.0,0,6,5M,
10,100,0.010601929095102469,-1.9746151046284293,0,0.918,0.081,0.001,0.012195121951219513,0.9878048780487805,0.052,0.002,0.11,0.191,G_b1_1216,gelu,1.0,0,7,1M,
10,100,0.9825458227983438,-0.007647186372984624,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.001,0.001,G_b1_1216,gelu,1.0,0,7,5M,
10,100,0.023215453424158913,-1.6342228296507413,0,0.882,0.115,0.003,0.025423728813559324,0.9745762711864406,0.077,0.001,0.093,0.20800000000000002,G_b1_1216,gelu,1.0,0,8,1M,
10,100,0.9925186082841291,-0.003261342096981828,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.001,0.001,G_b1_1216,gelu,1.0,0,8,5M,
10,100,0.058931315974761256,-1.2296538607172405,1,0.929,0.071,0.0,0.0,1.0,0.044,0.0,0.068,0.139,G_b1_1216,gelu,1.0,0,9,1M,
10,100,0.9980196553125378,-0.0008609054964791423,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,G_b1_1216,gelu,1.0,0,9,5M,
10,100,0.1859154843299818,-0.7306844376674935,1,0.943,0.057,0.0,0.0,1.0,0.019,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,0,1M,
10,100,0.2621017548227368,-0.5815300713567949,1,0.966,0.034,0.0,0.0,1.0,0.007,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,0,5M,
10,100,0.2769328274508628,-0.5576255601961513,1,0.947,0.052,0.001,0.018867924528301886,0.9811320754716981,0.024,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,1,1M,
10,100,0.29803161014325025,-0.525737670881002,1,0.978,0.022,0.0,0.0,1.0,0.008,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,1,5M,
10,100,0.13371696590790366,-0.8738134862853049,1,0.912,0.088,0.0,0.0,1.0,0.022,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,2,1M,
10,100,0.6186523433020721,-0.2085533377347976,1,0.998,0.002,0.0,0.0,1.0,0.001,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,2,5M,
10,100,0.3738731588679153,-0.42727571263123365,1,0.984,0.016,0.0,0.0,1.0,0.01,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,3,1M,
10,100,0.5531146423497002,-0.25718484450045026,1,0.99,0.009,0.001,0.1,0.9,0.003,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,3,5M,
10,100,0.27836944633531074,-0.5553784343494224,1,0.958,0.042,0.0,0.0,1.0,0.012,0.002,nan,nan,LR_a0p01_1216,leaky,0.01,0,4,1M,
10,100,0.4027499179639996,-0.3949645393700377,1,0.985,0.015,0.0,0.0,1.0,0.005,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,4,5M,
10,100,0.06342219346511238,-1.1977587419159736,1,0.908,0.092,0.0,0.0,1.0,0.012,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,5,1M,
10,100,0.3834332623103071,-0.41631021537231727,1,0.955,0.045,0.0,0.0,1.0,0.013,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,5,5M,
10,100,0.27218808524104565,-0.5651308895196054,1,0.954,0.046,0.0,0.0,1.0,0.013,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,6,1M,
10,100,0.4539027950824278,-0.34303714291227894,1,0.987,0.013,0.0,0.0,1.0,0.004,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,6,5M,
10,100,0.2872449987723959,-0.5417475240825301,1,0.967,0.033,0.0,0.0,1.0,0.018,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,7,1M,
10,100,0.5333743513837536,-0.2729678722612989,1,0.992,0.008,0.0,0.0,1.0,0.003,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,7,5M,
10,100,0.2897948068760274,-0.5379094013537777,1,0.94,0.06,0.0,0.0,1.0,0.022,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,8,1M,
10,100,0.3598964455346798,-0.4438224425727004,1,0.968,0.032,0.0,0.0,1.0,0.009,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,8,5M,
10,100,0.1905237247429881,-0.7200509366108264,1,0.967,0.033,0.0,0.0,1.0,0.006,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,9,1M,
10,100,0.2670635731631534,-0.573385344674584,1,0.976,0.024,0.0,0.0,1.0,0.003,0.0,nan,nan,LR_a0p01_1216,leaky,0.01,0,9,5M,
10,100,0.26400642239926736,-0.5783855080595781,1,0.948,0.052,0.0,0.0,1.0,0.017,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,0,1M,
10,100,0.8723461864197667,-0.05931113316874899,1,0.999,0.001,0.0,0.0,1.0,0.001,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,0,5M,
10,100,0.22644296019183371,-0.6450411764045799,1,0.93,0.07,0.0,0.0,1.0,0.023,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,1,1M,
10,100,0.36952755379699154,-0.4323531729231782,1,0.983,0.017,0.0,0.0,1.0,0.003,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,1,5M,
10,100,0.4263121349761835,-0.3702723049832072,1,0.95,0.05,0.0,0.0,1.0,0.02,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,2,1M,
10,100,0.8361320380039456,-0.07772513542153407,1,0.99,0.01,0.0,0.0,1.0,0.003,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,2,5M,
10,100,0.277248651520877,-0.5571305574906735,1,0.955,0.045,0.0,0.0,1.0,0.018,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,3,1M,
10,100,0.8446473795178713,-0.07332456098115149,1,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,3,5M,
10,100,0.5195998587581078,-0.28433097565247917,1,0.984,0.014,0.002,0.125,0.875,0.003,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,4,1M,
10,100,0.9121314381720967,-0.03994257531211725,1,0.999,0.001,0.0,0.0,1.0,0.001,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,4,5M,
10,100,0.15685559426908618,-0.8044999875376824,1,0.927,0.073,0.0,0.0,1.0,0.019,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,5,1M,
10,100,0.9658909812055283,-0.015071889042804949,1,0.995,0.005,0.0,0.0,1.0,0.002,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,5,5M,
10,100,0.2900752142175744,-0.537489378361792,1,0.938,0.061,0.001,0.016129032258064516,0.9838709677419355,0.025,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,6,1M,
10,100,0.47422897987409324,-0.3240119100481692,1,0.99,0.01,0.0,0.0,1.0,0.0,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,6,5M,
10,100,0.285186944866081,-0.5448703592633468,1,0.948,0.052,0.0,0.0,1.0,0.025,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,7,1M,
10,100,0.9015868380147471,-0.04499243704545736,1,0.996,0.004,0.0,0.0,1.0,0.004,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,7,5M,
10,100,0.24932412183595404,-0.6032357019476423,1,0.923,0.077,0.0,0.0,1.0,0.029,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,8,1M,
10,100,0.8527290914095254,-0.06918892052424927,1,0.998,0.002,0.0,0.0,1.0,0.001,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,8,5M,
10,100,0.3538996410998298,-0.45111987779323537,1,0.983,0.016,0.001,0.058823529411764705,0.9411764705882353,0.003,0.002,nan,nan,LR_a0p001_1216,leaky,0.001,0,9,1M,
10,100,0.42331895303248473,-0.37333228665673573,1,0.992,0.008,0.0,0.0,1.0,0.001,0.0,nan,nan,LR_a0p001_1216,leaky,0.001,0,9,5M,
10,100,0.3280427536022338,-0.48406955127757745,1,0.976,0.023,0.001,0.041666666666666664,0.9583333333333334,0.005,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,0,1M,
10,100,0.99836624719971,-0.0007101100561845713,1,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,0,5M,
10,100,0.06791572266979887,-1.1680296737564309,1,0.87,0.13,0.0,0.0,1.0,0.039,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,1,1M,
10,100,0.3709173060864853,-0.4307229030894981,1,0.985,0.013,0.002,0.13333333333333333,0.8666666666666667,0.0,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,1,5M,
10,100,0.3988695687833567,-0.39916909633895864,1,0.952,0.048,0.0,0.0,1.0,0.008,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,2,1M,
10,100,0.5924948693321946,-0.22731540604421105,1,0.98,0.02,0.0,0.0,1.0,0.006,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,2,5M,
10,100,0.3661960504749292,-0.43628634399443733,1,0.969,0.031,0.0,0.0,1.0,0.015,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,3,1M,
10,100,0.4928128278306142,-0.3073179960880646,1,0.973,0.026,0.001,0.037037037037037035,0.9629629629629629,0.003,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,3,5M,
10,100,0.31487393026852767,-0.5018632949341313,1,0.936,0.064,0.0,0.0,1.0,0.01,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,4,1M,
10,100,0.5405157961074942,-0.26719160964392125,1,0.976,0.024,0.0,0.0,1.0,0.005,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,4,5M,
10,100,0.3656714030889929,-0.43690900183385284,1,0.967,0.033,0.0,0.0,1.0,0.008,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,5,1M,
10,100,0.779012718916848,-0.10845545155681997,1,0.977,0.023,0.0,0.0,1.0,0.012,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,5,5M,
10,100,0.2759987674716319,-0.5590928573603775,1,0.959,0.041,0.0,0.0,1.0,0.017,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,6,1M,
10,100,0.362660945462897,-0.440499210571175,1,0.981,0.019,0.0,0.0,1.0,0.0,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,6,5M,
10,100,0.23187150425428213,-0.6347526205105052,1,0.951,0.049,0.0,0.0,1.0,0.016,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,7,1M,
10,100,0.9818122285699218,-0.007971563021069742,1,0.996,0.004,0.0,0.0,1.0,0.003,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,7,5M,
10,100,0.47055650461855353,-0.32738821884540525,1,0.921,0.079,0.0,0.0,1.0,0.044,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,8,1M,
10,100,0.9209717187843157,-0.03575370592095235,1,0.988,0.012,0.0,0.0,1.0,0.007,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,8,5M,
10,100,0.27066251572754885,-0.5675718858618999,1,0.971,0.029,0.0,0.0,1.0,0.007,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,9,1M,
10,100,0.3203868972694259,-0.4943252533866279,1,0.976,0.024,0.0,0.0,1.0,0.003,0.0,nan,nan,LR_a0p0001_1216,leaky,0.0001,0,9,5M,
10,100,0.02020465518124092,-1.6945485569591299,0,0.844,0.156,0.0,0.0,1.0,0.079,0.0,0.844,1.0,E_a0p1_1216,elu,0.1,0,0,1M,
10,100,0.050444196987599166,-1.297188787033001,1,0.84,0.16,0.0,0.0,1.0,0.088,0.0,0.84,1.0,E_a0p1_1216,elu,0.1,0,0,5M,
10,100,0.007994725271423373,-2.0971964556394287,0,0.781,0.219,0.0,0.0,1.0,0.125,0.0,0.781,1.0,E_a0p1_1216,elu,0.1,0,1,1M,
10,100,0.036740121494190994,-1.4348594118797071,0,0.846,0.154,0.0,0.0,1.0,0.085,0.0,0.846,1.0,E_a0p1_1216,elu,0.1,0,1,5M,
10,100,0.028576454137559344,-1.5439916609204372,0,0.801,0.199,0.0,0.0,1.0,0.136,0.0,0.801,1.0,E_a0p1_1216,elu,0.1,0,2,1M,
10,100,0.08310960381107642,-1.080348787994935,1,0.871,0.129,0.0,0.0,1.0,0.088,0.0,0.871,1.0,E_a0p1_1216,elu,0.1,0,2,5M,
10,100,0.011219355766034228,-1.9500320802714046,0,0.833,0.167,0.0,0.0,1.0,0.084,0.0,0.833,1.0,E_a0p1_1216,elu,0.1,0,3,1M,
10,100,0.14395148647431147,-0.841783846143608,1,0.86,0.14,0.0,0.0,1.0,0.085,0.0,0.86,1.0,E_a0p1_1216,elu,0.1,0,3,5M,
10,100,0.033111938198322484,-1.4800153971941703,0,0.835,0.165,0.0,0.0,1.0,0.104,0.0,0.835,1.0,E_a0p1_1216,elu,0.1,0,4,1M,
10,100,0.04414839025915986,-1.3550851270651068,0,0.815,0.185,0.0,0.0,1.0,0.117,0.0,0.815,1.0,E_a0p1_1216,elu,0.1,0,4,5M,
10,100,0.01623471047705387,-1.7895554519926495,0,0.848,0.152,0.0,0.0,1.0,0.063,0.0,0.848,1.0,E_a0p1_1216,elu,0.1,0,5,1M,
10,100,0.06171761957369735,-1.2095908328672225,1,0.837,0.163,0.0,0.0,1.0,0.116,0.0,0.837,1.0,E_a0p1_1216,elu,0.1,0,5,5M,
10,100,0.008551667654246965,-2.067949185574217,0,0.817,0.183,0.0,0.0,1.0,0.098,0.0,0.817,1.0,E_a0p1_1216,elu,0.1,0,6,1M,
10,100,0.04306228800667685,-1.3659028987513657,0,0.862,0.138,0.0,0.0,1.0,0.077,0.0,0.862,1.0,E_a0p1_1216,elu,0.1,0,6,5M,
10,100,0.01841187085147027,-1.7349020800897363,0,0.852,0.147,0.001,0.006756756756756757,0.9932432432432432,0.067,0.0,0.852,0.999,E_a0p1_1216,elu,0.1,0,7,1M,
10,100,0.11614963130408643,-0.9349821644505293,1,0.826,0.174,0.0,0.0,1.0,0.123,0.0,0.826,1.0,E_a0p1_1216,elu,0.1,0,7,5M,
10,100,0.02735683398220675,-1.5629341651250896,0,0.808,0.192,0.0,0.0,1.0,0.105,0.0,0.808,1.0,E_a0p1_1216,elu,0.1,0,8,1M,
10,100,0.021632477638839832,-1.664893736536239,0,0.824,0.176,0.0,0.0,1.0,0.111,0.0,0.824,1.0,E_a0p1_1216,elu,0.1,0,8,5M,
10,100,0.01833747881623613,-1.7366603748526592,0,0.818,0.182,0.0,0.0,1.0,0.099,0.0,0.818,1.0,E_a0p1_1216,elu,0.1,0,9,1M,
10,100,0.03047496988551837,-1.516056714866583,0,0.837,0.163,0.0,0.0,1.0,0.1,0.0,0.837,1.0,E_a0p1_1216,elu,0.1,0,9,5M,
10,100,0.11742860246344225,-0.9302261076957399,1,0.917,0.083,0.0,0.0,1.0,0.037,0.0,0.917,1.0,E_a0p01_1216,elu,0.01,0,0,1M,
10,100,0.2674248664616871,-0.5727982123882048,1,0.92,0.08,0.0,0.0,1.0,0.039,0.0,0.92,1.0,E_a0p01_1216,elu,0.01,0,0,5M,
10,100,0.11926507468433152,-0.9234867155293187,1,0.859,0.141,0.0,0.0,1.0,0.086,0.002,0.859,1.0,E_a0p01_1216,elu,0.01,0,1,1M,
10,100,0.1833484929470503,-0.7367226554196036,1,0.938,0.062,0.0,0.0,1.0,0.016,0.0,0.938,1.0,E_a0p01_1216,elu,0.01,0,1,5M,
10,100,0.14300376099111817,-0.8446525404635392,1,0.902,0.098,0.0,0.0,1.0,0.052,0.0,0.902,1.0,E_a0p01_1216,elu,0.01,0,2,1M,
10,100,0.46567434741599534,-0.3319176853709618,1,0.955,0.045,0.0,0.0,1.0,0.035,0.0,0.955,1.0,E_a0p01_1216,elu,0.01,0,2,5M,
10,100,0.11068026372613075,-0.9559298147039546,1,0.882,0.118,0.0,0.0,1.0,0.066,0.0,0.882,1.0,E_a0p01_1216,elu,0.01,0,3,1M,
10,100,0.4514033818133675,-0.3454351916087603,1,0.94,0.06,0.0,0.0,1.0,0.036,0.0,0.94,1.0,E_a0p01_1216,elu,0.01,0,3,5M,
10,100,0.16423961969573203,-0.7845220692648163,1,0.911,0.089,0.0,0.0,1.0,0.044,0.0,0.911,1.0,E_a0p01_1216,elu,0.01,0,4,1M,
10,100,0.444525640807898,-0.3521031833097048,1,0.921,0.079,0.0,0.0,1.0,0.055,0.0,0.921,1.0,E_a0p01_1216,elu,0.01,0,4,5M,
10,100,0.09195908666624766,-1.0364053507757311,1,0.907,0.093,0.0,0.0,1.0,0.032,0.0,0.907,1.0,E_a0p01_1216,elu,0.01,0,5,1M,
10,100,0.31797874876276333,-0.4976019039258376,1,0.917,0.083,0.0,0.0,1.0,0.054,0.0,0.917,1.0,E_a0p01_1216,elu,0.01,0,5,5M,
10,100,0.08142071570783031,-1.0892650843860565,1,0.913,0.087,0.0,0.0,1.0,0.026,0.0,0.913,1.0,E_a0p01_1216,elu,0.01,0,6,1M,
10,100,0.23286291837657996,-0.6328996640055065,1,0.935,0.065,0.0,0.0,1.0,0.034,0.001,0.935,1.0,E_a0p01_1216,elu,0.01,0,6,5M,
10,100,0.14168593245100275,-0.8486732673403153,1,0.912,0.088,0.0,0.0,1.0,0.046,0.001,0.912,1.0,E_a0p01_1216,elu,0.01,0,7,1M,
10,100,0.3549397889278943,-0.4498453132947443,1,0.92,0.08,0.0,0.0,1.0,0.048,0.0,0.92,1.0,E_a0p01_1216,elu,0.01,0,7,5M,
10,100,0.1849912470523587,-0.7328488199580191,1,0.881,0.119,0.0,0.0,1.0,0.062,0.0,0.881,1.0,E_a0p01_1216,elu,0.01,0,8,1M,
10,100,0.2807331285585776,-0.5517063344220898,1,0.912,0.088,0.0,0.0,1.0,0.062,0.001,0.912,1.0,E_a0p01_1216,elu,0.01,0,8,5M,
10,100,0.0858998301504828,-1.066007694897291,1,0.916,0.084,0.0,0.0,1.0,0.032,0.0,0.916,1.0,E_a0p01_1216,elu,0.01,0,9,1M,
10,100,0.19467397357379204,-0.7106921064605718,1,0.891,0.109,0.0,0.0,1.0,0.067,0.0,0.891,1.0,E_a0p01_1216,elu,0.01,0,9,5M,
10,100,0.15553823934924355,-0.8081628214490173,1,0.195,0.802,0.003,0.0037267080745341614,0.9962732919254659,0.019,0.003,0.049,0.8510000000000001,S_b0p3_1216,silu,0.3,0,0,1M,
10,100,0.2313901070957401,-0.6356552129105186,1,0.688,0.312,0.0,0.0,1.0,0.007,0.0,0.032,0.344,S_b0p3_1216,silu,0.3,0,0,5M,
10,100,0.2103420789669963,-0.6770738379407635,1,0.215,0.784,0.001,0.0012738853503184713,0.9987261146496815,0.006,0.002,0.044,0.8280000000000001,S_b0p3_1216,silu,0.3,0,1,1M,
10,100,0.11877507138472373,-0.9252746998943827,1,0.827,0.173,0.0,0.0,1.0,0.01,0.0,0.055,0.22799999999999998,S_b0p3_1216,silu,0.3,0,1,5M,
10,100,0.2386428453816162,-0.6222515814438153,1,0.191,0.792,0.017,0.021013597033374538,0.9789864029666254,0.018,0.006,0.073,0.865,S_b0p3_1216,silu,0.3,0,2,1M,
10,100,0.16440362248579918,-0.7840886174026538,1,0.59,0.41,0.0,0.0,1.0,0.013,0.0,0.058,0.46799999999999997,S_b0p3_1216,silu,0.3,0,2,5M,
10,100,0.16056336523549672,-0.794353538079797,1,0.218,0.779,0.003,0.0038363171355498722,0.9961636828644501,0.024,0.0,0.058,0.8370000000000001,S_b0p3_1216,silu,0.3,0,3,1M,
10,100,0.29308465296738834,-0.5330069222851389,1,0.782,0.218,0.0,0.0,1.0,0.003,0.0,0.025,0.243,S_b0p3_1216,silu,0.3,0,3,5M,
10,100,0.26947646515031937,-0.5694791581272091,1,0.296,0.699,0.005,0.007102272727272727,0.9928977272727273,0.01,0.004,0.044,0.743,S_b0p3_1216,silu,0.3,0,4,1M,
10,100,0.211676307565629,-0.6743277488267296,1,0.912,0.088,0.0,0.0,1.0,0.002,0.0,0.027,0.11499999999999999,S_b0p3_1216,silu,0.3,0,4,5M,
10,100,0.15007608243447454,-0.8236885155807908,1,0.161,0.834,0.005,0.0059594755661501785,0.9940405244338498,0.017,0.001,0.044,0.878,S_b0p3_1216,silu,0.3,0,5,1M,
10,100,0.2382315923514704,-0.6230006464043311,1,0.634,0.362,0.004,0.01092896174863388,0.9890710382513661,0.007,0.0,0.041,0.40299999999999997,S_b0p3_1216,silu,0.3,0,5,5M,
10,100,0.15729813436544954,-0.8032764282959464,1,0.255,0.742,0.003,0.004026845637583893,0.9959731543624161,0.009,0.001,0.052,0.794,S_b0p3_1216,silu,0.3,0,6,1M,
10,100,0.14001599282966923,-0.8538223557432467,1,0.799,0.201,0.0,0.0,1.0,0.005,0.0,0.038,0.23900000000000002,S_b0p3_1216,silu,0.3,0,6,5M,
10,100,0.14320640672171192,-0.8440375522680619,1,0.178,0.819,0.003,0.0036496350364963502,0.9963503649635036,0.013,0.0,0.078,0.8969999999999999,S_b0p3_1216,silu,0.3,0,7,1M,
10,100,0.34956296584779684,-0.45647458456138224,1,0.751,0.249,0.0,0.0,1.0,0.003,0.0,0.027,0.276,S_b0p3_1216,silu,0.3,0,7,5M,
10,100,0.3087370766063011,-0.51041121244009,1,0.223,0.776,0.001,0.001287001287001287,0.9987129987129987,0.009,0.0,0.047,0.8230000000000001,S_b0p3_1216,silu,0.3,0,8,1M,
