registered,arm,seed,unit,t_sub,win_len,d_wmu,d_b,share_unit,routes_same_sign,share_in_unit_interval,d_wmu_ff,d_b_ff,n_ff_intervals,share_unit_ff,pred,pred_meanrecip,pred_ff
0,E_a0p001_1216,0,59,171000,171,-3.2507885348415044,-0.3985446464492881,0.10921026572540037,1,1,-1.1866720079105035,-0.0493017451436939,154,0.03988899037852952,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,60,121000,121,-1.09554145915682,-0.11965941547853554,0.09846883587410324,1,1,-0.2241001264485205,-0.015160378238453731,109,0.06336348014599456,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,61,31000,31,-0.806047172152871,-0.08823073529550829,0.09866142790808154,1,1,-0.013856677496622657,-0.03892135533205268,28,0.7374536951461735,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,62,62000,62,-1.9570091924951356,-0.1247995396336119,0.059947649228081816,1,1,-1.2233926184103205,-0.10662685600001734,56,0.08016939454761757,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,63,11000,11,-0.63880127097271,-0.01026168048913878,0.015809992645593098,1,1,-0.09025063889329843,-0.01029149499044868,10,0.10236002154428439,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,64,11000,11,-0.40828969522678094,-0.0013471917789720927,0.003288746257250931,1,1,-0.01026615325073621,-0.0013456554743502408,10,0.1158868102471454,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,66,41000,41,-2.0782430791555626,-0.1621665063266864,0.07238252656010663,1,1,-1.4076159849665835,-0.13102297140469688,37,0.08515511118586319,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,69,41000,41,-2.6245164082058494,-0.19105413224816026,0.06785627619805713,1,1,-0.8579691115105774,-0.09760480042976383,37,0.10214259641263368,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,70,161000,161,-2.741355751054037,-0.2795704922555018,0.0925446269582609,1,1,-1.7954791020387875,-0.15265743302823065,145,0.07836074642631712,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,74,81000,81,-1.8000442953301743,-0.2543016743896942,0.12378717029068423,1,1,-0.3439507037903451,-0.03667707180287971,73,0.09635942029116744,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,75,51000,51,-2.552566058926331,-0.21334108475996594,0.07713241033667999,1,1,-0.6432114430061828,-0.009872820613056277,46,0.01511722324825809,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,76,11000,11,-1.1291848579615145,-0.19429209495300626,0.14680429041483656,1,1,-0.596032744779804,-0.08773043867685404,10,0.1283052975057044,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,77,61000,61,-1.0963302449786205,0.005140545681120712,-0.004710955101968208,0,0,0.12781437184873568,0.06731945925202876,55,0.3449912240859245,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,78,121000,121,-1.3541798227774429,-0.2190282537172017,0.13922395707834856,1,1,-0.01787191638856578,-0.035632022064269964,109,0.6659700779911735,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,79,91000,91,-2.0910041972006788,-0.2533220872380504,0.10805752122456791,1,1,-1.2250014013759705,-0.151425602863819,82,0.11001353678573929,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,80,61000,61,-1.0103987152138618,-0.19379841834789957,0.1609357911147693,1,1,0.5291013066707588,0.026294367846749434,55,0.04734348691064667,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,82,41000,41,-2.3106437475734793,-0.1997275721131686,0.07956096795198377,1,1,-0.20480184544493824,-0.014503201986739267,37,0.06613254987328829,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,83,11000,11,-0.8916149390070274,-0.11311354658299955,0.11258120796343661,1,1,-0.2890320140399041,-0.061768240055670276,10,0.17607809382840905,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,85,191000,191,-2.862721416836308,-0.5605014580697798,0.16373501771635493,1,1,-1.1211488845185973,-0.2169312891475803,172,0.1621212939380268,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,87,21000,21,-0.6406412039209126,-0.007775611846233987,0.01199168753363468,1,1,-0.026715032565180152,-0.0021623718430474614,19,0.07488110124022672,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,89,21000,21,-1.280482843155946,-0.1564601196857751,0.1088840153935944,1,1,0.06495636158869011,-0.05128850152505571,19,-3.752489510886727,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,90,21000,21,-1.0679533389117424,-0.08780478961760707,0.07597159600282002,1,1,0.026447477261479335,-0.01076597057733264,19,-0.686539297159281,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,91,62000,62,-1.486239988708391,-0.39483659281673766,0.20989926550285065,1,1,-0.2767843097739817,-0.04415657228599823,56,0.13758475393529299,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,92,61000,61,-0.19407109058515104,-0.09815219746337878,0.3358808194885499,1,1,-0.01598117896929452,-0.0007674566827909346,55,0.045822041790930884,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,93,21000,21,-0.44589877594238203,-0.02299441291193305,0.04903976738949263,1,1,-0.23377546349951928,-0.024809733232764586,19,0.09594413580623634,0.09758305318051957,0.09758305318051957,0.09758305318051957
