arm,seed,acc_base,acc_late,L,Cov,NL_x,NL_u,gcorr,Gbar,N,Cov10,Cov50,Cov_abs,zbar,sigma,pos,hard_dead,g1,g1_cnorm,g1_n,Cov_chronic,n_chronic,R_c,L61,rho_w,R_c_src,acc_base_wsrc
ELU03,1,0.9259999990463257,0.904449999332428,2.1549999713897705,0.777119140625,0.07505204058187781,0.08269241763547738,0.6376570660821587,0.232044280531289,7.769152753868166,0.7208691406250001,0.78666015625,0.777119140625,-5.315175384922171,3.4476072105055806,0.21333984375,0.0,1.7763568394002505e-15,0.0,360,0.07,7,nan,nan,nan,,
ELU03,2,0.9266999959945679,0.9026999771595001,2.400001883506775,0.7933496093750001,0.07324959476910195,0.0833008846332352,0.6394653014803005,0.2165751912699581,7.823190296563939,0.733369140625,0.803525390625,0.7933496093750001,-4.76354421022487,3.3256016348027773,0.196474609375,0.5,1.4210854715202004e-14,0.0,360,0.04,4,nan,nan,nan,,
SN02,0,0.9235000014305115,0.9154500067234039,0.8049994707107544,0.39737304687499997,0.25872772625316953,0.06059414864262211,0.6355531354337847,0.5764698768040398,6.787448867865706,0.248349609375,0.56419921875,0.39737304687499997,-1.8566210937029344,1.8753355691406006,0.2155859375,0.0,0.0,0.0,11,0.0,0,-0.2499997615814209,0.5900025367736816,1.4237265875982463,gate_wclamp_0911,0.9235000014305115
SN02,1,0.9222000241279602,0.9166499972343445,0.5550026893615723,0.40416015625,0.26046771165121807,0.0612623099591391,0.646169436286354,0.577361421805108,6.762831597801741,0.25619140625000003,0.56599609375,0.40416015625,-1.8459975577691194,1.836206183798334,0.2190234375,0.0,0.0,0.0,11,0.0,0,-0.30499696731567383,0.36500394344329834,1.835599101857522,gate_wclamp_0911,0.9222000241279602
SN02,2,0.9264000058174133,0.9143499732017517,1.205003261566162,0.409248046875,0.2605467957351597,0.059710611050347834,0.6234070215464409,0.5710592068760889,6.762716510256963,0.25935546875,0.57177734375,0.409248046875,-1.903845425816324,1.8717481982469053,0.21423828125,0.0,0.0,0.0,11,0.0,0,0.2749979496002197,0.8349984884262085,0.6706605420106432,gate_wclamp_0911,0.9264000058174133
SN06,0,0.9193999767303467,0.8920000195503235,2.7399957180023193,0.262109375,0.4809718914496659,0.012798614131292498,0.22862381220190253,0.9214292721042876,5.780043405392657,0.164599609375,0.37679687500000003,0.262109375,-0.8707443658184147,1.5314095285194231,0.333466796875,0.0,0.0,0.0,11,0.0,0,-0.07500052452087402,1.7949968576431274,1.0417830951633817,gate_wclamp_0911,0.9193999767303467
SN06,1,0.9222000241279602,0.8933500051498413,2.8850018978118896,0.26202148437499995,0.4823598744119462,0.01220067376184067,0.20969376607707108,0.9255432979419129,5.778330620345155,0.164521484375,0.37442382812499997,0.26202148437499995,-0.9737673011136637,1.5235799475429221,0.323310546875,0.0,0.0,0.0,11,0.0,0,0.36500096321105957,2.090001106262207,0.8253584832479666,gate_wclamp_0911,0.9222000241279602
SN06,2,0.9193999767303467,0.8968499898910522,2.2549986839294434,0.26541015625,0.48190282003818097,0.011313217779051966,0.2249005423310939,0.9153709024656564,5.740322618636211,0.1665625,0.381044921875,0.26541015625,-1.0023359144170156,1.536888374036972,0.319609375,0.0,0.0,0.0,11,0.0,0,0.024998188018798828,1.5799999237060547,0.9841783612494341,gate_wclamp_0911,0.9193999767303467
SN15,0,0.8914999961853027,0.8810499906539917,1.0450005531311035,0.23046875,0.49904151581335554,0.0009509020249835243,0.00037698610008014073,0.9996164836140815,6.73861278805655,0.14337890625,0.333916015625,0.23046875,-0.4878444892251156,1.7696059876938302,0.423837890625,0.0,0.0,0.0,11,0.0,0,0.23500025272369385,0.550001859664917,0.5727282579246817,gate_wclamp_0911,0.8914999961853027
SN15,1,0.8942000269889832,0.8821000158786774,1.2100011110305786,0.23060546875,0.49915583805927655,0.0009660620321526737,0.0006627469902284629,0.9998106006375747,6.72261903014667,0.143955078125,0.33376953125,0.23060546875,-0.6592183188620875,1.7642023017726154,0.39738281249999996,0.0,0.0,0.0,11,0.0,0,0.4950016736984253,1.175004243850708,0.578723501392461,gate_wclamp_0911,0.8942000269889832
SN15,2,0.8873000144958496,0.8846499919891357,0.2650022506713867,0.229599609375,0.4984098234321308,0.0010139979343801416,0.0048892523224099965,1.0003218749992082,6.728712169654029,0.14326171875,0.3333984375,0.229599609375,-0.5943742504536323,1.7664318704002553,0.411123046875,0.0,0.0,0.0,11,0.0,0,-0.2700001001358032,0.3049999475479126,1.885246382192865,gate_wclamp_0911,0.8873000144958496
SNA,0,0.9225000143051147,0.9153999984264374,0.7100015878677368,0.33,0.39672246905154723,0.0472636001824293,0.4988246038997042,0.762584090763121,5.992030077526988,0.209580078125,0.46467773437500004,0.33,-1.0312104640818902,1.6161154626933163,0.304931640625,0.0,8.881784197001252e-16,0.0,360,0.0,0,-0.09000003337860107,0.3800004720687866,1.23684189887614,width_sink_clamp_0909,0.9225000143051147
SNA,1,0.9230999946594238,0.9160999953746796,0.6999999284744263,0.33474609375,0.3941760999901194,0.045299405814852756,0.4759948641700591,0.7562036937882658,5.965664090564536,0.21256835937500002,0.46857421875,0.33474609375,-1.4196222104132503,1.8087857202787072,0.286162109375,0.0,4.440892098500626e-16,0.0,360,0.0,0,-0.13499855995178223,0.6549984216690063,1.2061051683266524,width_sink_clamp_0909,0.9230999946594238
SNA,2,0.928600013256073,0.9154500067234039,1.3150006532669067,0.33564453125,0.39489374049762993,0.04354567904815304,0.47138925139936105,0.750993803498568,6.002332209592943,0.21330078125,0.472021484375,0.33564453125,-1.4538306483447159,1.8437182335394073,0.2838671875,0.0,4.440892098500626e-16,0.0,360,0.0,0,0.42500197887420654,1.0850012302398682,0.6082935511692935,width_sink_clamp_0909,0.928600013256073
LIN,0,0.8938999772071838,0.886900007724762,0.6999969482421875,0.0,0.0,0.0,1.0,1.0,6.909099611399633,0.0,0.0,0.0,-0.08653326626185381,1.814793459267296,0.49509765625,0.0,2.220446049250313e-16,0.0,33,0.0,10,nan,nan,nan,,
LIN,1,0.89410001039505,0.8877999782562256,0.6300032138824463,0.0,0.0,0.0,1.0,1.0,6.894360945587508,0.0,0.0,0.0,0.10587729814292676,1.811320379702122,0.500771484375,0.0,2.220446049250313e-16,0.0,33,0.0,10,nan,nan,nan,,
LIN,2,0.8881000280380249,0.8882500231266022,-0.01499950885772705,0.0,0.0,0.0,1.0,1.0,6.876753828489201,0.0,0.0,0.0,0.017024567074443907,1.8180442170829618,0.5120410156249999,0.0,2.220446049250313e-16,0.0,33,0.0,10,nan,nan,nan,,
GELU,0,0.9236999750137329,0.8802500069141388,4.344996809959412,0.859189453125,0.03329065483414516,0.08495253131601121,0.7747180162129046,0.12647401030972633,6.429390271056427,0.8515625,0.868662109375,0.859189453125,-4.989508119584482,2.573935709909607,0.131337890625,0.0,0.0,0.0,720,0.0,0,0.974997878074646,2.8599977493286133,0.6590913827454838,clamp_horizon_acts_0910,0.9236999750137329
GELU,1,0.9223999977111816,0.8790999948978424,4.330000281333923,0.8739550781250001,0.02759281473761145,0.08054659462477881,0.7950847859454202,0.11373544362388949,6.128816719657521,0.8678222656250001,0.881630859375,0.8739550781250001,-4.968505073606849,2.2551066607255166,0.11836914062500001,0.0,0.0,0.0,720,0.0,0,1.1150002479553223,3.3950001001358032,0.6715757834850369,clamp_horizon_acts_0910,0.9223999977111816
GELU,2,0.9258999824523926,0.8852999806404114,4.06000018119812,0.8391796874999999,0.03927624590718223,0.09126182660847926,0.7363931001439605,0.14486777302942522,6.394860774092098,0.83033203125,0.85029296875,0.8391796874999999,-4.426525359844901,2.3925386159938546,0.14970703125,0.0,0.0,0.0,720,0.0,0,1.299998164176941,3.224995732307434,0.5968992606241954,clamp_horizon_acts_0910,0.9258999824523926
SILU,0,0.9266999959945679,0.8975000083446503,2.9199987649917603,0.795419921875,0.050553857546199676,0.10222425066328501,0.7613073805926711,0.16622291049949622,7.497914832127703,0.77345703125,0.820517578125,0.795419921875,-4.5819982808693975,2.813632416765273,0.17948242187500002,0.0,0.0,0.0,720,0.0,0,0.8500009775161743,2.195000648498535,0.6127559333079889,clamp_horizon_acts_0910,0.9266999959945679
SILU,1,0.9291999936103821,0.8935500085353851,3.564998507499695,0.8028222656249999,0.048558785299027116,0.1015780338477817,0.7529946571001015,0.16632661523096487,7.604432928335214,0.7864843749999999,0.8224218750000001,0.8028222656249999,-5.010268644908608,2.780386328197968,0.177578125,0.0,0.0,0.0,720,0.0,0,1.0549992322921753,2.649998664855957,0.6018868815733835,clamp_horizon_acts_0910,0.9291999936103821
SILU,2,0.9222999811172485,0.8939999938011169,2.829998731613159,0.805419921875,0.04734113764633073,0.09813898045350342,0.7479074989116221,0.15996072602974537,7.556982521317908,0.786650390625,0.827607421875,0.805419921875,-5.140113729364355,2.9255772614849604,0.172392578125,0.0,0.0,0.0,720,0.0,0,0.15499889850616455,2.1549999713897705,0.928074756118811,clamp_horizon_acts_0910,0.9222999811172485
