metric,verdict,improved,decision_basis,layer,seed_values,arm_seed_levels,baseline_seed_levels,arm,baseline,contrast_type,pairing,main_verdict,split_side,pair_ok,censored,lop_signature,early_consistent_zero,floor_frac_late_arm,floor_frac_late_baseline,floor_frac_all_arm,floor_frac_all_baseline,point,studentized_ci_lo,studentized_ci_hi,percentile_ci_lo,percentile_ci_hi,se0,degenerate_se_fraction,studentized_width_ratio,ci_degenerate,boot_ok,sign_test_p,n_seed,statistic,numeric_divergence,divergent_arms,divergence_detected_step,divergence_events,centered,early_median,late_median
P1_unfit_late,A_EFFECTIVE,1,percentile,,"[-1.615679296255772, -1.5159226271478128, -1.3767698503931705, -0.7701702237881274, -0.9855553566986948, -1.2221644415824895, -1.1536999468482207, -1.16015069098892, -0.8411920968889617, -1.4148630755588125]","[0.012755138904598078, 0.01154026315968825, 0.005896082918143164, 0.024623025349942075, 0.009502077155621996, 0.007480789681871136, 0.005083318739246738, 0.01249110060050893, 0.008906026617537895, 0.004041396711665661]","[0.5264589202743646, 0.3785631524962374, 0.14038911389766848, 0.14504796362877456, 0.09191235825258075, 0.1247704916957048, 0.0724181271326913, 0.1806139942439023, 0.06178400908155269, 0.10504963779380963]",L2_Aall,L2_none,baseline,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-1.1911575662857048,-1.5202467386633733,-0.8579837349569338,-1.4463462387704915,-0.9855553566986948,0.09302062589035409,0.3784,0.5559827032552238,1,6216,0.001953125,10,median,,,,,,,
P2_eff_rank_late,A_EFFECTIVE,1,percentile,2,"[16.530127458806533, 15.910957815625684, 16.483776427962567, 9.67143542517373, 11.426490567332507, 14.352266782057736, 13.978183631043883, 15.584626691295826, 11.682851783313065, 16.39616162207445]","[20.10419436585936, 19.491131459302114, 22.967351221245863, 15.591230349890303, 19.163626536149696, 21.106371378602105, 20.8967039453924, 19.91646224363614, 16.344180240422407, 22.409984034101154]","[3.5740669070528295, 3.58017364367643, 6.483574793283295, 5.919794924716572, 7.737135968817188, 6.7541045965443685, 6.918520314348517, 4.331835552340314, 4.6613284571093425, 6.0138224120267]",L2_Aall,L2_none,baseline,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,14.968446736676782,-213739564063317.03,343500957665597.8,11.682851783313065,16.39616162207445,1.848539863857135,0.2201,37227678431291.3,1,7799,0.001953125,10,median,,,,,,,
P1_unfit_early,REPORT_ONLY,0,percentile,,"[9.225916820465768, 10.982974795540528, 9.868301736669132, 7.700998624739897, 9.436481724572813, 10.780853732565816, 10.634340405987176, 7.405605848517251, 9.864688300752963, 11.242149500509626]","[0.0018497883608868191, 0.0019144578889654016, 0.0016281864819089377, 0.0021226166607686177, 0.0017010107634516092, 0.0016410690027882913, 0.0019710124372720227, 0.0010504686273021238, 0.002780013720517508, 0.0017995025947469604]","[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995844e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.7962835109541657e-13, 1.0303931828396441e-14]",L2_Aall,L2_none,baseline,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,9.866495018711047,-1837597992.7771468,9.875681055117562,8.568740174656355,10.808657600763851,0.005420153874252875,0.2801,186246280.889816,1,7199,0.001953125,10,median,,,,,,,
P1_late_minus_early,REPORT_ONLY,1,percentile,,"[-10.84159611672154, -12.49889742268834, -11.245071587062302, -8.471168848528025, -10.422037081271508, -12.003018174148306, -11.788040352835397, -8.56575653950617, -10.705880397641923, -12.657012576068439]",,,L2_Aall,L2_none,baseline,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-11.043333851891921,-22911001263369.63,-9.443913305076308,-12.14346888776187,-9.635818468574048,0.6052132055111432,0.2802,2074645353534.7134,1,7198,0.001953125,10,median,,,,,,,
P1_unfit_trend_spearman,REPORT_ONLY,,report_only,,"[-0.28888631788488184, -0.2602952410845788, -0.2548020378105609, -0.14380186597081313, -0.1639146244295821, -0.2887804524712074, -0.32603906608397526, -0.12964888813772124, -0.2620524905232151, -0.4799735374363184]","[0.5080388246372263, 0.5611339305116256, 0.4248045971460994, 0.5915622087548591, 0.38349276866986987, 0.46823806649443467, 0.4051568196634232, 0.5432061230895526, 0.4629739478957916, 0.34269570466233673]","[0.7969251425221081, 0.8214291715962044, 0.6796066349566603, 0.7353640747256722, 0.547407393099452, 0.7570185189656421, 0.7311958857473985, 0.6728550112272739, 0.7250264384190067, 0.8226692420986551]",L2_Aall,L2_none,baseline,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-0.26117386580389695,-0.2623335583661068,0.19794373650061842,-0.2940457783035952,-0.1639146244295821,0.0026358741579544653,0.3689,1.762340552145158,1,6311,0.001953125,10,median,,,,,,,
P1_unfit_late,A_EFFECTIVE,1,percentile,,"[-0.3606799432402321, -0.3945532299080683, -0.3847325763311993, -0.6353415923913674, 0.41017542537143914, -0.383437178676181, -0.549643176731188, 0.007572254344540008, -0.7813784010422444, -0.8041318461969611]","[0.012755138904598078, 0.01154026315968825, 0.005896082918143164, 0.024623025349942075, 0.009502077155621996, 0.007480789681871136, 0.005083318739246738, 0.01249110060050893, 0.008906026617537895, 0.004041396711665661]","[0.0292661191046313, 0.0286265454670234, 0.014298686977496453, 0.1063366574174717, 0.0036952440565052275, 0.01808775320178507, 0.018021482682447715, 0.012275196464618308, 0.053834711476100666, 0.025743247373309793]",L2_Aall,L2_A1,interaction_A2_given_A1,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-0.3896429031196338,-0.43177934202246304,-0.36639726351078444,-0.6655107888867162,-0.1879324621658205,0.014730980365303514,0.3728,0.16779999837852572,1,6272,0.109375,10,median,,,,,,,
P2_eff_rank_late,A_EFFECTIVE,1,percentile,2,"[14.210753958193372, 15.05113597169695, 18.327032594505123, 12.214977143441796, 14.287809171274597, 17.537412236793074, 15.29482552403211, 15.84494531634267, 12.38498182119228, 17.751159669643176]","[20.10419436585936, 19.491131459302114, 22.967351221245863, 15.591230349890303, 19.163626536149696, 21.106371378602105, 20.8967039453924, 19.91646224363614, 16.344180240422407, 22.409984034101154]","[5.893440407665987, 4.439995487605163, 4.640318626740739, 3.3762532064485065, 4.875817364875099, 3.568959141809033, 5.601878421360291, 4.071516927293469, 3.9591984192301277, 4.658824364457978]",L2_Aall,L2_A1,interaction_A2_given_A1,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,15.17298074786453,-46091737100739.06,66001551720622.805,13.33639549623344,17.537412236793074,0.36553432850273815,0.1018,7387690703894.03,1,8982,0.001953125,10,median,,,,,,,
P1_unfit_early,REPORT_ONLY,0,percentile,,"[0.29040184355144527, 0.25913499080611135, 0.2560830415808626, 0.3203136618496738, 0.14629982351026927, 0.31679667809501577, 0.200593903727309, 0.3541632561124737, 0.2990343632348189, 0.25705530778691266]","[0.0018497883608868191, 0.0019144578889654016, 0.0016281864819089377, 0.0021226166607686177, 0.0017010107634516092, 0.0016410690027882913, 0.0019710124372720227, 0.0010504686273021238, 0.002780013720517508, 0.0017995025947469604]","[0.0009478076265361518, 0.0010541704232648343, 0.000902861435439674, 0.0010152147217920412, 0.001214527179515998, 0.0007912799553037433, 0.001241925261550809, 0.00046475046228150593, 0.001396408797071383, 0.0009956281551358605]",L2_Aall,L2_A1,interaction_A2_given_A1,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,0.2747684171787783,0.20251096233842664,0.8600330613919386,0.22882460575711083,0.31679667809501577,0.046900279118000876,0.3741,2.393004646620993,1,6259,0.001953125,10,median,,,,,,,
P1_late_minus_early,REPORT_ONLY,1,percentile,,"[-0.6510817867916774, -0.6536882207141796, -0.6408156179120619, -0.9556552542410415, 0.2638756018611699, -0.7002338567711968, -0.750237080458497, -0.34659100176793367, -1.0804127642770633, -1.0611871539838738]",,,L2_Aall,L2_A1,interaction_A2_given_A1,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-0.6769610387426882,-1.1158392970718636,-0.6320246550858846,-0.9556552542410415,-0.49883639427980553,0.06981845408552567,0.3652,0.7146860960928597,1,6348,0.021484375,10,median,,,,,,,
P1_unfit_trend_spearman,REPORT_ONLY,,report_only,,"[0.0652164087210566, 0.19468266653789507, 0.06152468793007704, 0.02020474684308371, 0.0497666175724944, 0.031946398821739885, -0.014566096047516741, 0.24356829321293194, 0.09806504575415892, -0.17457247024168815]","[0.5080388246372263, 0.5611339305116256, 0.4248045971460994, 0.5915622087548591, 0.38349276866986987, 0.46823806649443467, 0.4051568196634232, 0.5432061230895526, 0.4629739478957916, 0.34269570466233673]","[0.44282241591616966, 0.36645126397373057, 0.3632799092160224, 0.5713574619117754, 0.33372615109737547, 0.4362916676726948, 0.41972291571093995, 0.2996378298766207, 0.3649089021416327, 0.5172681749040249]",L2_Aall,L2_A1,interaction_A2_given_A1,paired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,0.05564565275128572,0.03104198665353758,0.0852570805808179,0.01760026076248883,0.12994953762947584,0.01763710553637396,0.3751,0.9742916336986929,1,6249,0.109375,10,median,,,,,,,
P1_unfit_late,A_EFFECTIVE,1,percentile,,[],"[0.004248771109235117, 0.0046935905897170435, 0.0037562029144019497, 0.003751714167304354, 0.0046120661266096956, 0.0038357073344927194, 0.003496822267883579, 0.004084147252672165, 0.003741161563957168, 0.003480850387461657]","[0.5264589202743646, 0.3785631524962374, 0.14038911389766848, 0.14504796362877456, 0.09191235825258075, 0.1247704916957048, 0.0724181271326913, 0.1806139942439023, 0.06178400908155269, 0.10504963779380963]",L1w100_A1,L2_none,cross_depth_unpaired,unpaired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-1.542425405573853,-12.437804856580591,2.9252266339954343,-1.7788904232469849,-1.3431474966272257,0.07803448692949859,0.1051,9.96030760065202,1,8949,nan,10+10,difference_of_medians,,,,,,,
P2_eff_rank_late,A_EFFECTIVE,1,percentile,1,[],"[19.44190656637486, 18.253130973034498, 20.611100106624832, 20.64677427631487, 19.043800598062727, 20.247893652276165, 18.3023323105315, 18.713896658385707, 19.715501823879414, 19.744912415707947]","[3.5740669070528295, 3.58017364367643, 6.483574793283295, 5.919794924716572, 7.737135968817188, 6.7541045965443685, 6.918520314348517, 4.331835552340314, 4.6613284571093425, 6.0138224120267]",L1w100_A1,L2_none,cross_depth_unpaired,unpaired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,13.611895526755502,-29935967985252.75,41540893921461.81,12.323797015835915,15.499821029267228,0.43395270470684666,0.061,5251058661611.078,1,9390,nan,10+10,difference_of_medians,,,,,,,
P1_unfit_early,REPORT_ONLY,0,percentile,,[],"[0.002044404068374189, 0.0016148063924833855, 0.0016313585475097759, 0.0018186289474721386, 0.0017314589896632933, 0.0017844859732445797, 0.0025110802320666634, 0.0008082083508016711, 0.0023324140762966314, 0.0022900049674125116]","[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995844e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.7962835109541657e-13, 1.0303931828396441e-14]",L1w100_A1,L2_none,cross_depth_unpaired,unpaired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,9.794248095770534,-32455491687389.61,35938042023010.46,8.554742811980566,10.850923989358991,0.3541496234841538,0.0684,6983030554426.588,1,9316,nan,10+10,difference_of_medians,,,,,,,
P1_late_minus_early,REPORT_ONLY,1,percentile,,[],,,L1w100_A1,L2_none,cross_depth_unpaired,unpaired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-11.4170306842134,-15.934868102665407,-4.982348099938536,-12.347353132984676,-10.11172002240141,0.1869511120889822,0.1298,0.9593142302640196,1,8702,nan,10+10,difference_of_medians,,,,,,,
P1_unfit_trend_spearman,REPORT_ONLY,,report_only,,[],"[0.2531314194654369, 0.2582575271023976, 0.19731994108699327, 0.18121399425356738, 0.16009735132916436, 0.2074435135330903, 0.16588338122027188, 0.2045166960426878, 0.12825718907694908, 0.2632901465581766]","[0.7969251425221081, 0.8214291715962044, 0.6796066349566603, 0.7353640747256722, 0.547407393099452, 0.7570185189656421, 0.7311958857473985, 0.6728550112272739, 0.7250264384190067, 0.8226692420986551]",L1w100_A1,L2_none,cross_depth_unpaired,unpaired,A_EFFECTIVE,,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-0.5323616616716947,-0.6013134076373005,-0.4808407193678668,-0.6076581748518277,-0.4720290701885699,0.012475012337250898,0.1423,0.2262985803506802,1,8577,nan,10+10,difference_of_medians,,,,,,,
dose_decay,REPORT_ONLY,,,1,"[0.9643784488272384, 2.6445430198761812, -0.2912400533734072, 0.6297117433544059, -1.0036221413576953, 2.9759516829702157, -1.2209597208329246, 1.4003870457116907, 0.2692287164743039, 0.06981932521570755]",,,L2_none,,,,,,,,,,,,,,0.4494702299143549,-0.15648691079886412,1.008756619070767,-0.4669014080709939,1.8044607343517098,0.540724540320153,0.3757,2.5924821096419763,1,6243,0.34375,10,median,,,,,0,11.373851560811625,12.125367974341854
wall_trend,REPORT_ONLY,,,1,"[0.5338580526227494, 0.5408770142238171, 0.15177447923486315, 0.43023155320511985, 0.07551815144670894, 0.5788359220484578, 0.31954534587954697, 0.2145408868452305, 0.34160272416647547, 0.37698082487413886]",,,L2_none,,,,,,,,,,,,,,0.35929177452030714,0.3173838742719504,0.4053525106066924,0.2145408868452305,0.5338580526227494,0.053067151061495094,0.3899,0.24483899318928054,1,6101,0.001953125,10,median,,,,,0,,
dose_decay,REPORT_ONLY,,,2,"[-0.5878081499104635, -3.2622922552870683, -5.756815743894855, -6.618051272205227, -5.136930203321702, -4.869728066625642, -2.0213375273954473, -2.768427261644373, -5.4016155292180645, -0.6970776707719715]",,,L2_none,,,,,,,,,,,,,,-4.066010160956355,-3700472721189779.5,3.241412554749548,-5.446872973608278,-1.920242759189071,2.4111537170078607,0.3503,910099231114416.1,1,6497,0.001953125,10,median,,,,,0,12.296081310245558,8.480869229565705
wall_trend,REPORT_ONLY,,,2,"[0.12381063924255697, 0.04322810891243565, 0.2876436465745863, -0.1922178248712995, 0.33464821859287436, -0.4329820839283357, -0.16255908223632895, 0.3596451825807303, -0.12680450721802888, 0.04435726542906172]",,,L2_none,,,,,,,,,,,,,,0.04379268717074868,0.0426766156968723,0.049744853833164376,-0.16255908223632895,0.2876436465745863,0.0016937347749391015,0.3697,0.16140224756550925,1,6303,0.75390625,10,median,,,,,0,,
dose_decay,REPORT_ONLY,,,1,"[-0.0010184108319503116, 0.05752903717615837, 0.013938382431954499, -0.054292030663931845, 0.026968061457992243, 0.0392170551343245, 0.019307376648643737, 0.10690883919198163, 0.009049387150771582, 0.030617232181473997]",,,L2_A1,,,,,,,,,,,,,,0.02313771905331799,0.011266359086688008,0.04138272423801263,0.006459985800002094,0.044073134678816184,0.011491027214022759,0.3765,1.3016133993988437,1,6235,0.109375,10,median,,,,,1,0.2857220103528606,0.3077932190193212
wall_trend,TAUTOLOGICAL,,,1,"[-0.03337338149352597, -0.03243574574298297, -0.08679855519422078, -0.014898971595886384, 0.041636806547226186, 0.04342183768735075, -0.002902379609518438, 0.017744806979227916, 0.011903759615038461, -0.05464428257713031]",,,L2_A1,,,,,,,,,,,,,,-0.00890067560270241,-0.05762800720415953,0.29821736084405187,-0.043540014160056636,0.026770283081132322,0.01799488797955192,0.375,39.97959075602869,1,6250,0.75390625,10,median,,,,,1,,
dose_decay,REPORT_ONLY,,,2,"[-1.3482405137180384, -0.21957344753635688, -0.8881172489434537, -0.826220183318398, -1.5479023629976671, -0.9224703977447737, -1.033107430832704, -0.5113430878685836, -0.15598727464597317, -1.7203841616825093]",,,L2_A1,,,,,,,,,,,,,,-0.9052938233441137,-0.9320034735105489,-0.8741840882715013,-1.3482405137180384,-0.5113430878685836,0.051529723201980016,0.3736,0.06386808762868333,1,6264,0.001953125,10,median,,,,,0,8.108485331454359,7.182657230469304
wall_trend,REPORT_ONLY,,,2,"[0.5779092556370226, 0.32852905811623245, 0.4522821931287725, 0.6809480997923991, 0.32642280969123877, 0.4101098964395858, 0.36639900159600636, 0.18913554054216217, 0.3998488953955816, 0.7242599210396842]",,,L2_A1,,,,,,,,,,,,,,0.4049793959175837,0.3959852847859134,0.4205633967629552,0.32852905811623245,0.5779092556370226,0.015391501566006272,0.3763,0.060689783788515556,1,6237,0.001953125,10,median,,,,,0,,
