analysis,scope,seed,group,outcome,n,n_event,risk,value
R3_spearman,seed,6,all,-,552,,,0.20752874252889733
R3_spearman,seed,7,all,-,1058,,,0.24569754327276741
R3_spearman,seed,8,all,-,748,,,0.17734202626603451
R3_spearman,seed,9,all,-,919,,,0.2308812629465847
R3_spearman,seed,10,all,-,759,,,0.1889512490854092
R3_spearman,seed,11,all,-,835,,,0.15093635660763427
R3_spearman,seed,12,all,-,764,,,0.26041104178834706
R3_spearman,seed,13,all,-,690,,,0.22026432755993294
R3_spearman,seed,14,all,-,527,,,0.1799489345150993
R3_spearman,seed,15,all,-,1097,,,0.21432430893527651
R3_spearman,seed,16,all,-,590,,,0.17969180889072028
R3_spearman,seed,17,all,-,709,,,0.17719536121368309
R3_spearman,seed,18,all,-,1059,,,0.24461487102080101
R3_spearman,seed,19,all,-,881,,,0.20103111309532584
R3_spearman,pooled,-1,all,-,15582,,,0.20612058297038915
