arm,iv,bin,window,mean_median,mean_min,mean_max,mean_n_down,star_median,star_min,star_max,star_n_down,star_W_median,star_W_min,star_W_max,star_W_n_down,bias_median,bias_min,bias_max,bias_n_down
SNA,l2,2-6,100-625,-0.0040380822174165415,-0.02776954878406372,0.03557721598773809,2,0.0003166515753298807,-0.0031642545465240617,0.012835257709978625,1,-0.001655571296341092,-0.005043889700211633,0.011261443015179841,2,0.001879635153687559,0.001573814694798785,0.0019722228716709646,0
SNA,l2,2-6,20-100,0.130732678527401,0.12176802263294546,0.13843505613108076,0,0.04652639522978018,0.045823236560641474,0.050579491298520796,0,0.04534359409702039,0.04463923003252752,0.0485980677022368,0,0.0011840065281139684,0.0011828011327597774,0.001981423596284003,0
SNA,l2,7-11,0-100,-0.12097941911867025,-0.13378479115826147,-0.10567536808832859,3,-0.04085109817194267,-0.04810760066506304,-0.030802826298878584,3,-0.04101211970376413,-0.04851822849065614,-0.03138232361983444,3,0.000410627825593109,0.00016102153182146126,0.0005794973209558533,0
SNA,l2,7-11,0-20,-0.19038799681408744,-0.2295330983249868,-0.1828980950822508,3,-0.06346288009437259,-0.09253029053738313,-0.05959133752946803,3,-0.062463181416995875,-0.09094288976369745,-0.05844874169659166,3,-0.0011425958328763954,-0.0015874007736856582,-0.0009996986773767283,3
SNA,l2,7-11,0-625,-0.0708147234748175,-0.08153672101564816,-0.062362534110747624,3,0.0006699507800901228,-0.010793350568411918,0.000977868760019801,1,-0.0011704185976025682,-0.01173047566884598,-0.0010324390651506531,3,0.0018403693776926967,0.0009371251004340594,0.0020103078251704574,0
SNA,l2,7-11,100-625,0.0394426981030221,0.034860644613511085,0.07142225704751384,0,0.03147277707896871,0.03005774760353075,0.04908546942508284,0,0.030211905022231866,0.02928164403491814,0.04748578942550548,0,0.0012608720567368434,0.0007761035686125982,0.0015996799995773483,0
SNA,l2,7-11,20-100,0.06940857769541718,0.04911330392398933,0.12385773023665822,0,0.028788511230589453,0.01535527942930956,0.051679192365440454,0,0.02706641807675722,0.013944952926339732,0.049930770059933335,0,0.0017220931538322486,0.0014103265029698372,0.0017484223055071195,0
SNA,none,12-20,0-100,-0.07045553675425778,-0.07554561280473035,-0.05049649444234894,3,-0.010148516963634576,-0.017923378378581576,-0.00387848848208594,3,-0.010434517543975508,-0.018420137816796214,-0.004240651788568238,3,0.00036216330648231737,0.00028600058034094735,0.0004967594382146165,0
SNA,none,12-20,0-20,-0.12062751121676868,-0.12732830144714752,-0.11171917163253399,3,-0.03681018474053784,-0.046153295901882246,-0.03563062929712402,3,-0.03625219747114856,-0.04546499716516475,-0.03501373417458799,3,-0.0006168951225360311,-0.0006882987367175197,-0.0005579872693892364,3
SNA,none,12-20,0-625,-0.013337068297679543,-0.018603780814917772,-0.0118750269473076,3,-0.007472533239767746,-0.008080938573169974,-0.0022541007243305706,3,-0.008103404712816144,-0.009118561590627183,-0.0034375996415815604,3,0.0010376230174572103,0.0006308714730483997,0.0011834989172509974,0
SNA,none,12-20,100-625,0.05185175593934001,0.038621467495041334,0.06220854450705081,0,0.007894416239304005,-0.003594044757681806,0.0098424398054116,1,0.006996917902393947,-0.0038627529242479066,0.00930157622616903,1,0.0005408635792425937,0.0002687081665660823,0.00089749833691005,0
SNA,none,12-20,20-100,0.056872764692889745,0.04508189841203832,0.06122267719018505,0,0.028229917523300667,0.025482112333489442,0.0329316962584519,0,0.027044859348368533,0.02457921663061248,0.03201154568258032,0,0.0009201505758715538,0.0009028957028769784,0.0011850581749321364,0
SNA,none,2-6,0-100,-0.18521650577895127,-0.19462995508257816,-0.15672869288279145,3,-0.07284903572151931,-0.07672988328254221,-0.06849525357367481,3,-0.07170872102248509,-0.07539308927300814,-0.06769556584250776,3,-0.0011403146990342067,-0.0013367940095340603,-0.0007996877311670688,3
SNA,none,2-6,0-20,-0.32423288930244576,-0.3433909912172471,-0.30066013502823574,3,-0.12204405776949916,-0.1386047485598247,-0.11533027832581255,3,-0.11958801736941879,-0.13618206749181994,-0.11310481379534876,3,-0.0024226810680047493,-0.002456040400080383,-0.0022254645304637965,3
SNA,none,2-6,0-625,-0.1763220390199883,-0.20819275386060263,-0.16704359040750005,3,-0.10073026324472231,-0.1105941268586782,-0.09557606521331644,3,-0.10013700489567201,-0.10980263081508992,-0.09570391875582451,3,-0.000593258349050302,-0.0007914960435882678,0.00012785354250809157,2
SNA,none,2-6,100-625,-0.01031489752470861,-0.02297624808165134,0.018307916062589878,2,-0.02708081163964162,-0.03774509113715889,-0.024000379962180095,3,-0.02800835291331676,-0.03809390979260483,-0.024743915622663863,3,0.0007435356604837581,0.0003488186554459389,0.0009275412736751605,0
SNA,none,2-6,20-100,0.14393144214544434,0.1296029342198676,0.15817448543829576,0,0.04919502204797986,0.04683502475213775,0.061874865277282476,0,0.04787929634693371,0.045409247952841,0.060788978218811775,0,0.0013157257010461762,0.0010858870584706895,0.0014257767992967275,0
SNA,none,7-11,0-100,-0.06898640209436366,-0.09798555260745964,-0.047312094976767936,3,-0.016104831767023854,-0.02486989238831335,-0.010370760524627242,3,-0.01659867004178798,-0.025634767396033986,-0.010540139629079903,3,0.0004938382747641301,0.00016937910445267334,0.0007648750077205478,0
SNA,none,7-11,0-20,-0.1389379450855431,-0.14325191120744393,-0.07053282191084131,3,-0.04227735142783887,-0.05044797293533625,-0.03304915225519084,3,-0.04160200788588656,-0.04936537759508351,-0.03276501645521943,3,-0.0006753435419523158,-0.0010825953402527374,-0.0002841357999714092,3
SNA,none,7-11,0-625,-0.05177915518324301,-0.10355074739213185,-0.04990281809239812,3,-0.04415896219942191,-0.048122562811482625,-0.03383008793426527,3,-0.045000458185052813,-0.049040269527327894,-0.033864907651667844,3,0.0008414959856308999,3.48197174025699e-05,0.0009177067158452701,0
SNA,none,7-11,100-625,-0.004467060206475071,-0.005565194784672234,0.019083584001965546,2,-0.02345932740963803,-0.028054130432398062,-0.023252670423169274,3,-0.023405502131293908,-0.028401788143264838,-0.023324768022587938,3,0.00015283170812472238,-0.00013455938705010342,0.00034765771086676977,1
SNA,none,7-11,20-100,0.040952392478083466,0.023220726934073378,0.07426550911308027,0,0.02617251966081502,0.008179259866877486,0.04007721241070901,0,0.025003337844098583,0.007130249059185445,0.03882523796600361,0,0.0011691818167164458,0.001049010807691957,0.0012519744447054108,0
