arm,iv,seed,task,bin,window,mean,star,star_W,bias
LR,l2,0,11,7-11,100-625,0.023904015914330473,0.033517856726465456,0.033251496326919344,0.0002663603995460978
LR,l2,0,11,7-11,0-625,-0.0983356991703396,-0.00022511411976657014,-0.0011600961820840139,0.0009349820623174299
LR,l2,0,12,12-20,0-20,-0.14674607724935607,-0.045459726977539916,-0.04447252277718455,-0.000987204200355335
LR,l2,0,12,12-20,20-100,-0.017077306888554772,-0.010375270314218143,-0.011096188887424446,0.0007209185732062889
LR,l2,0,12,12-20,0-100,-0.16382338413791087,-0.05583499729175806,-0.055568711664609,-0.000266285627149046
LR,l2,0,12,12-20,100-625,0.10466141981651042,0.06410396161308637,0.06392804693657567,0.00017591467651072862
LR,l2,0,12,12-20,0-625,-0.05916196432140043,0.008268964321328315,0.008359335271966667,-9.03709506383174e-05
LR,l2,0,13,12-20,0-20,-0.1391340263159779,-0.04195319241700063,-0.041516886743789755,-0.0004363056732108808
LR,l2,0,13,12-20,20-100,0.0020605372408333267,-0.005206179979065889,-0.0057747812807043275,0.0005686013016384106
LR,l2,0,13,12-20,0-100,-0.13707348907514458,-0.04715937239606652,-0.04729166802449408,0.0001322956284275298
LR,l2,0,13,12-20,100-625,0.06463666560005621,0.04505604814044635,0.04414416403485663,0.0009118841055897053
LR,l2,0,13,12-20,0-625,-0.07243682347508837,-0.0021033242556201676,-0.0031475039896374513,0.0010441797340172351
LR,l2,0,14,12-20,0-20,-0.2910867482710777,-0.0886135619928977,-0.08677671291494368,-0.0018368490779539573
LR,l2,0,14,12-20,20-100,0.07717995028414648,0.02993310238089475,0.02828282042414068,0.0016502819567540475
LR,l2,0,14,12-20,0-100,-0.21390679798693127,-0.05868045961200295,-0.058493892490803,-0.0001865671211999098
LR,l2,0,14,12-20,100-625,0.08180835530138342,0.04915212449485483,0.04914487532862624,7.2491662285734115e-06
LR,l2,0,14,12-20,0-625,-0.13209844268554785,-0.009528335117148123,-0.00934901716217676,-0.0001793179549713364
LR,l2,0,15,12-20,0-20,-0.3848305694423332,-0.1410400703470343,-0.13884408936183648,-0.0021959809851978193
LR,l2,0,15,12-20,20-100,0.21814324369416627,0.09132320976576783,0.0884861415501732,0.0028370682155946236
LR,l2,0,15,12-20,0-100,-0.16668732574816694,-0.049716860581266495,-0.05035794781166328,0.0006410872303968043
LR,l2,0,15,12-20,100-625,0.025578605535619525,0.03476381756779526,0.035930499053278664,-0.00116668148548342
LR,l2,0,15,12-20,0-625,-0.14110872021254742,-0.014953043013471237,-0.014427448758384614,-0.0005255942550866158
LR,l2,0,16,12-20,0-20,-0.3529583137166395,-0.11835118002508993,-0.11619602092734299,-0.002155159097746946
LR,l2,0,16,12-20,20-100,0.08670108204466154,0.03361062068079493,0.032015035934111924,0.001595584746683018
LR,l2,0,16,12-20,0-100,-0.26625723167197796,-0.084740559344295,-0.08418098499323107,-0.0005595743510639281
LR,l2,0,16,12-20,100-625,0.18629888439961564,0.10529012462618312,0.10423367376991569,0.001056450856267474
LR,l2,0,16,12-20,0-625,-0.0799583472723623,0.020549565281888116,0.02005268877668462,0.0004968765052035459
LR,l2,0,17,12-20,0-20,-0.21329367405022992,-0.06633680379292714,-0.06516322222288953,-0.001173581570037642
LR,l2,0,17,12-20,20-100,0.10677016056680996,0.05593453334494543,0.053876828815511424,0.0020577045294339763
LR,l2,0,17,12-20,0-100,-0.10652351348341996,-0.010402270447981712,-0.01128639340737811,0.0008841229593963343
LR,l2,0,17,12-20,100-625,0.02251797660000332,0.03194709391423589,0.03404115123313595,-0.002094057318900014
LR,l2,0,17,12-20,0-625,-0.08400553688341664,0.02154482346625418,0.022754757825757838,-0.0012099343595036796
LR,l2,0,18,12-20,0-20,-0.20171368292410793,-0.06903980754500792,-0.06784278386733919,-0.0011970236776687668
LR,l2,0,18,12-20,20-100,0.03236322289002544,0.011574390568714787,0.009324816677547282,0.0022495738911675264
LR,l2,0,18,12-20,0-100,-0.1693504600340825,-0.057465416976293135,-0.05851796718979191,0.0010525502134987597
LR,l2,0,18,12-20,100-625,0.09487414933964991,0.06043390880413775,0.060489166927458274,-5.5258123320522934e-05
LR,l2,0,18,12-20,0-625,-0.07447631069443258,0.002968491827844616,0.0019711997376663654,0.0009972920901782367
LR,l2,0,19,12-20,0-20,-0.1367582812558386,-0.05862126855092224,-0.057594431214091454,-0.001026837336830795
LR,l2,0,19,12-20,20-100,0.08689139204889529,0.04113167548911793,0.03906281704326306,0.002068858445854853
LR,l2,0,19,12-20,0-100,-0.04986688920694331,-0.01748959306180431,-0.018531614170828395,0.0010420211090240578
LR,l2,0,19,12-20,100-625,-0.01588769153451855,0.015738185181967096,0.01544229428486213,0.00029589089710498756
LR,l2,0,19,12-20,0-625,-0.06575458074146186,-0.0017514078798372135,-0.0030893198859662657,0.0013379120061290453
LR,l2,0,20,12-20,0-20,-0.2468136547832979,-0.09044911623084055,-0.08881492940180771,-0.0016341868290328451
LR,l2,0,20,12-20,20-100,0.15732788293199668,0.06707341832764847,0.06508032875245895,0.0019930895751895175
LR,l2,0,20,12-20,0-100,-0.08948577185130122,-0.023375697903192078,-0.023734600649348764,0.0003589027461566724
LR,l2,0,20,12-20,100-625,0.03321588224712391,0.036101784520748845,0.036290110312936094,-0.0001883257921872425
LR,l2,0,20,12-20,0-625,-0.05626988960417731,0.012726086617556767,0.01255550966358733,0.0001705769539694299
LR,l2,1,2,2-6,0-20,-0.1946003542821247,-0.07831120574781511,-0.0766007791301685,-0.0017104266176465911
LR,l2,1,2,2-6,20-100,0.24846884309434947,0.08464033833220702,0.08234202355244294,0.0022983147797640407
LR,l2,1,2,2-6,0-100,0.05386848881222478,0.006329132584391911,0.005741244422274444,0.0005878881621174496
LR,l2,1,2,2-6,100-625,-0.029692483986953566,-0.07209963255949126,-0.07366307816098716,0.0015634456014959157
LR,l2,1,2,2-6,0-625,0.024176004825271213,-0.06577049997509934,-0.06792183373871272,0.0021513337636133653
LR,l2,1,3,2-6,0-20,-0.268315997069811,-0.11991400583504835,-0.11769759900667374,-0.002216406828374602
LR,l2,1,3,2-6,20-100,0.2570611894157273,0.08098784395021644,0.0791345764781828,0.0018532674720336227
LR,l2,1,3,2-6,0-100,-0.011254807654083737,-0.03892616188483192,-0.03856302252849095,-0.00036313935634097946
LR,l2,1,3,2-6,100-625,-0.06801251557087118,-0.0678654219066831,-0.06881169693377354,0.0009462750270904478
LR,l2,1,3,2-6,0-625,-0.07926732322495492,-0.10679158379151502,-0.10737471946226448,0.0005831356707494684
LR,l2,1,4,2-6,0-20,-0.43287908346859816,-0.16680371531174149,-0.16361090659925806,-0.003192808712483383
LR,l2,1,4,2-6,20-100,0.22802445720197473,0.0723969203837938,0.07040041003597672,0.0019965103478170945
LR,l2,1,4,2-6,0-100,-0.20485462626662343,-0.09440679492794767,-0.09321049656328136,-0.0011962983646662886
LR,l2,1,4,2-6,100-625,0.056957961120365254,0.005445617027519077,0.0045063798098382915,0.0009392372176807821
LR,l2,1,4,2-6,0-625,-0.14789666514625815,-0.08896117790042858,-0.08870411675344306,-0.0002570611469855065
LR,l2,1,5,2-6,0-20,-0.3188545269663317,-0.12576044645028314,-0.12326758110661766,-0.0024928653436654714
LR,l2,1,5,2-6,20-100,0.23803934866046578,0.08668646288651011,0.08443692094814698,0.00224954193836311
LR,l2,1,5,2-6,0-100,-0.08081517830586597,-0.03907398356377305,-0.038830660158470684,-0.00024332340530236127
LR,l2,1,5,2-6,100-625,0.12255753567009106,0.05058118854024364,0.047872235686089004,0.002708952854154633
LR,l2,1,5,2-6,0-625,0.04174235736422509,0.01150720497647059,0.009041575527618324,0.0024656294488522718
LR,l2,1,6,2-6,0-20,-0.3402806457939409,-0.12878570109764584,-0.12605050086551817,-0.002735200232127682
LR,l2,1,6,2-6,20-100,0.14848896495978128,0.050400514870067636,0.047901570828632015,0.0024989440414356044
LR,l2,1,6,2-6,0-100,-0.1917916808341596,-0.07838518622757822,-0.07814893003688615,-0.00023625619069207737
LR,l2,1,6,2-6,100-625,0.07096992767428117,0.016714720387123815,0.01512481131666138,0.0015899090704624558
LR,l2,1,6,2-6,0-625,-0.12082175315987843,-0.061670465840454394,-0.06302411872022477,0.0013536528797703784
LR,l2,1,7,7-11,0-20,-0.2969744468015237,-0.11086160906538678,-0.10869460603898003,-0.0021670030264067455
LR,l2,1,7,7-11,20-100,0.10819826306898273,0.036524081848897216,0.035289843642953955,0.0012342382059432541
LR,l2,1,7,7-11,0-100,-0.18877618373254093,-0.07433752721648956,-0.07340476239602607,-0.0009327648204634914
LR,l2,1,7,7-11,100-625,0.1552453877302883,0.08511116529608498,0.0830376224067464,0.002073542889338569
LR,l2,1,7,7-11,0-625,-0.03353079600225265,0.010773638079595416,0.009632860010720334,0.0011407780688750778
LR,l2,1,8,7-11,0-20,-0.10910379806054521,-0.034153719910330525,-0.03417391799682544,2.0198086494931794e-05
LR,l2,1,8,7-11,20-100,0.0662865742974962,0.02794636954958575,0.026784164760005877,0.001162204789579846
LR,l2,1,8,7-11,0-100,-0.04281722376304902,-0.006207350360744775,-0.007389753236819563,0.0011824028760747778
LR,l2,1,8,7-11,100-625,0.0042770983878583635,0.00511324507007007,0.004262553100097974,0.0008506919699721033
LR,l2,1,8,7-11,0-625,-0.03854012537519066,-0.0010941052906747045,-0.003127200136721589,0.002033094846046881
LR,l2,1,9,7-11,0-20,-0.2473416106385694,-0.07784915496041234,-0.07652508057565596,-0.001324074384756388
LR,l2,1,9,7-11,20-100,0.14383999658165256,0.058080967615529874,0.05589074598770495,0.0021902216278249405
LR,l2,1,9,7-11,0-100,-0.10350161405691685,-0.01976818734488247,-0.02063433458795101,0.0008661472430685525
LR,l2,1,9,7-11,100-625,0.10754328943605893,0.051332227615621076,0.04866857385377411,0.002663653761846945
LR,l2,1,9,7-11,0-625,0.004041675379142087,0.03156404027073861,0.028034239265823095,0.0035298010049154976
LR,l2,1,10,7-11,0-20,-0.20616125720668038,-0.0730965993220801,-0.07162097259736613,-0.0014756267247139493
LR,l2,1,10,7-11,20-100,0.09534989173819097,0.027431010124965904,0.025213749224895957,0.0022172609000699617
LR,l2,1,10,7-11,0-100,-0.11081136546848941,-0.04566558919711419,-0.046407223372470184,0.0007416341753560124
LR,l2,1,10,7-11,100-625,0.016715902200555022,0.009183120694074245,0.008047870287559877,0.001135250406514389
LR,l2,1,10,7-11,0-625,-0.09409546326793439,-0.03648246850303995,-0.03835935308491031,0.0018768845818704014
LR,l2,1,11,7-11,0-20,-0.26987221138459483,-0.1047429193314832,-0.10214823785384339,-0.002594681477639825
LR,l2,1,11,7-11,20-100,0.12003610106737911,0.03908332702948192,0.03726275473728258,0.0018205722921993545
LR,l2,1,11,7-11,0-100,-0.14983611031721575,-0.06565959230200129,-0.06488548311656081,-0.0007741091854404705
LR,l2,1,11,7-11,100-625,0.09538206832999904,0.07045505153099951,0.06824635514142864,0.002208696389570837
LR,l2,1,11,7-11,0-625,-0.054454041987216706,0.004795459228998225,0.003360872024867831,0.0014345872041303664
LR,l2,1,12,12-20,0-20,-0.31837474413462125,-0.10623591485277581,-0.10407162019594403,-0.0021642946568317736
LR,l2,1,12,12-20,20-100,0.09430870682164488,0.03231153464042849,0.031069837811917883,0.0012416968285106147
LR,l2,1,12,12-20,0-100,-0.22406603731297636,-0.07392438021234732,-0.07300178238402615,-0.0009225978283211589
LR,l2,1,12,12-20,100-625,0.08595500832844466,0.058172360173454715,0.05755250071085079,0.0006198594626039208
LR,l2,1,12,12-20,0-625,-0.1381110289845317,-0.015752020038892603,-0.015449281673175358,-0.00030273836571723806
LR,l2,1,13,12-20,0-20,-0.256497580725015,-0.08832794134893306,-0.08745806914211098,-0.0008698722068220324
LR,l2,1,13,12-20,20-100,0.08673296667670063,0.0264273252494224,0.024903156335238374,0.001524168914183971
LR,l2,1,13,12-20,0-100,-0.16976461404831436,-0.061900616099510655,-0.0625549128068726,0.0006542967073619385
LR,l2,1,13,12-20,100-625,0.0520717863747657,0.030018839578365777,0.02891666708582813,0.001102172492537648
LR,l2,1,13,12-20,0-625,-0.11769282767354866,-0.03188177652114488,-0.03363824572104447,0.0017564691998995866
LR,l2,1,14,12-20,0-20,-0.2730951650731771,-0.08874860566889285,-0.08690103157271978,-0.0018475740961730464
LR,l2,1,14,12-20,20-100,0.09985216985159268,0.03819399168461421,0.03726037547786579,0.0009336162067484083
LR,l2,1,14,12-20,0-100,-0.17324299522158446,-0.05055461398427864,-0.04964065609485399,-0.0009139578894246381
LR,l2,1,14,12-20,100-625,0.06645327045907157,0.04685734827020259,0.04592564754049577,0.0009317007297067956
LR,l2,1,14,12-20,0-625,-0.10678972476251289,-0.0036972657140760534,-0.003715008554358218,1.77428402821575e-05
LR,l2,1,15,12-20,0-20,-0.22319513051648154,-0.07592804113541575,-0.0742162214428427,-0.0017118196925730508
LR,l2,1,15,12-20,20-100,0.14618454128613412,0.04949697733060748,0.04774486066734246,0.001752116663265045
LR,l2,1,15,12-20,0-100,-0.07701058923034743,-0.026431063804808266,-0.026471360775500247,4.029697069199423e-05
LR,l2,1,15,12-20,100-625,-0.011332458639576493,0.018623938137220228,0.01927863243899497,-0.0006546943017747275
LR,l2,1,15,12-20,0-625,-0.08834304786992392,-0.0078071256675880385,-0.007192728336505277,-0.0006143973310827333
LR,l2,1,16,12-20,0-20,-0.22243905675301912,-0.08511869837670351,-0.08370133157843493,-0.001417366798268628
LR,l2,1,16,12-20,20-100,0.0570933720544155,0.025608443902717215,0.023383527799421266,0.0022249161032959833
LR,l2,1,16,12-20,0-100,-0.1653456846986036,-0.05951025447398629,-0.06031780377901366,0.0008075493050273552
LR,l2,1,16,12-20,100-625,0.08985605083209167,0.061134622249883586,0.06039245619358588,0.0007421660562977189
LR,l2,1,16,12-20,0-625,-0.07548963386651195,0.0016243677758972924,7.465241457221827e-05,0.0015497153613250741
LR,l2,1,17,12-20,0-20,-0.32331788783791743,-0.10954041697491634,-0.10702809991430698,-0.002512317060609351
LR,l2,1,17,12-20,20-100,0.17944309133433572,0.07626308793807152,0.0738644870308901,0.0023986009071813932
LR,l2,1,17,12-20,0-100,-0.1438747965035817,-0.03327732903684483,-0.033163612883416876,-0.00011371615342795766
LR,l2,1,17,12-20,100-625,0.08266444484748142,0.051702053868538336,0.05249926791267992,-0.0007972140441415837
LR,l2,1,17,12-20,0-625,-0.06121035165610028,0.01842472483169351,0.019335655029263044,-0.0009109301975695414
LR,l2,1,18,12-20,0-20,-0.2741043061572891,-0.10145592410234262,-0.09965455957514227,-0.0018013645272003526
LR,l2,1,18,12-20,20-100,0.051568774199610645,0.02640694698526,0.02453339376490271,0.001873553220357281
LR,l2,1,18,12-20,0-100,-0.22253553195767845,-0.07504897711708262,-0.07512116581023956,7.21886931569285e-05
LR,l2,1,18,12-20,100-625,0.11348320351830835,0.05056767246277309,0.05129064745850634,-0.0007229749957332401
LR,l2,1,18,12-20,0-625,-0.10905232843937011,-0.024481304654309533,-0.02383051835173322,-0.0006507863025763116
LR,l2,1,19,12-20,0-20,-0.2705765292892995,-0.0887635754582518,-0.08730085923572936,-0.0014627162225224269
LR,l2,1,19,12-20,20-100,0.09405676813292141,0.027989512362045332,0.02568678909666139,0.0023027232653839713
LR,l2,1,19,12-20,0-100,-0.17651976115637807,-0.06077406309620646,-0.06161407013906797,0.0008400070428615444
LR,l2,1,19,12-20,100-625,0.051786576939382184,0.05380817481268908,0.053514908464672134,0.00029326634801691426
LR,l2,1,19,12-20,0-625,-0.12473318421699589,-0.00696588828351738,-0.008099161674395838,0.0011332733908784587
LR,l2,1,20,12-20,0-20,-0.2896360802086228,-0.11793714468031717,-0.11576135572990928,-0.0021757889504078753
LR,l2,1,20,12-20,20-100,0.09699047554441431,0.05064530994972671,0.048880961235521714,0.0017643487142049719
LR,l2,1,20,12-20,0-100,-0.1926456046642085,-0.06729183473059046,-0.06688039449438757,-0.0004114402362029035
LR,l2,1,20,12-20,100-625,0.055580668230333585,0.038894781570693426,0.037973301031875156,0.000921480538818284
LR,l2,1,20,12-20,0-625,-0.1370649364338749,-0.02839705315989703,-0.028907093462512412,0.0005100403026153805
LR,l2,2,2,2-6,0-20,-0.1913422441761774,-0.07769621968571824,-0.07638078168773588,-0.0013154379979823713
LR,l2,2,2,2-6,20-100,0.33397349534878396,0.12542307109982853,0.12263341136745792,0.0027896597323706362
LR,l2,2,2,2-6,0-100,0.14263125117260655,0.04772685141411029,0.046252629679722046,0.001474221734388265
LR,l2,2,2,2-6,100-625,-0.08728241863311453,-0.09697975871445974,-0.09794779343066637,0.000968034716206604
LR,l2,2,2,2-6,0-625,0.05534883253949202,-0.04925290730034945,-0.05169516375094432,0.002442256450594869
LR,l2,2,3,2-6,0-20,-0.18424664587675765,-0.07154073416851987,-0.070157954354799,-0.0013827798137208448
LR,l2,2,3,2-6,20-100,0.30731980521378,0.11060954610549882,0.10813771019626213,0.002471835909236688
LR,l2,2,3,2-6,0-100,0.12307315933702231,0.03906881193697895,0.037979755841463125,0.0010890560955158432
LR,l2,2,3,2-6,100-625,-0.05642190147106266,-0.05149650892448879,-0.05343279440162038,0.0019362854771316045
LR,l2,2,3,2-6,0-625,0.06665125786595966,-0.01242769698750984,-0.015453038560157256,0.0030253415726474477
LR,l2,2,4,2-6,0-20,-0.20518103187186712,-0.1014464311468939,-0.10007718194827908,-0.0013692491986148532
LR,l2,2,4,2-6,20-100,0.2804077688178478,0.09795021145169631,0.09531446829774545,0.0026357431539509
LR,l2,2,4,2-6,0-100,0.07522673694598064,-0.003496219695197589,-0.004762713650533629,0.0012664939553360469
LR,l2,2,4,2-6,100-625,-0.18362640901392435,-0.10586148858012429,-0.10543955698929759,-0.0004219315908267178
LR,l2,2,4,2-6,0-625,-0.10839967206794372,-0.10935770827532187,-0.11020227063983122,0.0008445623645093291
LR,l2,2,5,2-6,0-20,-0.31501701066277504,-0.1119324509621259,-0.10979007197507994,-0.002142378987045959
LR,l2,2,5,2-6,20-100,0.1498589029740869,0.04578879767206624,0.04447827061456288,0.0013105270575033516
LR,l2,2,5,2-6,0-100,-0.16515810768868816,-0.06614365329005965,-0.06531180136051706,-0.0008318519295426076
LR,l2,2,5,2-6,100-625,0.09620168373745691,0.019982364746356403,0.018164959414243717,0.0018174053321126857
LR,l2,2,5,2-6,0-625,-0.06895642395123125,-0.04616128854370326,-0.04714684194627334,0.000985553402570078
LR,l2,2,6,2-6,0-20,-0.3405134236397358,-0.1195761069396109,-0.11723134099241053,-0.0023447659472003585
LR,l2,2,6,2-6,20-100,0.1125563869528462,0.04349996956811901,0.04220004745021377,0.0012999221179052257
LR,l2,2,6,2-6,0-100,-0.2279570366868896,-0.07607613737149191,-0.07503129354219676,-0.0010448438292951327
LR,l2,2,6,2-6,100-625,0.11741625434064547,0.05617984675307481,0.0542082345174272,0.001971612235647624
LR,l2,2,6,2-6,0-625,-0.11054078234624413,-0.019896290618417092,-0.020823059024769566,0.0009267684063524913
LR,l2,2,7,7-11,0-20,-0.3488924577984861,-0.1294435016980762,-0.12689431057613293,-0.002549191121943295
LR,l2,2,7,7-11,20-100,0.2842033134867508,0.11914099108419934,0.11572272031618369,0.003418270768015645
LR,l2,2,7,7-11,0-100,-0.06468914431173528,-0.010302510613876869,-0.011171590259949231,0.0008690796460723502
LR,l2,2,7,7-11,100-625,0.022972760600592126,0.0009138959017050141,0.00028077378339866343,0.0006331221183063472
LR,l2,2,7,7-11,0-625,-0.04171638371114315,-0.009388614712171854,-0.010890816476550567,0.0015022017643786974
LR,l2,2,8,7-11,0-20,-0.5030207024129019,-0.188163423010621,-0.1844829157155545,-0.0036805072950664916
LR,l2,2,8,7-11,20-100,0.28292718429058383,0.12399445552360826,0.12117763583064639,0.0028168196929618736
LR,l2,2,8,7-11,0-100,-0.2200935181223181,-0.06416896748701273,-0.06330527988490811,-0.000863687602104618
LR,l2,2,8,7-11,100-625,0.062127673313031234,0.012433508286891687,0.010382018768984064,0.0020514895179076127
LR,l2,2,8,7-11,0-625,-0.15796584480928688,-0.05173545920012105,-0.05292326111592405,0.0011878019158029947
LR,l2,2,9,7-11,0-20,-0.44868066475510204,-0.1694858849998892,-0.16568941202960938,-0.0037964729702798655
LR,l2,2,9,7-11,20-100,0.25978405234545054,0.1009248361184984,0.09741446030806061,0.0035103758104378345
LR,l2,2,9,7-11,0-100,-0.18889661240965147,-0.06856104888139082,-0.06827495172154877,-0.000286097159842031
LR,l2,2,9,7-11,100-625,0.012530331564785002,0.019730237827339736,0.019207344621705424,0.0005228932056343186
LR,l2,2,9,7-11,0-625,-0.17636628084486647,-0.048830811054051085,-0.04906760709984334,0.00023679604579228755
LR,l2,2,10,7-11,0-20,-0.25557939231897203,-0.0908773493446988,-0.08961903436403917,-0.0012583149806596333
LR,l2,2,10,7-11,20-100,0.1595359264268252,0.06996786935707436,0.06790756769465162,0.002060301662422718
LR,l2,2,10,7-11,0-100,-0.09604346589214681,-0.020909479987624435,-0.021711466669387558,0.0008019866817630845
LR,l2,2,10,7-11,100-625,0.01346680618283988,0.021683255426994008,0.021468795647030664,0.00021445977996336144
LR,l2,2,10,7-11,0-625,-0.08257665970930693,0.0007737754393695728,-0.00024267102235689397,0.001016446461726446
LR,l2,2,11,7-11,0-20,-0.2240008976360779,-0.08002494168143753,-0.07847923118267938,-0.0015457104987581273
LR,l2,2,11,7-11,20-100,0.14738031443780228,0.06531926298037372,0.06206849585625543,0.0032507671241182833
LR,l2,2,11,7-11,0-100,-0.07662058319827561,-0.014705678701063818,-0.016410735326423953,0.001705056625360156
LR,l2,2,11,7-11,100-625,0.08831336581239696,0.06262746749294199,0.06025231042608824,0.0023751570668537197
LR,l2,2,11,7-11,0-625,0.01169278261412135,0.04792178879187817,0.043841575099664284,0.004080213692213876
LR,l2,2,12,12-20,0-20,-0.3039810193701901,-0.10599791255183277,-0.10408668324919175,-0.0019112293026410064
LR,l2,2,12,12-20,20-100,0.1619571852408675,0.06233525786857633,0.05936290860717694,0.0029723492613993596
LR,l2,2,12,12-20,0-100,-0.14202383412932262,-0.04366265468325645,-0.04472377464201481,0.0010611199587583532
LR,l2,2,12,12-20,100-625,0.030414466179894073,0.02669088665153703,0.025698964956587772,0.0009919216949492715
