task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
29,625,-0.8493844800273298,-0.8323321706323433,-0.8586322330860087,0.026300062453665306,1.8659655846180485,0.8844738003890328,-0.7745086550712585,SNA,none,0
30,0,-0.8605155440537928,-0.8323321706323433,-0.8586322330860087,0.026300062453665306,1.0616435426314488,0.949162433371638,-0.8493843674659729,SNA,none,0
30,20,-0.9699285427730857,-0.8679863676608183,-0.8932561663368359,0.025269798676017672,1.1567585807172804,1.0061930519476603,-0.8493843674659729,SNA,none,0
30,300,-0.8481946885308137,-0.8166273592430706,-0.8452915812092441,0.0286642219661735,1.698974716966454,1.1751618886270774,-0.8493843674659729,SNA,none,0
30,625,-0.7985737236652338,-0.8092819860504308,-0.8387051491505766,0.02942316310014576,1.9124810165647117,0.98564569411116,-0.8493843674659729,SNA,none,0
31,0,-0.8491911211702811,-0.8092819860504308,-0.8387051491505766,0.02942316310014576,1.0692250909672565,1.1769869164351976,-0.7985737323760986,SNA,none,0
31,20,-0.9789924671827976,-0.84744562835661,-0.8763451230665227,0.02889949470991269,1.1616850090067203,0.8639412268740049,-0.7985737323760986,SNA,none,0
31,300,-0.8494306604954102,-0.8050776902246234,-0.8349997350396534,0.029922044815029948,1.7457962588542615,1.1393392434858998,-0.7985737323760986,SNA,none,0
31,625,-0.8864396551627729,-0.8316333541326341,-0.8610430030745804,0.029409648941946216,1.9566961015819109,1.171417713404203,-0.7985737323760986,SNA,none,0
32,0,-0.7952445440439331,-0.8316333541326341,-0.8610430030745804,0.029409648941946216,1.0034518348341879,0.7042345360579059,-0.8864397406578064,SNA,none,0
32,20,-0.9410847756775677,-0.8760046125904976,-0.9043929707633126,0.02838835817281506,1.1340569151144408,0.9547772234749432,-0.8864397406578064,SNA,none,0
32,300,-0.8805784871737653,-0.8523858716354438,-0.8818112188302178,0.029425347194774076,1.6772875125445972,0.858307942815338,-0.8864397406578064,SNA,none,0
32,625,-0.863585599486412,-0.8612951079422025,-0.8899353970486088,0.028640289106406272,1.8783724718683472,0.8041686992058134,-0.8864397406578064,SNA,none,0
33,0,-0.8633319944645811,-0.8612951079422025,-0.8899353970486088,0.028640289106406272,1.04291158476124,1.159729214801282,-0.8635855317115784,SNA,none,0
33,20,-0.8960027736935661,-0.8745881927253216,-0.9032663553797178,0.028678162654396145,1.1692111654574469,1.1059326323495178,-0.8635855317115784,SNA,none,0
33,300,-0.7259189914869651,-0.8152951004719888,-0.8458880478356094,0.030592947363620625,1.6344330751944147,1.1458383035384763,-0.8635855317115784,SNA,none,0
33,625,-0.7736917816797336,-0.8516100347293448,-0.8828305537959003,0.031220519066555426,1.8359817136052852,1.1276091517616809,-0.8635855317115784,SNA,none,0
34,0,-0.7849848004639071,-0.8516100347293448,-0.8828305537959003,0.031220519066555426,1.0656749775094985,0.8462941117594684,-0.7736918926239014,SNA,none,0
34,20,-0.9202204185413274,-0.8903081938137827,-0.9208221230262486,0.030513929212465884,1.250662980379949,0.9182639781975734,-0.7736918926239014,SNA,none,0
34,300,-0.853047630598513,-0.8673327908799755,-0.8974563888187757,0.03012359793880023,1.7886095289467447,0.9485587656099997,-0.7736918926239014,SNA,none,0
34,625,-0.8062979105817792,-0.8662373041690266,-0.8969347296285382,0.03069742545951158,2.0036227072966692,0.8671585147763337,-0.7736918926239014,SNA,none,0
35,0,-0.9072203948835452,-0.8662373041690266,-0.8969347296285382,0.03069742545951158,1.0969921796307822,1.49605335859757,-0.8062978386878967,SNA,none,0
35,20,-1.0598172129193018,-0.9266065120561149,-0.9561679147665023,0.029561402710387482,1.2080520353703645,1.1491478425441772,-0.8062978386878967,SNA,none,0
35,300,-0.9095703641422017,-0.8502924346611337,-0.8822270950254836,0.03193466036434984,1.7591019415787097,1.1245880171459874,-0.8062978386878967,SNA,none,0
35,625,-0.8179966848717888,-0.822114925738274,-0.8547552376693011,0.0326403119310271,1.9044302938459423,0.9381827658217438,-0.8062978386878967,SNA,none,0
36,0,-0.9708997071666183,-0.822114925738274,-0.8547552376693011,0.0326403119310271,1.2124720436126204,1.0066306563515044,-0.8179967403411865,SNA,none,0
36,20,-1.0827909044262538,-0.840971010602666,-0.8727373767300787,0.031766366127412765,1.2581867984239907,1.1673310091291245,-0.8179967403411865,SNA,none,0
36,300,-0.8654351071876711,-0.7766411488536946,-0.8100571153416499,0.0334159664879553,1.8069356413168536,1.1035263846566916,-0.8179967403411865,SNA,none,0
