arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3
SW3,4,0.001,38,none,0.1212583333,0.1258333325,0.1258333325,0,0,-6.83384943,4.572831631,-32.33301544,0.05988024548,0.1073658243,4.05740735,0.5625,0,-132.8309326,50.48141861,-273.0359192,-2.327578885e-12,-1.175907704e-28,1.000018118,0,0,-43.82595062,17.53919983,-113.1602859,-1.336740479e-05,1.080813017,0.6599999666,0,-150.4990997,60.23202896,-320.3742065,-5.579438647e-11,4.177093846,6.06977272,7.169556141,9.016542435,7.488354206,93.45672607
SW3,4,0.001,39,none,0.1121333333,0.1116666719,0.1116666719,0,0,-4.657069683,4.588514328,-29.85986137,0.1498893946,0.2242013663,4.40587305,0.5625,0,-172.6756134,61.48921204,-330.0170288,-4.985450529e-13,-4.999297118e-34,1.000108317,0,0,-47.84859467,17.35193634,-122.2294312,-2.894966656e-06,1.08966787,0.7699999809,0,-178.1212921,63.91428757,-372.053833,-6.170593984e-12,1.809240497,5.969671726,7.169556141,9.024372101,7.487690449,93.86021423
SW3,4,0.001,40,none,0.1071125,0.1091666669,0.1091666669,0,0,-4.316164494,4.183680534,-32.69733047,0.1257899702,0.2046346813,4.083969038,0.625,0,-161.7822876,62.77417374,-348.9293518,-7.438368226e-14,-1.032742225e-33,1.000027237,0,0,-56.87136841,20.90111732,-145.1262207,-2.178087612e-07,1.046254797,0.7999999523,0,-206.7915649,72.91132355,-436.7861938,-1.185951511e-12,1.004929175,5.766492844,7.169556141,9.02669239,7.4284935,94.41409302
SW3,4,0.001,41,none,0.1116270833,0.1116666719,0.1116666719,0,0,-3.61240077,3.933647156,-32.02224731,0.1335308403,0.2151509672,4.01409787,0.75,0,-193.3927917,75.64812469,-390.9806824,-4.726697109e-15,-4.307129051e-40,1.000283808,0.6699999571,0.1299999952,-84.04402924,30.30560684,-207.1138916,-1.298213895e-34,1.163523159,1,0.8199999928,-317.9796143,106.8526306,-640.2891846,0,1.000000694,5.897113323,7.169556141,9.030941963,7.428605556,94.50092316
SW3,4,0.001,42,none,0.1140125,0.1141666695,0.1141666695,0,0,-3.61240077,3.933647156,-32.02224731,0.1335308403,0.2151509672,4.014106664,0.75,0,-193.3924561,75.647995,-390.98526,-4.726168983e-15,-4.30754944e-40,1.00028382,0.6699999571,0.1299999952,-84.03886414,30.30355835,-207.1012878,-1.320445891e-34,1.163484084,1,0.8199999928,-317.9508362,106.8621674,-640.2727661,0,1.000000597,5.897113323,7.169556141,9.030941963,7.428605556,94.50092316
SW3,4,0.001,43,none,0.115,0.1150000021,0.1150000021,0,0,-3.61240077,3.933647156,-32.02224731,0.1335308403,0.2151509672,4.014152753,0.75,0,-193.3892822,75.64687347,-391.0215149,-4.723162017e-15,-4.311220842e-40,1.000283872,0.6699999571,0.1199999973,-83.99674988,30.28712273,-206.9983673,-1.515119005e-34,1.163152208,1,0.8199999928,-317.7658386,106.860611,-640.0234985,0,1.000000474,5.897113323,7.169556141,9.030941963,7.428605556,94.50092316
SW3,4,0.001,44,none,0.1129229167,0.113333337,0.113333337,0,0,-3.61240077,3.933647156,-32.02224731,0.1335308403,0.2151509672,4.014159986,0.75,0,-193.3888397,75.64671326,-391.0338135,-4.723156087e-15,-4.311346959e-40,1.000283904,0.6699999571,0.1199999973,-83.98334503,30.28174973,-206.9656219,-1.572358004e-34,1.16304678,1,0.8199999928,-317.6977234,106.8689117,-639.9624023,0,1.000000302,5.897113323,7.169556141,9.030941963,7.428605556,94.50092316
SW3,4,0.001,45,none,0.11978125,0.1200000048,0.1200000048,0,0,-3.61240077,3.933647156,-32.02224731,0.1335308403,0.2151509672,4.014309717,0.75,0,-193.3729706,75.64160919,-391.1385803,-4.716571677e-15,-4.340592058e-40,1.000283803,0.6699999571,0.1199999973,-83.85388184,30.23400497,-206.6492004,-2.561019696e-34,1.161999714,1,0.8199999928,-316.8239136,106.8409119,-639.1308594,0,1.000000064,5.897113323,7.169556141,9.030941963,7.428605556,94.50092316
SW3,4,0.001,46,none,0.1113458333,0.1116666719,0.1116666719,0,0,-3.553698063,3.997395277,-32.08546066,0.1487315744,0.2355358899,3.900971562,0.75,0,-204.2511749,75.77393341,-393.7449341,-1.062413944e-15,-4.459912622e-41,1.000301033,0.6599999666,0.4099999964,-102.6084518,36.18696594,-252.5006256,0,1.321268804,1,0.969999969,-370.8311157,126.5637512,-775.9644165,0,1.67037697,5.960321426,7.169556141,9.030941963,7.428605556,94.50159454
SW3,4,0.001,47,none,0.1181833333,0.1183333397,0.1183333397,0,0,-3.553698063,3.997395277,-32.08546066,0.1487315744,0.2355358899,3.900971562,0.75,0,-204.2511749,75.77393341,-393.7449341,-1.062413944e-15,-4.459912622e-41,1.000301033,0.6599999666,0.4099999964,-102.6084518,36.18696594,-252.5006256,0,1.321268413,1,0.969999969,-370.8378601,126.5649567,-775.9689941,0,1.677661848,5.960321426,7.169556141,9.030941963,7.428605556,94.50159454
SW3,4,0.001,48,none,0.1190020833,0.1191666722,0.1191666722,0,0,-3.553702831,3.997396231,-32.08546066,0.1487315744,0.2355358899,3.900972261,0.75,0,-204.251236,75.77391815,-393.7404785,-1.062477471e-15,-4.460192882e-41,1.00030102,0.6599999666,0.4099999964,-102.6130981,36.18885803,-252.5119781,0,1.32134041,1,0.969999969,-370.8578186,126.5779343,-776.0233765,0,1.730786739,5.960321426,7.169556141,9.030941963,7.428605556,94.50159454
SW3,4,0.001,49,none,0.1225,0.1225000024,0.1225000024,0,0,-3.553722382,3.997398615,-32.08546066,0.1487372518,0.2355402708,3.90098007,0.75,0,-204.2513885,75.77389526,-393.7296753,-1.062758263e-15,-4.462995479e-41,1.000300991,0.6599999666,0.4099999964,-102.6241684,36.20201111,-252.539093,0,1.32150897,1,0.969999969,-370.9966125,126.6065826,-776.1991577,0,1.967293474,5.96032095,7.169556141,9.030941963,7.428605556,94.50159454
SW3,4,0.001,50,none,0.1177270833,0.1183333397,0.1183333397,0,0,-3.553729296,3.997399569,-32.08546066,0.1487429291,0.2355463505,3.900990095,0.75,0,-204.2515869,75.77385712,-393.7174377,-1.063270506e-15,-4.466638855e-41,1.000300967,0.6599999666,0.4099999964,-102.6366196,36.20700073,-252.5695343,0,1.321715903,1,0.969999969,-371.0549011,126.6357193,-776.3314209,0,1.999191137,5.96032095,7.169556141,9.030941963,7.428605556,94.50159454
