arm,seed,U,floor_mean,floor_sd,A_late,A_minus_U,AT_FLOOR,E1,E2,delta_E1,delta_E2,early_A,early_mid,early_below
cap1,5,0.11504644145206726,0.112875,0.005616099195655166,0.10986135416666666,-0.005185087285400597,True,-0.8721948958333333,-0.34051879094821885,0.008633541666666633,0.00037491838922648624,0.9301604166666667,0.5157260416666667,False
cap1,6,0.11716376477969387,0.11575,0.0036564850664177035,0.12135010416666665,0.004186339386972784,False,-0.8620873958333333,-0.35353392673297274,0.020324583333333424,0.0011327022313785129,0.9184375,0.5132614583333334,False
cap1,7,0.11544056387292646,0.1135,0.005018969862385325,0.11015145833333334,-0.0052891055395931225,True,-0.8729464583333333,-0.3363574290260217,0.01052302083333334,0.00042349745579051135,0.9321291666666667,0.5191322916666666,False
cap1,8,0.115151077398614,0.11370833333333333,0.0037314355295396855,0.12402208333333334,0.008871005934719345,False,-0.8581716666666667,-0.33754564781760155,0.024223854166666614,0.0013024954127714428,0.9265354166666666,0.5087125,False
cap1,9,0.11598354265767247,0.1145,0.003836954811073777,0.1159153125,-6.823015767246088e-05,True,-0.8669617708333334,-0.355740570821655,0.015458333333333352,0.0007998482768289961,0.9490208333333333,0.5211510416666667,False
cap2,0,0.11513167821154917,0.11366666666666667,0.003789026939228438,0.3050627083333333,0.18993103012178414,False,-0.6781039583333333,-0.31366560667185867,0.20579885416666666,0.028493869519270187,0.9414020833333333,0.510090625,False
cap2,1,0.11510210653129585,0.11325,0.00479018855920605,0.10134010416666667,-0.013762002364629183,True,-0.8811390625,-0.34187765556007316,0.001358020833333362,3.295008962278523e-05,0.9544083333333333,0.5297552083333333,False
cap2,2,0.11890073398889311,0.11645833333333333,0.006316893482943477,0.17770375,0.05880301601110688,False,-0.8050441666666668,-0.3724825361822447,0.07348437499999994,0.009333709740286078,0.9403041666666667,0.5170364583333333,False
cap2,3,0.11623959348302154,0.11466666666666667,0.004068133183948036,0.1656634375,0.04942384401697847,False,-0.8170469791666667,-0.35764141755180984,0.06491875000000003,0.007612279540852029,0.9404333333333333,0.5132541666666667,False
cap2,4,0.11432112515906338,0.11291666666666667,0.0036324157862838934,0.14394375,0.029622624840936626,False,-0.838625,-0.36275669937595306,0.04144145833333335,0.005263848165056317,0.944125,0.5163864583333333,False
cap2,5,0.11504644145206726,0.112875,0.005616099195655166,0.3318448958333333,0.21679845438126605,False,-0.6502113541666666,-0.30822388808212364,0.2306170833333333,0.032669821255321696,0.9349875,0.5157260416666667,False
cap2,6,0.11716376477969387,0.11575,0.0036564850664177035,0.32072666666666666,0.2035629018869728,False,-0.6627108333333334,-0.3225096273189365,0.21970114583333333,0.03215700164541474,0.9441916666666667,0.5132614583333334,False
cap2,7,0.11544056387292646,0.1135,0.005018969862385325,0.32575604166666666,0.2103154777937402,False,-0.657341875,-0.30706682739359864,0.22612760416666666,0.029714099088213597,0.9401229166666667,0.5191322916666666,False
cap2,8,0.115151077398614,0.11370833333333333,0.0037314355295396855,0.3003934375,0.18524236010138603,False,-0.6818003125,-0.31303308488200543,0.20059520833333333,0.02581505834836756,0.92788125,0.5087125,False
cap2,9,0.11598354265767247,0.1145,0.003836954811073777,0.3371838541666667,0.22120031150899422,False,-0.6456932291666666,-0.31801628723228925,0.23672687500000011,0.038524131866194744,0.9506583333333334,0.5211510416666667,False
cap12,0,0.11513167821154917,0.11366666666666667,0.003789026939228438,0.8692794791666667,0.7541478009551176,False,-0.11388718749999993,-0.21290360533604874,0.770015625,0.1292558708550801,0.94559375,0.510090625,False
cap12,1,0.11510210653129585,0.11325,0.00479018855920605,0.8402827083333333,0.7251806018020375,False,-0.1421964583333334,-0.22374960865396082,0.7403006249999999,0.11816099699573512,0.95901875,0.5297552083333333,False
cap12,2,0.11890073398889311,0.11645833333333333,0.006316893482943477,0.8623704166666667,0.7434696826777736,False,-0.12037750000000003,-0.24162332767078698,0.7581510416666667,0.1401929182517438,0.9460166666666666,0.5170364583333333,False
cap12,3,0.11623959348302154,0.11466666666666667,0.004068133183948036,0.8549388541666667,0.7386992606836451,False,-0.1277715625,-0.23239482433770114,0.7541941666666667,0.13285887275496072,0.9486104166666667,0.5132541666666667,False
cap12,4,0.11432112515906338,0.11291666666666667,0.0036324157862838934,0.8634298958333333,0.74910877067427,False,-0.1191388541666667,-0.2271325905515429,0.7609276041666666,0.1408879569894665,0.9442041666666666,0.5163864583333333,False
cap12,5,0.11504644145206726,0.112875,0.005616099195655166,0.8652833333333333,0.7502368918812661,False,-0.11677291666666667,-0.20935238044643406,0.7640555208333333,0.13154132889101128,0.9514291666666667,0.5157260416666667,False
cap12,6,0.11716376477969387,0.11575,0.0036564850664177035,0.871468125,0.7543043602203061,False,-0.11196937499999993,-0.21982236775134828,0.7704426041666668,0.13484426121300297,0.945475,0.5132614583333334,False
cap12,7,0.11544056387292646,0.1135,0.005018969862385325,0.8552982291666666,0.7398576652937402,False,-0.12779968750000004,-0.20308337107831825,0.7556697916666666,0.13369755540349398,0.9499229166666666,0.5191322916666666,False
cap12,8,0.115151077398614,0.11370833333333333,0.0037314355295396855,0.8603540625,0.745202985101386,False,-0.12183968749999996,-0.20494708254817431,0.7605558333333333,0.13390106068219867,0.9445645833333334,0.5087125,False
cap12,9,0.11598354265767247,0.1145,0.003836954811073777,0.8550303125000001,0.7390467698423275,False,-0.1278467708333333,-0.228221031552842,0.7545733333333334,0.12831938754564198,0.9546625,0.5211510416666667,False
cap12_bfix,0,0.11513167821154917,0.11366666666666667,0.003789026939228438,0.7932427083333333,0.6781110301217842,False,-0.1899239583333333,-0.24925795362431122,0.6939788541666666,0.09290152256681763,0.9443625,0.510090625,False
cap12_bfix,1,0.11510210653129585,0.11325,0.00479018855920605,0.7768736458333333,0.6617715393020375,False,-0.2056055208333334,-0.25316378836851783,0.6768915624999999,0.08874681728117811,0.9589645833333333,0.5297552083333333,False
cap12_bfix,2,0.11890073398889311,0.11645833333333333,0.006316893482943477,0.8026966666666666,0.6837959326777735,False,-0.1800512500000001,-0.2880721634602552,0.6984772916666666,0.09374408246227556,0.9444583333333333,0.5170364583333333,False
cap12_bfix,3,0.11623959348302154,0.11466666666666667,0.004068133183948036,0.773443125,0.6572035315169784,False,-0.2092672916666667,-0.27082080917596146,0.6726984375,0.0944328879167004,0.9471375,0.5132541666666667,False
cap12_bfix,4,0.11432112515906338,0.11291666666666667,0.0036324157862838934,0.7974779166666667,0.6831567915076033,False,-0.18509083333333332,-0.2645878023236652,0.694975625,0.10343274521734419,0.9438791666666667,0.5163864583333333,False
cap12_bfix,5,0.11504644145206726,0.112875,0.005616099195655166,0.7915140625,0.6764676210479328,False,-0.19054218749999996,-0.2433749326464147,0.69028625,0.09751877669103065,0.9513291666666667,0.5157260416666667,False
cap12_bfix,6,0.11716376477969387,0.11575,0.0036564850664177035,0.8043578125,0.6871940477203062,False,-0.17907968749999992,-0.2552822605432721,0.7033322916666668,0.09938436842107917,0.946375,0.5132614583333334,False
cap12_bfix,7,0.11544056387292646,0.1135,0.005018969862385325,0.7915026041666666,0.6760620402937402,False,-0.19159531250000006,-0.2482616200254022,0.6918741666666666,0.08851930645641004,0.9520354166666667,0.5191322916666666,False
cap12_bfix,8,0.115151077398614,0.11370833333333333,0.0037314355295396855,0.7923990625,0.6772479851013861,False,-0.18979468749999995,-0.2527147680886039,0.6926008333333333,0.08613337514176911,0.9449875,0.5087125,False
cap12_bfix,9,0.11598354265767247,0.1145,0.003836954811073777,0.7619294791666666,0.6459459365089941,False,-0.2209476041666667,-0.26612230987127106,0.6614725,0.09041810922721294,0.9573854166666667,0.5211510416666667,False
