arm,seed,metric,arm_value,ref_value,difference
cap12,9,E1,-0.1278467708333333,-0.8824201041666667,0.7545733333333334
cap12,9,E2,-0.228221031552842,-0.356540419098484,0.12831938754564198
cap12_bfix,0,E1,-0.1899239583333333,-0.8839028124999999,0.6939788541666666
cap12_bfix,0,E2,-0.24925795362431122,-0.34215947619112885,0.09290152256681763
cap12_bfix,1,E1,-0.2056055208333334,-0.8824970833333333,0.6768915624999999
cap12_bfix,1,E2,-0.25316378836851783,-0.34191060564969594,0.08874681728117811
cap12_bfix,2,E1,-0.1800512500000001,-0.8785285416666667,0.6984772916666666
cap12_bfix,2,E2,-0.2880721634602552,-0.3818162459225308,0.09374408246227556
cap12_bfix,3,E1,-0.2092672916666667,-0.8819657291666667,0.6726984375
cap12_bfix,3,E2,-0.27082080917596146,-0.36525369709266187,0.0944328879167004
cap12_bfix,4,E1,-0.18509083333333332,-0.8800664583333333,0.694975625
cap12_bfix,4,E2,-0.2645878023236652,-0.3680205475410094,0.10343274521734419
cap12_bfix,5,E1,-0.19054218749999996,-0.8808284375,0.69028625
cap12_bfix,5,E2,-0.2433749326464147,-0.34089370933744534,0.09751877669103065
cap12_bfix,6,E1,-0.17907968749999992,-0.8824119791666667,0.7033322916666668
cap12_bfix,6,E2,-0.2552822605432721,-0.35466662896435125,0.09938436842107917
cap12_bfix,7,E1,-0.19159531250000006,-0.8834694791666666,0.6918741666666666
cap12_bfix,7,E2,-0.2482616200254022,-0.33678092648181224,0.08851930645641004
cap12_bfix,8,E1,-0.18979468749999995,-0.8823955208333333,0.6926008333333333
cap12_bfix,8,E2,-0.2527147680886039,-0.338848143230373,0.08613337514176911
cap12_bfix,9,E1,-0.2209476041666667,-0.8824201041666667,0.6614725
cap12_bfix,9,E2,-0.26612230987127106,-0.356540419098484,0.09041810922721294
