arm,seed,window,term,total,error,per_task,unit_median,delta,delta_error,signed_share,share_error
ref,2,1-10,self_rotation,-74.83794504092509,1.9474393798093894e-10,-8.315327226769455,-76.49747849187402,-782.2021980476813,1.993758379334922e-10,0.09567595850243715,2.7336630041717495e-13
ref,3,1-10,self,-102.61371159929067,1.2357725247066106e-10,-11.401523511032297,-96.85495649098544,-753.2951995425989,2.0436149042733776e-10,0.1362197869594785,2.0101910069506352e-13
ref,3,1-10,upstream,-545.6034648416869,2.0696778153971936e-09,-60.622607204631876,-529.2957731851941,-753.2951995425989,2.0436149042733776e-10,0.7242890505249171,2.944071833675285e-12
ref,3,1-10,cross,-104.83042610483261,2.7621280552370485e-10,-11.64782512275918,-104.03720960472782,-753.2951995425989,2.0436149042733776e-10,0.13916247729772563,4.0444157283383434e-13
ref,3,1-10,bias,-0.24759699678863398,3.5368162279868854e-15,-0.02751077742095933,-0.23454752564430237,-753.2951995425989,2.0436149042733776e-10,0.0003286852178786948,9.390064620980854e-17
ref,3,1-10,upstream_growth,-584.1752444755812,2.4705190766707137e-09,-64.9083604972868,-575.3737678295679,-753.2951995425989,2.0436149042733776e-10,0.775493119868934,3.4900857785115886e-12
ref,3,1-10,upstream_rotation,38.57177963389447,4.340383529727603e-09,4.285753292654942,34.45430725643594,-753.2951995425989,2.0436149042733776e-10,-0.05120406934401715,5.775759562287798e-12
ref,3,1-10,self_growth,-34.01928896741053,1.095581532781629e-10,-3.779920996378948,-16.128862730530873,-753.2951995425989,2.0436149042733776e-10,0.0451606342215735,1.5769518346629453e-13
ref,3,1-10,self_rotation,-68.59442263188015,2.062273944543548e-10,-7.62160251465335,-74.44306202040889,-753.2951995425989,2.0436149042733776e-10,0.09105915273790502,2.984805880513335e-13
ref,4,1-10,self,-102.57259727400246,1.6935013564557595e-10,-11.39695525266694,-99.50637924618164,-852.8421764614035,2.288397723689094e-10,0.12027148762693085,2.3085680888751765e-13
ref,4,1-10,upstream,-637.3490596140563,2.3020620081320015e-09,-70.81656217933958,-637.0960747861518,-852.8421764614035,2.288397723689094e-10,0.7473235695947085,2.8998919048612944e-12
ref,4,1-10,cross,-112.67488530690993,3.7021985454094657e-10,-12.51943170076777,-110.69635873094491,-852.8421764614035,2.288397723689094e-10,0.13211692434632913,4.695663299877487e-13
ref,4,1-10,bias,-0.24563426643493586,3.536013844100366e-15,-0.02729269627054843,-0.22580258548259735,-852.8421764614035,2.288397723689094e-10,0.00028801843203172346,8.146097726825576e-17
ref,4,1-10,upstream_growth,-671.7024743844393,2.75461604937236e-09,-74.63360826493769,-662.7959209561027,-852.8421764614035,2.288397723689094e-10,0.7876046622969027,3.441347034620965e-12
ref,4,1-10,upstream_rotation,34.35341477038299,4.823976966030637e-09,3.81704608559811,33.75878157277975,-852.8421764614035,2.288397723689094e-10,-0.040281092702194356,5.6671665983566846e-12
ref,4,1-10,self_growth,-49.27120225449741,1.3096707840151308e-10,-5.47457802827749,-26.352323743569286,-852.8421764614035,2.288397723689094e-10,0.05777294277228707,1.6907383295142312e-13
ref,4,1-10,self_rotation,-53.301395019505044,2.6022059099922327e-10,-5.922377224389449,-66.47894062694392,-852.8421764614035,2.288397723689094e-10,0.06249854485464377,3.2189855168735974e-13
ref,5,1-10,self,-99.57529180831929,1.223203886096496e-10,-11.063921312035477,-97.35775200038668,-796.5400517782596,2.1314676986673652e-10,0.12500977394171137,1.8702998408267524e-13
ref,5,1-10,upstream,-575.1338044017394,2.2795895310487473e-09,-63.90375604463772,-569.8206059980571,-796.5400517782596,2.1314676986673652e-10,0.7220400319077049,3.055155705995363e-12
ref,5,1-10,cross,-121.59223130612071,2.8013734816450236e-10,-13.510247922902302,-123.02044187721529,-796.5400517782596,2.1314676986673652e-10,0.15265049263331895,3.92557544770481e-13
ref,5,1-10,bias,-0.23872426207992248,3.408090588660709e-15,-0.026524918008880276,-0.21035593003034592,-796.5400517782596,2.1314676986673652e-10,0.00029970151726454357,8.450925284262427e-17
ref,5,1-10,upstream_growth,-609.0521778847205,2.7065580735436534e-09,-67.67246420941339,-604.8598122184333,-796.5400517782596,2.1314676986673652e-10,0.7646221637255074,3.602583987936086e-12
ref,5,1-10,upstream_rotation,33.91837348298109,4.757550664463565e-09,3.7687081647756764,39.81043381815532,-796.5400517782596,2.1314676986673652e-10,-0.042582131817802515,5.984169488238992e-12
ref,5,1-10,self_growth,-30.334273997268802,1.1837616851079537e-10,-3.3704748885854223,-17.096858400809147,-796.5400517782596,2.1314676986673652e-10,0.03808254704775755,1.5880771833242808e-13
ref,5,1-10,self_rotation,-69.2410178110505,2.135005748696906e-10,-7.693446423450055,-75.72318913417183,-796.5400517782596,2.1314676986673652e-10,0.08692722689395382,2.9130552729254156e-13
ref,6,1-10,self,-110.64102939895955,1.4299069096191382e-10,-12.293447710995505,-111.3265614403333,-774.1358008876075,2.0750151704573567e-10,0.14292199026592092,2.2303516280373246e-13
ref,6,1-10,upstream,-548.5840492729159,2.178550523932946e-09,-60.95378325254621,-548.4188318974147,-774.1358008876075,2.0750151704573567e-10,0.7086405881809382,3.0041956765453757e-12
ref,6,1-10,cross,-114.64626499394132,3.166270916374115e-10,-12.738473888215701,-110.9846169401171,-774.1358008876075,2.0750151704573567e-10,0.14809580549367485,4.4871962237061504e-13
ref,6,1-10,bias,-0.26445722179079895,3.755695494028639e-15,-0.029384135754533216,-0.2606893116608262,-774.1358008876075,2.0750151704573567e-10,0.0003416160594660239,9.645711597950241e-17
ref,6,1-10,upstream_growth,-581.5506962545531,2.5871336276600675e-09,-64.61674402828368,-571.9873811722932,-774.1358008876075,2.0750151704573567e-10,0.7512256836433086,3.543407576051453e-12
ref,6,1-10,upstream_rotation,32.966646981637325,4.565214013182139e-09,3.6629607757374805,44.497512650389986,-774.1358008876075,2.0750151704573567e-10,-0.042585095462370395,5.908593995890498e-12
ref,6,1-10,self_growth,-39.37033981632687,1.1907551808679748e-10,-4.3744822018140965,-28.770140727857427,-774.1358008876075,2.0750151704573567e-10,0.050857149057291606,1.6745488905949365e-13
ref,6,1-10,self_rotation,-71.27068958263267,2.2982438147020917e-10,-7.918965509181408,-77.55158160237647,-774.1358008876075,2.0750151704573567e-10,0.09206484120862932,3.2156617487302927e-13
ref,7,1-10,self,-114.51472060991294,1.3492375109262017e-10,-12.723857845545883,-112.5387212987444,-778.913401806747,2.0839572813725996e-10,0.14701855218344892,2.1257113130741607e-13
ref,7,1-10,upstream,-559.2280028691315,2.1188827816828497e-09,-62.13644476323683,-555.2338251018648,-778.913401806747,2.0839572813725996e-10,0.7179591486960695,2.9124733028949826e-12
ref,7,1-10,cross,-104.88812391596834,3.0088089049401044e-10,-11.654235990663148,-104.62846688374492,-778.913401806747,2.0839572813725996e-10,0.13465954453046078,4.223255223047114e-13
ref,7,1-10,bias,-0.28255441173445434,3.95394925642566e-15,-0.031394934637161594,-0.275281730806455,-778.913401806747,2.0839572813725996e-10,0.00036275459002123805,1.0217031294598592e-16
ref,7,1-10,upstream_growth,-607.1623818396495,2.5336827806424983e-09,-67.46248687107216,-598.8360938705634,-778.913401806747,2.0839572813725996e-10,0.7794992106070991,3.4614817109728583e-12
ref,7,1-10,upstream_rotation,47.93437897051785,4.427768123975523e-09,5.326042107835317,50.98400395561022,-778.913401806747,2.0839572813725996e-10,-0.06154006191102956,5.7010164691904156e-12
ref,7,1-10,self_growth,-32.957353913371314,1.1392668625836108e-10,-3.6619282125968127,-22.34559549667958,-778.913401806747,2.0839572813725996e-10,0.04231196155686153,1.5758873452753986e-13
ref,7,1-10,self_rotation,-81.55736669654162,2.204665911310557e-10,-9.061929632949068,-86.03983298543984,-778.913401806747,2.0839572813725996e-10,0.10470659062658738,3.110693068704791e-13
ref,8,1-10,self,-108.5389942530413,9.134264679717556e-11,-12.059888250337922,-96.37936242015817,-658.3689497960877,1.8032364052779317e-10,0.16486043925166635,1.8391349055667272e-13
ref,8,1-10,upstream,-436.1962861359893,2.0889180616955833e-09,-48.46625401510992,-433.8290827744379,-658.3689497960877,1.8032364052779317e-10,0.6625407930782421,3.354408280800981e-12
ref,8,1-10,cross,-113.4176729882023,2.1909348602790266e-10,-12.601963665355811,-114.64489955189416,-658.3689497960877,1.8032364052779317e-10,0.1722706895933206,3.7998535000830626e-13
ref,8,1-10,bias,-0.21599641885462917,3.152612693381214e-15,-0.023999602094958796,-0.2110399380326271,-658.3689497960877,1.8032364052779317e-10,0.00032807807677067444,9.46837275863256e-17
ref,8,1-10,upstream_growth,-457.4353137112729,2.438972051288771e-09,-50.82614596791921,-446.92903498227133,-658.3689497960877,1.8032364052779317e-10,0.6948008618160856,3.894946531804064e-12
ref,8,1-10,upstream_rotation,21.239027575283558,4.333475428298004e-09,2.359891952809284,22.373880531089508,-658.3689497960877,1.8032364052779317e-10,-0.0322600687378434,6.590977658784494e-12
ref,8,1-10,self_growth,-27.908475801576046,1.0550871822030011e-10,-3.1009417557306715,-24.222314871063958,-658.3689497960877,1.8032364052779317e-10,0.04239032811346883,1.71872921721488e-13
ref,8,1-10,self_rotation,-80.63051845146526,1.7531032543182916e-10,-8.958946494607252,-73.89202989061027,-658.3689497960877,1.8032364052779317e-10,0.12247011113819756,2.998372471470811e-13
ref,9,1-10,self,-104.47390186470841,1.5955290818942664e-10,-11.608211318300935,-90.34389721767606,-851.9179045922879,2.2576326864278784e-10,0.12263376705846754,2.1979900435279764e-13
ref,9,1-10,upstream,-626.9055422806243,2.2838551243997606e-09,-69.65617136451381,-625.4969305753292,-851.9179045922879,2.2576326864278784e-10,0.7358755331954782,2.875932501686486e-12
ref,9,1-10,cross,-120.29250068069481,3.5129642256722673e-10,-13.36583340896609,-118.78799000905389,-851.9179045922879,2.2576326864278784e-10,0.14120198675512588,4.49794513908946e-13
ref,9,1-10,bias,-0.24595976626034827,3.5038108881067507e-15,-0.027328862917816475,-0.23964982014149427,-851.9179045922879,2.2576326864278784e-10,0.0002887129909284628,8.06555491661112e-17
ref,9,1-10,upstream_growth,-655.2585800461419,2.7334625501242514e-09,-72.80650889401576,-654.9736667038981,-851.9179045922879,2.2576326864278784e-10,0.7691569534035518,3.4125150682592204e-12
ref,9,1-10,upstream_rotation,28.353037765517684,4.794552878057058e-09,3.150337529501965,31.589881647940757,-851.9179045922879,2.2576326864278784e-10,-0.03328142020807383,5.636775236444055e-12
ref,9,1-10,self_growth,-50.003442739058244,1.272869857599287e-10,-5.555938082117582,-24.718151505928244,-851.9179045922879,2.2576326864278784e-10,0.05869514241866881,1.6497334274300084e-13
ref,9,1-10,self_rotation,-54.47045912565014,2.512134513689961e-10,-6.052273236183349,-67.19433355014641,-851.9179045922879,2.2576326864278784e-10,0.0639386246397987,3.118310934234884e-13
ref,0,1-50,self,-104.67830256778448,1.213989839047709e-10,-2.136291889138459,-105.84324147085955,-761.4427616800077,2.0212488003450552e-10,0.13747363273482005,1.9594046271610912e-13
ref,0,1-50,upstream,-546.7687885916872,1.573514250731889e-08,-11.1585467059528,-535.2860721197561,-761.4427616800077,2.0212488003450552e-10,0.7180694546039481,2.0855596392017236e-11
ref,0,1-50,cross,-109.75277403010949,2.4905854201401437e-10,-2.2398525312267243,-113.2348724539062,-761.4427616800077,2.0212488003450552e-10,0.14413791758681463,3.653650678963775e-13
ref,0,1-50,bias,-0.24289649042650127,6.941531121786265e-15,-0.004957071233193904,-0.2287452444434166,-761.4427616800077,2.0212488003450552e-10,0.0003189950744171329,9.382890322571372e-17
ref,0,1-50,upstream_growth,-568.9465555415204,1.6647048987498524e-08,-11.611154194724906,-561.834922602406,-761.4427616800077,2.0212488003450552e-10,0.7471954350005591,2.2060934565664327e-11
ref,0,1-50,upstream_rotation,22.177766949833117,3.218884086338687e-08,0.45260748877210444,23.8085238599782,-761.4427616800077,2.0212488003450552e-10,-0.02912598039661083,4.228122195276105e-11
ref,0,1-50,self_growth,-29.428453465374517,7.017936534739029e-10,-0.6005806829668269,-24.846482844376137,-761.4427616800077,2.0212488003450552e-10,0.03864828053581481,9.319265156450516e-13
ref,0,1-50,self_rotation,-75.24984910240998,7.967887651257911e-10,-1.5357112061716323,-77.12544019386216,-761.4427616800077,2.0212488003450552e-10,0.09882535219900525,1.0726639257729943e-12
ref,1,1-50,self,-120.55478306027908,1.4286746501054642e-10,-2.460301695107736,-122.38696959964528,-797.6087463240533,2.1676028541615722e-10,0.15114526215501148,2.2021215320630675e-13
ref,1,1-50,upstream,-569.1509630868009,1.692157000542501e-08,-11.615325777281651,-562.6735632297339,-797.6087463240533,2.1676028541615722e-10,0.7135716172996498,2.1409378044072997e-11
ref,1,1-50,cross,-107.6290474189112,2.9231288894107807e-10,-2.1965111718145143,-106.40559783438891,-797.6087463240533,2.1676028541615722e-10,0.1349396529500738,4.0317310628209633e-13
ref,1,1-50,bias,-0.2739527580622962,7.927739159606458e-15,-0.005590872613516248,-0.27268700301647186,-797.6087463240533,2.1676028541615722e-10,0.0003434675952650529,1.0331918799316683e-16
ref,1,1-50,upstream_growth,-607.5212617493727,1.7895817750554232e-08,-12.398393096925973,-593.488333369635,-797.6087463240533,2.1676028541615722e-10,0.7616782846843912,2.2643917690960314e-11
ref,1,1-50,upstream_rotation,38.3702986625718,3.459471359058209e-08,0.7830673196443224,39.39123611923706,-797.6087463240533,2.1676028541615722e-10,-0.04810666738474138,4.3386115843122604e-11
ref,1,1-50,self_growth,-38.21578310839434,7.564942310442398e-10,-0.7799139409876396,-30.55360639024947,-797.6087463240533,2.1676028541615722e-10,0.0479129438894944,9.61479046933275e-13
ref,1,1-50,self_rotation,-82.3389999518847,8.690521385651753e-10,-1.680387754120096,-80.40755588235524,-797.6087463240533,2.1676028541615722e-10,0.10323231826551703,1.1176381288577371e-12
ref,2,1-50,self,-105.02604086267507,3.0829981457131133e-10,-2.1433885890341853,-109.097910318167,-1218.624443483643,3.146102901134818e-10,0.08618409176369421,2.7524958875627407e-13
ref,2,1-50,upstream,-1003.5667542912915,2.0349219644261084e-08,-20.480954169210033,-984.4769839549211,-1218.624443483643,3.146102901134818e-10,0.8235242282047347,1.6911215238713326e-11
ref,2,1-50,cross,-109.717082207046,5.876124222813206e-10,-2.239124126674408,-105.09035528754205,-1218.624443483643,3.146102901134818e-10,0.090033547902093,5.0544701219778e-13
ref,2,1-50,bias,-0.31456612263049466,9.06453364955391e-15,-0.006419716788377442,-0.24352223426103592,-1218.624443483643,3.146102901134818e-10,0.00025813212947809784,7.41085427347378e-17
ref,2,1-50,upstream_growth,-1034.0349368860243,2.1615545908537294e-08,-21.102753814000497,-1021.5801793426849,-1218.624443483643,3.146102901134818e-10,0.8485263383771143,1.7956816756779548e-11
ref,2,1-50,upstream_rotation,30.46818259473275,4.192867359848073e-08,0.6217996447904642,45.02811312692635,-1218.624443483643,3.146102901134818e-10,-0.025002110172379542,3.4413016353415233e-11
ref,2,1-50,self_growth,-54.63052044266492,9.384034699118152e-10,-1.1149085804625494,-21.773980896498053,-1218.624443483643,3.146102901134818e-10,0.044829660798936855,7.816299868275649e-13
ref,2,1-50,self_rotation,-50.39552042001011,1.1752546526817097e-09,-1.0284800085716348,-74.64574499728252,-1218.624443483643,3.146102901134818e-10,0.041354430964757306,9.750918616363517e-13
ref,3,1-50,self,-98.63607379238367,1.7703864398091638e-10,-2.0129810978037486,-96.866203408375,-942.1060693219912,2.529427331654351e-10,0.10469741890461383,2.1603941711633977e-13
ref,3,1-50,upstream,-738.7429440682189,1.8692469619718878e-08,-15.076386613637121,-714.2443520574836,-942.1060693219912,2.529427331654351e-10,0.7841398841638635,2.0051769898633868e-11
ref,3,1-50,cross,-104.45228394853349,3.4929043541014816e-10,-2.1316792642557854,-104.03720960472782,-942.1060693219912,2.529427331654351e-10,0.11087104451381471,4.005345780683783e-13
ref,3,1-50,bias,-0.27476751285488715,8.022250648133863e-15,-0.005607500262344636,-0.26292195823043585,-942.1060693219912,2.529427331654351e-10,0.0002916524177077323,8.685233892852693e-17
ref,3,1-50,upstream_growth,-785.0843718890554,1.98137940298693e-08,-16.022130038552152,-767.8649117421305,-942.1060693219912,2.529427331654351e-10,0.8333290671336614,2.1255213585480346e-11
ref,3,1-50,upstream_rotation,46.34142782083654,3.835222923985026e-08,0.9457434249150315,49.07599671886747,-942.1060693219912,2.529427331654351e-10,-0.049189182969797914,4.072224739915453e-11
ref,3,1-50,self_growth,-33.01465372221609,8.36144931419503e-10,-0.6737684433105324,-21.16096576398353,-942.1060693219912,2.529427331654351e-10,0.0350434572043208,8.969399647701684e-13
ref,3,1-50,self_rotation,-65.6214200701676,9.808510264900742e-10,-1.3392126544932164,-73.90609276495536,-942.1060693219912,2.529427331654351e-10,0.06965396170029305,1.0598347764581753e-12
ref,4,1-50,self,-85.25553040074865,4.2908954429818285e-10,-1.7399087836887481,-99.55468124550382,-1389.2252369469504,3.6532810543726856e-10,0.0613691200917942,3.250148801870017e-13
ref,4,1-50,upstream,-1186.9130651791418,2.38831227076237e-08,-24.222715615900853,-1175.2779376729322,-1389.2252369469504,3.6532810543726856e-10,0.8543705035099832,1.7416455874364544e-11
ref,4,1-50,cross,-116.69348097466633,8.163475497345274e-10,-2.381499611727884,-114.65964904960877,-1389.2252369469504,3.6532810543726856e-10,0.08399896422204317,6.097266773191859e-13
ref,4,1-50,bias,-0.36316039239405656,1.0065351245114438e-14,-0.007411436579470542,-0.3104090839624405,-1389.2252369469504,3.6532810543726856e-10,0.0002614121761796963,7.601854789373059e-17
ref,4,1-50,upstream_growth,-1224.068836377422,2.5402220828607925e-08,-24.980996660763715,-1215.3279666841051,-1389.2252369469504,3.6532810543726856e-10,0.8811161817557486,1.8516978059972114e-11
ref,4,1-50,upstream_rotation,37.155771198280306,4.9279724892197115e-08,0.7582810448628634,41.373479532841515,-1389.2252369469504,3.6532810543726856e-10,-0.02674567824576538,3.547984779891652e-11
ref,4,1-50,self_growth,-79.24814700803574,1.1108658043500302e-09,-1.6173091226129743,-29.115216894704318,-1389.2252369469504,3.6532810543726856e-10,0.05704485125982631,8.146372956662568e-13
ref,4,1-50,self_rotation,-6.007383392712925,1.4552938988263186e-09,-0.12259966107577398,-52.988359776361946,-1389.2252369469504,3.6532810543726856e-10,0.004324268831967905,1.0486955635226889e-12
ref,5,1-50,self,-79.0645635296942,2.2569563724811959e-10,-1.6135625210141673,-95.86939885161524,-1017.349323558671,2.746231007604509e-10,0.07771623934749144,2.4283408273468506e-13
ref,5,1-50,upstream,-815.5129375643321,1.924088528347309e-08,-16.643121174782287,-809.8347969931813,-1017.349323558671,2.746231007604509e-10,0.8016056222573397,1.912923594139625e-11
ref,5,1-50,cross,-122.47701636413377,4.443061494724148e-10,-2.4995309462068116,-123.86677674372821,-1017.349323558671,2.746231007604509e-10,0.12038835975799464,4.692401722303539e-13
ref,5,1-50,bias,-0.2948061005107593,8.19578837015188e-15,-0.006016451030831822,-0.2515926770865917,-1017.349323558671,2.746231007604509e-10,0.0002897786371740362,8.631098902189606e-17
ref,5,1-50,upstream_growth,-859.1703119889936,2.0433808075029918e-08,-17.53408799977538,-858.0125939284604,-1017.349323558671,2.746231007604509e-10,0.8445184874981094,2.0313403930421156e-11
ref,5,1-50,upstream_rotation,43.65737442466144,3.960186189377907e-08,0.8909668249930907,48.82772069667655,-1017.349323558671,2.746231007604509e-10,-0.04291286524076968,3.893810187662882e-11
ref,5,1-50,self_growth,-27.874665868374844,8.716276732364528e-10,-0.5688707320076499,-16.366682087402243,-1017.349323558671,2.746231007604509e-10,0.027399306435738048,8.641626136468775e-13
ref,5,1-50,self_rotation,-51.18989766131936,1.0500729009805053e-09,-1.0446917890065175,-64.29786302875345,-1017.349323558671,2.746231007604509e-10,0.050316932911753404,1.0457536577668155e-12
ref,6,1-50,self,-108.87683223113162,1.692695607067233e-10,-2.221976167982278,-116.25134277379317,-826.9340704799527,2.2034237356576223e-10,0.13166325601742287,2.397925661601558e-13
ref,6,1-50,upstream,-603.032559694162,1.7200375113313036e-08,-12.30678693253392,-599.2136361544481,-826.9340704799527,2.2034237356576223e-10,0.7292389819470878,2.0994568891669216e-11
ref,6,1-50,cross,-114.74680680676143,3.411813343970843e-10,-2.341771567484927,-111.003389465439,-826.9340704799527,2.2034237356576223e-10,0.1387617355518589,4.495753377384751e-13
ref,6,1-50,bias,-0.2778717478975887,8.022626559962506e-15,-0.005670851997909973,-0.26300623267889023,-826.9340704799527,2.2034237356576223e-10,0.0003360264836304445,9.927556795146513e-17
ref,6,1-50,upstream_growth,-636.7448625771112,1.819299803521478e-08,-12.994793113818597,-625.9568349423705,-826.9340704799527,2.2034237356576223e-10,0.7700068062349208,2.2205801539644237e-11
ref,6,1-50,upstream_rotation,33.71230288294917,3.520480577145495e-08,0.6880061812846768,36.82054070490281,-826.9340704799527,2.2034237356576223e-10,-0.04076782428783294,4.258355490542607e-11
ref,6,1-50,self_growth,-35.71055074720244,7.717729201615081e-10,-0.7287867499429069,-26.99290656323074,-826.9340704799527,2.2034237356576223e-10,0.043184277951537335,9.448059271283698e-13
ref,6,1-50,self_rotation,-73.16628148392914,9.063584984189729e-10,-1.49318941803937,-77.96238308622739,-826.9340704799527,2.2034237356576223e-10,0.08847897806588549,1.119632534923362e-12
ref,7,1-50,self,-115.81626681843875,1.6160986920443e-10,-2.363597282008954,-112.20498799221471,-832.6107363823498,2.2169417255705578e-10,0.1391001361832714,2.311529368730468e-13
ref,7,1-50,upstream,-611.4797213591718,1.7204724038240476e-08,-12.479177986921872,-606.1100345393301,-832.6107363823498,2.2169417255705578e-10,0.73441248669939,2.085921564036926e-11
ref,7,1-50,cross,-105.01993267918228,3.2621759488591424e-10,-2.14326393222821,-105.1301780234114,-832.6107363823498,2.2169417255705578e-10,0.12613329145320465,4.2539959508605714e-13
ref,7,1-50,bias,-0.2948155255569145,8.348717076136646e-15,-0.006016643378712541,-0.28183940052986145,-832.6107363823498,2.2169417255705578e-10,0.0003540856641338455,1.0434669252112592e-16
ref,7,1-50,upstream_growth,-654.0468034118178,1.8190160139008652e-08,-13.347893947179955,-645.8363492717715,-832.6107363823498,2.2169417255705578e-10,0.7855373163377847,2.2056383608438757e-11
ref,7,1-50,upstream_rotation,42.56708205264612,3.518560529420549e-08,0.8687159602580841,44.3243006524156,-832.6107363823498,2.2169417255705578e-10,-0.051124829638394854,4.2272988515429235e-11
ref,7,1-50,self_growth,-31.677137206368453,7.692383223119902e-10,-0.6464721878850704,-22.002796036858726,-832.6107363823498,2.2169417255705578e-10,0.03804555456971881,9.340214855980322e-13
ref,7,1-50,self_rotation,-84.13912961207026,9.000372871864432e-10,-1.717125094123883,-84.37192438752021,-832.6107363823498,2.2169417255705578e-10,0.10105458161355256,1.1079004870493247e-12
ref,8,1-50,self,-99.48569669053177,1.5301681055066286e-10,-2.0303203406230974,-97.252454874047,-852.718967888801,2.268126457865705e-10,0.11666879761903598,2.1049117131159826e-13
ref,8,1-50,upstream,-639.902666730206,1.6477543168802503e-08,-13.059238096534816,-636.5409538802044,-852.718967888801,2.268126457865705e-10,0.7504262140603076,1.952322042110823e-11
ref,8,1-50,cross,-113.08497148510305,3.1102553949432825e-10,-2.3078565609204706,-116.41984885284845,-852.718967888801,2.268126457865705e-10,0.1326169297782642,4.0003483446836e-13
ref,8,1-50,bias,-0.24563298296037828,7.120530868523175e-15,-0.005012918019599556,-0.2258265777491033,-852.718967888801,2.268126457865705e-10,0.00028805854239237483,8.50023565545468e-17
