arm,iv,seed,group,window,side,gate_mean,upstream_mean_abs,delta_mean_abs,delta_signed_mean,samples_mean
SNA,none,1,N_only,1-5,negative,0.41935066233973967,0.10176414682626982,0.04304176563943951,-0.0021044577552404883,1018.421052631579
SNA,none,1,N_only,6-20,positive,1.5618367471319694,0.0715400491204185,0.11185013548541753,0.004484031424774598,2397.5789473684213
SNA,none,1,N_only,6-20,negative,0.4015003653929449,0.06774545326934167,0.02740724208972682,-0.0020548896576718365,3412.9473684210525
SNA,none,1,N_only,21-50,positive,1.5630387398982213,0.04310121495096533,0.0677008562460298,-0.00011418326948585721,4382.894736842105
SNA,none,1,N_only,21-50,negative,0.397327615988972,0.04017528709130836,0.015957355054445576,-0.00014355843378952718,7238.1578947368425
SNA,none,1,both,1-5,positive,1.479548388650053,0.11157816247892977,0.1664856421397748,0.028163216446382235,27.526315789473685
SNA,none,1,both,1-5,negative,0.42789111937657165,0.11467705865799001,0.04994179062710697,-0.005623952940692781,35.63157894736842
SNA,none,1,both,6-20,positive,1.4691803848668645,0.08132793852572749,0.11931788271574827,0.025738339954401876,66.89473684210526
SNA,none,1,both,6-20,negative,0.40701623785459107,0.07585490727615278,0.03153878949020994,-0.0013737973317307028,122.57894736842105
SNA,none,1,both,21-50,positive,1.4612435840826417,0.04610090273892298,0.06677359507176951,-0.005798379545782106,112.26315789473684
SNA,none,1,both,21-50,negative,0.38310849965395166,0.046530619179967245,0.018754232364294417,0.00042921674073438605,266.6842105263158
SNA,none,1,rest,1-5,positive,1.547953004896423,0.10628587705990877,0.16542100708259866,0.021228057007992896,1167.3684210526317
SNA,none,1,rest,1-5,negative,0.42750607142617963,0.09740906718246636,0.040109730393718485,-0.004752592739614332,2895.7894736842104
SNA,none,1,rest,6-20,positive,1.5422815170640705,0.06966991727809312,0.10783360481037366,0.0060651464142364745,3325.157894736842
SNA,none,1,rest,6-20,negative,0.4183296803884852,0.06405087039619388,0.026034603051323706,-0.0013604428667189589,8864.315789473685
SNA,none,1,rest,21-50,positive,1.543321656325921,0.042037959529174315,0.06509383539370908,-0.0005270905001233231,6365.789473684211
SNA,none,1,rest,21-50,negative,0.4252380624103061,0.03825049014356472,0.015755905999422688,-0.00014956319612508814,18013.157894736843
SNA,none,2,ALL,1-5,positive,1.5398294484658621,0.11123823797273028,0.1717931703051859,0.025291927208158725,2254.3684210526317
SNA,none,2,ALL,1-5,negative,0.4389128223290197,0.10477957683152592,0.045088989522801624,-0.0060580950597654785,5745.631578947368
SNA,none,2,ALL,6-20,positive,1.538329743414026,0.07016053109798844,0.10820252789792524,0.006580365610698371,6305.736842105263
SNA,none,2,ALL,6-20,negative,0.42342522304684604,0.06582248532810382,0.027109606729206714,-0.0011721153997933053,17694.263157894737
SNA,none,2,ALL,21-50,positive,1.5424023924956192,0.04394808136194726,0.06803517363807268,-0.000791985318788309,12077.421052631578
SNA,none,2,ALL,21-50,negative,0.42163444125358573,0.04026686543885251,0.016511845936228012,-0.0003142979372165008,35922.57894736842
SNA,none,2,D_only,1-5,positive,1.4252728526836278,0.11792503215179097,0.1685943052107093,0.014293639628322115,182.89473684210526
SNA,none,2,D_only,1-5,negative,0.47232273818644527,0.1087394864039553,0.049694271036615445,-0.009183212649997807,1728.6842105263158
SNA,none,2,D_only,6-20,positive,1.4477604434625442,0.07069907971790114,0.10231796089661058,0.008852546905962542,660.1052631578947
SNA,none,2,D_only,6-20,negative,0.44062455425850244,0.06848330538422558,0.028766521044488746,-0.0011816248328965736,5074.631578947368
SNA,none,2,D_only,21-50,positive,1.482656841285,0.04323189818885428,0.06412609836060598,-0.0008631802491750232,1641.0
SNA,none,2,D_only,21-50,negative,0.43259387279246936,0.04180963005891512,0.01733019883885841,-0.0003013442032042488,9828.473684210527
SNA,none,2,N_only,1-5,positive,1.563934968965457,0.11117324237493324,0.17415816092362366,0.028795381511082494,899.8421052631579
SNA,none,2,N_only,1-5,negative,0.41920853900454175,0.1073706570807387,0.0453025637328997,-0.00480643338094598,1011.7368421052631
SNA,none,2,N_only,6-20,positive,1.563604920444574,0.07111678487890004,0.11131059114641106,0.008560256126282025,2309.7894736842104
SNA,none,2,N_only,6-20,negative,0.39763594327521395,0.06679349437025983,0.026830108414554063,-0.0016774231827554854,3424.9473684210525
SNA,none,2,N_only,21-50,positive,1.5640821816851878,0.04438119566168452,0.06952839179647606,-0.0013783816095507286,3972.1052631578946
SNA,none,2,N_only,21-50,negative,0.39404129852459924,0.040961806920706056,0.016132076385097383,-0.00023547848933880384,7497.368421052632
SNA,none,2,both,1-5,positive,1.5123305753061786,0.11680868476723662,0.1739574544316864,0.019201097884990605,38.8421052631579
SNA,none,2,both,1-5,negative,0.4067276645385168,0.11872201415223099,0.04807723821393484,-0.004386252337692665,49.578947368421055
SNA,none,2,both,6-20,positive,1.5224579537402485,0.072564816814531,0.10970111737459019,0.007916434132581616,107.94736842105263
SNA,none,2,both,6-20,negative,0.3923574996822112,0.07194390854347082,0.028443601111629246,0.00017996924735772153,157.31578947368422
SNA,none,2,both,21-50,positive,1.5369418176431833,0.04588967466408296,0.07024822879938009,-0.0031369533410602847,197.31578947368422
SNA,none,2,both,21-50,negative,0.3891134787360818,0.043330565775617766,0.016746489132248712,-0.0007723063630656726,333.2105263157895
SNA,none,2,rest,1-5,positive,1.5383316711245718,0.10996898160463092,0.17006063150598727,0.024129198152015557,1132.7894736842106
SNA,none,2,rest,1-5,negative,0.4265861052169003,0.10140608326049158,0.04232067803718155,-0.0046760520609255545,2955.6315789473683
SNA,none,2,rest,6-20,positive,1.5374678248331393,0.06928976089477963,0.10702959288537539,0.004814967373836865,3227.8947368421054
SNA,none,2,rest,6-20,negative,0.42392098292824376,0.06386604183046361,0.026266264607473916,-0.001014245351791049,9037.368421052632
SNA,none,2,rest,21-50,positive,1.5423992260849892,0.04373689831284509,0.06784529557728179,-0.00037647366560547216,6267.0
SNA,none,2,rest,21-50,negative,0.4274225553622444,0.039098990580803995,0.01621744842647376,-0.000340892644562008,18263.526315789473
SNA,l2,0,ALL,1-5,positive,1.435127341583991,0.10985284408539285,0.1592239072066322,0.016639201388334128,3081.684210526316
SNA,l2,0,ALL,1-5,negative,0.4840649739246434,0.08730189514396247,0.04536105610697867,-0.0045117293818392416,4918.315789473684
SNA,l2,0,ALL,6-20,positive,1.505599961934348,0.08228853512832573,0.1239919739937636,0.0006521951298850869,7846.263157894737
SNA,l2,0,ALL,6-20,negative,0.4069857063097045,0.06322564340356815,0.02787938817419684,0.0003519919600280587,16153.736842105263
SNA,l2,0,ALL,21-50,positive,1.5455475610062523,0.05076156160382922,0.07954030825333266,-0.0021705956396525076,15825.315789473685
SNA,l2,0,ALL,21-50,negative,0.40824576653945155,0.03962985954564796,0.01676766931537925,0.00018923192735440783,32174.684210526317
SNA,l2,0,D_only,1-5,positive,1.3786166411395164,0.119099041734969,0.16594431861972253,0.019637870005420527,359.8421052631579
SNA,l2,0,D_only,1-5,negative,0.4297773970026835,0.09603625988682006,0.04393483016800757,-0.004771506107236212,1155.9473684210527
SNA,l2,0,D_only,6-20,positive,1.4389547016320485,0.08983970354947675,0.12840067680081235,-0.00012744195883938506,1066.4736842105262
SNA,l2,0,D_only,6-20,negative,0.3770121223733329,0.06928218882813382,0.02841513285949368,0.00033000878844083553,3480.8947368421054
SNA,l2,0,D_only,21-50,positive,1.5441854960370853,0.052436956186352635,0.08099929806434188,-0.0029119184884614296,2765.8947368421054
SNA,l2,0,D_only,21-50,negative,0.3581115522707379,0.04301865785150241,0.016103276015501166,-0.00013997780507007395,6328.8421052631575
SNA,l2,0,N_only,1-5,positive,1.3584200245275506,0.09646842183171656,0.13133945522651874,0.006157140749428638,707.3684210526316
SNA,l2,0,N_only,1-5,negative,0.6022794760105098,0.08327895725709344,0.05210478609963993,-0.004383353230643433,808.421052631579
SNA,l2,0,N_only,6-20,positive,1.5014653669436442,0.0728348663730894,0.10954401134027734,0.002451030504978426,1793.5263157894738
SNA,l2,0,N_only,6-20,negative,0.452229778926883,0.05752753729326043,0.027464416162729578,-5.810176005792701e-05,2753.842105263158
SNA,l2,0,N_only,21-50,positive,1.5130017710325283,0.046421638027695895,0.07203901064989701,-0.0022562108736839896,3255.6315789473683
SNA,l2,0,N_only,21-50,negative,0.4319799593734247,0.03613787959424378,0.015523466153810278,0.00033491944265723073,5839.105263157895
SNA,l2,0,both,1-5,positive,1.3196621332852139,0.10698392210583615,0.1423628225002358,0.01995791351557207,201.10526315789474
SNA,l2,0,both,1-5,negative,0.6175350811693592,0.09624313918056128,0.06200759073784399,-0.0003561948139057098,283.10526315789474
SNA,l2,0,both,6-20,positive,1.447623571665694,0.07720013071695768,0.11130306909637531,0.003791090555275571,444.2631578947368
SNA,l2,0,both,6-20,negative,0.4326254326283686,0.06704110773736038,0.030324228953213482,0.0007388362730209088,1008.3684210526316
SNA,l2,0,both,21-50,positive,1.5305144012719956,0.047498349588943535,0.07354289804433413,-0.0036050262153954796,949.5263157894736
SNA,l2,0,both,21-50,negative,0.4368601432572461,0.04310003937320084,0.018440412367569433,0.0001177716485529074,1955.7368421052631
SNA,l2,0,rest,1-5,positive,1.4883633513318526,0.11396375082982915,0.17115586846561504,0.01985901389448754,1813.3684210526317
SNA,l2,0,rest,1-5,negative,0.4607815520762683,0.08425890226225267,0.0427122812642204,-0.005093065833484689,2670.842105263158
SNA,l2,0,rest,6-20,positive,1.5246799268867244,0.0845506996528474,0.12928031682595775,0.00017863302537409896,4542.0
SNA,l2,0,rest,6-20,negative,0.40862473106779545,0.06253957625587303,0.028153444825975583,0.0005627600470243509,8910.631578947368
SNA,l2,0,rest,21-50,positive,1.5585550991438109,0.05183199132522954,0.08178247106041409,-0.0018673376101216623,8854.263157894737
SNA,l2,0,rest,21-50,negative,0.41659180622137254,0.03942089140229312,0.017429254737689588,0.0002943424117436687,18051.0
SNA,l2,1,ALL,1-5,positive,1.4415056636701633,0.1078973944278559,0.15680056487403377,0.014719127789295183,3193.7368421052633
SNA,l2,1,ALL,1-5,negative,0.4932976529839146,0.08820119199298718,0.045953241722841605,-0.005755558202643399,4806.263157894737
SNA,l2,1,ALL,6-20,positive,1.5076427694624666,0.0813173652282941,0.12271556667503312,-0.000723832211658633,8491.315789473685
SNA,l2,1,ALL,6-20,negative,0.41331878642048203,0.06458988891877437,0.028669532138231115,0.0005453951911926876,15508.684210526315
SNA,l2,1,ALL,21-50,positive,1.53907428711747,0.050636279517785626,0.07885621763917053,-0.0019741644503697415,16800.36842105263
SNA,l2,1,ALL,21-50,negative,0.4096897537711919,0.04009480625904267,0.01695853658584587,0.00016493126062297,31199.63157894737
SNA,l2,1,D_only,1-5,positive,1.3767494256003063,0.11564279182360071,0.16047575909674744,0.012847244242147898,358.57894736842104
SNA,l2,1,D_only,1-5,negative,0.4194829441544676,0.09329206800687195,0.04100082312776864,-0.005218261022808845,1199.3157894736842
SNA,l2,1,D_only,6-20,positive,1.4466479999419048,0.08280243785163185,0.11901985097632807,-0.0006924163652816674,1207.2631578947369
SNA,l2,1,D_only,6-20,negative,0.379255979482142,0.0697027772433562,0.028423863676318096,0.00010246612411559836,3466.4210526315787
SNA,l2,1,D_only,21-50,positive,1.5256315686975785,0.050588739326364596,0.077275395067881,-0.0029224179694197754,2942.2105263157896
SNA,l2,1,D_only,21-50,negative,0.3614432296660648,0.04309482974686195,0.015975677495602022,-0.00017534327721261845,6405.1578947368425
SNA,l2,1,N_only,1-5,positive,1.353191193129714,0.0931117991079794,0.12639661916569775,0.013552760593241559,724.6842105263158
SNA,l2,1,N_only,1-5,negative,0.6154014966529934,0.08288273012436347,0.052173132057860006,-0.004372117854363572,833.2105263157895
SNA,l2,1,N_only,6-20,positive,1.5028072754495072,0.0720140194842766,0.10845969057301712,0.0007929846079591157,1769.6842105263158
SNA,l2,1,N_only,6-20,negative,0.4240605629442385,0.059522385707116425,0.02622164297405499,-1.1635183846920743e-05,2904.0
SNA,l2,1,N_only,21-50,positive,1.5203549895999913,0.04721086668229374,0.07275199480836482,-0.0019427463461002745,3270.4736842105262
SNA,l2,1,N_only,21-50,negative,0.41169214829811357,0.0376780186045636,0.015419090289711813,4.0309249366143474e-05,6076.894736842105
SNA,l2,1,both,1-5,positive,1.3258898241659034,0.11021160200580676,0.1463836956186399,0.01870749380550744,200.6315789473684
SNA,l2,1,both,1-5,negative,0.6261405261513014,0.10464868184267553,0.06750408767526343,-0.008692218297682108,241.47368421052633
SNA,l2,1,both,6-20,positive,1.479015949847287,0.08188276463005037,0.11944223845773799,5.821606923517846e-06,507.57894736842104
SNA,l2,1,both,6-20,negative,0.4618309848318705,0.07387029512165748,0.03658956116881217,0.0001713531592123604,818.7368421052631
SNA,l2,1,both,21-50,positive,1.5620735868659266,0.05046434537828548,0.0784466817043813,-0.0025530101070082,1043.2631578947369
SNA,l2,1,both,21-50,negative,0.44077240339737517,0.04385698023323386,0.019566926756903046,0.00024056571516175294,1609.3684210526317
SNA,l2,1,rest,1-5,positive,1.4966004166877052,0.1115982722909777,0.16816978802863752,0.015040098546800294,1909.842105263158
SNA,l2,1,rest,1-5,negative,0.47704096813049685,0.08616875269813518,0.04443071422234727,-0.006425116190537435,2532.2631578947367
SNA,l2,1,rest,6-20,positive,1.5242724341118201,0.08415620706253447,0.12875266046744233,-0.0011376319375583002,5006.789473684211
SNA,l2,1,rest,6-20,negative,0.42409516540012765,0.06350980703151539,0.02931682708841262,0.0009350354322769687,8319.526315789473
SNA,l2,1,rest,21-50,positive,1.5449141053794069,0.051706721607013555,0.08115542592084823,-0.00169919715327288,9544.421052631578
SNA,l2,1,rest,21-50,negative,0.42680352670158234,0.039480081748644875,0.017759013847043682,0.0003419201662931315,17108.21052631579
SNA,l2,2,ALL,1-5,positive,1.425515596805232,0.11183140652234029,0.16122933418254354,0.02184220706812084,3037.1052631578946
SNA,l2,2,ALL,1-5,negative,0.49273195300191625,0.09128633281935764,0.04731468449651281,-0.0064243182245810665,4962.894736842105
SNA,l2,2,ALL,6-20,positive,1.5009674062619964,0.07990528352146652,0.11970417414295893,-0.0008559988856028378,8109.105263157895
SNA,l2,2,ALL,6-20,negative,0.41589804419162046,0.06399506877622424,0.028495966219632317,0.0002150483211295975,15890.894736842105
SNA,l2,2,ALL,21-50,positive,1.5376964494851888,0.05067973038028571,0.07894055000963515,-0.002120143836613501,16369.631578947368
SNA,l2,2,ALL,21-50,negative,0.41462047083564507,0.0403589513159579,0.01717526581366378,0.0001916881846328891,31630.36842105263
SNA,l2,2,D_only,1-5,positive,1.3577491087936098,0.12153475128179762,0.16535220031150125,0.028741116310921314,386.7368421052632
SNA,l2,2,D_only,1-5,negative,0.44781856857773256,0.10106156148856887,0.04740171137178006,-0.006642476575814859,1196.421052631579
SNA,l2,2,D_only,6-20,positive,1.4418898975520094,0.08729107865455556,0.12484050074944379,-0.0015441381353833502,1242.6842105263158
SNA,l2,2,D_only,6-20,negative,0.3978277778857769,0.07207221090493685,0.03077168198982581,-0.00017319907187126566,3506.7894736842104
SNA,l2,2,D_only,21-50,positive,1.5317246913727827,0.05393293719465713,0.08283096900163288,-0.0023258456259732012,3070.6315789473683
SNA,l2,2,D_only,21-50,negative,0.3774316336407198,0.0444527230716719,0.017510372080664555,-0.0001427405270245007,6428.315789473684
SNA,l2,2,N_only,1-5,positive,1.3497527101998674,0.09834531890771671,0.13317625103406613,0.020006541365122057,715.6842105263158
SNA,l2,2,N_only,1-5,negative,0.6046536019375932,0.08997736350908021,0.055593841582992444,-0.005418240372340105,867.4736842105264
SNA,l2,2,N_only,6-20,positive,1.4876988323385947,0.07225545505478836,0.10684765375096211,0.0007452586369939178,1729.157894736842
SNA,l2,2,N_only,6-20,negative,0.4373423533152338,0.06105088507905635,0.027954729406896386,6.253941956361376e-05,3020.315789473684
SNA,l2,2,N_only,21-50,positive,1.5096121528960698,0.04546839947953794,0.06995920650557257,-0.002150730980205731,3365.9473684210525
SNA,l2,2,N_only,21-50,negative,0.4443730725384472,0.03844018550223677,0.016851014823394198,3.144313762006784e-05,6133.0
SNA,l2,2,both,1-5,positive,1.319908015541924,0.10404565752325438,0.13773496082114314,0.025525386029804895,189.0
SNA,l2,2,both,1-5,negative,0.6394650214925927,0.09252627679072611,0.061110699096696613,-0.007180610809087777,227.8421052631579
SNA,l2,2,both,6-20,positive,1.4589810453289065,0.07715247453073769,0.11140456246114197,-0.0010246282774655988,455.42105263157896
SNA,l2,2,both,6-20,negative,0.4412460519702142,0.06202720459108804,0.029056717260589286,0.0003515798798961053,795.1052631578947
SNA,l2,2,both,21-50,positive,1.5339122413582735,0.04740448726139512,0.07337423199643406,-0.002316602215848935,961.4736842105264
SNA,l2,2,both,21-50,negative,0.3982063669934376,0.040544608398576786,0.016261570001814624,0.00020595695292467187,1539.578947368421
SNA,l2,2,rest,1-5,positive,1.4794382098885266,0.11632606039115678,0.17432983151036424,0.02215236624826702,1745.6842105263158
SNA,l2,2,rest,1-5,negative,0.4662186735075476,0.0872475936269787,0.0436645920736497,-0.006814559053329063,2671.157894736842
SNA,l2,2,rest,6-20,positive,1.5232831369504607,0.08106248486446456,0.12374359819350204,-0.0013249673411035682,4681.8421052631575
SNA,l2,2,rest,6-20,negative,0.4152653392711101,0.06203030985652829,0.02787033487352527,0.0005015718307293914,8568.684210526315
SNA,l2,2,rest,21-50,positive,1.5500576518081615,0.05161744759605502,0.08109607095795551,-0.002164660893434364,8971.578947368422
SNA,l2,2,rest,21-50,negative,0.4207421256107051,0.039545897943217174,0.017329907355527724,0.0004056124160114461,17529.473684210527
LR,none,0,ALL,1-5,positive,1.0,0.19327944681594564,0.19327944681594564,0.03079457386747135,1124.578947368421
LR,none,0,ALL,1-5,negative,0.10000001534230525,0.1858617883956657,0.018586179285915314,-0.001897931062442041,6875.421052631579
LR,none,0,ALL,6-20,positive,1.0,0.1531010424641563,0.1531010424641563,0.008501894288181393,3152.2105263157896
LR,none,0,ALL,6-20,negative,0.10000001151636422,0.14910499595830443,0.014910499901677535,-0.0009115975982424826,20847.78947368421
LR,none,0,ALL,21-50,positive,1.0,0.10073872170654831,0.10073872170654831,0.00025337897925569234,6062.263157894737
LR,none,0,ALL,21-50,negative,0.1000000109683044,0.09845998359857257,0.009845998596119582,8.257297701697554e-05,41937.73684210526
LR,none,0,D_only,1-5,positive,1.0,0.20596525423403458,0.20596525423403458,0.006534019544590662,64.42105263157895
LR,none,0,D_only,1-5,negative,0.10000000014125025,0.18875013891967093,0.01887501387653966,-0.0029733686240885613,1607.157894736842
LR,none,0,D_only,6-20,positive,1.0,0.16615635489841557,0.16615635489841557,0.010975845589580261,220.0
LR,none,0,D_only,6-20,negative,0.1000000008279054,0.15147115096192187,0.015147115596377927,-0.0007065601315901165,4794.736842105263
LR,none,0,D_only,21-50,positive,1.0,0.10843023359125414,0.10843023359125414,0.00039993178772453514,517.7894736842105
LR,none,0,D_only,21-50,negative,0.10000000031299612,0.09961637706505463,0.009961637886069685,1.906005682082534e-05,9511.684210526315
LR,none,0,N_only,1-5,positive,1.0,0.1977116429823925,0.1977116429823925,0.03817582602999992,638.6842105263158
LR,none,0,N_only,1-5,negative,0.1000000015437069,0.18650240158287035,0.018650240501244947,-0.0012044110577767826,1032.8947368421052
LR,none,0,N_only,6-20,positive,1.0,0.15335787358141414,0.15335787358141414,0.010311172560329965,1664.9473684210527
LR,none,0,N_only,6-20,negative,0.10000000244114088,0.14700970715720163,0.014700970938737684,-0.0013253516530683175,3349.7894736842104
LR,none,0,N_only,21-50,positive,1.0,0.10117158831419606,0.10117158831419606,-0.0007521575867100533,2930.7368421052633
LR,none,0,N_only,21-50,negative,0.10000000185802362,0.09736871313352297,0.009736871545008475,0.0001851270728638161,7098.736842105263
LR,none,0,both,1-5,positive,1.0,0.18078667319876732,0.18078667319876732,0.020942836450581075,106.73684210526316
LR,none,0,both,1-5,negative,0.10000000184857492,0.1798685265255454,0.017986852990800967,-0.004152522435517565,221.68421052631578
LR,none,0,both,6-20,positive,1.0,0.15348064748663273,0.15348064748663273,0.014677719047082777,291.89473684210526
LR,none,0,both,6-20,negative,0.10000000146773376,0.14927285459194764,0.014927285563728248,-0.001352209874445508,693.3684210526316
LR,none,0,both,21-50,positive,1.0,0.0999447295629263,0.0999447295629263,0.0022609870234837613,523.421052631579
LR,none,0,both,21-50,negative,0.10000000184675126,0.0982222692343571,0.00982222713501343,2.7295470390134683e-05,1447.1052631578948
LR,none,0,rest,1-5,positive,1.0,0.1869017780564569,0.1869017780564569,0.024240169610833782,314.7368421052632
LR,none,0,rest,1-5,negative,0.10000000840075192,0.18438698259897246,0.018438698847669834,-0.0015678441492919307,4013.684210526316
LR,none,0,rest,6-20,positive,1.0,0.15120046851351013,0.15120046851351013,0.0030141473601491635,975.3684210526316
LR,none,0,rest,6-20,negative,0.10000000451123832,0.14849489999933563,0.014849490116463308,-0.0008623843029652711,12009.894736842105
LR,none,0,rest,21-50,positive,1.0,0.09898534825341883,0.09898534825341883,0.0008881249920172912,2090.315789473684
LR,none,0,rest,21-50,negative,0.10000000349623868,0.09808619634611201,0.009808619736226648,8.357759194705129e-05,23880.21052631579
LR,none,1,ALL,1-5,positive,1.0,0.19148011561435538,0.19148011561435538,0.030343167859588197,1079.0526315789473
LR,none,1,ALL,1-5,negative,0.10000001568537653,0.20088316353206903,0.02008831698134435,-0.0019163681832528815,6920.9473684210525
LR,none,1,ALL,6-20,positive,1.0,0.14772702233038015,0.14772702233038015,0.007147576519374804,3100.842105263158
LR,none,1,ALL,6-20,negative,0.100000012055091,0.15738713817560965,0.015738714095755203,-0.0009665236493666783,20899.157894736843
LR,none,1,ALL,21-50,positive,1.0,0.09788441638466142,0.09788441638466142,0.0005261373111088787,6110.210526315789
LR,none,1,ALL,21-50,negative,0.10000001269166141,0.1057475962058376,0.010574759979625186,0.00012044078308766579,41889.78947368421
LR,none,1,D_only,1-5,positive,1.0,0.19071850103502017,0.19071850103502017,0.02140074883930585,60.10526315789474
LR,none,1,D_only,1-5,negative,0.10000000328056628,0.20471729462352442,0.0204717300144259,-0.00367108507797442,1565.157894736842
LR,none,1,D_only,6-20,positive,1.0,0.15798127319149866,0.15798127319149866,0.01835997557824221,200.0
