hit999,status,rest,quiet,burst,n_bursts,first_burst_step,min_correct_rest,pre_start,pre_end,pre_len,pre_growth,pre_rate,radWh,newD,fitF,oldW0,fit_sq,share_new,decomp_check,pre_band_top,pre_band_mid1,pre_band_mid2,pre_band_low,pre_band_mu,pre_band_comp,quiet_band_top,quiet_band_mid1,quiet_band_mid2,quiet_band_low,quiet_band_mu,quiet_band_comp,n_1k,sqrt_kappa,kappa,rms_u,wnorm,cos_1k,keff_med,log_keff_med,ce32_med,log_ce32_med,ce32_zero_frac,log_resid_mean_med,keff32_med,nact2_med,margin_med_start,margin_min_start,margin_q10_start,sqrtv_med,frac_sqrtv_lt_eps,frac_sqrtv_lt_10eps,ratio_mean,kappa100,kappa_g100,n2_rest,n3_rest,n1_start,n1_h,n1_end,bundle,seed
4700,ok,2053.1197,1538.6392,514.48055,1,27600,895,5200,27500,22300,1531.5999,0.068681608,1240.2273,291.3726,662.66494,577.56233,2725.0539,0.19024068,2.5011104e-12,169.62575,899.47147,397.02023,65.496719,-0.38975547,0.37545889,166.80925,904.81645,400.7537,66.273791,-0.388962,0.37495132,21,0.2279425,0.051957782,0.0034776433,261.48641,0.15701964,281.56541,5.6403645,1.1401989e-05,-11.382068,0,-11.381684,281.47819,805.5,6.5815268,-0.43096495,4.2112803,4.1440614e-06,0,0,0.0048935849,0.097361904,0.0051551102,83.500678,3.4966104,68595.872,67561.153,69614.272,I_C,5
4000,ok,3022.7234,2543.8045,478.91891,1,26000,720,4500,25900,21400,2539.9657,0.11868999,2044.0091,495.95659,1064.8333,979.17583,2354.7146,0.19526113,-2.2737368e-12,367.37085,1351.4225,709.30565,111.75029,-0.480806,0.597283,366.77171,1353.6024,711.02632,112.28599,-0.48077277,0.59880998,20,0.21779504,0.047434865,0.0047353279,269.50012,0.19371032,439.07239,6.0846643,1.4215336e-05,-11.161189,0,-11.160939,438.38343,983,5.7026825,0.85612106,4.0978723,3.4114958e-06,0,0,0.0067793682,0.092729232,0.0048718583,122.8713,3.2851072,72817.517,71369.419,74392.143,I_C,6
4600,ok,1865.2402,1404.1929,461.04726,1,27300,726,5100,27200,22100,1400.8962,0.063388969,1113.5575,287.33869,729.88597,383.67156,2795.1261,0.20511062,7.0485839e-12,114.78856,746.27892,458.5572,81.258765,-0.37845134,0.39121457,114.21919,747.95457,460.38056,81.623574,-0.37802307,0.39303142,21,0.22288408,0.049677314,0.0039016239,263.43459,0.16015475,335.48053,5.8155634,1.2563435e-05,-11.285302,0,-11.285034,333.8856,849,6.791626,1.7092247,4.4901972,4.0895561e-06,0,0,0.0053407806,0.096376299,0.0050609286,75.0476,3.3034621,69606.743,68558.405,70423.645,I_C,7
4100,ok,3156.004,2608.6174,547.38664,1,26800,940,4600,26700,22100,2604.8436,0.11786623,2131.2779,473.56579,1026.6854,1104.5924,2608.06,0.181802,-4.0927262e-12,422.55685,1439.9652,632.68387,109.8136,-0.64657115,0.47069338,420.71066,1442.3012,635.49966,110.28203,-0.64875956,0.4725452,21,0.21300746,0.045372177,0.0049745843,270.26248,0.1880809,422.07989,6.0451938,1.3394945e-05,-11.22091,0,-11.220687,421.98431,970,5.9933014,1.1983566,4.0932016,3.5093362e-06,0,0,0.0071033402,0.092166749,0.0049449263,145.80572,4.6047222,73610.734,71913.155,75069.159,I_C,8
3700,ok,2719.7223,2216.8669,502.85542,1,26500,773,4200,26400,22200,2214.3682,0.099746317,1743.7105,470.65779,902.55176,841.15869,1952.3223,0.21254721,-2.410161e-11,269.39284,1199.9921,629.70233,115.19873,-0.45010272,0.53232417,267.96419,1201.3374,631.773,115.70964,-0.45024402,0.53291082,21,0.21221748,0.045036259,0.0045842764,261.93715,0.18226658,433.53371,6.0719696,1.4224366e-05,-11.160554,0,-11.160094,432.69726,1014,5.3839931,1.2629251,3.4995646,3.7897425e-06,0,0,0.0065697329,0.089797806,0.004818795,106.92217,3.8010258,68658.583,67352.414,70072.136,I_C,9
1300,ok,2149.1794,1660.5923,488.58713,1,25200,804,1800,25100,23300,1658.7441,0.071190734,1386.9645,271.77961,332.95563,1054.0089,879.53374,0.16384662,1.4097168e-11,306.51554,875.28958,403.72254,73.221755,-0.41200755,0.40670731,305.66191,876.67557,404.79146,73.467464,-0.41214794,0.40803074,23,0.25587461,0.065471814,0.0030601466,277.21633,0.13919519,408.15094,6.011637,1.4833079e-05,-11.119032,0,-11.118763,407.97589,884.5,6.2894363,1.0429688,3.8845627,6.5327413e-06,0,0,0.0043041999,0.11225796,0.0056239321,100.86376,4.146579,77310.035,76299.037,78448.216,I_rev,0
1300,ok,2261.2593,1752.838,508.42135,1,25800,846,1800,25700,23900,1750.8702,0.073258167,1432.665,318.20516,366.85325,1065.8118,820.49872,0.18174115,1.8189894e-12,344.11939,852.86104,460.63597,93.401596,-0.48488744,0.3370701,343.89491,853.33531,462.11367,93.640622,-0.48443088,0.33789792,23,0.25290077,0.063958798,0.0031778666,273.52384,0.13407118,411.97648,6.0209659,1.4295132e-05,-11.155832,0,-11.155546,410.17632,897.5,5.9503326,0.64306641,3.4843125,6.315054e-06,0,0,0.004579565,0.11169178,0.0056469475,118.7561,4.6029156,75217.41,74249.604,76510.863,I_rev,1
1500,ok,2372.7454,1829.0282,543.71716,2,25800,909,2000,25700,23700,1826.8211,0.077081058,1511.95,314.87103,350.472,1161.478,861.06495,0.17236008,-6.8212103e-13,328.35013,927.9264,481.6423,89.181412,-0.70238548,0.42320792,327.64805,928.53218,483.67341,89.454537,-0.70309614,0.42312137,23,0.24088256,0.058024406,0.003448927,274.37139,0.13839246,328.86186,5.7956377,1.3636338e-05,-11.203034,0,-11.202771,328.56363,767,6.1162357,1.2202682,3.7860477,5.7406135e-06,0,0,0.0048195338,0.10602752,0.0055037221,119.95832,4.5468618,75713.917,74694.761,77067.507,I_rev,2
1500,ok,2178.4916,1632.3312,546.16044,1,26300,983,2000,26200,24200,1630.2974,0.067367662,1354.9027,275.39474,348.65204,1006.2506,831.83249,0.16892301,-9.094947e-13,306.34178,822.0384,427.34267,74.751293,-0.51623431,0.33950225,305.92079,823.01998,428.62933,74.937387,-0.5160817,0.33975771,24,0.25549631,0.065278475,0.0029738708,268.66649,0.13498744,434.02655,6.0731057,1.0117251e-05,-11.501269,0,-11.501032,432.4691,921,6.2201233,1.5384598,4.0370193,5.0631111e-06,0,0,0.00409098,0.11162075,0.0056879937,111.8941,4.4982264,72628.814,71647.309,73825.801,I_rev,3
1200,ok,2098.5304,1559.2459,539.28455,1,25200,864,1700,25100,23400,1556.8244,0.066530958,1312.7731,244.05135,306.12626,1006.6468,837.32463,0.15676228,-2.0463631e-12,356.35907,791.92275,342.17551,66.459204,-0.4079941,0.31589204,355.55483,793.44831,343.61975,66.714519,-0.40794349,0.31639348,23,0.25269275,0.063853628,0.0029264745,274.94762,0.13920784,467.4113,6.1472096,1.2821942e-05,-11.264353,0,-11.263893,466.74476,937,6.1312103,1.346962,4.1401734,6.282552e-06,0,0,0.0040474464,0.1126673,0.0057779218,105.1134,4.2392089,76101.794,75094.97,77193.5,I_rev,4
1300,ok,1867.0226,1365.0612,501.96139,1,26100,995,1800,26000,24200,1361.4059,0.05625644,1069.3046,292.10122,356.65442,712.65021,929.8941,0.21455852,-2.2737368e-12,148.44733,728.53959,399.62568,84.814049,-0.43412578,0.41333341,147.56394,730.26904,401.90217,85.34459,-0.43369783,0.4151744,24,0.23482341,0.055142242,0.0032604261,261.47254,0.14077869,407.18523,6.0092682,1.0426284e-05,-11.471181,0,-11.470982,401.89803,915,5.5215521,1.0800178,3.4620256,4.7602666e-06,0,0,0.004524809,0.10180105,0.0052962966,86.106002,3.5408778,68595.872,67687.562,69554.585,I_rev,5
1200,ok,2165.6511,1655.2292,510.4219,1,25900,959,1700,25800,24100,1653.8121,0.068622907,1348.5663,305.24572,372.84906,975.71728,924.47491,0.18457098,-2.2737368e-12,255.61743,880.39578,438.44478,79.369395,-0.41640292,0.40106962,254.75084,881.40067,439.49853,79.595341,-0.41715065,0.40101135,23,0.2559778,0.065524635,0.0030728375,269.1894,0.14521246,443.95183,6.095716,1.2138537e-05,-11.319369,0,-11.319024,441.7923,950,5.7818222,1.4343796,3.4704285,5.3172751e-06,0,0,0.0043914118,0.11068301,0.005721739,106.33621,4.1652327,72817.517,71848.214,74013.865,I_rev,6
1800,ok,1637.3344,1106.2766,531.05783,1,25800,782,2300,25700,23400,1102.6094,0.047120062,811.99895,290.6105,328.76804,483.23091,931.08521,0.26356612,0,5.2146562,590.11049,427.79637,79.412451,-0.34585058,0.42132914,3.2598149,592.91716,430.2052,79.822845,-0.34815399,0.41971724,22,0.22235642,0.049446791,0.0035279843,263.69483,0.13581724,371.56064,5.9177121,1.0627618e-05,-11.452054,0,-11.451445,358.34524,884,5.7637072,0.97464752,3.8330872,4.4942922e-06,0,0,0.0049092321,0.096211179,0.0050129214,66.827317,2.7379956,69606.743,68828.227,70465.561,I_rev,7
1200,ok,2244.2122,1759.1041,485.10811,1,25600,849,1700,25500,23800,1745.6059,0.073344785,1452.8407,292.76516,357.9566,1094.8841,904.39281,0.1677155,4.7748472e-12,336.35154,938.83934,389.39235,81.261857,-0.56275558,0.32354121,337.88437,943.60403,394.9306,82.91519,-0.5613536,0.33123987,23,0.25202399,0.063516091,0.0031051391,270.62117,0.1411415,419.77053,6.0397082,1.2938443e-05,-11.255308,0,-11.254899,417.72382,904,5.9655075,1.4502258,3.8784142,5.8638784e-06,0,0,0.0043196128,0.10998886,0.0055549972,114.43113,4.4447085,73610.734,72680.621,74924.833,I_rev,8
1600,ok,1801.1142,1332.2532,468.861,1,26300,764,2100,26200,24100,1329.6198,0.055170945,1051.7421,277.87769,367.02785,684.71425,803.09001,0.20899034,9.094947e-12,182.55569,658.90325,410.76008,77.528578,-0.4288307,0.30101171,181.20804,660.54978,412.71271,77.910748,-0.4296124,0.30153403,23,0.24504725,0.060048153,0.0029441783,261.68383,0.14584551,441.00716,6.0890606,1.0177004e-05,-11.49555,0,-11.495125,435.01678,942,5.8064342,1.8531499,3.7231848,4.838347e-06,0,0,0.0043540916,0.10628671,0.0054780222,86.417367,3.8014202,68658.583,67837.09,69638.204,I_rev,9
100,ok,1213.7584,657.68842,556.07001,1,22000,913,600,21900,21300,652.66325,0.030641467,612.67123,39.992024,0.26861174,612.40262,0.0034139513,0.061275127,3.8653525e-12,230.24229,315.4199,92.48974,14.723235,-0.26000596,0.048092838,228.5231,318.23335,95.695098,15.445652,-0.26012869,0.051352886,20,0.40223489,0.16180086,0.0005095687,278.10159,0.056793943,196.93984,5.2828953,8.2080359e-07,-14.013171,0,-14.007503,196.09535,427,16.560827,6.8111267,9.3025618,3.5521492e-06,0,0,0.00071636242,0.20792899,0.010837883,57.886829,2.7493314,77310.035,77310.598,78524.356,I_same,0
100,ok,1117.274,618.18879,499.08519,1,23400,982,600,23300,22700,612.20783,0.026969508,571.08688,41.120958,0.24637936,570.8405,0.0029912389,0.067168297,-1.0231815e-12,221.89082,275.25761,97.615699,17.628718,-0.22860686,0.04359519,219.18471,277.22241,103.63765,18.332855,-0.23030568,0.041471078,22,0.3779433,0.14288492,0.00055086083,274.31182,0.056379845,214.70079,5.369243,1.2274542e-06,-13.61079,0,-13.607766,214.25739,477.5,16.400272,6.0139465,8.958395,5.1465231e-06,0,0,0.0007463139,0.20078469,0.010308238,58.68504,3.0183094,75217.41,75217.905,76335.179,I_same,1
100,ok,1232.1995,649.95926,582.24021,1,23400,1002,600,23300,22700,646.75928,0.028491598,603.96502,42.794264,0.26960642,603.69541,0.0033390378,0.06616722,3.1832315e-12,209.75428,322.68656,97.354785,17.189557,-0.30178304,0.075886246,209.07696,324.15781,99.322587,17.624213,-0.3007858,0.078483464,22,0.37915931,0.14377454,0.00054189538,275.21296,0.054419511,185.54363,5.22329,9.5953237e-07,-13.857026,0,-13.852342,184.59149,451.5,17.331707,4.9709473,8.9007969,4.2697891e-06,0,0,0.00073235538,0.18425647,0.0091518096,63.243135,3.542281,75713.917,75714.399,76946.599,I_same,2
100,ok,1161.4658,623.48458,537.98125,1,23600,962,600,23500,22900,618.84778,0.027023921,575.80326,43.044521,0.31691913,575.48634,0.0044241593,0.069555911,-2.5011104e-12,181.6392,302.43471,115.00014,19.926917,-0.23365593,0.080465305,181.22351,304.43061,117.62666,20.356556,-0.23353435,0.080789858,22,0.37172317,0.13819549,0.00062482144,269.57624,0.067840632,244.96681,5.5011199,1.2353026e-06,-13.60443,0,-13.600677,244.09002,524,15.751371,5.7841187,8.5655956,3.8902776e-06,0,0,0.00085671114,0.18922869,0.0099180526,61.430971,3.6245571,72628.814,72629.495,73790.961,I_same,3
100,ok,1167.3523,663.85245,503.49985,1,21400,769,600,21300,20700,658.75127,0.031823733,619.09633,39.65494,0.2821994,618.81413,0.003103715,0.060197136,-2.4556357e-11,220.69431,324.13553,97.286728,16.842301,-0.25766765,0.050065908,219.9584,326.56431,99.89195,17.642099,-0.25725596,0.052943686,20,0.38254434,0.14635627,0.000557559,275.9265,0.065655064,250.9477,5.5252433,8.2800622e-07,-14.004432,0,-13.999914,249.5526,559.5,15.932861,7.0180969,9.3829403,2.9963571e-06,0,0,0.00073300373,0.20241408,0.010740691,62.306112,3.6675412,76101.794,76102.391,77269.743,I_same,4
100,ok,890.1387,315.51638,574.62232,1,22200,956,600,22100,21500,308.58053,0.014352583,281.62728,26.95325,0.50116645,281.12611,0.0077117375,0.087345921,6.8212103e-12,61.406221,155.60658,75.472585,16.176036,-0.10890483,0.0280119,58.548006,160.15744,79.56994,17.319545,-0.10636987,0.027823603,21,0.35229892,0.12411453,0.00076383933,262.01535,0.078012929,231.73172,5.4455803,1.1685456e-06,-13.659995,0,-13.654948,229.47533,567,14.484994,6.0533805,8.6236525,2.9649375e-06,0,0,0.0010126077,0.16658587,0.0086031642,31.703329,2.1622921,68595.872,68596.951,69487.09,I_same,5
100,ok,979.01973,539.62267,439.39706,1,22200,967,600,22100,21500,534.14395,0.024843905,498.9725,35.171449,0.32348266,498.64902,0.0038195499,0.065846387,0,172.07248,245.51705,99.970017,16.748509,-0.20698713,0.042883896,169.12547,249.35292,103.911,17.394961,-0.20529145,0.043618421,21,0.36776106,0.1352482,0.00061024245,269.91671,0.065302959,251.00625,5.5254778,7.9154819e-07,-14.049482,0,-14.043709,249.07084,543,15.852062,7.154808,9.1593113,2.8876677e-06,0,0,0.00086023698,0.18647748,0.0094811061,48.953695,3.1736685,72817.517,72818.152,73797.172,I_same,6
100,ok,551.95592,68.817821,483.1381,1,22600,884,600,22500,21900,60.239036,0.0027506409,21.525702,38.713335,0.4858451,21.039857,0.0058588642,0.64266192,-3.6379788e-12,-84.11837,66.153468,63.055699,15.169813,-0.054219266,0.032645198,-85.964972,71.889222,67.033095,15.883992,-0.058582629,0.035066712,21,0.37245819,0.1387251,0.00076037626,263.93025,0.047949741,191.61715,5.2554994,1.0841055e-06,-13.73494,0,-13.730234,187.20566,504.5,15.498985,6.3361282,8.5706348,2.8684989e-06,0,0,0.00097819924,0.18546836,0.0093421732,1.5320439,0.21996625,69606.743,69607.757,70159.713,I_same,7
100,ok,1033.8889,576.76693,457.12198,1,21800,807,600,21700,21100,569.33007,0.026982468,534.03086,35.299211,0.26248604,533.76837,0.0029034489,0.062001311,9.5496944e-12,188.54004,268.02401,99.334608,13.64769,-0.2537088,0.037431826,185.56258,272.92432,104.1688,14.328814,-0.25978144,0.042199376,20,0.39038412,0.152429,0.0005365374,271.36924,0.058665777,204.96726,5.3228502,9.0946509e-07,-13.910554,0,-13.905078,204.13079,462.5,16.446861,6.388176,9.4177589,3.730376e-06,0,0,0.00072511293,0.19834893,0.010284174,47.205128,2.4936964,73610.734,73611.29,74645.179,I_same,8
100,ok,834.42043,296.22915,538.19128,1,24300,1039,600,24200,23600,292.27272,0.012384437,265.67487,26.59785,0.33535842,265.33951,0.0051738385,0.091003532,-3.126388e-12,61.33696,137.857,79.36741,13.781705,-0.10815343,0.037804677,58.436548,141.31152,82.081681,14.468887,-0.10841634,0.03893019,23,0.38082996,0.14503146,0.00060403577,262.10211,0.064372449,224.46831,5.4137345,1.272555e-06,-13.574484,0,-13.570407,223.78721,520,15.296163,5.8445177,8.2437782,4.369298e-06,0,0,0.00080236305,0.18719631,0.0097241619,27.30368,2.2217838,68658.583,68659.154,69493.574,I_same,9
400,ok,745.45608,176.06451,569.39157,1,23200,933,900,23100,22200,174.44104,0.0078577044,128.79419,45.646847,17.712824,111.08137,497.48928,0.26167493,6.0822458e-12,-7.1066609,69.88727,84.444444,27.326661,-0.21292492,0.10225027,-9.3968807,70.628098,86.765024,28.179172,-0.21439883,0.10349225,22,0.4312917,0.18603718,0.00065141369,207.01992,0.05832817,216.82367,5.3790844,1.8593577e-06,-13.195279,0,-13.192704,204.70105,461,11.139984,3.5905037,5.775598,6.8616237e-06,0,0,0.00087780995,0.2260281,0.012011234,13.581735,1.5534788,42740.223,42784.644,43530.1,A_own,0
300,ok,767.1644,151.78087,615.38353,1,23700,996,800,23600,22800,150.70874,0.0066100325,106.70557,44.003171,17.109189,89.59638,483.66791,0.29197491,3.4106051e-12,-2.5093279,58.690178,70.256963,24.346312,-0.14964909,0.074264662,-3.5421521,59.124995,71.57341,24.700765,-0.14983217,0.073687607,22,0.4173804,0.17420647,0.00055148409,209.66509,0.052625642,198.15336,5.2890413,1.5629259e-06,-13.368951,0,-13.365801,192.91831,418,13.956687,3.6855145,6.4389153,6.4786818e-06,0,0,0.00077257066,0.21589104,0.011132524,16.316759,1.6238134,43932.068,43906.81,44673.974,A_own,1
