bundle,step_from,step_to,dn1,ce32,correct_min,k_eff,kappa_u1k,rms_u,sqrtv_med,frac_lt_eps,margin_med
I_C,22000,24000,185.568,1.51247e-07,1200,521.028,0.0506432,0.00356098,5.94981e-08,0,16.5183
I_C,24000,26000,307.295,8.01186e-08,720,572.444,0.06142,0.00464281,2.68401e-08,0,16.7995
I_C,26000,28000,650.295,0.000303499,726,81.0037,0.00843724,0.187195,0.00306193,0,14.76
I_C,28000,30000,2.44894,7.88112e-05,1120,105.329,0.237584,0.000311975,0.00112587,0,15.8399
I_rev,0,2000,-955.214,0.0122585,417,251.212,0.0400835,0.148392,0.00196565,0,6.05257
I_rev,2000,4000,94.1669,0.00301004,1200,333.586,0.0738468,0.004749,0.000723554,0,6.99137
I_rev,4000,6000,97.387,0.000923773,1200,367.547,0.0680927,0.0039337,0.000266281,0,8.03045
I_rev,6000,8000,103.478,0.000293977,1200,380.054,0.066714,0.00355242,9.79884e-05,0,9.08626
I_rev,8000,10000,106.801,9.72201e-05,1200,405.802,0.0639561,0.00334188,3.60566e-05,0,10.1459
I_rev,10000,12000,107.185,3.20882e-05,1200,414.496,0.0616923,0.00311702,1.32664e-05,0,11.2337
I_rev,12000,14000,109.561,1.06595e-05,1200,420.182,0.0607555,0.00292298,4.8808e-06,0,12.3094
I_rev,14000,16000,109.69,3.52128e-06,1200,429.466,0.0596745,0.00281474,1.79561e-06,0,13.3943
I_rev,16000,18000,106.95,1.17957e-06,1200,437.121,0.0583268,0.00266491,6.60562e-07,0,14.4882
I_rev,18000,20000,101.107,3.92645e-07,1200,441.748,0.057381,0.00251404,2.42993e-07,0,15.5605
I_rev,20000,22000,119.414,1.33365e-07,1200,488.148,0.060126,0.00247286,8.93929e-08,0,16.5339
I_rev,22000,24000,217.982,6.34789e-08,1200,562.766,0.0785607,0.00346744,3.29176e-08,0,16.8574
I_rev,24000,26000,798.623,0.00156385,782,96.8506,0.00537702,0.184961,0.00369098,0,17.2898
I_rev,26000,28000,43.0305,4.24366e-05,764,73.3562,0.24733,0.0394668,0.00169693,0,18.6903
I_rev,28000,30000,1.08002,2.07769e-05,1200,92.2159,0.232722,0.00015972,0.000623962,0,18.6599
I_same,0,2000,2.2561,3.87965e-05,1200,124.744,0.217269,0.000228848,0.000362829,0,15.967
I_same,2000,4000,3.41145,1.95332e-05,1200,140.061,0.19679,0.000267569,0.000133413,0,16.0811
I_same,4000,6000,5.09862,9.36167e-06,1200,157.483,0.183561,0.000323086,4.9056e-05,0,16.1977
I_same,6000,8000,7.45339,4.40973e-06,1200,179.098,0.171214,0.000388898,1.8038e-05,0,16.3323
I_same,8000,10000,10.4997,2.04011e-06,1200,199.95,0.15726,0.00046227,6.63264e-06,0,16.5171
I_same,10000,12000,13.9723,8.87163e-07,1200,219.817,0.144921,0.000547522,2.43886e-06,0,16.702
I_same,12000,14000,18.1398,3.67512e-07,1200,238.853,0.130339,0.000644637,8.96787e-07,0,17.0001
I_same,14000,16000,24.5001,1.44492e-07,1200,260.643,0.116782,0.000747508,3.29758e-07,0,17.3612
I_same,16000,18000,34.3099,5.36938e-08,1200,291.587,0.116191,0.00100291,1.2126e-07,0,17.6691
I_same,18000,20000,72.6883,3.64582e-08,1200,363.809,0.127704,0.00156221,4.4602e-08,0,17.8497
I_same,20000,22000,191.735,3.29812e-08,769,353.106,0.0832122,0.0031915,3.08825e-08,0,18.1225
I_same,22000,24000,470.994,6.23799e-05,884,51.4899,0.158961,0.185183,0.00197095,0,19.4859
I_same,24000,26000,0.904248,2.99737e-05,1039,74.1028,0.243952,0.000193461,0.000832536,0,19.8497
I_same,26000,28000,1.22277,1.43591e-05,1200,90.6061,0.225973,0.000155801,0.000306124,0,19.9242
I_same,28000,30000,1.77041,7.20339e-06,1200,105.138,0.209366,0.000183605,0.000112562,0,19.9974
A_own,0,2000,10.5182,0.000379742,1048,127.004,0.200622,0.144828,0.00105133,0,13.0694
A_own,2000,4000,9.60376,0.000121023,1200,162.981,0.194879,0.000643004,0.000386581,0,13.7862
A_own,4000,6000,10.2729,4.32719e-05,1200,182.913,0.184438,0.000585003,0.000142149,0,14.4095
A_own,6000,8000,11.3233,1.51562e-05,1200,194.832,0.177931,0.000588867,5.22695e-05,0,15.26
A_own,8000,10000,12.1469,5.31483e-06,1200,208.489,0.172732,0.00058646,1.92199e-05,0,15.9501
A_own,10000,12000,12.7938,1.85325e-06,1200,218.939,0.168411,0.000562448,7.06734e-06,0,16.8398
A_own,12000,14000,13.234,6.38712e-07,1200,225.561,0.169406,0.000541048,2.59872e-06,0,17.6578
A_own,14000,16000,13.3253,2.15769e-07,1200,236.2,0.159444,0.000527414,9.55565e-07,0,18.5296
A_own,16000,18000,12.2202,6.93897e-08,1200,247.836,0.174651,0.000539061,3.51369e-07,0,19.413
A_own,18000,20000,8.57662,2.09113e-08,1200,240.529,0.2406,0.000743631,1.29202e-07,0,20.7465
A_own,20000,22000,12.4648,7.89761e-09,1200,194.99,0.202488,0.00166113,4.75164e-08,0,22.761
A_own,22000,24000,610.053,5.83943e-05,933,27.2539,0.00532783,0.176668,0.00223891,0,25.8345
A_own,24000,26000,0.425807,1.33705e-05,1197,44.1631,0.269258,0.000161563,0.000823248,0,25.967
A_own,26000,28000,0.479676,5.64149e-06,1200,55.9892,0.265932,0.000113161,0.000302708,0,26.1403
A_own,28000,30000,0.67115,2.55227e-06,1200,66.5903,0.253902,0.000125453,0.000111306,0,26.355
A_C,0,2000,-326.691,0.0888728,216,290.507,0.0276609,0.151547,0.00124198,0,4.18438
A_C,2000,4000,397.48,0.00449559,1092,337.914,0.0485384,0.0237106,0.00047241,0,6.53743
A_C,4000,6000,202.186,0.000995995,1200,403.169,0.0526021,0.00606568,0.000174158,0,7.9183
A_C,6000,8000,168.027,0.000276023,1200,436.862,0.0525572,0.00453418,6.41345e-05,0,9.14055
A_C,8000,10000,153.284,8.28198e-05,1200,468.261,0.0516271,0.00392605,2.36081e-05,0,10.3107
A_C,10000,12000,144.86,2.57909e-05,1200,487.537,0.0518694,0.00349219,8.68854e-06,0,11.4583
A_C,12000,14000,138.172,8.21841e-06,1200,498.299,0.0519282,0.00321749,3.19714e-06,0,12.5719
A_C,14000,16000,131.687,2.66422e-06,1200,512.796,0.0523827,0.00296294,1.17636e-06,0,13.6639
A_C,16000,18000,126.674,8.69234e-07,1200,526.842,0.0522577,0.00275983,4.32795e-07,0,14.788
A_C,18000,20000,117.402,2.85307e-07,1200,537.258,0.0516124,0.00261699,1.59223e-07,0,15.8181
A_C,20000,22000,102.065,1.07586e-07,1200,574.829,0.0554833,0.00325019,5.86002e-08,0,16.65
A_C,22000,24000,520.804,0.000889834,642,107.59,0.00752927,0.177394,0.00256618,0,11.4783
A_C,24000,26000,7.5367,0.000237493,735,182.433,0.202435,0.00077446,0.00112276,0,11.8481
A_C,26000,28000,6.85158,9.83373e-05,1200,213.226,0.188965,0.000459578,0.000412845,0,12.1136
A_C,28000,30000,9.00899,4.20744e-05,1200,239.792,0.172975,0.000509537,0.000151805,0,12.461
A_same,0,2000,0.910591,1.32271e-06,1200,71.643,0.246623,0.000143198,4.04593e-05,0,26.7051
A_same,2000,4000,1.27212,5.96243e-07,1200,86.3464,0.23713,0.00016371,1.48769e-05,0,26.8919
A_same,4000,6000,1.69538,2.5928e-07,1200,100.366,0.231091,0.000186864,5.47025e-06,0,26.9723
A_same,6000,8000,2.21825,1.09424e-07,1200,113.728,0.220926,0.000207668,2.01141e-06,0,27.1484
A_same,8000,10000,2.68143,4.34617e-08,1200,126.837,0.215567,0.000232318,7.39599e-07,0,27.3951
A_same,10000,12000,2.90851,1.44541e-08,1200,138.165,0.225155,0.000313166,2.71952e-07,0,27.8316
A_same,12000,14000,2.39679,4.27167e-09,1200,142.623,0.279332,0.000613673,9.99986e-08,0,28.7969
A_same,14000,16000,10.6608,1.83781e-09,1200,132.483,0.270969,0.00153172,3.67737e-08,0,29.9324
A_same,16000,18000,642.492,1.77682e-05,921,15.1975,0.00969635,0.179549,0.00218185,0,31.6674
A_same,18000,20000,3.48302,7.41506e-06,1078,23.1242,0.267848,0.00610659,0.00122111,0,32.6945
A_same,20000,22000,0.232285,2.80255e-06,1200,31.0179,0.265308,7.77114e-05,0.000449004,0,32.6678
A_same,22000,24000,0.280112,1.32805e-06,1200,39.0164,0.26526,8.37078e-05,0.000165099,0,32.7533
A_same,24000,26000,0.37497,6.23607e-07,1200,47.2621,0.259664,9.38536e-05,6.0707e-05,0,32.7624
A_same,26000,28000,0.538125,2.89429e-07,1200,54.9938,0.24929,0.000105143,2.23219e-05,0,32.9267
A_same,28000,30000,0.747351,1.32719e-07,1200,63.6337,0.244237,0.00011823,8.20778e-06,0,33.1391
