base,beta2,run,seed,end,len,efolds,tau_L,growth,per_efold,per_step,tau_sqrtv,rms_u,ratio_mean,margin_med_end
I_C,0.9999,I_C_b9999,0,30000,24000,3.8061871,6305.5228,709.38735,186.37742,0.029557806,19998.013,0.0019979264,0.0014247572,10.162872
I_C,0.9999,I_C_b9999,1,30000,24000,3.9253479,6114.1077,601.35375,153.19757,0.025056406,19997.628,0.0019937006,0.0014836698,9.9140167
I_C,0.9999,I_C_b9999,2,30000,24000,3.9164217,6128.0429,690.13267,176.21511,0.028755528,19998.025,0.0022055329,0.0014759427,9.7765808
I_C,0.9999,I_C_b9999,3,30000,24000,3.853619,6227.9121,644.46352,167.23592,0.026852646,19997.566,0.0019713933,0.0013903576,10.122559
I_C,0.9999,I_C_b9999,4,30000,24000,3.8138848,6292.7963,697.75762,182.95194,0.029073234,19997.599,0.001966758,0.0014828676,10.450264
I_C,0.9999,I_C_b9999,5,30000,24000,3.9985591,6002.1621,488.09644,122.06808,0.020337352,19997.25,0.0017417562,0.0011828621,10.266315
I_C,0.9999,I_C_b9999,6,30000,24000,3.9610604,6058.9836,782.17635,197.4664,0.032590681,19997.968,0.0021427025,0.0015758145,10.446106
I_C,0.9999,I_C_b9999,7,30000,24000,3.6137293,6641.3385,484.76215,134.14456,0.020198423,19996.883,0.0014663157,0.0011115554,10.143646
I_C,0.9999,I_C_b9999,8,30000,24000,3.8085948,6301.5368,687.10645,180.40944,0.028629435,19997.473,0.0020058242,0.0015146582,10.245575
I_C,0.9999,I_C_b9999,9,30000,24000,3.9122554,6134.5688,723.5428,184.94263,0.030147617,19997.794,0.0020751967,0.0015154931,10.376148
A_own,0.999,A_own,0,23100,17100,8.5987184,1988.6684,139.22597,16.191479,0.0081418696,1999.0909,0.0010631785,0.00081711279,25.303761
A_own,0.999,A_own,1,23600,17600,7.8023208,2255.7391,128.04358,16.410961,0.0072752035,1999.1249,0.0013690208,0.00075486852,25.135101
A_own,0.999,A_own,2,23200,17200,8.3163172,2068.2232,121.99533,14.669394,0.0070927519,1999.1184,0.0012120479,0.00077944997,25.202698
A_own,0.999,A_own,3,23500,17500,4.8404784,3615.3451,145.26027,30.009486,0.0083005869,1999.128,0.0014221323,0.00074685631,25.465607
A_own,0.999,A_own,4,22900,16900,6.8236764,2476.6708,116.32669,17.04751,0.0068832362,1999.0912,0.0011421697,0.00077951766,24.164215
A_own,0.999,A_own,5,23000,17000,8.4149817,2020.2064,101.6896,12.084352,0.0059817415,1999.0975,0.0011270823,0.00080301623,25.153839
A_own,0.999,A_own,6,22900,16900,7.9340161,2130.0688,129.77823,16.357192,0.0076791851,1999.0917,0.0011872316,0.00079861398,24.134827
A_own,0.999,A_own,7,23700,17700,8.412216,2104.0829,123.78931,14.715422,0.0069937464,1999.1346,0.0014246313,0.00085141762,24.905098
A_own,0.999,A_own,8,23000,17000,8.2153601,2069.2946,118.85886,14.467882,0.0069916977,1999.112,0.0011184776,0.00088204275,23.751682
A_own,0.999,A_own,9,23300,17300,7.7142927,2242.5906,124.45132,16.132563,0.0071937177,1999.1128,0.0011852789,0.00063021475,24.932526
A_own,0.99,A_own_b99,0,7800,1800,7.2645828,247.77748,89.829543,12.36541,0.049905302,199.38198,0.0051502414,0.0067524928,20.001808
A_own,0.99,A_own_b99,1,8300,2300,-3.5921785,,190.45245,,0.082805412,775.53991,0.062836453,0.0065593796,23.60273
A_own,0.99,A_own_b99,2,6800,800,1.3735551,582.43023,22.939476,16.700805,0.028674345,199.42051,0.0058440057,0.0042498191,15.909023
A_own,0.99,A_own_b99,3,7900,1900,-2.1249763,,84.508758,,0.044478293,211.23074,0.016553264,0.0061819914,21.583519
A_own,0.99,A_own_b99,4,7700,1700,6.483069,262.22149,80.464598,12.411498,0.047332117,199.3,0.0046081637,0.0068523778,19.351952
A_own,0.99,A_own_b99,5,7900,1900,7.7079534,246.49864,86.669586,11.244176,0.045615572,199.38091,0.0048660632,0.0067306975,20.918882
A_own,0.99,A_own_b99,6,8100,2100,7.7200415,272.01926,95.978027,12.43232,0.045703822,199.70268,0.0059688667,0.0065583078,23.602936
A_own,0.99,A_own_b99,7,7900,1900,7.3564601,258.2764,94.301999,12.818937,0.049632631,199.43268,0.0052499105,0.0070017553,20.954971
A_own,0.99,A_own_b99,8,8000,2000,7.6499271,261.4404,94.787146,12.390595,0.047393573,199.53267,0.0054159496,0.007112991,21.375656
A_own,0.99,A_own_b99,9,8000,2000,7.3047876,273.79304,72.088532,9.8686692,0.036044266,199.33339,0.0044332732,0.005669718,22.435448
A_own,0.9999,A_own_b9999,0,30000,24000,3.4913648,6874.1026,43.093994,12.343022,0.0017955831,19995.655,0.00020009772,0.00015778592,15.986975
A_own,0.9999,A_own_b9999,1,30000,24000,3.239159,7409.3305,34.984874,10.800604,0.0014577031,19995.685,0.00017203924,0.00014551657,17.60677
A_own,0.9999,A_own_b9999,2,30000,24000,3.3136955,7242.669,37.46443,11.305936,0.0015610179,19995.691,0.00017844871,0.00014472193,16.984087
A_own,0.9999,A_own_b9999,3,30000,24000,3.2613312,7358.9582,36.725043,11.260752,0.0015302101,19995.696,0.00016730306,0.00014016871,16.946976
A_own,0.9999,A_own_b9999,4,30000,24000,3.2828209,7310.7858,39.182982,11.935766,0.0016326242,19995.7,0.00017014515,0.00014082054,17.109058
A_own,0.9999,A_own_b9999,5,30000,24000,3.3922113,7075.031,40.668422,11.988765,0.0016945176,19995.729,0.00019457564,0.00015620597,16.744671
A_own,0.9999,A_own_b9999,6,30000,24000,3.330967,7205.1149,37.168365,11.158431,0.0015486819,19995.719,0.00018594521,0.00015508216,17.861641
A_own,0.9999,A_own_b9999,7,30000,24000,3.2425444,7401.5948,43.317561,13.359126,0.0018048984,19995.682,0.00018832589,0.00015680925,17.029312
A_own,0.9999,A_own_b9999,8,30000,24000,3.3342129,7198.1006,43.303336,12.987574,0.0018043057,19995.706,0.00020042651,0.00016909988,16.279705
A_own,0.9999,A_own_b9999,9,30000,24000,3.0696164,7818.5666,26.776525,8.7230851,0.0011156885,19995.689,0.00013394184,0.00011762768,18.818817
