act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,l2,0.001,0.001,6,32,0.9651479167,1,1,0,0,-0.1919654012,1.124639511,-10.34438515,0.9352573752,57.41398732,0,0,-1.315977931,2.455847263,-7.554218769,0.7426682711,58.56845504,1.24853611,1.003759384,2.256266356,0.5435058475,0.2007379979,3,0.009999999776,1.200000048,0.250125587,0.1194911823,3,0.07999999821,1.200000048,0.3095892239,0.3095892239,0.38010764,0.09290761012
SNA,l2,0.001,0.001,6,33,0.9638708333,1,1,0,0,-0.4658130407,1.172287822,-9.325924873,0.7940974236,61.37659624,0,0,-1.01521647,1.803558111,-4.789978504,0.6635282636,57.22785888,1.345479488,0.9118529558,2.199003696,0.5195556283,0.2268228978,3,0.01999999955,1.200000048,0.3383359313,0.1654682159,3,0.0700000003,1.200000048,0.3163559475,0.3163559475,0.3855957038,0.09770818402
SNA,l2,0.001,0.001,6,34,0.9651020833,1,1,0,0,-0.2595231235,1.20934248,-10.60005569,0.8496633172,57.28487877,0,0,-1.159682393,1.960444093,-7.535923004,0.6960679293,54.92036225,1.263835073,0.9577843547,2.257715464,0.5104025006,0.2001990825,3,0.05999999866,1.200000048,0.3203413785,0.1405664384,3,0.09000000358,1.200000048,0.3055193657,0.3055193657,0.3767677373,0.09109760081
SNA,l2,0.001,0.001,6,35,0.9635354167,0.9383333325,0.9383333325,0,0,-0.626334548,1.2308321,-9.67166996,0.7358635664,61.89768783,0,0,-1.569299102,2.07375598,-6.47095108,0.6624594927,59.08943097,1.4282341,1.028474092,2.275483131,0.5072658658,0.2204807252,2.301398516,0,1.200000048,0.286624819,0.1369329393,3,0.05999999866,1.200000048,0.356756019,0.356756019,0.4269486603,0.1190104857
SNA,l2,0.001,0.001,6,36,0.9640145833,1,1,0,0,-0.4668985605,1.253849983,-9.472607613,0.7938068509,58.55199092,0,0,-1.233011603,1.96220541,-5.865078926,0.720479548,58.53543095,1.320929766,0.945494473,2.241734266,0.4867013991,0.219617337,3,0.01999999955,1.200000048,0.3141094446,0.1330554634,3,0.05000000075,1.200000048,0.3134674016,0.3134674016,0.3844951571,0.09538116507
SNA,l2,0.001,0.001,6,37,0.9646541667,0.9491666555,0.9491666555,0,0,-0.6381481886,1.224040747,-8.606111526,0.7250839472,62.06759056,0,0,-0.9986371994,1.687438488,-6.481155872,0.7277989388,59.29779971,1.281506538,0.928679347,2.24664259,0.5274043083,0.2500161529,3,0.01999999955,1.200000048,0.3611134589,0.1529187262,3,0.05999999866,1.200000048,0.31150105,0.31150105,0.3805800989,0.09473068532
SNA,l2,0.001,0.001,6,38,0.9645583333,1,1,0,0,-0.6129769683,1.203753948,-8.185126305,0.794928968,62.20461392,0,0,-0.7886873484,1.539401174,-5.282760143,0.6988617182,57.60648946,1.324182749,0.8488707542,2.17517519,0.5055827498,0.2547619641,3,0.009999999776,1.200000048,0.3900169134,0.1747692227,3,0.05000000075,1.200000048,0.306613629,0.306613629,0.3778672705,0.09252525517
SNA,l2,0.001,0.001,6,39,0.9626270833,0.7941666842,0.7941666842,0,0,-0.64830935,1.165463448,-10.84089851,0.7440927029,59.68960405,0,0,-1.080702543,1.658753395,-6.610093594,0.6411857605,55.40754399,1.249961615,0.8947330713,2.255821466,0.5476332903,0.203317225,3,0.03999999911,1.200000048,0.3654339314,0.1432685852,3,0.05000000075,1.200000048,0.2981827679,0.2981827679,0.3689675264,0.08830739283
SNA,l2,0.001,0.001,6,40,0.9650875,1,1,0,0,-0.5203327537,1.083330154,-8.966759682,0.7967371345,59.83009681,0,0,-0.5647444725,1.416700363,-7.246594906,0.8354349732,52.58919672,1.161892056,0.8247611523,2.167511225,0.5579413176,0.2330775708,3,0.05000000075,1.200000048,0.4093441069,0.168015331,3,0.09000000358,1.200000048,0.2709359744,0.2709359744,0.3437053163,0.07431364696
SNA,l2,0.001,0.001,6,41,0.9638270833,1,1,0,0,-0.4232481122,1.095000863,-8.622478485,0.8198313117,62.05226031,0,0,-0.6561384797,1.416156888,-5.231194019,0.7457252741,52.99933612,1.235255837,0.8661738038,2.172840357,0.5592836142,0.2432756275,3,0.05000000075,1.200000048,0.414354831,0.153910771,3,0.07999999821,1.200000048,0.2900183761,0.2900183761,0.3605394132,0.08412876414
SNA,l2,0.001,0.001,6,42,0.963825,1,1,0,0,-0.2465827167,1.226853013,-10.23049641,0.8246673346,59.03950837,0,0,-1.056894779,2.082939148,-5.74957037,0.7279435396,61.5081139,1.376037598,0.9753361344,2.25280571,0.5001473427,0.203454271,3,0.07999999821,1.200000048,0.2878322303,0.1568187475,3,0.03999999911,1.200000048,0.3358580776,0.3358580776,0.4055366547,0.1074174752
SNA,l2,0.001,0.001,6,43,0.9650375,1,1,0,0,-0.2861107886,1.183562517,-11.72278118,0.8450583816,59.06373847,0,0,-1.122233868,1.902351618,-5.704380989,0.7213385701,57.48121185,1.310351133,0.9569300413,2.209454298,0.5160703063,0.180407241,3,0.02999999933,1.200000048,0.3245416284,0.1603483558,3,0.05000000075,1.200000048,0.3143392192,0.3143392192,0.3837657493,0.09626421528
SNA,l2,0.001,0.001,6,44,0.96246875,0.9975000024,0.9975000024,0,0,-0.5110880136,1.276553869,-9.207692146,0.743070364,62.37196402,0,0,-1.451763511,2.022243023,-6.226453304,0.6791620255,59.70958118,1.378596544,0.9489036202,2.229859829,0.4911222756,0.2207613885,3,0.009999999776,1.200000048,0.3076279163,0.1582203656,3,0.03999999911,1.200000048,0.3422666951,0.3422666951,0.4113207983,0.1113181785
SNA,l2,0.001,0.001,6,45,0.9628354167,0.989166677,0.989166677,0,0,-0.5168645978,1.197920561,-11.62625694,0.7348543406,59.20434312,0,0,-1.316379547,2.070130587,-6.098608017,0.6546344161,60.44062798,1.384853721,1.017818093,2.273864746,0.5122561455,0.1842024326,3,0.009999999776,1.200000048,0.2980324924,0.1410579979,3,0.03999999911,1.200000048,0.3385212414,0.3385212414,0.4092831113,0.1089902383
SNA,l2,0.001,0.001,6,46,0.96398125,1,1,0,0,-0.3026177585,1.210910916,-10.13816071,0.9347366095,60.61058443,0,0,-1.28703928,2.108045578,-7.468177319,0.6765608788,59.2938486,1.319007277,0.9844293594,2.265530586,0.5067362189,0.2118698955,3,0.009999999776,1.200000048,0.2846545577,0.1523341686,3,0.03999999911,1.200000048,0.3241981698,0.3241981698,0.3946098214,0.1010593334
SNA,l2,0.001,0.001,6,47,0.9637333333,1,1,0,0,-0.4959833324,1.180714726,-10.21230602,0.7401999235,61.60506706,0,0,-1.032418609,1.926029444,-6.711848259,0.671957016,56.4905665,1.386938334,0.9321191907,2.222212076,0.5201390386,0.2000097781,2.965955734,0,1.200000048,0.3139909208,0.1586535871,3,0.05999999866,1.200000048,0.3322371674,0.3322371674,0.4045184336,0.1063495344
SNA,l2,0.001,0.001,6,48,0.9635083333,1,1,0,0,-0.2871007621,1.120173812,-10.19999599,0.8386126161,57.91939758,0,0,-0.7080786228,1.744591117,-7.525758266,0.7991576195,54.50346005,1.189754844,0.9206606746,2.212630749,0.5479730964,0.2022749335,3,0.05000000075,1.200000048,0.3521926999,0.165043205,3,0.0700000003,1.200000048,0.2815619098,0.2815619098,0.3538239492,0.07930672389
SNA,l2,0.001,0.001,6,49,0.9645854167,1,1,0,0,-0.2934340239,1.178077459,-10.20687866,0.8595933914,58.64305848,0,0,-1.295912623,2.009554863,-5.970964432,0.6695891023,57.6686898,1.331902504,0.9436945319,2.275697231,0.5173315406,0.2052189261,3,0.03999999911,1.200000048,0.3064939976,0.1368367523,3,0.0700000003,1.200000048,0.3204481082,0.3204481082,0.3912370647,0.09934421369
SNA,l2,0.001,0.001,6,50,0.9629,1,1,0,0,-0.3951466382,1.307326555,-10.46889019,0.8692541718,57.56544178,0,0,-1.910273671,2.395322561,-5.586745262,0.6696283221,61.79434396,1.382634997,1.026902437,2.281341553,0.4634518027,0.2031770498,3,0.009999999776,1.200000048,0.2603785098,0.1175389215,3,0.01999999955,1.200000048,0.3384569696,0.3384569696,0.4105642491,0.1084506644
