arm,seed,step,task,window,layer,centered,unfit,eval_loss_exact,dose,mu_norm,sigma_rms,submerged_count,submerged_frac,mobility_mean,eff_rank,w_norm_median,preact_sd_median,median_M,median_B,median_s,finite_s_count,total_units
LR_A1,0,60000,6,task_end_t1_500,1,1,0.0018339182812765302,0.0024934321842200024,0.3947855675546279,0.09869639188865698,0.25,1,0.01,0.5283437371253967,17.343258955547363,1.4505757140369555,0.37534146484184716,-0.0007868622065268763,-0.05381039126499793,-0.0842457190155983,100,100
LR_A1,0,60000,6,task_end_t1_500,2,0,0.0018339182812765302,0.0024934321842200024,7.336714855819761,1.6899295938997287,0.23033873158627835,18,0.18,0.3233124911785126,20.490359851628696,1.4532506768508544,0.35659578144272525,-0.6560392355901821,-0.2040172774257834,-0.8900256715714931,100,100
LR_A1,0,70000,7,task_end_t1_500,1,1,0.0015733471275249495,0.001949666806225033,0.41842495051187095,0.10460623762796774,0.25,0,0.0,0.5083749890327454,17.161045922984083,1.453602929173773,0.36849296672057813,-0.0040756153271907895,-0.12648397087574645,-0.11307989526540041,100,100
LR_A1,0,70000,7,task_end_t1_500,2,0,0.0015733471275249495,0.001949666806225033,7.786969590845627,1.7427714797036145,0.22380612372654174,26,0.26,0.31206247210502625,18.74735317621532,1.4577354767569957,0.34844151427706826,-0.8001944501811571,-0.22420827668702425,-0.9476641491055489,100,100
LR_A1,0,80000,8,task_end_t1_500,1,1,0.0006388433799976967,0.0013160077027553657,0.09865733760754157,0.024664334401885393,0.25,0,0.0,0.5179374814033508,17.475156554670754,1.4561582637866683,0.37664862002732036,0.00022308333463695666,-0.08236837970451305,-0.11167309619486332,100,100
LR_A1,0,80000,8,task_end_t1_500,2,0,0.0006388433799976967,0.0013160077027553657,7.210299947637511,1.6513876852374187,0.2290317597367782,23,0.23,0.2892812490463257,20.76931472346574,1.4616738223126182,0.3822509582646456,-0.7887910239937155,-0.2348454251345396,-1.02283126860857,100,100
LR_A1,0,90000,9,task_end_t1_500,1,1,0.0003392105048929446,0.00035804133782708263,0.31549110273918685,0.07887277568479671,0.25,0,0.0,0.5078125,17.470760396162277,1.4558103662446102,0.3705024880050847,-9.37839537964721e-05,-0.10459536747809889,-0.09477367158979177,100,100
LR_A1,0,90000,9,task_end_t1_500,2,0,0.0003392105048929446,0.00035804133782708263,7.268464644470765,1.6534182041978587,0.22747833071674084,23,0.23,0.2982812225818634,19.614852436504602,1.4617801001361839,0.39436845719360986,-0.7524270818310697,-0.237652015187233,-0.9492070861160755,100,100
LR_A1,0,100000,10,task_end_t1_500,1,1,0.00043605293067298836,0.000558680979361714,0.205379314179745,0.05134482854493625,0.25,0,0.0,0.5123124718666077,17.505715444544776,1.4648586627862357,0.3769534087953678,0.009332425288684712,-0.12467141324472975,-0.1335594360716641,100,100
LR_A1,0,100000,10,task_end_t1_500,2,0,0.00043605293067298836,0.000558680979361714,7.212417373830126,1.6810056036197316,0.23307103797392137,23,0.23,0.2667812407016754,21.203505134811653,1.4660152963784308,0.38184369342188135,-0.8758873278959114,-0.2612164056262896,-1.0964401587843895,100,100
LR_A1,0,110000,11,task_end_t1_500,1,1,0.0008389653915114742,0.001087980811393205,0.2912370732306311,0.07280926830765777,0.25,0,0.0,0.5069687962532043,17.259583618049497,1.4609797239359748,0.3738213190382703,0.001438177491292169,-0.05523154004119621,-0.07612745743244886,100,100
