arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,s_l1,s_l2
CS,raw,6,6,0.001,1,none,0.9812708333,1,1,0,0,0.1456611156,11.04489899,-0.2443915606,0.5058333278,70.22034248,0.4946250021,0.01152337622,0.5058333278,0.4858750105,0,-0.01518502273,0.01798911206,0.9999995828,0.7248703241,0.03999999911,0.03999999911,2.815373659,2.073232174,-2.519360781,0.9375,33.3055107,0.1228250042,1.400505304,0.9375,0.08239167184,0.05999999866,0.3972816169,0.07853348553,0.05748134106,4.616839886,0.6809206605,8.921598434,2.817268133,5.665102959,8.78550148,3.576672316
CS,raw,6,6,0.001,2,none,0.9421979167,1,1,0,0,0.1812527329,14.6997385,-0.2532973886,0.5024999976,69.30256824,0.4970999956,0.01028474793,0.5024999976,0.4858999848,0,-0.02908826806,0.0159862861,0.9999998808,0.8843761683,0.09999999404,0.09999999404,-3.128109694,3.003162861,-8.013033867,0.1125000045,83.28551316,0.8368333578,-1.095193624,0.1125000045,0.1475999951,0.1400000006,-0.3768011034,0.04929561168,4.013191987e+10,8.013033867,0.6770604849,10.53182697,3.676361561,12.42525482,12.90344715,1.708172679
CS,raw,6,6,0.001,3,none,0.1869979167,0.1941666752,0.1941666752,0,0,0.2187563628,19.92580032,-0.1701331139,0.5033333302,60.65724355,0.4956666827,0.008689174429,0.5033333302,0.4833500087,0,-0.0567907095,0.01483798306,0.9999995828,0.9254911542,0.5999999642,0.5999999642,-8.133309364,3.573989391,-11.86944866,0,38.58102743,0.9979833364,-2.245950222,0,0.002016666578,0.9399999976,-0.7328219414,0.05048666522,-1.263626977e+11,11.86944866,0.684726119,11.16917133,3.825726748,13.57073212,19.96735954,0.08227276802
CS,raw,6,6,0.001,4,none,0.1239479167,0.125,0.125,0,0,0.2553771436,22.15088463,-0.1790211797,0.5058333278,59.61789231,0.4955833256,0.01018333621,0.5058333278,0.4819833338,0,-0.04785270989,0.01403113175,1,0.999333322,0.9199999571,0.9199999571,-8.844719887,3.701111078,-15.49793625,0,7.97994911,0.9998999834,-2.36970973,0,9.999999747e-05,1,-0.7172759771,0.05469006673,-1.611778294e+11,15.49793625,0.6843288541,11.66239548,3.84813118,13.54366302,20.71090126,0.01603137143
CS,raw,6,6,0.001,5,none,0.1179979167,0.1183333397,0.1183333397,0,0,0.2553760111,22.150877,-0.1790212244,0.5058333278,59.6179581,0.4955916703,0.01018336229,0.5058333278,0.481975019,0,-0.04785882682,0.01403116807,1.000000119,0.9993340373,1,1,-8.962143898,3.706884861,-17.04900742,0,0,1,-2.379631996,0,0,1,-0.7207286954,0.05540477484,-1.663427543e+11,17.04900742,0.6843987703,11.6624012,3.84813118,13.52723885,20.62648201,2.64697796e-22
CS,raw,6,6,0.001,6,none,0.1158625,0.1166666672,0.1166666672,0,0,0.3132197559,25.08397675,-0.1953581721,0.5041666627,58.59948771,0.4977750182,0.01022018958,0.5041666627,0.4823916554,0,-0.02472709119,0.01386054978,0.9999992251,1.071688056,0.9799999595,0.9799999595,-9.319807053,3.90271616,-17.05999947,0,1.998692644,0.9999833703,-2.382789135,0,1.666666685e-05,1,-0.7356091738,0.05384142324,-1.73632684e+11,17.05999947,0.6855964065,11.89306641,3.84813118,13.50778961,22.64296913,0.001932597836
CS,raw,6,6,0.001,7,none,0.1112375,0.1116666719,0.1116666719,0,0,0.3435424864,24.80552864,-0.2268177271,0.5033333302,58.70674659,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.0232837107,0.01435246039,0.9999989271,1.079447508,0.9899999499,0.9899999499,-9.339559555,3.866831541,-17.10303879,0,1,0.9999916553,-2.402282476,0,8.333333426e-06,1,-0.7392364144,0.05458751321,-1.752209818e+11,17.10303879,0.6856735349,12.03184605,3.84813118,13.50778008,22.7435627,0.001774199423
CS,raw,6,6,0.001,8,none,0.1180625,0.1183333397,0.1183333397,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70795977,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.323727608,3.859209776,-17.09407997,0,0,1,-2.405082464,0,0,1,-0.7393362522,0.05461301655,-1.755386348e+11,17.09407997,0.6858155131,12.031847,3.84813118,13.50778008,22.79385185,2.64697796e-22
CS,raw,6,6,0.001,9,none,0.1082020833,0.1083333343,0.1083333343,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.7073804,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.334926605,3.861453295,-17.10102654,0,0,1,-2.404938459,0,0,1,-0.7385754585,0.0545812808,-1.755386348e+11,17.10102654,0.6857054234,12.031847,3.84813118,13.50778008,22.75629234,2.64697796e-22
CS,raw,6,6,0.001,10,none,0.1173833333,0.1174999997,0.1174999997,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.7058065,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.337722778,3.865923405,-17.09900665,0,0,1,-2.405138016,0,0,1,-0.7386116982,0.05451817438,-1.755386348e+11,17.09900665,0.6857352853,12.031847,3.84813118,13.50778008,22.77483177,2.64697796e-22
