act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2,pen_wt_total,pen_rest_total
R,l2rest,0,0.001,4,11,0.3434541667,0.3975000083,0.3975000083,0.2700000107,0.2700000107,-22.70344543,10.67726517,-40.23925018,0.004999999888,67.80937983,0,0,-2.137104988,13.05216885,-6.673550606,0.2591666579,74.08919082,20.72194099,14.76220894,1.349821925,0.04188705453,0.6047021634,20.82344351,25.3683575,44.58792283,35.80448909,3.660930184e-07,-5.549562308e-41,0.8,0.8,nan,nan,nan,12.83792724,14.80273787,17.30218948,18.56079611,25.6324872,5.925175501e-06,-0.001262486447,1,1,nan,nan,nan,61.62908704,0.04188705453
R,l2rest,0,0.001,4,12,0.2904604167,0.3199999928,0.3199999928,0.2700000107,0.2700000107,-23.02033424,10.87447357,-40.22106171,0.003333333414,68.19026506,0,0,-1.499029279,12.59506035,-4.945541382,0.8075000048,73.05882898,21.19897652,14.91924286,1.096596479,0.02502446399,0.6047021634,21.23685948,25.73735973,44.94860032,36.55714457,7.644603658e-07,5.724794681e-41,0.8,0.8,nan,nan,nan,13.16851584,14.92430389,17.24512397,18.63644118,26.19257281,2.172157168e-05,0.006364732049,1,1,nan,nan,nan,63.63189859,0.02502446399
R,l2rest,0,0.001,4,13,0.2902354167,0.3549999893,0.3549999893,0.2800000012,0.2800000012,-24.07100296,11.13288307,-40.22106171,0.004166666884,66.68535944,0,0,-1.787603736,13.43029976,-5.827651978,0.1908333302,72.98258908,21.63558578,15.19753647,1.354447126,0.03324217634,0.6047021634,21.64633453,26.11098387,48.23470312,36.85876119,4.603510076e-07,-1.864147347e-41,0.8,0.8,nan,nan,nan,13.2709379,15.24543007,17.77435826,19.28767786,26.47937967,6.753264461e-06,-0.002060887753,1,1,nan,nan,nan,65.87978668,0.03324217634
R,l2rest,0,0.001,4,14,0.27546875,0.3066666722,0.3066666722,0.2800000012,0.2800000012,-25.42974663,11.66577721,-40.67165756,0.003333333414,65.9591092,0,0,-1.284158349,13.05292511,-4.096191883,0.1141666695,73.1907813,21.70725632,15.51926899,1.069243789,0.02233069464,0.6047021634,21.79957039,26.18414587,48.86654872,37.13653215,2.003347692e-07,-1.702710758e-40,0.8,0.8,nan,nan,nan,13.30690885,15.52008882,18.25273716,19.46363304,26.6689657,3.688592697e-06,-0.001627027988,1,1,nan,nan,nan,67.38458312,0.02233069464
R,l2rest,0,0.001,4,15,0.2724375,0.3133333325,0.3133333325,0.2899999917,0.2899999917,-24.75900841,11.63396454,-40.22106171,0.003333333414,64.28302207,0,0,-1.948557138,15.00714874,-6.71639967,0.1458333284,73.35467868,21.99572945,15.74290276,1.124446988,0.02526067974,0.6047021634,22.01352181,26.66525774,50.71691204,37.71580869,9.81286724e-07,-5.549562308e-41,0.8,0.8,nan,nan,nan,13.58760486,15.76313655,18.30547749,19.60835866,26.9497586,2.213002648e-05,-0.001822744671,1,1,nan,nan,nan,69.06572471,0.02526067974
R,l2rest,0,0.001,4,16,0.2760104167,0.3149999976,0.3149999976,0.2899999917,0.2899999917,-26.15786743,11.82391262,-40.7118454,0.003333333414,65.12098326,0,0,-1.850420475,14.84495258,-5.688572407,0.1358333379,74.12872483,21.96616745,15.8679657,0.927541852,0.02059486029,0.6047021634,22.01462833,26.99111957,50.70207651,37.93673824,5.578737301e-07,4.152467739e-41,0.8,0.8,nan,nan,nan,13.74557563,15.88492961,18.53200629,19.98483906,27.27114789,1.008905005e-05,-0.001872163673,1,1,nan,nan,nan,70.38060585,0.02059486029
R,l2rest,0,0.001,4,17,0.2749458333,0.3100000024,0.3100000024,0.2899999917,0.2899999917,-26.99648094,12.20638084,-41.06659698,0.002499999944,65.7232573,0,0,-1.980186939,14.75447369,-5.769151688,0.1341666728,74.80586133,22.33209038,16.07682228,1.176285505,0.02299208652,0.6047021634,22.36285297,27.12480102,51.98420277,38.29565238,2.987312748e-07,-1.864147347e-41,0.8,0.8,nan,nan,nan,13.79761922,16.09789804,18.70447875,20.11711329,27.92091503,4.191555781e-06,-0.00136343023,1,1,nan,nan,nan,72.01342732,0.02299208652
R,l2rest,0,0.001,4,18,0.2739854167,0.3066666722,0.3066666722,0.2899999917,0.2899999917,-27.19789314,12.23077393,-42.59902573,0.002499999944,65.9084278,0,0,-2.039974451,15.4575243,-6.131106377,0.1358333379,74.50844187,22.33209038,16.25732231,1.118927121,0.02167315254,0.6047021634,22.43284112,27.49345858,52.92554887,38.38156586,5.761579888e-07,-2.969701771e-41,0.8,0.8,nan,nan,nan,13.74999444,16.25965613,19.01203336,20.67904668,28.53032463,7.504113019e-06,-0.001026630023,1,1,nan,nan,nan,73.46155541,0.02167315254
R,l2rest,0,0.001,4,19,0.2659625,0.2983333468,0.2983333468,0.2899999917,0.2899999917,-27.58488655,12.34422398,-41.49409866,0.002499999944,64.86980675,0,0,-2.208251238,16.13096619,-6.603441715,0.1316666603,74.93525715,22.33209038,16.50045204,1.117220283,0.01623755032,0.6047021634,22.47430516,28.01277889,53.25179938,38.76914412,2.465847105e-07,2.606064819e-41,0.8,0.8,nan,nan,nan,13.82301468,16.50559958,19.2181567,20.65032094,28.51690818,4.794921551e-06,-0.0005383514508,1,1,nan,nan,nan,74.85420064,0.01623755032
R,l2rest,0,0.001,4,20,0.2702,0.3183333278,0.3183333278,0.2899999917,0.2899999917,-26.81825829,12.40003395,-41.69087219,0.003333333414,65.33362267,0,0,-2.778632641,17.81997681,-7.136260509,0.1299999952,75.80452541,22.48669624,16.67648315,1.040018439,0.01957217911,0.6047021634,22.61087812,28.70926554,53.31135233,39.02872644,4.836024624e-07,5.63469119e-41,0.8,0.8,nan,nan,nan,14.02026007,16.6765023,19.74804688,20.97905701,28.8973894,9.50823538e-06,-0.002190117608,1,1,nan,nan,nan,76.81577976,0.01957217911
