arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LL,raw,0,0,0.001,38,none,0.7306145833,0.9958333373,0.9958333373,0,0,-28.56051254,12.84899902,-50.37042618,0.1074999645,63.87127781,0,0,-20.4323616,10.44316864,-37.07382965,0.1284999698,68.23620089,28.8816433,4.924353123,5.145945549
LL,raw,0,0,0.001,39,none,0.7404041667,0.8791666627,0.8791666627,0,0,-30.24291801,13.26252556,-54.72657776,0.1074999645,61.53042366,0,0,-21.55476379,9.973237991,-43.12839127,0.1149999499,61.60476662,29.2910099,4.979915142,5.12787199
LL,raw,0,0,0.001,40,none,0.72106875,0.9983333349,0.9983333349,0,0,-26.86076546,13.14914036,-48.90203094,0.112749964,67.78495881,0,0,-20.54253197,11.00771904,-35.59059906,0.133749947,72.27365605,29.4806385,5.030762672,5.079191208
LL,raw,0,0,0.001,41,none,0.7362604167,0.9991666675,0.9991666675,0,0,-27.82019997,13.22446346,-54.95497513,0.1119999588,67.23387476,0,0,-23.50036621,11.14778709,-38.19100189,0.1239999682,67.85375974,29.86077881,5.073633671,5.073898315
LL,raw,0,0,0.001,42,none,0.7311833333,0.9591667056,0.9591667056,0,0,-29.19569397,13.26274776,-49.6635437,0.1074999645,64.64199418,0,0,-22.96130943,10.87469101,-44.76103592,0.1172499657,65.04599686,30.17144203,5.045293331,5.086772442
LL,raw,0,0,0.001,43,none,0.730425,0.9983333349,0.9983333349,0,0,-28.13108826,12.86878967,-51.52119064,0.1104999706,66.66273457,0,0,-20.78685188,10.48854256,-42.13476181,0.1292499602,70.43500835,30.39652443,5.083223343,5.111969948
LL,raw,0,0,0.001,44,none,0.7289,0.9633333683,0.9633333683,0,0,-30.22507286,13.42306042,-50.69440079,0.1074999645,62.58103079,0,0,-20.24582291,10.03404999,-46.1580162,0.1217499599,66.5223603,30.62377167,5.048887253,5.068708897
LL,raw,0,0,0.001,45,none,0.7185895833,0.9850000143,0.9850000143,0,0,-28.8712635,12.71475697,-45.34008408,0.1082499698,65.00997957,0,0,-18.75501442,10.1855545,-32.56415176,0.1277499646,71.17635612,30.95652199,5.125555515,5.374120712
LL,raw,0,0,0.001,46,none,0.7235041667,0.9983333349,0.9983333349,0,0,-27.5892849,13.0217123,-51.48320389,0.1089999676,65.62170899,0,0,-20.84773827,10.51151085,-38.6558075,0.1209999621,68.35463283,31.27649689,5.222826004,5.135649681
LL,raw,0,0,0.001,47,none,0.7340020833,0.9950000048,0.9950000048,0,0,-29.0910778,13.38529778,-46.28914642,0.1089999676,66.0351918,0,0,-22.09342575,11.03948879,-40.42733002,0.1202499643,68.3076956,31.53938103,5.169593811,5.218095303
LL,raw,0,0,0.001,48,none,0.7243833333,0.6633333564,0.6633333564,0,0,-31.81852341,13.60138988,-48.78367233,0.1044999734,62.6861959,0,0,-25.3491497,10.87567139,-41.41539764,0.1119999737,59.71064147,31.79488754,5.227536201,5.267110348
LL,raw,0,0,0.001,49,none,0.7422354167,0.9841666818,0.9841666818,0,0,-30.59896469,13.04461384,-50.63251495,0.1059999615,61.73298797,0,0,-23.83884811,10.17413425,-47.02742386,0.1134999618,62.9216965,32.13948059,5.259187222,5.263834953
LL,raw,0,0,0.001,50,none,0.7303770833,0.9983333349,0.9983333349,0,0,-29.31438828,13.30303955,-53.26311874,0.1104999557,66.22293861,0,0,-22.33610153,11.43780327,-39.50097275,0.1239999533,68.80677728,32.38212204,5.248569965,5.155304432
LL,raw,1,1,0.001,1,none,0.8713354167,1,1,0,0,-3.638403893,5.139031887,-18.48385429,0.3190000355,55.55220751,0,0,0.4949258566,4.958811283,-4.55573082,0.5807501078,59.42186552,3.549029112,1.394477129,2.637304544
LL,raw,1,1,0.001,2,none,0.8697979167,1,1,0,0,-9.667164803,7.548470974,-40.6678009,0.1674999595,58.92133044,0,0,-3.26222682,6.663882732,-12.22859573,0.3287500441,68.98430163,6.331678867,1.913678169,3.734073162
LL,raw,1,1,0.001,3,none,0.8207083333,1,1,0,0,-15.00660515,9.312113762,-42.01389313,0.1344999522,65.49226911,0,0,-8.458313942,7.187063217,-19.57243156,0.1982499808,72.10491923,8.856819153,2.60517931,4.506768703
LL,raw,1,1,0.001,4,none,0.7861145833,1,1,0,0,-19.61996651,10.05394554,-45.5033989,0.1157499626,62.58361888,0,0,-11.70529366,6.998167992,-18.45401764,0.1487499475,69.13951511,10.68736553,3.033434629,5.018877029
LL,raw,1,1,0.001,5,none,0.7641541667,0.9983333349,0.9983333349,0,0,-21.05477905,10.17617035,-39.5215683,0.1112499535,62.21883096,0,0,-11.69347191,6.79517746,-22.20108795,0.1397499591,66.80333632,11.88791084,3.262747288,5.481230259
LL,raw,1,1,0.001,6,none,0.76280625,1,1,0,0,-22.59984779,10.17032051,-41.20313263,0.1104999557,61.99942094,0,0,-12.44055557,6.783535004,-23.44286156,0.133749947,66.75401197,12.88505936,3.380633593,5.567999363
LL,raw,1,1,0.001,7,none,0.757275,1,1,0,0,-20.61841583,10.3026619,-45.46165466,0.1112499535,62.32462065,0,0,-14.27832699,7.079427242,-22.57614136,0.124749966,65.54222936,13.87487316,3.485060215,5.639922619
LL,raw,1,1,0.001,8,none,0.7521020833,1,1,0,0,-21.85617638,10.33695793,-42.39752197,0.1134999618,64.5558028,0,0,-13.93826485,7.186109543,-26.73554611,0.1299999505,66.54551215,14.74493599,3.598195314,5.637810707
LL,raw,1,1,0.001,9,none,0.7386916667,0.9600000381,0.9600000381,0,0,-25.44273567,10.57191658,-44.80551147,0.1074999645,59.03336219,0,0,-15.5983696,6.749757767,-32.39486313,0.1149999499,57.37683326,15.47096348,3.679800272,5.652877331
LL,raw,1,1,0.001,10,none,0.7346770833,0.9983333349,0.9983333349,0,0,-23.292202,10.5474987,-45.27407837,0.1082499623,62.90633833,0,0,-13.46406651,7.041015148,-26.78320885,0.1292499602,66.32422373,16.09565926,3.634725571,5.386994362
LL,raw,1,1,0.001,11,none,0.7498229167,1,1,0,0,-23.96223831,10.47161007,-40.88788986,0.1082499623,63.19194103,0,0,-15.27695179,7.346591473,-28.56751442,0.1254999638,65.42292845,16.90630341,3.747671843,5.536981583
LL,raw,1,1,0.001,12,none,0.73219375,0.9941666722,0.9941666722,0,0,-22.88726997,10.43220615,-36.34469986,0.1097499654,64.67238021,0,0,-14.93902206,7.296612263,-24.19308853,0.1254999638,67.86176599,17.54435349,3.820790529,5.543518543
LL,raw,1,1,0.001,13,none,0.72968125,0.9950000048,0.9950000048,0,0,-22.87923622,10.60599327,-45.44876099,0.1089999676,64.5430234,0,0,-14.50801945,7.303073883,-26.85482788,0.1284999698,68.03207526,18.13455582,3.898936272,5.525581837
LL,raw,1,1,0.001,14,none,0.7350729167,1,1,0,0,-23.17112923,10.61849594,-41.38159561,0.1082499698,63.79000528,0,0,-15.58644867,7.585318089,-29.62341881,0.1239999682,65.51987405,18.68498802,3.89726305,5.564038277
LL,raw,1,1,0.001,15,none,0.7432291667,1,1,0,0,-22.32431602,10.60236549,-46.04278183,0.1119999588,65.20789854,0,0,-14.72223186,7.895011902,-26.52087212,0.131499961,67.35996666,19.24017143,3.919510603,5.435896397
LL,raw,1,1,0.001,16,none,0.753225,0.9991666675,0.9991666675,0,0,-22.63736343,11.05925751,-43.80207062,0.1104999557,65.25762939,0,0,-16.90882874,8.002752304,-30.99853897,0.1232499704,65.53000104,19.8168087,3.974051237,5.437558174
LL,raw,1,1,0.001,17,none,0.73530625,1,1,0,0,-24.0670681,11.04514408,-42.39728546,0.111249961,64.33443175,0,0,-17.47270012,8.074410439,-31.74705887,0.1194999442,61.99636027,20.31301117,3.971039295,5.37776041
LL,raw,1,1,0.001,18,none,0.7309729167,1,1,0,0,-25.77272415,11.49159241,-46.98849106,0.1074999645,61.72161611,0,0,-16.73728561,7.85290432,-32.55496979,0.1232499629,63.29996091,20.8278656,4.075397015,5.437412262
LL,raw,1,1,0.001,19,none,0.7449333333,0.9966666698,0.9966666698,0,0,-27.07858276,11.83934021,-44.82190704,0.1074999645,61.07548417,0,0,-18.88393593,8.353680611,-35.72467041,0.1157499701,60.56886829,21.29946518,4.12515974,5.346841812
LL,raw,1,1,0.001,20,none,0.7248229167,0.9983333349,0.9983333349,0,0,-24.32479477,11.65214157,-42.4200058,0.1097499654,66.24477672,0,0,-17.46464539,8.55850029,-31.1172657,0.1224999502,64.12311905,21.71898651,4.193025589,5.334570408
LL,raw,1,1,0.001,21,none,0.7171208333,1,1,0,0,-24.61113739,11.29501915,-52.43431854,0.1097499654,64.59427618,0,0,-15.70897484,8.170015335,-28.24638176,0.1262499541,67.8723197,22.1992836,4.18157053,5.215035439
LL,raw,1,1,0.001,22,none,0.7311916667,0.9991666675,0.9991666675,0,0,-26.13609314,11.75609589,-44.96492386,0.1082499623,63.43083147,0,0,-17.32822227,8.602134705,-31.93516731,0.123249948,66.95398824,22.69645309,4.278357983,5.32371521
LL,raw,1,1,0.001,23,none,0.7364020833,0.7783333659,0.7783333659,0,0,-26.27086067,11.62552261,-49.29534531,0.1074999645,61.17955862,0,0,-18.55109787,8.281882286,-35.30717468,0.1202499643,63.63816536,23.12621307,4.33521986,5.396139145
LL,raw,1,1,0.001,24,none,0.7444375,1,1,0,0,-26.02368355,11.78569698,-54.06054306,0.1082499623,63.16748222,0,0,-17.7021389,9.02192688,-28.88450241,0.1299999505,68.47912276,23.52632332,4.327974796,5.366713524
LL,raw,1,1,0.001,25,none,0.7316645833,0.9991666675,0.9991666675,0,0,-25.50543213,11.70455456,-51.27480316,0.1097499654,64.44223035,0,0,-18.84565926,8.770616531,-30.03774834,0.124749966,66.76655879,23.97013092,4.440894604,5.340322495
LL,raw,1,1,0.001,26,none,0.7279875,0.9991666675,0.9991666675,0,0,-25.80943298,11.63324261,-41.60851288,0.1067499667,62.66043807,0,0,-19.67172813,8.860637665,-31.58649254,0.1149999499,61.92048758,24.39735603,4.491397381,5.398237705
LL,raw,1,1,0.001,27,none,0.7337229167,0.9791666865,0.9791666865,0,0,-26.42611694,11.79997826,-56.34161758,0.1074999645,62.27542307,0,0,-18.78033257,8.458184242,-33.47047043,0.1164999679,63.32664156,24.76677132,4.528479099,5.344083309
LL,raw,1,1,0.001,28,none,0.72801875,0.9983333349,0.9983333349,0,0,-26.65606308,11.93937206,-48.82020187,0.1089999676,63.86168892,0,0,-17.46657753,9.128700256,-36.80149078,0.1254999638,69.55649397,25.11658287,4.478260517,5.204853535
LL,raw,1,1,0.001,29,none,0.7281895833,0.9983333349,0.9983333349,0,0,-26.25905609,12.14842224,-43.44964218,0.1104999557,66.3712125,0,0,-18.0195713,8.924139023,-29.64284515,0.126249969,68.72419815,25.5380497,4.505595207,5.247374058
LL,raw,1,1,0.001,30,none,0.7418333333,0.9900000095,0.9900000095,0,0,-28.32190132,12.36717224,-46.75239944,0.1074999645,64.27008253,0,0,-19.65762329,9.078379631,-32.53253937,0.1194999442,66.77934217,25.95062447,4.550240517,5.287980556
LL,raw,1,1,0.001,31,none,0.7370979167,0.9983333349,0.9983333349,0,0,-28.21339607,12.20331192,-41.86271667,0.1067499593,63.25989226,0,0,-18.93432617,9.064333916,-33.84026718,0.1187499538,65.17882965,26.32245827,4.61081934,5.183860779
LL,raw,1,1,0.001,32,none,0.7401979167,1,1,0,0,-26.25117493,12.172925,-46.61151886,0.1119999439,66.84988353,0,0,-19.51623726,9.80401516,-36.6524353,0.124749966,67.68577316,26.73537827,4.68204546,5.272321224
LL,raw,1,1,0.001,33,none,0.7338,0.9975000024,0.9975000024,0,0,-28.39364052,12.60098743,-46.74033737,0.1074999645,62.8692199,0,0,-20.1220417,9.378950119,-39.67837906,0.1202499568,66.29112295,27.09342957,4.687614441,5.238443851
LL,raw,1,1,0.001,34,none,0.73171875,0.9966666698,0.9966666698,0,0,-25.32835388,12.44292831,-51.5967865,0.1119999588,67.59227856,0,0,-19.24040985,9.982111931,-34.73147964,0.1292499602,69.37091374,27.26992226,4.683939934,5.382190228
LL,raw,1,1,0.001,35,none,0.7379333333,0.9991666675,0.9991666675,0,0,-26.98498535,12.42653751,-48.8961525,0.1082499698,65.4588798,0,0,-20.19995499,9.531538963,-39.36523056,0.1202499643,65.65648729,27.62151146,4.683292389,5.360449314
LL,raw,1,1,0.001,36,none,0.7451604167,0.9983333349,0.9983333349,0,0,-28.33517647,12.74030018,-55.00462341,0.1082499623,63.17206099,0,0,-19.30395317,9.588394165,-36.14775085,0.1262499541,66.33309542,28.01322174,4.666652679,5.296772003
LL,raw,1,1,0.001,37,none,0.7246958333,0.9950000048,0.9950000048,0,0,-26.97441483,12.50303936,-43.85047531,0.1074999645,63.28299937,0,0,-19.8561554,9.367861748,-38.4222908,0.1209999621,66.28781713,28.36471748,4.762542725,5.318439007
