seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2
13,S2dyn_c1,1,0,0.0038976475542947695,0.9766666666666667,0.002978544812897841,-0.6501475129303314,-62.30907484219866,-62.95922235512899
13,S2dyn_c1,1,750,0.0006408020448667217,0.9959666666666667,0.0002606246620416641,0.24951907643634186,-77.50756141891877,-77.25804234248243
13,S2dyn_c1,1,1500,0.001656218354161683,0.9892666666666666,0.0011983078817526499,0.9683610968335725,-75.91655620138347,-74.9481951045499
13,S2dyn_c1,1,2250,0.003739683193885159,0.983525,0.003194794510801633,1.9018201424792738,-75.78562676918209,-73.8838066267028
13,S2dyn_c1,1,3000,0.004545111031153201,0.9800666666666666,0.003950595047573249,1.6225299106906592,-74.88312722691347,-73.26059731622281
13,S2dyn_c1,1,3750,0.0069102832855943005,0.9737333333333333,0.00620609821130832,2.3836268421661706,-75.1720327933401,-72.78840595117393
13,S2dyn_c1,1,4500,0.009476296125783754,0.9675916666666666,0.008668944970269998,3.102494606899607,-75.10374464851121,-72.0012500416116
13,S2dyn_c1,1,5250,0.009428205646441236,0.9665083333333333,0.008654473432401817,2.9904181155797946,-74.40062857198393,-71.41021045640413
13,S2dyn_c1,1,6000,0.011373351190658562,0.9612333333333334,0.010455604315797487,3.506701177328161,-73.49276176800181,-69.98606059067365
13,S2dyn_c1,2,0,0.011373351190658562,0.9612333333333334,0.010455604315797487,3.506701177328161,-73.49276176800181,-69.98606059067365
13,S2dyn_c1,2,750,0.000817778074443814,0.9959416666666666,0.0005935441359877586,-0.1406926059694306,-83.88094015460486,-84.02163276057429
13,S2dyn_c1,2,1500,0.0011962328523413873,0.9937083333333333,0.0009483352114756902,0.1049137558319378,-82.3221491058973,-82.21723535006535
13,S2dyn_c1,2,2250,0.001817311277849563,0.9915,0.0015428238799174627,0.8938603016891367,-81.84853754123947,-80.95467723955034
13,S2dyn_c1,2,3000,0.002558765698094748,0.9866083333333333,0.0022409426500399907,1.1177112859062461,-80.25340614239374,-79.1356948564875
13,S2dyn_c1,2,3750,0.004048776393537025,0.9824166666666667,0.003661982161303361,1.7078790708971676,-78.89117537994832,-77.18329630905116
