seed,unit,t0,p_hat,x,r,w_norm,cos_u_mu,event_dead_0_05,event_strict_dead,r_group,p_bin,x_bin
2,63,200000,0.1875,-0.21565763898085777,2.5039461933681118,2.513216018676758,-0.08580943197011948,1,1,high,mid,mid
2,64,200000,0.46875,0.06995617192188375,1.6011838461028285,1.6027113199234009,0.04364864155650139,1,1,low,high,high
2,64,400000,0.1875,-0.016569626418779237,1.990361981814041,1.9904309511184692,-0.008324642665684223,1,1,low,mid,high
2,65,200000,0.09375,-0.2645891388950048,1.6051928269779001,1.6268532276153564,-0.1626386046409607,1,1,low,low,low
2,68,600000,0.34375,0.03787871947938726,2.4223904417387225,2.4226865768432617,0.01563500612974167,1,1,low,high,high
2,69,300000,0.09375,-0.08024074293801586,1.1610911021799635,1.1638604402542114,-0.06894361227750778,1,1,low,low,high
2,71,200000,0.6875,0.2045300809199908,2.205780914564861,2.215243101119995,0.0923285037279129,1,1,mid,high,high
2,72,400000,0.46875,-0.06562919114580268,1.7884003901362309,1.7896041870117188,-0.03667246177792549,1,1,low,high,high
2,72,600000,0.4375,-0.13613942687009128,5.19309631293705,5.194880485534668,-0.02620645985007286,1,1,high,high,mid
2,76,400000,0.25,-0.6555006718262817,5.694703766466377,5.732306003570557,-0.11435200273990631,1,1,high,mid,low
2,77,200000,0.09375,-0.4044880493582319,2.2619413436736626,2.2978227138519287,-0.17603100836277008,1,1,mid,low,low
2,78,200000,0.8125,0.18110653235339935,1.7322750372220774,1.7417165040969849,0.1039816364645958,1,1,low,high,high
2,78,300000,0.25,-0.22827604509462418,3.3327488595204158,3.34055757522583,-0.06833471357822418,1,1,high,mid,mid
2,78,400000,0.09375,-0.6781519056621903,3.5720567494013227,3.6358602046966553,-0.186517596244812,1,1,high,low,low
2,78,600000,0.0625,-0.883853059571031,3.733974899206737,3.837155818939209,-0.23034067451953888,1,1,mid,low,low
2,82,200000,0.46875,0.07094463606192036,1.5695329508353495,1.5711355209350586,0.045155007392168045,1,1,low,high,high
2,82,300000,0.34375,0.011856567759720715,1.5584500626440758,1.5584951639175415,0.007607702631503344,1,1,low,high,high
2,82,400000,0.0625,-0.7677332987743171,5.109609865106784,5.166965007781982,-0.14858496189117432,1,1,high,low,low
