seed,arm,unfit_var,nmse,init_nmse
8,repair_dead_0.05_k0.5,4.183657308030766e-32,4.196556559751313e-32,1.3329937480414382
8,repair_dead_0.05_k1,9.84642881335093e-33,1.0548721407025158e-32,6.733331548983912
8,repair_strict_dead_k0.1,4.173871075725445e-29,5.814799219598149e-29,0.04396359801051128
8,repair_strict_dead_k0.25,1.3250859165633194e-28,8.634808405540783e-28,0.28529075489285677
8,repair_strict_dead_k0.5,4.596433363088273e-32,4.632264617867569e-32,1.2548886174232479
8,repair_strict_dead_k1,4.2409873156776416e-32,4.3570805811625653e-32,6.04791388150967
8,control_learned,2.980094059495313e-28,4.28035927172921e-28,13.599698133026967
8,control_fresh_he,0.17424833362650283,0.17425025218932086,27.302526481051377
8,control_row_shuffle,0.0016270224734051667,0.0016274451692130482,17.101917876862593
8,control_rnd_randomized,0.42828523319445927,0.4282916181799029,2.1058567049677497
9,current,0.33643424588815707,0.3440683453557034,0.3440683453557034
9,repair_dead_0.05_k0.1,0.05682545472929408,0.056826767713209485,0.33539696076652414
9,repair_dead_0.05_k0.25,0.05417085470186554,0.054170870731450674,0.35235326704709513
9,repair_dead_0.05_k0.5,0.023000883910264665,0.023000964335585634,0.494346908071973
9,repair_dead_0.05_k1,7.260483376455285e-32,7.30614679391727e-32,0.9481217443588943
9,repair_strict_dead_k0.1,0.05682545472929408,0.056826767713209485,0.33539696076652414
9,repair_strict_dead_k0.25,0.05417085470186554,0.054170870731450674,0.35235326704709513
9,repair_strict_dead_k0.5,0.023000883910264665,0.023000964335585634,0.494346908071973
9,repair_strict_dead_k1,7.260483376455285e-32,7.30614679391727e-32,0.9481217443588943
9,control_learned,0.2662483594774471,0.26624841803887167,1.030613705161168
9,control_fresh_he,0.6989416619755286,0.6989417297093873,6.984952860368011
9,control_row_shuffle,0.9996594214674479,0.9996594214674475,4.88369381832468
9,control_rnd_randomized,0.9833057680010842,0.983305768001084,8.026541055210584
