task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
57,1.0,0.028051018714904785,0.990234375,1.0000000000001465,0.0,5.007317785490011,25.231379474687465,0.17585325506985852,0.05396096325828781,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
58,1.0,0.05046314746141434,0.98388671875,1.0000000000007625,0.0,5.054916129622946,25.71576301375977,0.18728623451679383,0.06808266533964531,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
59,1.0,0.041454676538705826,0.98583984375,0.9999999999999124,0.0,5.095132696908368,26.12099407003396,0.15148690528778588,0.06524326340145885,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
60,1.0,0.04259449988603592,0.98681640625,1.000000000000711,0.0,5.125177189026635,26.430943112816568,0.1745998676811707,0.03172958533832703,K000_LR03,0.0,leaky,0.3,2,LR03,1.1341690734895907e-05,0.3309393688899861,7.312452657015983e-07,0.6265852010823525,74.79734211877597,0.029267560043938944,0.3592089450365875,1.0,1.2434497875801753e-14,0.014472806222830016,12.063995398884668,3.371043693246068,-1.7317736640132082,1.0,0.9745000004768372
61,1.0,0.030450042337179184,0.990234375,1.00000000000027,0.0,5.153371587758934,26.721698404643444,0.10935329845937841,0.05248457088426863,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
62,1.0,0.02647983469069004,0.991943359375,0.9999999999992253,0.0,5.203982074973052,27.248672782219778,0.20213518481364295,0.0693593871130239,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
63,1.0,0.06231763958930969,0.981201171875,1.0000000000005569,0.0,5.244041443627733,27.66657189607482,0.20189284142929664,0.045648351101379755,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
64,1.0,0.03826536238193512,0.986572265625,1.0000000000004199,0.0,5.276864741201806,28.013836589589275,0.16701102739051826,0.0423341287838038,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
65,1.0,0.03343120589852333,0.988525390625,1.000000000000958,0.0,5.3036986299249245,28.297092073023112,0.1425963948601013,0.035544828375813485,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
66,1.0,0.0328664667904377,0.990234375,1.000000000000352,0.0,5.347891440976647,28.76345040371349,0.16071396633266846,0.07307935019644278,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
67,1.0,0.040650874376297,0.98876953125,1.0000000000000662,0.0,5.379851370191459,29.10766725615239,0.17389032739795965,0.03712722776672572,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
68,1.0,0.04039691761136055,0.986328125,0.9999999999992923,0.0,5.409313671831796,29.425364882033676,0.17106345506325715,0.031456069372967195,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
69,1.0,0.028176352381706238,0.989990234375,1.0000000000002047,0.0,5.442436268841388,29.78798846105142,0.18360576479057156,0.038800978706463346,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
70,1.0,0.03984007239341736,0.989013671875,1.0000000000008673,0.0,5.479471960805349,30.197186344633536,0.18000603485091793,0.0491081802447877,K000_LR03,0.0,leaky,0.3,2,LR03,7.023058480173256e-06,0.3209121091123019,4.7358389207382577e-07,0.6169934952193205,74.8966981577298,0.024639400628338495,0.3473061451301435,1.0,7.105427357601002e-15,0.014216711054380134,12.661580738497074,3.5458994396338115,-1.8823702628249435,1.0,0.9749000072479248
71,1.0,0.03189646080136299,0.989990234375,1.0000000000002007,0.0,5.514058124035752,30.580848476302716,0.17876433434976094,0.04232519071522041,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
72,1.0,0.050747279077768326,0.984619140625,0.9999999999996881,0.0,5.547988294568744,30.954926698394473,0.14200029679880127,0.056142084412601295,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
73,1.0,0.04373786598443985,0.98583984375,0.9999999999997011,0.0,5.585175315739368,31.37321147727659,0.2036949095744201,0.0418569885451655,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
74,1.0,0.042956817895174026,0.986083984375,1.0000000000001552,0.0,5.6200631251969515,31.768041397825137,0.16970032287237583,0.04915511067560353,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
75,1.0,0.054943181574344635,0.98291015625,1.000000000000321,0.0,5.646461427287695,32.061526828227414,0.16542030267796692,0.027851444094016232,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
76,1.0,0.038934528827667236,0.98681640625,0.9999999999993292,0.0,5.667619416779212,32.302199418866195,0.13024889177634416,0.026885800378009295,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
77,1.0,0.02423843927681446,0.990966796875,1.0000000000006513,0.0,5.707446066247244,32.75176605442772,0.16699879409392285,0.06111464564130619,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
78,1.0,0.03350881487131119,0.990478515625,0.9999999999994271,0.0,5.743470708909815,33.167679272072,0.16086951259551036,0.05504226248695639,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
79,1.0,0.027192654088139534,0.989501953125,0.9999999999999903,0.0,5.779906598938544,33.58443452184041,0.17787637310559845,0.049106160402647064,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
