task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
16,0.9005102040816326,0.14990966022014618,0.952392578125,0.9432399970478519,0.1513848450581095,3.1002388443601894,9.749510959225459,0.2422812457967013,0.08216606950760194,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
17,0.9017857142857143,0.1961866170167923,0.9384765625,0.9320337090041593,0.16144654442850292,3.191555861803074,10.32848167268798,0.27464287756701766,0.0913274837819338,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
18,0.9017857142857143,0.1424982249736786,0.955810546875,0.9507537218767733,0.13813551367877788,3.2688403727826367,10.829324831831636,0.265547738276248,0.07023350429173311,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
19,0.9017857142857143,0.12996260821819305,0.958251953125,0.9563158811099606,0.1258513018514245,3.346069853781357,11.345551051045295,0.24124353056473083,0.0831086748727928,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
20,0.9030612244897959,0.11887212842702866,0.96337890625,0.95827642880022,0.13013387744123073,3.4201121930394525,11.847763285754091,0.25127481608618896,0.07357989654818904,K010_ELU1,0.1,elu,1.0,1,ELU1,0.00025814408007600385,0.336509198328719,2.4714097112925924e-05,0.41532936980162216,74.7356537774311,0.04788448231278499,0.3877875100037436,1.0,3.552713678800501e-15,0.017314531261235624,14.51236607535266,2.2222740396404284,-1.243020252731268,1.0,0.9681000113487244
21,0.9017857142857143,0.15745510160923004,0.951904296875,0.9428893051002732,0.15498537282327984,3.4922264478170923,12.34513262403832,0.26925552530319624,0.06381782097026484,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
22,0.9005102040816326,0.15490314364433289,0.95068359375,0.944153360085359,0.15187480422127078,3.5732896547063535,12.920807030581381,0.2780629977525299,0.08056140069909379,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
23,0.9005102040816326,0.15259861946105957,0.950439453125,0.9477306242109461,0.14734985759091745,3.6455614904601634,13.445323836368825,0.26492344063539597,0.0690301800299048,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
24,0.9017857142857143,0.1618230640888214,0.945556640625,0.937643416576651,0.16441480441466672,3.719316909120898,13.990587829865127,0.27439157276479326,0.06939453016097072,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
25,0.9005102040816326,0.3216107487678528,0.890380859375,0.9326595207160198,0.1718891899449624,3.789382311275513,14.519297038657506,0.3010880858365735,0.05523245643295449,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
26,0.9017857142857143,0.15692970156669617,0.944091796875,0.9459099889499344,0.15248719871762534,3.8535805134760723,15.011540394032918,0.2541130007224916,0.061235994279732024,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
27,0.9017857142857143,0.1949511021375656,0.936279296875,0.9321427138843187,0.17276607454267767,3.9157408847883066,15.496369689936268,0.265079751295999,0.05343702509826465,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
28,0.9017857142857143,0.1744777262210846,0.943115234375,0.9244623178769935,0.18230448532927485,3.9797954219881793,16.005253770486664,0.27692964680512716,0.05510956257095215,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
29,0.9005102040816326,0.15746885538101196,0.942626953125,0.9370087080002482,0.1657508254969685,4.032759000943151,16.431857854860176,0.2395037147667182,0.04764068832031012,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
30,0.9017857142857143,0.15022291243076324,0.94873046875,0.9354047557526881,0.1745508079961909,4.096202523343763,16.950868732406466,0.2729340537550412,0.05686717380749501,K010_ELU1,0.1,elu,1.0,1,ELU1,0.00022046138099585916,0.3025860891966536,2.5189664448427406e-05,0.38714535309012676,74.71144430285045,0.0468350319174504,0.3656715730242483,1.0,1.4210854715202004e-14,0.017430268488094335,15.658625909375267,2.3564365011424755,-1.4072077637657665,1.0,0.9624000191688538
31,0.9017857142857143,0.21218866109848022,0.93212890625,0.9286669931764261,0.183878385947226,4.150250091373325,17.394734511942897,0.27524027619378444,0.038454834675700156,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
32,0.9017857142857143,0.19520188868045807,0.93798828125,0.9306661529584872,0.17212000813417846,4.210120532740591,17.898498900158835,0.2783856648369614,0.050607428303248055,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
33,0.9017857142857143,0.18322943150997162,0.942138671875,0.9277904556700649,0.18182372411583028,4.26529340253432,18.367984923701982,0.2657908943505292,0.0461775116896524,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
34,0.9005102040816326,0.15325911343097687,0.947265625,0.9388568235095816,0.1643489403415055,4.319432558900888,18.83514853233701,0.24838681595690776,0.05105066015444919,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
35,0.9005102040816326,0.11175733059644699,0.96337890625,0.9474084901481532,0.15141706914531097,4.375971547210591,19.33045677493346,0.2644503447821103,0.050305067161890114,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
36,0.9005102040816326,0.15379196405410767,0.947265625,0.9361882264295844,0.1697047513060321,4.433307668565651,19.838719268858064,0.27008701173771976,0.051246743601112234,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
37,0.9005102040816326,0.1507847160100937,0.9501953125,0.9319429274718871,0.17164960649635727,4.48636481005354,20.313580884048125,0.2612005058679719,0.04567792598616596,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
38,0.9005102040816326,0.11594358086585999,0.96240234375,0.9538384706469213,0.14175887787454952,4.536852173534566,20.772573477664782,0.2656880040706822,0.0404619942378148,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
39,0.9017857142857143,0.1662328541278839,0.94287109375,0.9164351795936863,0.19926797225349077,4.585251864015075,21.21570601234499,0.26622284583983924,0.03654225974478176,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
