arm,seed,G,G2,G3,H,H99,H_censored,H_early,H_minus_early,Hfull,correct_sw_mid,dead,disp_l1_mid,dn1_post_mid,efolds_max_mid,efolds_mid,first_dead_task,led_fit,led_hold,led_post,led_shock,led_total,min_correct_after_sw_mid,n_noswitch,n_pinned_mid,n_switched_mid,post_updates_mid,slope_n1_mid
AR,2,75660.5134946603,1729.2178537778752,26.94546104878647,4700.0,4020.0,0,2080.0,2620.0,4890.0,1200.0,False,887.8086102,2852.9987703556108,12.035850457886736,5.584214606820156,-1,-264.80257539012877,88.23661539759021,2891.232239127903,-1221.2904774761182,1493.3758016592465,820.0,0,25,25,25300.0,1459.491445632002
AR,3,76017.23807516228,1715.3194568450112,25.01974491282081,4270.0,3720.0,0,2000.0,2270.0,4510.0,1200.0,False,882.3469931,2827.1541708808218,12.138816863434366,5.49078279256528,-1,-213.95882117535686,82.11325519144884,2815.3169487145683,-1162.2412421937736,1521.2301405368864,862.0,0,25,25,25500.0,1514.417087136942
AR,4,76979.06693817841,1840.6004371367358,27.868424944743282,3790.0,3260.0,0,2300.0,1490.0,3880.0,1200.0,False,999.8217094,3150.6524097449146,12.307050377603847,6.175275591800546,-1,-484.5078236698071,92.44571385190648,3133.4253529128314,-1212.038239995864,1529.3250030990673,814.0,0,25,25,26000.0,1542.193012129571
AR,5,73522.05097574784,1619.1958997782733,19.348889854866357,4160.0,3700.0,0,1840.0,2320.0,4380.0,1200.0,False,847.8182858,2749.9598778040454,12.17122639772621,5.471086919010483,-1,-219.45117152271501,80.65445004789973,2763.400486352843,-1153.7655010534925,1470.8382638245353,841.0,0,25,25,25400.0,1489.1192528183665
AR,6,76676.77109178746,1834.174226417978,25.68657045362865,3660.0,3180.0,0,1780.0,1880.0,3760.0,1200.0,False,1045.254442,3240.818022133004,12.419288541450902,6.23581105024668,-1,-519.6041966445907,91.13385180230631,3234.4730564190463,-1224.2042350104884,1581.7984765662736,875.0,0,25,25,26100.0,1577.8496634958944
AR,7,73399.63648935393,1628.9227547817159,24.12892049470866,3930.0,3260.0,0,2000.0,1930.0,4130.0,1200.0,False,892.9000968,2712.475132154992,12.290132523077064,5.700890842598391,-1,-260.843588902319,84.89560710823542,2762.0036641274555,-1178.2513622197928,1407.8043201135788,801.0,0,25,25,25600.0,1405.2617150574426
AR,8,73494.31854475423,1671.7731833196322,21.66564467201178,3890.0,3320.0,0,2180.0,1710.0,3990.0,1200.0,False,934.1556325,2969.356513010898,12.28049014825202,6.049932125643544,-1,-368.60570335496885,99.37247754385345,2922.2613001683903,-1200.1956527083776,1452.8324216488975,800.0,0,25,25,25700.0,1433.301913892274
AR,9,74848.41982418112,1684.1588313817333,23.411913147882082,4300.0,3420.0,0,2220.0,2080.0,4380.0,1200.0,False,900.3576823,2870.3247260224234,12.120287069650946,5.761420742278635,-1,-317.0084623429368,68.55932103689527,2928.231039448196,-1195.8457092698507,1483.9361888723038,783.0,0,25,25,25700.0,1483.0084045342644
F,0,20476.61175522254,430.99706418563164,5.424323182094062,2060.0,1700.0,0,1960.0,100.0,2120.0,1200.0,False,0.0,0.0,0.0,0.0,-1,640.3739236472153,97.78184744987361,0.0,-393.9414893969158,344.21428170017316,1200.0,0,25,25,27500.0,336.37018825651336
F,1,20367.734397532175,431.9813857137884,5.366482565587352,2040.0,1690.0,0,1720.0,320.0,2190.0,1200.0,False,0.0,0.0,0.0,0.0,-1,641.037468023976,95.77190981264474,0.0,-381.32049604932325,355.48888178729743,1200.0,0,25,25,27500.0,354.482521963455
F,2,22276.04433222925,457.46200713790233,5.797999526760044,2190.0,1900.0,0,2140.0,50.0,5080.0,1200.0,False,0.0,0.0,0.0,0.0,-1,695.5623875172693,105.79285799380196,0.0,-421.68559844681806,379.66964706425307,1200.0,0,25,25,27300.0,383.4884893985854
F,3,20492.37788865635,430.17536349608474,5.250804018943407,1950.0,1670.0,0,1880.0,70.0,4830.0,1200.0,False,0.0,0.0,0.0,0.0,-1,621.8119131717559,113.35934651370975,0.0,-393.8292294196949,341.34203026577075,1200.0,0,25,25,27500.0,341.9767722252129
F,4,21802.708970961743,445.9745960715999,5.651568677192092,2090.0,1790.0,0,2240.0,-150.0,2230.0,1200.0,False,0.0,0.0,0.0,0.0,-1,643.4770940241357,114.21355959576125,0.0,-411.8626050419664,345.8280485779306,1200.0,0,25,25,27400.0,348.4354356072828
F,5,20904.234008583113,430.4995030996388,5.524847837866277,2020.0,1680.0,0,1840.0,180.0,2110.0,1200.0,False,0.0,0.0,0.0,0.0,-1,652.4809897078874,94.7798580349904,0.0,-397.82387115113335,349.4369765917444,1200.0,0,25,25,27500.0,339.7428169198293
F,6,19966.015132310156,420.87944157567046,5.333288671731507,2010.0,1640.0,0,1740.0,270.0,2090.0,1200.0,False,0.0,0.0,0.0,0.0,-1,626.7103279297311,98.45198743228903,0.0,-385.30920269456874,339.85311266745134,1200.0,0,25,25,27500.0,336.3888256345749
F,7,21590.317149913266,448.99351278345523,5.563886102540365,2090.0,1770.0,0,2160.0,-70.0,2320.0,1200.0,False,0.0,0.0,0.0,0.0,-1,640.6753288571142,109.01269072072493,0.0,-403.72961049679,345.9584090810492,1200.0,0,25,25,27500.0,347.00409742493673
F,8,20861.700041574906,431.0908565951608,5.125147767298177,2070.0,1750.0,0,1940.0,130.0,2210.0,1200.0,False,0.0,0.0,0.0,0.0,-1,648.6237161020395,107.06510806304141,0.0,-406.4432354142223,349.2455887508586,1200.0,0,25,25,27500.0,339.2392823223118
F,9,20723.704194343096,419.39099406711046,5.479583264407849,2110.0,1790.0,0,2140.0,-30.0,2300.0,1200.0,False,0.0,0.0,0.0,0.0,-1,631.864445004271,103.49685268593217,0.0,-398.5499062800972,336.811391410106,1200.0,0,25,25,27500.0,336.50335333645353
S_lo,0,16556.891637485965,219.50240498682325,18.023680884431528,2030.0,1660.0,0,2040.0,-10.0,3440.0,1200.0,False,0.007654486717,2.872887859091861,0.878131136615366,0.878131136615366,-1,486.2867766431533,92.33260307625926,2.8391307315246377,-322.9026319375764,258.5558785133607,1200.0,0,25,25,27500.0,263.8121795184493
S_lo,1,16266.017199038273,223.00501520722804,21.797507925885284,2040.0,1730.0,0,1860.0,180.0,2220.0,1200.0,False,0.008101970906,2.9775971880826546,0.8951467904394568,0.8951467904394568,-1,486.1014012894014,93.50022401012335,3.0608852743664468,-326.3555559066086,256.30695466728264,1200.0,0,25,25,27500.0,259.02346534029397
S_lo,2,17776.009028295884,239.60544347817944,20.398970214199228,2190.0,1760.0,0,2060.0,130.0,2480.0,1200.0,False,0.00759224442,2.9061274667801626,0.8326438647438438,0.8326438647438438,-1,533.1889085671241,89.35603404493435,2.8526064644147118,-356.58550847528824,268.81204060118495,1200.0,0,25,25,27400.0,274.17132369317596
S_lo,3,16177.416928888904,223.29866239570384,21.139840162876588,2040.0,1670.0,0,1760.0,280.0,2160.0,1200.0,False,0.00766847336,2.8491385552915744,0.8370755926852831,0.8370755926852831,-1,488.23613738459784,83.61439621119018,2.9703608764977254,-312.609264521008,262.2116299512777,1200.0,0,25,25,27500.0,265.9145517645978
S_lo,4,17315.35557314629,239.2458748742856,20.418811931952735,2130.0,1760.0,0,2160.0,-30.0,2630.0,1200.0,False,0.007328891594,2.8315581703991484,0.861800385194072,0.861800385194072,-1,511.3763543195608,86.21622733328877,2.808405232451041,-330.68384330778537,269.71714357751523,1200.0,0,25,25,27400.0,270.1900236330468
S_lo,5,16719.192613276075,227.2259358551177,18.799595785779445,2090.0,1800.0,0,1780.0,310.0,2190.0,1200.0,False,0.00695619074,2.768001130882112,0.8790377810282056,0.8790377810282056,-1,509.7428126084999,79.43857454929436,2.7250269243736693,-334.21057704020643,257.6958370419615,1200.0,0,25,25,27500.0,257.2657002268707
S_lo,6,15207.661183568696,205.03669719445327,21.289732423720157,1880.0,1590.0,0,1740.0,140.0,2060.0,1200.0,False,0.009007674289,3.2344205113313365,0.8637084707187477,0.8637084707187477,-1,449.4181363769894,93.48747894959727,3.170282795502353,-307.1345765114355,238.94132161065355,1200.0,0,25,25,27700.0,226.50241896595264
S_lo,7,16741.030543049696,223.20507090468755,18.97244370621089,2120.0,1760.0,0,1960.0,160.0,2230.0,1200.0,False,0.00791251845,2.980734576100076,0.8562612114236314,0.8562612114236314,-1,505.7820446437796,89.17878194470403,2.962873892442949,-329.71624524326967,268.2074552376569,1200.0,0,25,25,27500.0,266.3083811676678
S_lo,8,16664.3051971765,223.27554132733448,20.25849346741593,2020.0,1740.0,0,2280.0,-260.0,2130.0,1200.0,False,0.007127196115,2.7682801081828075,0.8894262540624156,0.8894262540624156,-1,495.0860650624287,84.80101686884409,2.8255520683249777,-329.6510362172348,253.06159778236295,1200.0,0,25,25,27500.0,252.2032357647208
S_lo,9,17452.40845515996,237.3724987688197,17.630663164155692,2240.0,1800.0,0,2140.0,100.0,2340.0,1200.0,False,0.005928269461,2.6376814189407014,0.876306691843889,0.876306691843889,-1,549.5487331244119,79.2643062918941,2.532835422397038,-338.0150620832834,293.3308127554197,1200.0,0,25,25,27400.0,290.32165069385667
S_mid,0,12433.0160937039,152.89293351913548,61.637103296354844,1780.0,1480.0,0,2020.0,-240.0,1920.0,1200.0,False,0.05786939123,7.85322094851108,1.3487746609706335,1.3487746609706335,-1,332.3622340855704,66.50289711344601,7.9721059119687565,-249.32180009587813,157.515437015107,1200.0,0,25,25,27700.0,159.8278821811599
S_mid,1,12228.857697736876,159.8777190766422,62.4940714477905,1880.0,1550.0,0,1980.0,-100.0,2010.0,1200.0,False,0.06526872178,7.962170049422639,1.347827940033545,1.347827940033545,-1,346.94705548859923,64.04816806088223,7.9856115085733475,-235.85141837857893,183.1294166794759,1200.0,0,25,25,27700.0,188.77555465631883
S_mid,2,14089.129007495016,172.9479867328698,48.8912292692832,2210.0,1760.0,0,2100.0,110.0,2300.0,1200.0,False,0.05095221233,7.214689837626793,1.2928445837535716,1.2928445837535716,-1,399.7285734293374,71.10703984730557,7.108185120524868,-267.48003471330964,210.4637636838582,1200.0,0,25,25,27500.0,207.74063764106674
S_mid,3,12504.496091397235,163.64678822549678,65.86112703134665,1930.0,1560.0,0,1900.0,30.0,2120.0,1200.0,False,0.06447489743,8.134601476423995,1.3181157810821789,1.3181157810821789,-1,344.82291727421597,66.49506274829736,8.180850983441124,-241.26127163280657,178.2375593731479,1200.0,0,25,25,27600.0,182.10315115704975
S_mid,4,13344.912451679415,157.33099776381354,55.593032474166755,1940.0,1580.0,0,2160.0,-220.0,2070.0,1200.0,False,0.04908956204,7.547776324394363,1.3103866920677099,1.3103866920677099,-1,361.4474940334437,63.77547708510909,7.546207469175352,-250.25950981914568,182.5096687685825,1200.0,0,25,25,27600.0,182.2163125498096
S_mid,5,12674.710244682756,159.63499746526452,61.73151127223101,1890.0,1560.0,0,1860.0,30.0,1990.0,1200.0,False,0.06021424915,7.905627075841039,1.3489411838984542,1.3489411838984542,-1,348.4997725704234,64.03395646275385,7.748946455593468,-249.62429844285157,170.6583770459191,1200.0,0,25,25,27600.0,172.0371054853873
S_mid,6,11046.848372781227,148.65851808375473,73.69661593035244,1680.0,1340.0,0,1840.0,-160.0,2400.0,1200.0,False,0.07464650192,8.830059775988047,1.3951398369913837,1.3951398369913837,-1,291.999032753942,66.9814210877636,8.770052029342004,-217.97077752523757,149.77972834581004,1200.0,0,25,25,27900.0,149.23706949592585
S_mid,7,12990.802548926511,161.70171723398929,62.88472120789019,1960.0,1590.0,0,2100.0,-140.0,2730.0,1200.0,False,0.06579005028,8.048342018675612,1.341994659963308,1.341994659963308,-1,350.5708526494541,82.98445959259145,8.134244007567686,-255.6330628696821,186.0564933799311,1200.0,0,25,25,27600.0,186.33094499309178
S_mid,8,12841.372773647807,163.00299762943817,59.0345921643739,2070.0,1620.0,0,2060.0,10.0,2350.0,1200.0,False,0.06421790006,8.304761872288509,1.3639507190618947,1.3639507190618947,-1,354.30101497864547,68.06999795038551,7.922633433981755,-243.98308322037107,186.31056314264168,1200.0,0,25,25,27700.0,193.40254553683874
S_mid,9,12725.021247282624,160.83874648975092,59.09253905516232,2040.0,1540.0,0,2140.0,-100.0,2160.0,1200.0,False,0.06221750288,8.282563210117587,1.3849684625993766,1.3849684625993766,-1,355.4653857172672,69.2379238396631,7.949451700132704,-245.81807771716143,186.8346835399016,1200.0,0,25,25,27700.0,182.90485718584077
S_hi,0,7085.4448022735405,325.1918561547424,311.058823014505,1910.0,1410.0,0,2140.0,-230.0,2050.0,1200.0,False,1.285141136,26.75337488779951,3.459641879224609,3.459641879224609,-1,121.88863468839325,25.63330071644803,25.058966258706207,-89.8752832587936,82.70561840475388,1200.0,0,25,25,27900.0,82.46317367579779
S_hi,1,7330.527577148223,299.3839107629848,299.35088726201354,2020.0,1560.0,0,2000.0,20.0,2170.0,1200.0,False,1.245730456,26.46936350870692,3.391415900690274,3.391415900690274,-1,140.07418322654658,27.961273889441944,25.303564205868607,-92.56357763288543,100.77544368897172,1200.0,0,25,25,27700.0,104.89648319738991
S_hi,2,8298.848834855771,259.4035176882157,256.5566301941082,2210.0,1680.0,0,2040.0,170.0,2340.0,1200.0,False,1.107562061,26.21901199522017,3.390502624929679,3.390502624929679,-1,181.7888931334229,39.32319895794473,24.367780755897364,-122.48075444602476,122.99911840124022,1200.0,0,25,25,27600.0,116.08920737560737
S_hi,3,7246.929249264242,356.7869872703075,260.81802077965375,1880.0,1530.0,0,1920.0,-40.0,2180.0,1200.0,False,1.489323042,26.371001168074145,3.506431808964564,3.506431808964564,-1,138.79958929912382,26.32044971589836,23.339451305986294,-88.59810213314195,99.86138818786654,1200.0,0,25,25,27700.0,103.75014014492304
S_hi,4,7511.8928914717835,336.971196207036,304.6135236733558,1990.0,1520.0,0,2200.0,-210.0,2260.0,1200.0,False,1.280344171,27.741217849337772,3.3823384167406756,3.3823384167406756,-1,132.0599274844747,26.121275009235724,25.077320501686263,-92.95052523220961,90.30799776318709,1200.0,0,25,25,27700.0,92.65528428230756
S_hi,5,8185.2861089413345,287.6554474759887,273.5078137282711,2120.0,1700.0,0,1940.0,180.0,2220.0,1200.0,False,1.138592681,26.251141740682215,3.364305578706397,3.364305578706397,-1,174.90915514709823,26.690799712446314,24.18756530518429,-113.80160570692544,111.9859144578034,1200.0,0,25,25,27600.0,109.58777803182664
S_hi,6,6128.946830156699,424.7275158770503,362.90719696099706,1550.0,1190.0,0,1740.0,-190.0,1780.0,1200.0,False,1.613980367,27.78950953540607,3.558404339422371,3.558404339422371,-1,85.89610365948894,22.445126167021154,26.214510510025537,-66.12981655562842,68.42592378090721,1200.0,0,25,25,28000.0,67.12900493320747
S_hi,7,8325.746989111854,321.03841882980714,246.15962972262355,2190.0,1670.0,0,2040.0,150.0,2410.0,1200.0,False,1.269166799,25.254092193177712,3.3252518314529893,3.3252518314529893,-1,182.97578716252625,38.313705379805505,22.107613915876207,-111.4574578787377,131.93964857947026,1200.0,0,25,25,27400.0,141.3875184009127
S_hi,8,7254.912172940495,330.80701616355725,255.4838384051522,1940.0,1420.0,0,2260.0,-320.0,2220.0,1200.0,False,1.364280348,26.359697066627632,3.531666566948823,3.531666566948823,-1,116.29169930591819,30.573019654490636,23.861662352003624,-87.6861763626305,83.04020494978195,1200.0,0,25,25,27800.0,79.29892786511904
S_hi,9,7131.590729160649,423.5388435155064,220.25972972758132,1800.0,1430.0,0,2260.0,-460.0,1980.0,1200.0,False,1.678366989,27.069059820269104,3.518702226611588,3.518702226611588,-1,105.49562368460694,29.43359855004881,21.838332590985083,-78.00358671887737,78.76396810676346,1197.0,0,25,25,27700.0,81.98902559318434
