arm,task,hit999_med,n1_start_med,n1_end_med,n1_sw_med,efolds_med,dn1_post_med,min_correct_after_sw_min,n_dead,n_noswitch
A,31,3600.0,47069.02838125553,48399.388241451496,46374.1151193782,5.444306315716879,2341.3130760260974,613,0,0
A,32,3600.0,48399.388241451496,50002.16249471903,47569.51226759906,5.218483623198683,2320.0281980770305,696,0,0
A,33,3500.0,50002.16249471903,51697.5817128871,48881.4464948156,5.313824952770908,2326.128535936976,702,0,0
A,34,3450.0,51697.5817128871,53264.73845073158,50603.1260534895,5.414667408641087,2529.717146287927,671,0,0
A,35,3350.0,53264.73845073158,54689.30499878594,52040.20243562947,5.450306554615652,2539.6817682949295,677,0,0
A,36,3950.0,54689.30499878594,55850.10500836711,53593.596488436844,5.206486294401671,2578.080621325742,698,0,0
A,37,3950.0,55850.10500836711,57068.04169943307,54812.80826432495,5.391127541065707,2309.96723409084,617,0,0
A,38,3600.0,57068.04169943307,58474.872146106776,55866.46768891769,5.717767824968697,2627.0822332368152,633,0,0
A,39,3600.0,58474.872146106776,60020.89429214553,57358.01027277859,5.482911780256861,2825.3573646002405,677,0,0
A,40,3750.0,60020.89429214553,61557.61127354213,59040.5698353028,5.700919956091213,2834.515705795973,684,0,0
A,41,4000.0,61557.61127354213,63204.23739169298,60376.89012371117,5.321122780832143,2718.682299180473,677,0,0
A,42,3950.0,63204.23739169298,64732.11336724119,61933.355878108516,5.332938373321597,2846.3547320931284,694,0,0
A,43,4000.0,64732.11336724119,66162.0881046807,63401.298647223855,5.323356745710306,2725.9247375664054,685,0,0
A,44,3800.0,66162.0881046807,67771.230117478,64738.84779839899,5.2546533929047445,2883.5481058215883,690,0,0
A,45,4150.0,67771.230117478,68910.25829481648,66411.34168092837,4.972377597179235,2675.6416503262517,677,0,0
A,46,3950.0,68910.25829481648,70588.90329790174,67247.3823888115,5.456993836406698,3073.1399971442006,596,0,0
A,47,3900.0,70588.90329790174,71711.28077389859,69069.7704015549,5.283388841341003,2755.5481748135244,625,0,0
A,48,4250.0,71711.28077389859,73214.1254556931,70207.88100440864,5.125660955020015,2898.5872654474006,736,0,0
A,49,4150.0,73214.1254556931,74602.83175967353,71524.41866077803,5.320969242153668,2928.166831691393,644,0,0
A,50,4250.0,74602.83175967353,75982.36121335468,72939.46737179079,4.4441250397905545,2629.362245675453,712,0,0
AR,1,1800.0,33.348007800773225,1345.8383672795246,709.0913473252365,3.2457223236245882,634.8995677783039,500,0,0
AR,2,2000.0,1345.8383672795246,2763.318226931937,1909.9036088051912,3.576900449845434,814.8526230115381,595,0,0
AR,3,1950.0,2763.318226931937,4024.9339910866256,3124.8956496485616,4.282877075243293,903.2390754755468,541,0,0
AR,4,2000.0,4024.9339910866256,5322.110932284317,4323.933070146348,4.546912517975306,989.2084157432614,629,0,0
AR,5,2150.0,5322.110932284317,6741.344821299415,5644.24355686862,4.7212121778910525,1062.4076231594213,593,0,0
AR,6,2200.0,6741.344821299415,8038.430654148705,6892.747103331172,4.854668449476528,1140.8755564738435,615,0,0
AR,7,2300.0,8038.430654148705,9404.349613574705,8144.201819299591,4.860244042384618,1249.1966471109363,703,0,0
AR,8,2450.0,9404.349613574705,10829.10573171897,9499.841613220668,5.140181636846391,1351.4491736913105,686,0,0
AR,9,2550.0,10829.10573171897,12195.452865981735,10879.346799723377,4.82408384119691,1359.7012292522122,699,0,0
AR,10,2500.0,12195.452865981735,13736.127528035657,12198.47692962811,4.949174445378287,1556.819743808991,615,0,0
AR,11,2500.0,13736.127528035657,15262.218809305725,13678.529894353143,5.230641305465618,1620.1244323663786,692,0,0
AR,12,2600.0,15262.218809305725,16815.105119541426,15121.390842934321,5.139860339782993,1704.0435172187535,639,0,0
AR,13,2700.0,16815.105119541426,18277.18438716845,16579.005659126047,5.069231594498495,1755.5748103119731,681,0,0
AR,14,2800.0,18277.18438716845,19886.29455706275,18013.935141996306,5.3361570660445565,1864.003711764175,696,0,0
AR,15,2850.0,19886.29455706275,21558.169934527603,19617.819363433286,5.105396521345831,1877.2125060490052,737,0,0
AR,16,3000.0,21558.169934527603,23067.51560294487,21081.916255982564,5.524957862830493,2033.2215035289864,668,0,0
AR,17,3150.0,23067.51560294487,24684.11399426664,22669.553829903554,5.20610742743821,2032.9148029743883,704,0,0
AR,18,3000.0,24684.11399426664,26431.154174250696,24227.879244731663,5.421798630669804,2169.1556283263562,635,0,0
AR,19,3200.0,26431.154174250696,28038.682123720944,25762.444930095502,5.307852932312153,2171.178149481935,711,0,0
AR,20,3050.0,28038.682123720944,29542.977267025813,27390.274609556305,5.546682713872405,2247.4509723640676,696,0,0
AR,21,3200.0,29542.977267025813,31269.046757474865,28837.296937438987,5.783822598165738,2418.827336564007,666,0,0
AR,22,3300.0,31269.046757474865,32905.66488594941,30413.562296301243,5.588795893802253,2429.7048700130035,654,0,0
AR,23,3200.0,32905.66488594941,34635.740045700004,32053.043031505564,5.905936941345573,2561.648792381713,693,0,0
AR,24,3300.0,34635.740045700004,36411.654180595484,33752.71135603727,5.737977321625057,2581.100887512759,728,0,0
AR,25,3500.0,36411.654180595484,37868.24983205683,35569.261250370226,5.78993853524444,2575.338777494155,656,0,0
AR,26,3350.0,37868.24983205683,39508.159283316345,36941.200960222886,5.813234456389559,2623.177514817813,663,0,0
AR,27,3350.0,39508.159283316345,41162.61370832171,38432.35061380392,5.845703017711463,2856.6621702503726,706,0,0
AR,28,3400.0,41162.61370832171,42754.10652123499,40114.03635648295,6.2195743448441405,2889.568935891657,676,0,0
AR,29,3500.0,42754.10652123499,44203.470544114825,41617.126930735874,5.916679235509921,2858.1790671987255,683,0,0
AR,30,3500.0,44203.470544114825,45629.997840953074,43090.26146963639,5.849190393067239,2651.5152372017437,725,0,0
AR,31,3750.0,45629.997840953074,47326.64221393832,44468.38364949855,5.68621774884802,2792.979434966561,712,0,0
AR,32,3500.0,47326.64221393832,48923.544683857705,46081.0092270852,6.121795579003932,2803.275949229792,661,0,0
AR,33,3650.0,48923.544683857705,50634.56012789074,47580.82089667189,6.181397261936746,2969.4504263613417,722,0,0
AR,34,3950.0,50634.56012789074,52165.658708503484,49195.09833521029,5.829016806198153,2974.617450805461,736,0,0
AR,35,3650.0,52165.658708503484,53780.176244774106,50612.97024248933,5.824786170919308,3058.3081120050592,670,0,0
AR,36,3700.0,53780.176244774106,55365.175477954515,52313.90788058639,6.026621653399616,3193.575267288521,728,0,0
AR,37,3750.0,55365.175477954515,56809.253634385765,53821.87740835389,6.018192885598559,2909.3820544939917,646,0,0
AR,38,3850.0,56809.253634385765,58435.185767200615,55249.23338583775,5.996923978167269,3052.9629505837547,678,0,0
AR,39,4050.0,58435.185767200615,59680.01838331154,56902.756183672645,5.920988055522534,2841.070739968265,751,0,0
AR,40,3950.0,59680.01838331154,61225.64548160201,58154.96239034432,5.938826430595041,2874.97423039925,643,0,0
AR,41,3950.0,61225.64548160201,62602.04092525656,59588.1860305848,5.827652380854939,2799.249296966158,740,0,0
AR,42,3700.0,62602.04092525656,64114.40984140116,61149.84103122109,5.93737583328475,3070.616493049147,655,0,0
AR,43,3950.0,64114.40984140116,65696.47677897717,62453.68065806187,5.905634963851412,2916.28950121631,682,0,0
AR,44,4250.0,65696.47677897717,67080.0435977838,64062.39119462929,5.6645172938270765,2617.328087597056,724,0,0
AR,45,4100.0,67080.0435977838,68117.90039622609,65535.463505592954,5.182238498982956,2610.1598543917135,689,0,0
AR,46,3950.0,68117.90039622609,69582.6777662946,66646.830065758,5.665294082083382,3055.2757765398856,728,0,0
AR,47,3850.0,69582.6777662946,71262.20780501739,67919.2789760328,5.951331754061185,3293.6900712170536,715,0,0
AR,48,4000.0,71262.20780501739,72498.79245397495,69740.38550122836,5.835956907606389,3003.899949996543,697,0,0
AR,49,3900.0,72498.79245397495,73838.07749191187,71062.58863060936,5.560039536886215,2902.440004721575,655,0,0
AR,50,4050.0,73838.07749191187,75254.46665942072,72248.81867582927,5.627309237329674,3008.9631492062617,713,0,0
F,1,1800.0,33.348007800773225,709.0913473252365,709.0913473252365,0.0,0.0,1200,0,0
F,2,1950.0,709.0913473252365,1396.5334947266472,1396.5334947266472,0.0,0.0,1200,0,0
F,3,1850.0,1396.5334947266472,1975.9813608251904,1975.9813608251904,0.0,0.0,1200,0,0
F,4,1900.0,1975.9813608251904,2596.478277639143,2596.478277639143,0.0,0.0,1161,0,0
F,5,1800.0,2596.478277639143,3157.6580947856014,3157.6580947856014,0.0,0.0,1199,0,0
F,6,2100.0,3157.6580947856014,3789.1943126135184,3789.1943126135184,0.0,0.0,1200,0,0
F,7,1900.0,3789.1943126135184,4233.419497427254,4233.419497427254,0.0,0.0,1200,0,0
F,8,1750.0,4233.419497427254,4692.380563964218,4692.380563964218,0.0,0.0,1199,0,0
F,9,1800.0,4692.380563964218,5175.883441160186,5175.883441160186,0.0,0.0,1164,0,0
F,10,1900.0,5175.883441160186,5664.783830940697,5664.783830940697,0.0,0.0,1200,0,0
F,11,1900.0,5664.783830940697,6181.034581820511,6181.034581820511,0.0,0.0,1135,0,0
F,12,1800.0,6181.034581820511,6623.489143621585,6623.489143621585,0.0,0.0,1191,0,0
F,13,1900.0,6623.489143621585,7109.4246062129805,7109.4246062129805,0.0,0.0,1077,0,0
F,14,1900.0,7109.4246062129805,7600.7060133932755,7600.7060133932755,0.0,0.0,1143,0,0
F,15,1850.0,7600.7060133932755,8055.150156645965,8055.150156645965,0.0,0.0,1094,0,0
F,16,1800.0,8055.150156645965,8511.329009597632,8511.329009597632,0.0,0.0,1199,0,0
F,17,1900.0,8511.329009597632,8951.69515851286,8951.69515851286,0.0,0.0,1200,0,0
F,18,1850.0,8951.69515851286,9328.340164245375,9328.340164245375,0.0,0.0,1200,0,0
F,19,1900.0,9328.340164245375,9748.424266024776,9748.424266024776,0.0,0.0,1200,0,0
F,20,2000.0,9748.424266024776,10184.891213256995,10184.891213256995,0.0,0.0,1200,0,0
F,21,1950.0,10184.891213256995,10595.909721307013,10595.909721307013,0.0,0.0,1200,0,0
F,22,1850.0,10595.909721307013,10975.746482626477,10975.746482626477,0.0,0.0,1200,0,0
F,23,1900.0,10975.746482626477,11361.288791038596,11361.288791038596,0.0,0.0,1184,0,0
F,24,1950.0,11361.288791038596,11780.01996677246,11780.01996677246,0.0,0.0,1148,0,0
F,25,2000.0,11780.01996677246,12149.434958296471,12149.434958296471,0.0,0.0,1192,0,0
F,26,2100.0,12149.434958296471,12564.677414473234,12564.677414473234,0.0,0.0,1199,0,0
F,27,1950.0,12564.677414473234,13047.809075702213,13047.809075702213,0.0,0.0,1186,0,0
F,28,1900.0,13047.809075702213,13420.809716927251,13420.809716927251,0.0,0.0,1200,0,0
F,29,1900.0,13420.809716927251,13779.120198570145,13779.120198570145,0.0,0.0,1200,0,0
F,30,1950.0,13779.120198570145,14155.150805463338,14155.150805463338,0.0,0.0,1200,0,0
F,31,2000.0,14155.150805463338,14509.354137032147,14509.354137032147,0.0,0.0,1198,0,0
F,32,1900.0,14509.354137032147,14805.305776690853,14805.305776690853,0.0,0.0,1200,0,0
F,33,2000.0,14805.305776690853,15213.124600247413,15213.124600247413,0.0,0.0,1200,0,0
F,34,2000.0,15213.124600247413,15601.419000931766,15601.419000931766,0.0,0.0,1200,0,0
F,35,2100.0,15601.419000931766,15934.21825975103,15934.21825975103,0.0,0.0,1200,0,0
F,36,2000.0,15934.21825975103,16269.820513205692,16269.820513205692,0.0,0.0,1200,0,0
F,37,2100.0,16269.820513205692,16617.204815964626,16617.204815964626,0.0,0.0,1200,0,0
F,38,2000.0,16617.204815964626,16940.70751126697,16940.70751126697,0.0,0.0,1200,0,0
F,39,2000.0,16940.70751126697,17266.054358165085,17266.054358165085,0.0,0.0,1200,0,0
F,40,2050.0,17266.054358165085,17585.723771904995,17585.723771904995,0.0,0.0,1200,0,0
F,41,2000.0,17585.723771904995,17898.869472321596,17898.869472321596,0.0,0.0,1199,0,0
F,42,1950.0,17898.869472321596,18213.477245382248,18213.477245382248,0.0,0.0,1200,0,0
F,43,2100.0,18213.477245382248,18563.221376492467,18563.221376492467,0.0,0.0,1083,0,0
F,44,2050.0,18563.221376492467,18866.238196547045,18866.238196547045,0.0,0.0,1191,0,0
F,45,1950.0,18866.238196547045,19210.433887995714,19210.433887995714,0.0,0.0,1200,0,0
F,46,2150.0,19210.433887995714,19547.301303489974,19547.301303489974,0.0,0.0,1109,0,0
F,47,2050.0,19547.301303489974,19860.76758033608,19860.76758033608,0.0,0.0,1183,0,0
F,48,2100.0,19860.76758033608,20193.569059408175,20193.569059408175,0.0,0.0,1199,0,0
F,49,2100.0,20193.569059408175,20517.416458938635,20517.416458938635,0.0,0.0,1200,0,0
F,50,2100.0,20517.416458938635,20792.702117959,20792.702117959,0.0,0.0,1199,0,0
S_lo,1,1800.0,33.348007800773225,709.8953217830881,709.0913473252365,0.595545355322568,0.8039744578516093,1200,0,0
S_lo,2,2000.0,709.8953217830881,1348.947910851597,1347.9068635488911,0.578909813162914,0.9379496950725752,1200,0,0
S_lo,3,2000.0,1348.947910851597,2005.3154523052447,2004.2189906037802,0.6577963124221806,1.2414203562873354,1199,0,0
S_lo,4,1900.0,2005.3154523052447,2644.1344471916404,2642.9928905562933,0.7295371617797983,1.5466401343296639,1152,0,0
S_lo,5,1950.0,2644.1344471916404,3175.0700836708743,3173.339135249432,0.7111490829368451,1.6167226603931795,1154,0,0
S_lo,6,1900.0,3175.0700836708743,3606.868196011591,3604.9473122029694,0.8098999849772219,1.9762883114303804,1162,0,0
S_lo,7,1900.0,3606.868196011591,4026.34187769063,4024.5873976546054,0.7538185098268274,1.7508701030783413,1200,0,0
S_lo,8,1900.0,4026.34187769063,4479.537203436547,4477.763929757648,0.8602289393439939,2.0617136737780584,1200,0,0
S_lo,9,1800.0,4479.537203436547,4834.975474784025,4832.731076595803,0.8229656774452078,2.063907535839462,1200,0,0
S_lo,10,1900.0,4834.975474784025,5301.160863662283,5298.409817044434,0.8691119554684825,2.149525395002911,1146,0,0
S_lo,11,1850.0,5301.160863662283,5675.925714230605,5673.563119427174,0.8828236592488852,2.2275315359265733,1200,0,0
S_lo,12,1900.0,5675.925714230605,6122.81937521088,6120.061154103367,0.9316297172481071,2.1997448406264084,1094,0,0
S_lo,13,1900.0,6122.81937521088,6417.143084195242,6414.693515829909,0.888515713326526,2.2757615511004587,1200,0,0
S_lo,14,1900.0,6417.143084195242,6764.6361818596615,6762.157792353199,0.9135727000701476,2.438844768011677,1190,0,0
S_lo,15,1850.0,6764.6361818596615,7063.805458412731,7061.591337168926,0.8927531260991659,2.284504619321524,1191,0,0
S_lo,16,1800.0,7063.805458412731,7376.555243478725,7373.698645653476,0.926242607368188,2.521409735456473,1199,0,0
S_lo,17,1900.0,7376.555243478725,7653.33276499938,7650.890075702605,0.9339380885567974,2.5527309994658935,1190,0,0
S_lo,18,1900.0,7653.33276499938,7958.163700876259,7955.65162721814,0.916739847034016,2.4910910890653213,1164,0,0
S_lo,19,1900.0,7958.163700876259,8280.683574500925,8278.504876239234,0.8922400271886699,2.3821080047064243,1200,0,0
S_lo,20,1950.0,8280.683574500925,8644.896924137312,8642.60934808906,0.9379395817495546,2.6646961889946397,1149,0,0
S_lo,21,2000.0,8644.896924137312,8911.932933063717,8909.003632300253,0.9024188111578213,2.4570317147181413,1108,0,0
S_lo,22,2050.0,8911.932933063717,9245.842473267523,9242.255332566674,0.8990294069923552,2.543256627875053,1135,0,0
S_lo,23,1950.0,9245.842473267523,9512.006338214082,9508.99433051643,0.858607628261487,2.5518735451987595,1200,0,0
S_lo,24,1900.0,9512.006338214082,9784.388571915502,9781.789441855724,0.9088570925082763,2.763326105881788,1200,0,0
S_lo,25,2000.0,9784.388571915502,10106.066405463207,10103.9006756606,0.8539860429993592,2.672568734534252,1200,0,0
S_lo,26,1900.0,10106.066405463207,10397.167765113558,10394.284379723056,0.8532169954299272,2.733351519515054,1199,0,0
S_lo,27,2000.0,10397.167765113558,10748.662412734599,10745.868046180414,0.8921813360729874,2.8277364321493224,1199,0,0
S_lo,28,1850.0,10748.662412734599,10989.534040970706,10986.65064286955,0.9200388247740762,2.8957118757844,1200,0,0
S_lo,29,2000.0,10989.534040970706,11246.835171723757,11243.991159105331,0.906946032306648,2.812708850011404,1191,0,0
S_lo,30,1900.0,11246.835171723757,11589.640719681738,11587.001858704338,0.8698360262121816,2.752805226286,1200,0,0
S_lo,31,1950.0,11589.640719681738,11898.675483906673,11896.327043000458,0.8299003294786573,2.6961197869886746,1200,0,0
S_lo,32,1950.0,11898.675483906673,12129.221342172526,12126.272397082877,0.8956527004606949,2.865106087417189,1200,0,0
S_lo,33,2050.0,12129.221342172526,12408.198498463717,12405.226241423177,0.8986318067326966,2.838880406729004,1200,0,0
S_lo,34,1950.0,12408.198498463717,12650.79455196218,12647.56521025897,0.889269691243183,2.93548551159256,1199,0,0
S_lo,35,2000.0,12650.79455196218,12906.507465277424,12903.834185826348,0.8692426976607879,2.7705348830959338,1199,0,0
S_lo,36,2000.0,12906.507465277424,13163.099276863115,13160.368593183808,0.8627199711288819,2.9260880819037993,1200,0,0
S_lo,37,2050.0,13163.099276863115,13447.730032983061,13444.93841204268,0.853793149556253,2.8104642226062424,1200,0,0
S_lo,38,2100.0,13447.730032983061,13698.052275878945,13695.060358924098,0.8163621283255383,2.653504487318969,1200,0,0
S_lo,39,2000.0,13698.052275878945,13939.759219856149,13936.937291700015,0.9151935743500138,2.9487103467927227,1198,0,0
S_lo,40,2000.0,13939.759219856149,14201.492176570275,14198.591468466024,0.8546124107505529,2.96365243728269,1200,0,0
S_lo,41,2100.0,14201.492176570275,14550.457533275336,14547.65575994533,0.8311355593428014,2.8726370904887517,1191,0,0
S_lo,42,2050.0,14550.457533275336,14776.272907072489,14773.586747010602,0.8686831176964724,2.9160989922329463,1200,0,0
S_lo,43,2100.0,14776.272907072489,15029.198074173555,15026.515178309768,0.8576033646503245,2.897070384545259,1152,0,0
S_lo,44,2100.0,15029.198074173555,15288.613564558415,15285.82090681205,0.8373985443360916,2.8289076334640413,1200,0,0
S_lo,45,2100.0,15288.613564558415,15491.868209621854,15488.988140569258,0.8378857747722765,2.7944671290551923,1200,0,0
S_lo,46,2000.0,15491.868209621854,15712.892361203783,15710.032409441053,0.845581998445516,2.7772468818338893,1200,0,0
S_lo,47,1950.0,15712.892361203783,15925.068238871161,15921.837719940397,0.9311343606015424,3.184334979668165,1195,0,0
S_lo,48,2100.0,15925.068238871161,16161.440375785965,16158.281652049185,0.7935605080949155,2.835730593385051,1199,0,0
S_lo,49,2050.0,16161.440375785965,16447.760978274244,16445.36627505188,0.8808706940972055,3.07253547208893,1178,0,0
S_lo,50,2100.0,16447.760978274244,16691.74890522629,16688.61000736797,0.8526730372414879,3.061404772334754,1200,0,0
S_mid,1,1800.0,33.348007800773225,710.8542478891097,709.0913473252365,1.225350997379509,1.7629005638731883,1200,0,0
S_mid,2,2000.0,710.8542478891097,1454.8853077066387,1453.0020261446616,1.2986625165609629,2.3195157473746804,1200,0,0
S_mid,3,2000.0,1454.8853077066387,1993.6093035915715,1991.0008791248447,1.3561864301119897,2.793927615271514,1196,0,0
S_mid,4,1950.0,1993.6093035915715,2527.8639601547093,2524.354114214402,1.4451947197744048,3.422340168649498,1199,0,0
S_mid,5,1950.0,2527.8639601547093,3087.7169132885674,3083.982701870291,1.4852889596940146,3.8764330972367134,1196,0,0
S_mid,6,1950.0,3087.7169132885674,3513.694553747936,3509.190709943495,1.4682907683155701,4.395099601734273,1200,0,0
S_mid,7,1800.0,3513.694553747936,3869.5444278375744,3865.4672573279468,1.5471510299505298,5.036808438525895,1200,0,0
S_mid,8,1800.0,3869.5444278375744,4151.176151211999,4145.8130230433435,1.5399491949989383,4.983243954836098,1194,0,0
S_mid,9,1800.0,4151.176151211999,4474.712410860891,4469.634862932327,1.5650928453738566,5.77528417025087,1200,0,0
S_mid,10,1850.0,4474.712410860891,4840.9169627756655,4835.029806876038,1.5331746865894962,6.135558437396867,1174,0,0
S_mid,11,1900.0,4840.9169627756655,5113.2866268214075,5106.867670169869,1.472941617089675,6.093238036591629,1200,0,0
S_mid,12,1800.0,5113.2866268214075,5482.928247142943,5476.645324355612,1.5338874906846076,6.503104216885276,1200,0,0
S_mid,13,1800.0,5482.928247142943,5688.517160937574,5681.360058667267,1.5136967705191458,6.622998384427774,1200,0,0
S_mid,14,1800.0,5688.517160937574,5957.751137123096,5950.412954842377,1.491449411671471,6.781030129773171,1199,0,0
S_mid,15,1900.0,5957.751137123096,6234.99837050844,6227.4426458395465,1.4448853949970935,6.72798848422417,1182,0,0
S_mid,16,1750.0,6234.99837050844,6467.610451095458,6459.7545936730385,1.537222451493666,7.640279393970104,1175,0,0
S_mid,17,1700.0,6467.610451095458,6664.434178191571,6656.85381823683,1.512673276742674,7.764294168023298,1200,0,0
S_mid,18,1850.0,6664.434178191571,6885.704827240925,6878.5491044706305,1.38987982537547,7.155722770294233,1200,0,0
S_mid,19,1750.0,6885.704827240925,7121.090414302227,7112.1994670242275,1.506003702633407,7.797459549371979,1196,0,0
S_mid,20,1700.0,7121.090414302227,7303.320315565654,7295.073854589504,1.486542458280323,8.1247949900403,1197,0,0
S_mid,21,1750.0,7303.320315565654,7476.043122605122,7467.858840335343,1.4620569173320441,7.971769492593467,1200,0,0
S_mid,22,1750.0,7476.043122605122,7661.491622565624,7652.869489471841,1.4286738616189947,8.273174810153705,1197,0,0
S_mid,23,1700.0,7661.491622565624,7835.368206121903,7826.558639635217,1.5003291695780354,8.077614839274702,1199,0,0
S_mid,24,1700.0,7835.368206121903,8023.070767709329,8014.123097038699,1.4751641395965471,8.76701557373508,1182,0,0
S_mid,25,1800.0,8023.070767709329,8261.499454754998,8253.824421144804,1.4685123725257219,8.510371427745213,1157,0,0
S_mid,26,1800.0,8261.499454754998,8466.486190177406,8457.433981168746,1.4482942027693357,8.843395939566108,1193,0,0
S_mid,27,1800.0,8466.486190177406,8621.98016876455,8613.629923775312,1.364280704136677,8.090062081013457,1200,0,0
S_mid,28,1700.0,8621.98016876455,8773.088655117277,8765.027908589083,1.398881011474007,8.442656820125194,1200,0,0
S_mid,29,1750.0,8773.088655117277,8955.707121097723,8947.149150925296,1.3381156898281938,7.985968115960532,1200,0,0
S_mid,30,1800.0,8955.707121097723,9125.30926828817,9117.160265173594,1.3977371137391723,8.645302725163674,1199,0,0
S_mid,31,1850.0,9125.30926828817,9299.013567377016,9289.884701824532,1.3671209179018633,7.768795546024194,1200,0,0
S_mid,32,1850.0,9299.013567377016,9490.062835578487,9483.808504927247,1.3577088160320185,7.799395916983485,1184,0,0
S_mid,33,1900.0,9490.062835578487,9689.508046384371,9681.676249760472,1.3461234878089536,8.147605482358813,1199,0,0
S_mid,34,1850.0,9689.508046384371,9865.226789869852,9856.588052179963,1.3769507373031713,8.121688368920331,1200,0,0
S_mid,35,1800.0,9865.226789869852,10030.924601815319,10022.905086614472,1.352803940427699,7.8831434658377475,1200,0,0
S_mid,36,1800.0,10030.924601815319,10207.254159560372,10199.012384964773,1.4262627617612953,7.988317927447497,1175,0,0
S_mid,37,1900.0,10207.254159560372,10383.024948810908,10375.657289372084,1.3306017690357592,7.755613858889774,1200,0,0
S_mid,38,1850.0,10383.024948810908,10541.910980791903,10534.323780806431,1.3348476679775354,7.868284005573514,1200,0,0
S_mid,39,1850.0,10541.910980791903,10691.043349897955,10682.083180239328,1.373469210179235,8.23574695923071,1185,0,0
S_mid,40,1900.0,10691.043349897955,10877.997162998287,10870.262825289807,1.2856031569950188,7.664044992184245,1200,0,0
S_mid,41,1800.0,10877.997162998287,11113.543410635848,11108.055544950348,1.3650416384734179,8.08357486904788,1200,0,0
S_mid,42,2000.0,11113.543410635848,11276.17055483643,11268.40785500405,1.2723227865320745,7.264381575304469,1200,0,0
S_mid,43,1800.0,11276.17055483643,11421.6913822018,11413.59327037764,1.3576353237689938,8.159966135120158,1199,0,0
S_mid,44,1850.0,11421.6913822018,11603.051110466535,11594.787120534062,1.3548995396834276,8.077205943911395,1200,0,0
S_mid,45,2000.0,11603.051110466535,11819.570631883009,11810.631426200733,1.2838138518749667,7.51668759074073,1144,0,0
S_mid,46,1800.0,11819.570631883009,12002.196611995292,11994.201395444145,1.3356347343155701,8.172782240910237,1200,0,0
